slug	title	英化候補run
star-ocean-sekando-story-4koma-4-ga-gekijou	スターオーシャン セカンドストーリー 4コママンガ劇場	スターオーシャン→star-ocean
star-ocean-sekando-story	スターオーシャン セカンドストーリー	スターオーシャン→star-ocean
star-ocean-the-second-story	スターオーシャン セカンドストーリー	スターオーシャン→star-ocean
star-ocean-till-the-end-of-time	スターオーシャン Till the End of Time	スターオーシャン→star-ocean
star-red	スター・レッド	スター・レッド→star-red
star-road	スターロード	スターロード→star-road
star-twinkle-precure	スター☆トゥインクルプリキュア	スター→star
star-wars-1998	スター・ウォーズ	スター・ウォーズ→star-wars
star-wars-mandalorian	スター・ウォーズ: マンダロリアン	スター・ウォーズ→star-wars
starlight	スターライト	スターライト→star-light
station-1995	ステーション	ステーション→station
step-mother	Stepマザー	マザー→mother
story-311	ストーリー311	ストーリー→story
story	ストーリー	ストーリー→story
street-fighter-4-4koma-manga-oukoku	ストリートファイターⅡ 4コマまんが王国	ストリートファイター→street-fighter
street-fighter-ii-ryu	ストリートファイターⅡ RYU	ストリートファイター→street-fighter
street-fighter-tsuu-bui-rendetsu	ストリートファイターⅡ V列伝	ストリートファイター→street-fighter
street-fighter-zero	ストリートファイターZERO	ストリートファイター→street-fighter
street-fighter-zero2-koma-gyagu-battle	ストリートファイターZERO2 4コマギャグバトル	ストリートファイター→street-fighter
street-fighter	ストリートファイター	ストリートファイター→street-fighter
street-rider	ストリートライダー	ストリートライダー→street-rider
street-tenshi	ストリート天使	ストリート→street
subete-ni-iyagaaru	すべてに射矢ガール	ガール→girl
sugar-family	シュガー☆ファミリー	ファミリー→family
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	ウルトラ→ultra
suika-no-ice	すいかのアイス	アイス→ice
suizoku-company	水族カンパニー!	カンパニー→company
sukarukiraa-jiyatsukiou	スカルキラー邪鬼王	スカルキラー→skull-killer
suki-suki-daichuki-tsuyotsuyo-sword	好き好きだいちゅきつよつよソード	ソード→sword
sumairufomii	スマイルfor美衣	スマイル→smile
sumeba-miyako-no-cosmos-sou	住めば都のコスモス荘	コスモス→cosmos
sumire-no-hanasaku-girls	すみれの花咲くガールズ	ガールズ→girls
sumire-wa-blue	スミレはブルー	ブルー→blue
sunao-janai-noha-heart-no-sei	素直じゃないのはハートのせい	ハート→heart
super-0kun	スーパー0くん	スーパー→super
super-angel	スーパーエンジェル	スーパーエンジェル→super-angel
super-baby	スーパーベイビー	スーパーベイビー→super-baby
super-ball-girls	スーパーボールガールズ	スーパーボールガールズ→super-ball-girls
super-chiyako	スーパーちゃこ	スーパー→super
super-deka	スーパー刑事	スーパー→super
super-doctor-k	スーパードクターK	スーパードクター→super-doctor
super-dragon-ball-heroes-ankoku-makai-mission	スーパードラゴンボールヒーローズ暗黒魔界ミッション!	ミッション→mission
super-game-taisen-game-center-arashi-tai-maikon-denji-ran	スーパーゲーム大戦ゲームセンターあらし対マイコン電児ラン	スーパーゲーム→super-game
super-game	スーパーゲーム	スーパーゲーム→super-game
super-girl-ni-onagai	スーパーガールにお願い	スーパーガール→super-girl
super-heroine-boy	スーパーヒロインボーイ	スーパーヒロインボーイ→super-heroine-boy
super-kaiki-fairu	スーパー怪奇ファイル	スーパー→super
super-kuishinbou	スーパーくいしん坊	スーパー→super
super-lady-mako	スーパーレディ魔子	スーパーレディ→super-lady
super-lady	スーパーレディ	スーパーレディ→super-lady
super-machine-run	スーパーマシンRUN	スーパーマシン→super-machine
super-mario-kun-gekijou-yosshii-new-island	スーパーマリオくん劇場ヨッシーNewアイランド	アイランド→island
super-maruden	スーパーまるでん	スーパー→super
super-no-onii-san	スーパーのお兄さん	スーパー→super
super-no-ura-de-yani-suu-futari	スーパーの裏でヤニ吸うふたり	スーパー→super
super-ooeru-baka-onna-no-saiten	スーパーOLバカ女の祭典	スーパー→super
super-ore-sama-rabu-story	スーパー俺様ラブストーリー	スーパー→super; ラブストーリー→love-story
super-princess	すーぱー☆プリンセス	プリンセス→princess
super-rider	スーパーライダー	スーパーライダー→super-rider
super-robot-rendetsu	スーパーロボット烈伝	スーパーロボット→super-robot
