slug	title	detail
heiuchi-natsuko-tanpenshuu	塀内夏子短編集	
hidaka-nanawo-rabu-collection	日高七緒ラブコレクション	
higawari-collection	日替わりコレクション	
hijiri-yuki-sakuhinshuu	聖悠紀作品集	
hijiriyukisenshuu	ひじり悠紀選集	
hime-chan-no-ribbon-tanpenshuu	姫ちゃんのリボン短編集	
himitsu-no-koi-collection	ヒミツの恋コレクション	
hirata-hiroshi-senshuu	平田弘史選集	
hirogane-kenji-shugyoku-meisaku-tanpenshuu	弘兼憲史珠玉名作短編集	
hirokane-kenshi-hyuumanizumu-tanpenshuu	弘兼憲史ヒューマニズム短編集	
hirokane-kenshi-tanpenshuu	弘兼憲史短編集	
hiromoto-shinichi-tanpenshuu	ヒロモト森一短編集	
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	
hoshino-yukinobu-sf-sakuhin-shuusei	星野之宣SF作品集成	
hosono-fujihiko-shoki-tanpenshuu-biimen	細野不二彦初期短編集B面	
hosono-fujihiko-shoki-tanpenshuu-ee-men	細野不二彦初期短編集A面	
hosono-fujihiko-tanpenshuu	細野不二彦短編集	
houjou-tsukasa-tanpenshuu	北条司短編集	
ijime-teiaazu-selection	いじめ-ティアーズセレクション-	
ikeda-riyoko-tanpenshuu	池田理代子短篇集	
ikegami-ryouichi-bungei-sakuhinshuu-gourikiden	池上遼一文藝作品集 強力伝	
ikegami-ryouichi-shugyoku-sakuhinshuu	池上遼一珠玉作品集	
ikenami-shoutarou-gekiga-selection	池波正太郎劇画セレクション	
ikeno-koi-tokimeki-tanpenshuu	池野恋ときめき短編集	
imagine-2020	とよ田みのる短編集	
imashiro-takashi-kessaku-tanpenshuu	いましろたかし傑作短編集	
inas-collection	イーナスコレクション	
ippei-zenshuu	一平全集	
ishii-ayumi-tanpenshuu	石井あゆみ短編集	
ishikawa-yako-senshuu	石川弥子選集	
itou-junji-tanpenshuu-best-of-best	伊藤潤二短編集BEST OF BEST	
jewelry-collection	ジュエリー・コレクション	
jigoku-shoujo-enma-ai-selection-geki-kowa-story	地獄少女閻魔あいセレクション激こわストーリー	
kajiwara-aya-sakuhinshuu	梶原あや作品集	
kanbe-sakumi-senshuu	神戸さくみ選集	
kannou-gekiga-daizenshuu	官能劇画大全集	
kanzaki-masaomi-senshuu	神崎将臣選集	
kanzenban-piinattsu-zenshuu	完全版ピーナッツ全集	
karibu-marley-sakuhinshuu-carib-song	狩撫麻礼作品集カリブソング	
kataomoi-collection	片想いコレクション	
katsura-masakazu-collection	桂正和コレクション	
katsura-masakazu-kessaku-seisenshuu	桂正和傑作精選集	
kawahara-kazune-love-joshi-tanpenshuu	河原和音恋愛女子短編集	
kayou-manga-dai-zenshuu	歌謡漫画大全集	
kayou-manga-daizenshuu	歌謡マンガ大全集	
kaze-hikaru-shinsengumi-taishi-koi-selection	風光る新選組隊士恋セレクション	
kazu-hajime-sakuhinshuu	かずはじめ作品集	
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション	
ken-tsukikage-jidaigeki-senshuu-midarebana	ケン月影時代劇選集みだれ花	
ketteiban-kariage-kun-collection	決定版 かりあげクン コレクション	
kineko-collection	KINEKO・コレクション	
kino-hitoshi-tanpenshuu	鬼ノ仁短篇集	
kinutani-yuu-sakuhinshuu	衣谷遊作品集	
kitazaki-taku-senshuu	北崎拓選集	
kodoku-no-gourmet-manpuku-selection	孤独のグルメ満腹セレクション	
komike-douwa-zenshuu	コミケ童話全集	
