shared_isbn	rakuten_title	n_owners	owner_slug	wrong_slug	wrong_vol	proposed_isbn	how
9784864683418	ULTRAMAN（3）	1	ultraman-2012	ultraman-g	3		NDL要(meta)
9784864683586	ULTRAMAN（4）	1	ultraman-2012	ultraman-g	4		NDL要(meta)
9784864683784		0	(所有者不明)	ultraman-2012	5		NDL要(meta)
9784864683784		0	(所有者不明)	ultraman-g	5		NDL要(meta)
9784864684200	ULTRAMAN（6）	1	ultraman-2012	ultraman-g	6		NDL要(meta)
9784864684224	ULTRAMAN（7）	1	ultraman-2012	ultraman-g	7		NDL要(meta)
9784864684651	ULTRAMAN（8）	1	ultraman-2012	ultraman-g	8		NDL要(meta)
9784864684866	ULTRAMAN（9）	1	ultraman-2012	ultraman-g	9		NDL要(meta)
9784864685078	ULTRAMAN（10）	1	ultraman-2012	ultraman-g	10		NDL要(meta)
9784864685290	ULTRAMAN（11）	1	ultraman-2012	ultraman-g	11		NDL要(meta)
9784864685375	ULTRAMAN（12）	1	ultraman-2012	ultraman-g	12		NDL要(meta)
9784864686242	ULTRAMAN（13）	1	ultraman-2012	ultraman-g	13		NDL要(meta)
9784864686778	ULTRAMAN（14）	1	ultraman-2012	ultraman-g	14		NDL要(meta)
9784864687164	ULTRAMAN（15）	1	ultraman-2012	ultraman-g	15		NDL要(meta)
9784864687676	ULTRAMAN（16）	1	ultraman-2012	ultraman-g	16		NDL要(meta)
9784864688093	ULTRAMAN（17）	1	ultraman-2012	ultraman-g	17		NDL要(meta)
9784864688796	ULTRAMAN（18）	1	ultraman-2012	ultraman-g	18		NDL要(meta)
9784868050452	ULTRAMAN（21）	1	ultraman-2012	ultraman-g	21		NDL要(meta)
9784870252363	アークザラッド2（1）	1	arc-the-lad-2	arc-the-lad-ii	1		NDL要(meta)
9784870252738	アークザラッド2	1	arc-the-lad-2	arc-the-lad-ii	2		NDL要(meta)
9784870253407	アークザラッド2（3）	1	arc-the-lad-2	arc-the-lad-ii	3		NDL要(meta)
9784870254244	アークザラッド2（4）	1	arc-the-lad-2	arc-the-lad-ii	4		NDL要(meta)
9784870254817	アークザラッド2（5）	1	arc-the-lad-2	arc-the-lad-ii	5		NDL要(meta)
9784872331608	夏の思い出	1	natsu-no-omoide-1994	yoru-no-ryouiki	1		NDL要(meta)
9784877243548	チャレンジャーズ（4）	1	charenjaazu	goukaku-kigan	4		NDL要(meta)
9784881994399	Aquarium第2版	1	aquarium	aquarium-2000	1		NDL要(meta)
9784882713319	Red　dragon	1	red-dragon	red-dragon-ikeno-2016	1		NDL要(meta)
9784882715825	コンプレックス（1）	1	complex	complex-kikuchi-2002	1		NDL要(meta)
9784882718017	コンプレックス（2）	1	complex	complex-kikuchi-2002	2		NDL要(meta)
9784883150960		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	7		NDL要(meta)
9784883150960		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	7		NDL要(meta)
9784883151295		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	8		NDL要(meta)
9784883151295		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	8		NDL要(meta)
9784883151400		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	9		NDL要(meta)
9784883151400		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	9		NDL要(meta)
9784883151646		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	10		NDL要(meta)
9784883151646		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	10		NDL要(meta)
9784883151950		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	11		NDL要(meta)
9784883151950		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	11		NDL要(meta)
9784883152346		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	12		NDL要(meta)
9784883152346		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	12		NDL要(meta)
9784883152780		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	13		NDL要(meta)
9784883152780		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	13		NDL要(meta)
9784883153145		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	14		NDL要(meta)
9784883153145		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	14		NDL要(meta)
9784883153572		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	15		NDL要(meta)
9784883153572		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	15		NDL要(meta)
9784883153947		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	17		NDL要(meta)
9784883153947		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	17		NDL要(meta)
9784883154449		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	19		NDL要(meta)
