slug	title	std_vols	publishers	majority	minority_detail	minority_vols
rikei-ga-koi-ni-ochita-node-shoumei-shite-mita	理系が恋に落ちたので証明してみた。	20	フレックスコミックス:17 | ほるぷ出版:3	フレックスコミックス	ほるぷ出版=[1, 2, 3]	[1, 2, 3]
shin-naniwa-kinyuudou	新ナニワ金融道	20	扶桑社:14 | Bbmfマガジン:6	扶桑社	Bbmfマガジン=[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
strange	ストレンジ・プラス	20	一迅社:9 | スタジオDNA:2 | 講談社:2	一迅社	スタジオDNA=[1, 2];講談社=[19, 20]	[1, 2, 19, 20]
sengoku-komachi-kurou-tan	戦国小町苦労譚	19	アース・スターエンターテイメント:17 | 泰文堂:2	アース・スターエンターテイメント	泰文堂=[1, 2]	[1, 2]
hayate-cross-blade	はやて×ブレード	18	集英社:10 | KADOKAWA:3	集英社	KADOKAWA=[6, 7, 8]	[6, 7, 8]
karin-no-mound	花鈴のマウンド	18	大垣書店:8 | 大垣書店(発売):8 | 朝日:2	大垣書店	朝日=[1, 2];大垣書店(発売)=[8, 9, 10, 11, 12, 13, 14, 15]	[1, 2, 8, 9, 10, 11, 12, 13, 14, 15]
ninja-slayer	ニンジャスレイヤー	18	KADOKAWA:14 | 秋田書店:4	KADOKAWA	秋田書店=[15, 16, 17, 18]	[15, 16, 17, 18]
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	17	宙出版:12 | ジャイブ(発売):3 | ジャイブ:2	宙出版	ジャイブ=[17, 18];ジャイブ(発売)=[19, 20, 21]	[17, 18, 19, 20, 21]
gekkan-shoujo-nozaki-kun	月刊少女野崎くん	17	スクウェア・エニックス:12 | SQUAREENIX:5	スクウェア・エニックス	SQUAREENIX=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
konohana-ki-tan	このはな綺譚	17	幻冬舎:15 | メロンブックス:1	幻冬舎	メロンブックス=[15]	[15]
the-new-gate	THE NEW GATE	17	星雲社:13 | 星雲社(発売):4	星雲社	星雲社(発売)=[10, 11, 12, 13]	[10, 11, 12, 13]
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	16	スクウェア・エニックス:15 | KADOKAWA:1	スクウェア・エニックス	KADOKAWA=[1]	[1]
eikyuu-shimei-onegai-shimasu	永久指名おねがいします!	16	Jパブリッシング:10 | ジュリアンパブリッシング:6	Jパブリッシング	ジュリアンパブリッシング=[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
gachikoi-nenchakujuu	ガチ恋粘着獣	16	コアミックス:10 | 竹書房:6	コアミックス	竹書房=[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
haigakura	ハイガクラ	16	一迅社:6 | 講談社:6	一迅社	講談社=[11, 12, 13, 14, 15, 16]	[11, 12, 13, 14, 15, 16]
isekai-de-cafe-o-kaiten-shimashita	異世界でカフェを開店しました。	16	星雲社:12 | 星雲社(発売):4	星雲社	星雲社(発売)=[10, 11, 12, 13]	[10, 11, 12, 13]
kageki-shoujo	かげきしょうじょ!!	16	白泉社:14 | 集英社:2	白泉社	集英社=[1, 2]	[1, 2]
kidan-ningyoushi-ugetsu-no-hyakumonogatari	鬼談人形師雨月の百物語	16	青泉社:13 | Bbmfマガジン:3	青泉社	Bbmfマガジン=[1, 2, 3]	[1, 2, 3]
mofumofu-to-isekai-slow-life-o-mezashimasu	もふもふと異世界でスローライフを目指します!	16	星雲社:8 | 星雲社(発売):8	星雲社	星雲社(発売)=[3, 4, 5, 6, 7, 8, 9, 10]	[3, 4, 5, 6, 7, 8, 9, 10]
oji-sama-koushaku-wa-koisuru-otoshigoro	おじさま侯爵は恋するお年頃	16	宙出版:10 | ジャイブ(発売):4 | ジャイブ:2	宙出版	ジャイブ=[11, 12];ジャイブ(発売)=[13, 14, 15, 16]	[11, 12, 13, 14, 15, 16]
watari-kun-no-batsubatsu-ga-houkai-sunzen	渡くんの××が崩壊寸前	16	講談社:15 | KADOKAWA:1	講談社	KADOKAWA=[1]	[1]
ansangu-cinderella	アンサングシンデレラ	15	コアミックス:11 | 徳間:3	コアミックス	徳間=[1, 2, 3]	[1, 2, 3]
himuro-no-tenchi	氷室の天地	15	一迅社:7 | 講談社:5	一迅社	講談社=[11, 12, 13, 14, 15]	[11, 12, 13, 14, 15]
hitorijime-my-hero	ひとりじめマイヒーロー	15	講談社:9 | 一迅社:2	講談社	一迅社=[1, 2]	[1, 2]
makai-ouji-devils-and-realist	魔界王子devils and realist	15	一迅社:6 | 講談社:1	一迅社	講談社=[15]	[15]
meshinuma	めしぬま。	15	コアミックス:9 | 徳間:6	コアミックス	徳間=[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
mikakunin-de-shinkoukei	未確認で進行形	15	講談社:8 | 一迅社:4	講談社	一迅社=[1, 2, 3, 5]	[1, 2, 3, 5]
ore-ga-ojou-sama-gakkou-ni-shomin-sanpuru-to-shite-rachirareta-ken	俺がお嬢様学校に「庶民サンプル」として拉致られた件	15	一迅社:11 | 講談社:4	一迅社	講談社=[12, 13, 14, 15]	[12, 13, 14, 15]
reikan-doubutsu-tanteisha	霊感動物探偵社	15	青泉社:10 | Bbmfマガジン:4	青泉社	Bbmfマガジン=[1, 2, 3, 4]	[1, 2, 3, 4]
relife	リライフ	15	泰文堂:8 | アース・スターエンターテイメント:7	泰文堂	アース・スターエンターテイメント=[9, 10, 11, 12, 13, 14, 15]	[9, 10, 11, 12, 13, 14, 15]
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	15	星雲社:8 | 星雲社(発売):6	星雲社	星雲社(発売)=[6, 7, 8, 9, 10, 11]	[6, 7, 8, 9, 10, 11]
tsuki-ga-michibiku-isekai-douchuu	月が導く異世界道中	15	星雲社:11 | 星雲社(発売):4	星雲社	星雲社(発売)=[9, 10, 11, 12]	[9, 10, 11, 12]
aitsu-no-daihonmei	アイツの大本命	14	リブレ出版:9 | リブレ:5	リブレ出版	リブレ=[10, 11, 12, 13, 14]	[10, 11, 12, 13, 14]
azuki-no-chi	あずきの地!	14	宙出版:13 | ジャイブ:1	宙出版	ジャイブ=[14]	[14]
chaser-game	チェイサーゲーム	14	KADOKAWA:11 | Gzブレイン:2	KADOKAWA	Gzブレイン=[1, 2]	[1, 2]
hirari-kun	ヒラリ君	14	北國新聞社:7 | 富山新聞社:1	北國新聞社	富山新聞社=[10]	[10]
kinkon-tosa-nikki	きんこん土佐日記	14	高知新聞総合印刷:6 | 高知新聞企業:5 | 高知新聞社:1	高知新聞総合印刷	高知新聞企業=[3, 4, 5, 6, 7];高知新聞社=[15]	[3, 4, 5, 6, 7, 15]
love-bou-kun	恋愛暴君	14	ほるぷ出版:12 | フレックスコミックス:2	ほるぷ出版	フレックスコミックス=[13, 14]	[13, 14]
mainichi-kaa-san	毎日かあさん	14	毎日新聞社:8 | 毎日新聞出版:3	毎日新聞社	毎日新聞出版=[12, 13, 14]	[12, 13, 14]
nonbiri-buiaaruemuemuooki	のんびりVRMMO記	14	星雲社:9 | 星雲社(発売):4	星雲社	星雲社(発売)=[7, 8, 9, 10]	[7, 8, 9, 10]
sagishi	詐騎士	14	星雲社:10 | 星雲社(発売):4	星雲社	星雲社(発売)=[9, 10, 11, 12]	[9, 10, 11, 12]
shijuushichi-taisen	四十七大戦	14	講談社:6 | アース・スターエンターテイメント:5 | 泰文堂:3	講談社	泰文堂=[1, 2, 3];アース・スターエンターテイメント=[4, 5, 6, 7, 8]	[1, 2, 3, 4, 5, 6, 7, 8]
sousei-no-taiga	創世のタイガ	14	講談社:11 | 白泉社:3	講談社	白泉社=[12, 13, 14]	[12, 13, 14]
toaru-otsu-san-no-buiaaruemuemuoo-katsudouki	とあるおっさんのVRMMO活動記	14	星雲社:10 | 星雲社(発売):4	星雲社	星雲社(発売)=[8, 9, 10, 11]	[8, 9, 10, 11]
bonkura-onmyouji-no-oniyome	ぼんくら陰陽師の鬼嫁	13	秋田書店:10 | KADOKAWA:3	秋田書店	KADOKAWA=[1, 2, 3]	[1, 2, 3]
hazureta-minna-no-atama-no-neji	外れたみんなの頭のネジ	13	アース・スターエンターテイメント:8 | 泰文堂:5	アース・スターエンターテイメント	泰文堂=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
isekai-tensei-soudouki	異世界転生騒動記	13	星雲社:9 | 星雲社(発売):4	星雲社	星雲社(発売)=[8, 9, 10, 11]	[8, 9, 10, 11]
junkissa-neko	純喫茶ねこ	13	幻冬舎:10 | 幻冬舎(発売):2	幻冬舎	幻冬舎(発売)=[9, 10]	[9, 10]
loveless	LOVELESS	13	一迅社:6 | 講談社:1	一迅社	講談社=[13]	[13]
