slug	title	std_vols	publishers	majority	minority_detail	minority_vols
maken-no-daydreamer	魔拳のデイドリーマー	9	星雲社:7 | 星雲社(発売):2	星雲社	星雲社(発売)=[8, 9]	[8, 9]
ore-no-yubi-de-midarero	俺の指で乱れろ。	9	星雲社:5 | 星雲社(発売):4	星雲社	星雲社(発売)=[3, 4, 5, 6]	[3, 4, 5, 6]
sazukarikon	授か離婚	9	青泉社:6 | 秋水社(発行元):2	青泉社	秋水社(発行元)=[1, 2]	[1, 2]
seiheki-yabame-na-otoko-ni-nerawaremashita	性癖ヤバめなオトコに狙われました。	9	星雲社(発売):7 | 星雲社:2	星雲社(発売)	星雲社=[8, 9]	[8, 9]
shachou-h-nago-houshi-ha-gyoumu-soto-desu	社長、Hなご奉仕は業務外です!	9	大都社:8 | 大都社(発売):1	大都社	大都社(発売)=[3]	[3]
shinkyoku-soukai-porifonika	神曲奏界ポリフォニカ	9	ソフトバンククリエイティブ:7 | ほるぷ出版:2	ソフトバンククリエイティブ	ほるぷ出版=[8, 9]	[8, 9]
shishunki-bitter-change	思春期ビターチェンジ	9	ほるぷ出版:7 | フレックスコミックス:2	ほるぷ出版	フレックスコミックス=[8, 9]	[8, 9]
skirt-no-naka-wa-kedamono-deshita	スカートの中はケダモノでした。	9	星雲社:6 | 星雲社(発売):3	星雲社	星雲社(発売)=[7, 8, 9]	[7, 8, 9]
sozai-saishuka-no-isekai-ryokouki	素材採取家の異世界旅行記	9	星雲社:6 | 星雲社(発売):3	星雲社	星雲社(発売)=[4, 5, 6]	[4, 5, 6]
taekwondoer-park	テコンダー朴	9	コアマガジン:7 | 青林堂:2	コアマガジン	青林堂=[2, 3]	[2, 3]
watashi-no-shounen	私の少年	9	講談社:5 | 双葉社:4	講談社	双葉社=[1, 2, 3, 4]	[1, 2, 3, 4]
zense-wa-kentei-konjou-kuzu-ouji	前世は剣帝。今生クズ王子	9	星雲社(発売):5 | 星雲社:4	星雲社(発売)	星雲社=[1, 7, 8, 9]	[1, 7, 8, 9]
10dance	10DANCE	8	講談社:3 | 竹書房:2	講談社	竹書房=[1, 2]	[1, 2]
29sai-jimitsubone-no-totsuzenna-moteki	29歳・地味局の突然なモテ期	8	大都社:7 | 大都社(発売):1	大都社	大都社(発売)=[3]	[3]
2dk-gpen-mezamashidokei	2DK、Gペン、目覚まし時計。	8	講談社:5 | 一迅社:3	講談社	一迅社=[1, 2, 3]	[1, 2, 3]
bernard-jou-iwaku	バーナード嬢曰く。	8	講談社:5 | 一迅社:3	講談社	一迅社=[1, 2, 3]	[1, 2, 3]
elf-san-wa-yaserarenai	エルフさんは痩せられない。	8	ワニブックス:7 | 秋田書店:1	ワニブックス	秋田書店=[8]	[8]
fairy-tail-chronicle	フェアリーテイル・クロニクル	8	フロンティアワークス:5 | KADOKAWA:2	フロンティアワークス	KADOKAWA=[2, 3]	[2, 3]
fuguushoku-to-baka-ni-saremashitaga-jissai-wa-sorehodo-waruku-arimasen	不遇職とバカにされましたが、実際はそれほど悪くありません?	8	星雲社:4 | 星雲社(発売):4	星雲社	星雲社(発売)=[2, 3, 4, 5]	[2, 3, 4, 5]
houkago-assault-girls	放課後アサルト×ガールズ	8	ほるぷ出版:4 | フレックスコミックス:4	ほるぷ出版	フレックスコミックス=[5, 6, 7, 8]	[5, 6, 7, 8]
ii-rank-no-yakushi	Eランクの薬師	8	星雲社(発売):5 | 星雲社:3	星雲社(発売)	星雲社=[1, 2, 8]	[1, 2, 8]
izure-saikyou-no-renkinjutsushi	いずれ最強の錬金術師?	8	星雲社:4 | 星雲社(発売):4	星雲社	星雲社(発売)=[3, 4, 5, 6]	[3, 4, 5, 6]
kami-ni-aisareta-ko	神に愛された子	8	星雲社(発売):5 | 星雲社:3	星雲社(発売)	星雲社=[1, 7, 8]	[1, 7, 8]
kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	8	星雲社:4 | 星雲社(発売):4	星雲社	星雲社(発売)=[2, 3, 4, 5]	[2, 3, 4, 5]
kao-ni-doro-o-nuru	顔に泥を塗る	8	コアミックス:5 | 竹書房:3	コアミックス	竹書房=[1, 2, 3]	[1, 2, 3]
kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	8	ZITTO:4 | リブレ:4	ZITTO	リブレ=[5, 6, 7, 8]	[5, 6, 7, 8]
koi-to-yobu-niwa-kimochiwarui	恋と呼ぶには気持ち悪い	8	講談社:6 | 一迅社:2	講談社	一迅社=[1, 2]	[1, 2]
mahouka-koukou-no-rettousei	魔法科高校の劣等生	8	スクウェア・エニックス:5 | KADOKAWA:3	スクウェア・エニックス	KADOKAWA=[1, 2, 3]	[1, 2, 3]
makikomare-shoukan-soshite-watashi-wa-kami-deshita	巻き込まれ召喚!?そして私は『神』でした??	8	星雲社(発売):5 | 星雲社:3	星雲社(発売)	星雲社=[6, 7, 8]	[6, 7, 8]
maou-evelogia-ni-mi-o-sasageyo	魔王イブロギアに身を捧げよ	8	星雲社(発売):4 | 星雲社:3	星雲社(発売)	星雲社=[6, 7, 8]	[6, 7, 8]
maoyuu-maou-yuusha	まおゆう魔王勇者	8	KADOKAWA:5 | 秋田書店:3	KADOKAWA	秋田書店=[6, 7, 8]	[6, 7, 8]
mierundesu	視えるんです。	8	朝日:5 | KADOKAWA:3	朝日	KADOKAWA=[1, 2, 3]	[1, 2, 3]
nokemono-to-hanayome	ノケモノと花嫁	8	インデックス・コミュニケーションズ:3 | 幻冬舎:3 | モール・オブ・ティーヴィー:2	インデックス・コミュニケーションズ	モール・オブ・ティーヴィー=[4, 5];幻冬舎=[6, 7, 8]	[4, 5, 6, 7, 8]
offline-game	おふらいんげーむ	8	双葉社:5 | エンジェル出版:3	双葉社	エンジェル出版=[6, 7, 8]	[6, 7, 8]
oneekei-yakuza-ni-maiban-dekiai-dekiaisaretemasu	オネエ系ヤクザに毎晩溺愛されてます	8	フランス書院:4 | フランス書院(発売):4	フランス書院	フランス書院(発売)=[3, 4, 5, 6]	[3, 4, 5, 6]
oomuroke	大室家	8	講談社:6 | 一迅社:1	講談社	一迅社=[1]	[1]
ore-no-jouwan-nitoukin-etchi-na-me-de-miteta-desho	俺の上腕二頭筋、エッチな目で見てたでしょ?	8	星雲社(発売):5 | 星雲社:3	星雲社(発売)	星雲社=[1, 2, 3]	[1, 2, 3]
samurai-sensei	サムライせんせい	8	リブレ:6 | リブレ出版:2	リブレ	リブレ出版=[1, 2]	[1, 2]
seikai-no-monshou	星界の紋章	8	ほるぷ出版:4 | フレックスコミックス:3	ほるぷ出版	フレックスコミックス=[6, 7, 8]	[6, 7, 8]
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	8	フェーズシックス(発売):6 | フェーズシックス:2	フェーズシックス(発売)	フェーズシックス=[1, 8]	[1, 8]
sono-egao-suki-ja-nai	その笑顔好きじゃない	8	日販アイ・ピー・エス(発売):7 | 宝島社:1	日販アイ・ピー・エス(発売)	宝島社=[1]	[1]
sunoharasou-no-kanrinin-san	すのはら荘の管理人さん	8	講談社:6 | 一迅社:1	講談社	一迅社=[1]	[1]
tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	8	講談社:6 | 一迅社:1	講談社	一迅社=[1]	[1]
time-slip-otagirl	タイムスリップオタガール	8	フレックスコミックス:6 | ほるぷ出版:2	フレックスコミックス	ほるぷ出版=[1, 2]	[1, 2]
umehara	ウメハラ	8	KADOKAWA:7 | PHP研究所:1	KADOKAWA	PHP研究所=[1]	[1]
world-customize-creator	ワールド・カスタマイズ・クリエーター	8	星雲社:7 | 星雲社(発売):1	星雲社	星雲社(発売)=[8]	[8]
yamato-wa-koi-no-mahoroba	やまとは恋のまほろば	8	文藝春秋:5 | LINEDigitalFrontier:3	文藝春秋	LINEDigitalFrontier=[1, 2, 3]	[1, 2, 3]
argate-online	アルゲートオンライン	7	星雲社:4 | 星雲社(発売):3	星雲社	星雲社(発売)=[5, 6, 7]	[5, 6, 7]
blade-bastard	ブレイド&バスタード	7	星雲社:6 | 星雲社(発売):1	星雲社	星雲社(発売)=[1]	[1]
border-kyoukaisen	Border境界線	7	廣済堂あかつき:3 | 廣済堂出版:3 | 飛鳥新社:1	廣済堂あかつき	飛鳥新社=[1];廣済堂出版=[5, 6, 7]	[1, 5, 6, 7]
chouetsusha-to-natta-otsu-san-wa-mai-peesu-ni-isekai-o-sansaku-suru	超越者となったおっさんはマイペースに異世界を散策する	7	星雲社:3 | 星雲社(発売):3	星雲社	星雲社(発売)=[2, 3, 4]	[2, 3, 4]
daishizen-no-mahoushi-asht-sutareta-ryouchi-de-slow-life	大自然の魔法師アシュト、廃れた領地でスローライフ	7	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 6, 7]	[4, 6, 7]
do-inaka-no-hakugai-reijou-wa-outo-no-elite-kishi-ni-dekiai-dekiaisareru	ド田舎の迫害令嬢は王都のエリート騎士に溺愛される	7	星雲社:5 | 星雲社(発売):1	星雲社	星雲社(発売)=[1]	[1]
dochokkyuu-kareshi-x-kanojo	ド直球彼氏×彼女	7	秋田書店:4 | 講談社:3	秋田書店	講談社=[1, 2, 3]	[1, 2, 3]
eiyuu-densetsu-sora-no-kiseki-esushii	英雄伝説空の軌跡SC	7	KADOKAWA:3 | メディアパル:3 | メディアパル(発売):1	KADOKAWA	メディアパル=[4, 5, 7];メディアパル(発売)=[6]	[4, 5, 6, 7]
fuchin-senkan-kii	不沈戦艦紀伊	7	学研:2 | ゴマブックス:1	学研	ゴマブックス=[2]	[2]
fuguu-skill-no-renkinjutsushi-henkyou-o-kaitaku-suru	不遇スキルの錬金術師、辺境を開拓する	7	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
hiraheishi-wa-kako-o-yumemiru	平兵士は過去を夢見る	7	星雲社:5 | 星雲社(発売):2	星雲社	星雲社(発売)=[6, 7]	[6, 7]
hyakko	ヒャッコ	7	ソフトバンククリエイティブ:6 | ほるぷ出版:1	ソフトバンククリエイティブ	ほるぷ出版=[7]	[7]
isekai-no-suit-to-shite-kuni-ni-manekareta-kedo-kotowatte-heishi-kara-hajimeru-koto-ni-shita	異世界の戦士として国に招かれたけど、断って兵士から始める事にした	7	Amazia:6 | 一二三書房:1	Amazia	一二三書房=[1]	[1]
jaryuu-tensei	邪竜転生	7	星雲社:4 | 星雲社(発売):3	星雲社	星雲社(発売)=[5, 6, 7]	[5, 6, 7]
kuuki-ga-yomeru-shinnyuu-shine-to-buaiso-na-senpai	空気が(「読める」)新入社員と無愛想な先輩	7	講談社:6 | 一迅社:1	講談社	一迅社=[1]	[1]
kyou-kara-city-hunter	今日からシティハンター	7	徳間:5 | コアミックス:2	徳間	コアミックス=[6, 7]	[6, 7]
level-596-no-kaji-minarai	レベル596の鍛冶見習い	7	星雲社(発売):6 | 星雲社:1	星雲社(発売)	星雲社=[7]	[7]
mahou-no-tenshi-creamy-mami-fukigenna-ohime-sama	魔法の天使クリィミーマミ不機嫌なお姫様	7	竹書房:5 | コアミックス:2	竹書房	コアミックス=[6, 7]	[6, 7]
mori-no-kuma-san-touminchuu	森のくまさん、冬眠中。	7	星雲社(発売):5 | 星雲社:2	星雲社(発売)	星雲社=[6, 7]	[6, 7]
moto-kouzou-kaiseki-kenkyuusha-no-isekai-bouken-tan	元構造解析研究者の異世界冒険譚	7	星雲社:4 | 星雲社(発売):3	星雲社	星雲社(発売)=[5, 6, 7]	[5, 6, 7]
mouryou-shoujo	魍魎少女	7	徳間:4 | コアミックス:3	徳間	コアミックス=[5, 6, 7]	[5, 6, 7]
namae-no-nai-kaibutsu	名前のない怪物	7	LINEDigitalFrontier:6 | 宝島社:1	LINEDigitalFrontier	宝島社=[1]	[1]
nibiiro-no-hako-no-naka-de	鈍色の箱の中で	7	LINEDigitalFrontier:5 | LINE:2	LINEDigitalFrontier	LINE=[1, 2]	[1, 2]
ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau	落ちこぼれ〈☆1〉魔法使いは、今日も無意識にチートを使う	7	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 6, 7]	[4, 6, 7]
orange-2012	orange	7	双葉社:4 | 集英社:2	双葉社	集英社=[1, 2]	[1, 2]
ore-to-hero-to-mahou-shoujo	俺とヒーローと魔法少女	7	ほるぷ出版:5 | フレックスコミックス:2	ほるぷ出版	フレックスコミックス=[6, 7]	[6, 7]
pumpkin-night	パンプキンナイト	7	LINEDigitalFrontier:5 | 竹書房:2	LINEDigitalFrontier	竹書房=[1, 2]	[1, 2]
punch	Punch↑	7	リブレ出版:3 | リブレ:3	リブレ出版	リブレ=[5, 6, 7]	[5, 6, 7]
reijou-wa-mattari-o-goshomou	令嬢はまったりをご所望。	7	星雲社:4 | 星雲社(発売):3	星雲社	星雲社(発売)=[3, 4, 5]	[3, 4, 5]
sachiko-to-kamineko-sama	サチコと神ねこ様	7	祥伝社:6 | KADOKAWA:1	祥伝社	KADOKAWA=[1]	[1]
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	7	幻冬舎:4 | 幻冬舎(発売):3	幻冬舎	幻冬舎(発売)=[7, 8, 9]	[7, 8, 9]
shuudengo-capsule-hotel-de-joushi-ni-binetsu-tsutawaru-yoru	終電後、カプセルホテルで、上司に微熱伝わる夜。	7	星雲社:4 | 星雲社(発売):3	星雲社	星雲社(発売)=[5, 6, 7]	[5, 6, 7]
soukon-no-shoujo-to-sourei-no-tabi	送魂の少女と葬礼の旅	7	コアミックス:4 | 徳間:3	コアミックス	徳間=[1, 2, 3]	[1, 2, 3]
sumaho-o-otoshita-dake-nanoni	スマホを落としただけなのに	7	LINEDigitalFrontier:6 | 宝島社:1	LINEDigitalFrontier	宝島社=[1]	[1]
taishuu-sakaba-wakao	大衆酒場ワカオ	7	コアミックス:5 | 徳間:2	コアミックス	徳間=[1, 2]	[1, 2]
tensei-babaa-wa-misugosenai	転生ババァは見過ごせない!	7	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[5, 6, 7]	[5, 6, 7]
touzokuou-no-oshinobi-hanayome	盗賊王のおしのび花嫁	7	ジャイブ(発売):6 | ジャイブ:1	ジャイブ(発売)	ジャイブ=[2]	[2]
yuusha-no-haha-desu-maougun-no-kanbu-ni-narimashita	勇者の母ですが、魔王軍の幹部になりました。	7	徳間:4 | Amazia:3	徳間	Amazia=[1, 2, 3]	[1, 2, 3]
zettai-harem	絶対★はーれむ	7	双葉社:4 | エンジェル出版:3	双葉社	エンジェル出版=[5, 6, 7]	[5, 6, 7]
3-byougo-yajuu	3秒後、野獣。	6	星雲社(発売):4 | 星雲社:2	星雲社(発売)	星雲社=[6, 7]	[6, 7]
99-kai-danzai-sareta-loop-reijou-desu-konsei-wa-chouzetsu-aisare-mode-desutte	99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?	6	星雲社:4 | 星雲社(発売):1	星雲社	星雲社(発売)=[1]	[1]
amarimono-isekaijin-no-jiyuu-seikatsu	余りモノ異世界人の自由生活	6	星雲社:3 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
animetenchou	アニメ店長	6	一迅社:4 | 一賽舎:1	一迅社	一賽舎=[1]	[1]
ayakashi-oniyome-konin-tan	あやかし鬼嫁婚姻譚	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
bukiyouna-silent	不器用なサイレント	6	リブレ出版:4 | リブレ:1	リブレ出版	リブレ=[6]	[6]
chijou-100-kai	地上100階	6	LINEDigitalFrontier:4 | LINE:2	LINEDigitalFrontier	LINE=[1, 2]	[1, 2]
chika-noko	ちかのこ	6	廣済堂出版:4 | メディエイション:1 | 廣済堂出版(発売):1	廣済堂出版	メディエイション=[5];廣済堂出版(発売)=[6]	[5, 6]
d-no-gorugota	Dの十字架(ゴルゴタ)	6	LINEDigitalFrontier:4 | LINE:2	LINEDigitalFrontier	LINE=[1, 2]	[1, 2]
daitesuryou-koubouki	ダィテス領攻防記	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[5, 6]	[5, 6]
etsu-nouryoku-nashi-de-party-tsuihousareta-sareta-ore-ga-zen-zokusei-mahou-tsukai	えっ、能力なしでパーティ追放された俺が全属性魔法使い!?	6	星雲社:4 | 星雲社(発売):1	星雲社	星雲社(発売)=[1]	[1]
fushiou-wa-surooraifu-o-kibou-shimasu	不死王はスローライフを希望します	6	星雲社:3 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
giratsuki-joushi-to-gisou-kekkon	ギラつき上司と偽装結婚!?	6	日販アイ・ピー・エス(発売):4 | 日販アイ・ピー・エス:2	日販アイ・ピー・エス(発売)	日販アイ・ピー・エス=[5, 6]	[5, 6]
hagu-de-owaru-wake-needaro	ハグで終わるわけねぇだろ?	6	星雲社(発売):4 | 星雲社:2	星雲社(発売)	星雲社=[1, 2]	[1, 2]
haru-to-ao-no-obentoubako	ハルとアオのお弁当箱	6	徳間:3 | コアミックス:3	徳間	コアミックス=[4, 5, 6]	[4, 5, 6]
hetaria	ヘタリア	6	幻冬舎:5 | 幻冬舎コミックス:1	幻冬舎	幻冬舎コミックス=[4]	[4]
hottoite-kudasai	ほっといて下さい	6	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 5, 6]	[4, 5, 6]
imadoki-no-wakai-mon-wa	今どきの若いモンは	6	Cygames:3 | 講談社:3	Cygames	講談社=[4, 5, 6]	[4, 5, 6]
is-2010	IS	6	KADOKAWA:5 | 小学館:1	KADOKAWA	小学館=[6]	[6]
isekai-ja-surooraifu-wa-mamanaranai	異世界じゃスローライフはままならない	6	星雲社:3 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
jishou-akuyaku-reijou-na-konyakusha-no-kansatsu-kiroku	自称悪役令嬢な婚約者の観察記録。	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[5, 6]	[5, 6]
julia-ga-kubittake	ジュリアが首ったけ	6	リブレ:4 | リブレ出版:2	リブレ	リブレ出版=[1, 2]	[1, 2]
kagaku-chop	カガクチョップ	6	ほるぷ出版:4 | フレックスコミックス:2	ほるぷ出版	フレックスコミックス=[5, 6]	[5, 6]
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	6	小学館:5 | ぴあ:1	小学館	ぴあ=[11]	[11]
kamisama-2-kago-futaribun-moraimashita	神様に加護2人分貰いました	6	星雲社(発売):5 | 星雲社:1	星雲社(発売)	星雲社=[1]	[1]
karei-ni-rien-shitemisemasu-wa	華麗に離縁してみせますわ!	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
kinmu-jikangai-rinjin-no-joushi-wa-kemono-ni-naru	勤務時間外、隣人の上司はケモノになる。	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[4, 5]	[4, 5]
konya-noo-towa-iwasenai	今夜、NOとは言わせない…	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[5, 6]	[5, 6]
kyuukyoku-no-komyushou-wotaku-joshi-no-watashi-ga-soshage-no-sekai-ni-kita-kedo-oshi-ga-toutosugite	究極のコミュ障オタク女子の私がソシャゲの世界にきたけど、推しが尊すぎてつらい	6	宙出版:3 | ジャイブ:3	宙出版	ジャイブ=[4, 5, 6]	[4, 5, 6]
last-man	ラストマン	6	講談社:3 | Euromanga:3	講談社	Euromanga=[4, 5, 6]	[4, 5, 6]
mimitsuki	ミミツキ	6	幻冬舎:4 | ●幻冬舎:2	幻冬舎	●幻冬舎=[5, 6]	[5, 6]
mizu-shika-denai-shinguu-koppu-o-sazukatta-boku-wa-fumou-no-ryouchi-de-suki-ni-ikiru-koto-ni	水しか出ない神具〈コップ〉を授かった僕は、不毛の領地で好きに生きる事にしました	6	星雲社(発売):5 | 星雲社:1	星雲社(発売)	星雲社=[6]	[6]
motohashi-kyoudai	本橋兄弟	6	双葉社:4 | リイド社:2	双葉社	リイド社=[1, 2]	[1, 2]
mugen-no-skill-getter	無限のスキルゲッター!	6	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 5, 6]	[4, 5, 6]
neta-furi-shitemo-muda-dakara	寝たふりしても、無駄だから	6	星雲社:3 | 星雲社(発売):3	星雲社	星雲社(発売)=[4, 5, 6]	[4, 5, 6]
netsuzou-trap	捏造トラップ	6	講談社:4 | 一迅社:1	講談社	一迅社=[1]	[1]
new-normal	ニューノーマル	6	日販アイ・ピー・エス(発売):4 | 日販アイ・ピー・エス:2	日販アイ・ピー・エス(発売)	日販アイ・ピー・エス=[5, 7]	[5, 7]
nina-san-no-mahou-seikatsu	ニーナさんの魔法生活	6	フレックスコミックス:5 | ほるぷ出版:1	フレックスコミックス	ほるぷ出版=[1]	[1]
ningen-card	人間カード	6	アース・スターエンターテイメント:4 | 泰文堂:2	アース・スターエンターテイメント	泰文堂=[1, 2]	[1, 2]
nyan-koi	にゃんこい!	6	ソフトバンククリエイティブ:5 | ほるぷ出版:1	ソフトバンククリエイティブ	ほるぷ出版=[6]	[6]
ohitoyoshi-shokunin-no-burari-isekaitabi	お人好し職人のぶらり異世界旅	6	星雲社(発売):5 | 星雲社:1	星雲社(発売)	星雲社=[6]	[6]
omega-7	Omega 7	6	SBクリエイティブ:2 | ソフトバンククリエイティブ:1	SBクリエイティブ	ソフトバンククリエイティブ=[3]	[3]
ouji-no-honmei-wa-akuyaku-reijou	王子の本命は悪役令嬢	6	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 5, 6]	[4, 5, 6]
p-b-b	P.B.B.	6	リブレ出版:3 | リブレ:1	リブレ出版	リブレ=[6]	[6]
papa-datte-shitai	パパだって、したい	6	星雲社:5 | 星雲社(発売):1	星雲社	星雲社(発売)=[5]	[5]
ren-soushi-ni-shojo-o-sasagu	漣蒼士に処女を捧ぐ	6	星雲社:4 | 星雲社(発売):2	星雲社	星雲社(発売)=[2, 3]	[2, 3]
shingeki-no-bahamut-misutarushia-saga	神撃のバハムート ミスタルシアサーガ	6	泰文堂:3 | Cygames:3	泰文堂	Cygames=[4, 5, 6]	[4, 5, 6]
shitomeya-kagyou-asami	仕留屋稼業あさみ	6	ぶんか社:5 | 楽楽出版:1	ぶんか社	楽楽出版=[2]	[2]
sono-mono-nochi-ni	その者。のちに…	6	アース・スターエンターテイメント:5 | 泰文堂:1	アース・スターエンターテイメント	泰文堂=[1]	[1]
soubi-seisakukei-cheat-de-isekai-o-jiyuu-ni-ikite-ikimasu	装備製作系チートで異世界を自由に生きていきます	6	星雲社(発売):3 | 星雲社:2	星雲社(発売)	星雲社=[1, 6]	[1, 6]
sousei-no-akuerion	創聖のアクエリオン	6	ソフトバンククリエイティブ:4 | ほるぷ出版:2	ソフトバンククリエイティブ	ほるぷ出版=[5, 6]	[5, 6]
souten-no-ken-regenesis	蒼天の拳リジェネシス	6	徳間:4 | コアミックス:2	徳間	コアミックス=[5, 6]	[5, 6]
starting-gate	STARTING GATE!	6	Cygames:4 | 小学館:2	Cygames	小学館=[5, 6]	[5, 6]
staygold	STAYGOLD	6	祥伝社:5 | 一迅社:1	祥伝社	一迅社=[1]	[1]
takako-san	タカコさん	6	徳間:5 | コアミックス:1	徳間	コアミックス=[6]	[6]
tenisaki-wa-yakushi-ga-sukunai-sekai-deshita	転移先は薬師が少ない世界でした	6	星雲社(発売):3 | 星雲社:2	星雲社(発売)	星雲社=[4, 6]	[4, 6]
tensei-koushaku-reijou-funtouki	転生侯爵令嬢奮闘記	6	星雲社(発売):3 | 星雲社:3	星雲社(発売)	星雲社=[4, 5, 6]	[4, 5, 6]
the-skull-man	スカルマン	6	講談社:1 | 小学館:1	講談社	小学館=[3]	[3]
torimania	トリマニア	6	スクウェア・エニックス:5 | 白泉社:1	スクウェア・エニックス	白泉社=[6]	[6]
tsuki-ga-kirei-desune	月が綺麗ですね	6	講談社:4 | 一迅社:1	講談社	一迅社=[2]	[2]
amagami	アマガミ	5	白泉社:4 | KADOKAWA:1	白泉社	KADOKAWA=[1]	[1]
boku-no-kawaii-konyakusha-no-tame-naraba	僕の可愛い婚約者の為ならば。	5	青泉社:4 | 秋水社(発行元):1	青泉社	秋水社(発行元)=[1]	[1]
brutal-satsujin-keisatsukan-no-kokuhaku	ブルータル殺人警察官の告白	5	竹書房:4 | コアミックス:1	竹書房	コアミックス=[5]	[5]
dairoku-tairiku	第六大陸	5	ソフトバンククリエイティブ:4 | ほるぷ出版:1	ソフトバンククリエイティブ	ほるぷ出版=[5]	[5]
dokonjou-gaeru-no-musume	ど根性ガエルの娘	5	白泉社:4 | KADOKAWA:1	白泉社	KADOKAWA=[1]	[1]
fudanshi-koukou-seikatsu	腐男子高校生活	5	一迅社:2 | 講談社:2	一迅社	講談社=[4, 5]	[4, 5]
ganso-edomae-sushiya-yohee	元祖江戸前寿し屋與兵衛	5	双葉社:4 | リイド社:1	双葉社	リイド社=[1]	[1]
getsuyou-kara-kinyou-no-otoko-koukousei	月曜から金曜の男子高校生	5	LINE:3 | LINEDigitalFrontier:2	LINE	LINEDigitalFrontier=[4, 5]	[4, 5]
godzilla-rulers-of-earth	ゴジラ:ルーラーズ・オブ・アース	5	星雲社:3 | フェーズシックス:2	星雲社	フェーズシックス=[4, 5]	[4, 5]
googoo-oji-san-to-marshmallow	ごーごーおじさんとマシュマロ	5	一迅社:4 | 講談社:1	一迅社	講談社=[4]	[4]
himitsu-wa-kiss-de-abakareru	秘密はキスで暴かれる	5	竹書房:3 | 星雲社:2	竹書房	星雲社=[1, 2]	[1, 2]
hirugao	ひるがお	5	エンジェル出版:4 | 双葉社:1	エンジェル出版	双葉社=[1]	[1]
inugami-san-to-nekoyama-san	犬神さんと猫山さん	5	一迅社:4 | 講談社:1	一迅社	講談社=[6]	[6]
isekai-de-omake-no-nii-san-jiritsu-o-mezasu	異世界でおまけの兄さん自立を目指す	5	星雲社:3 | 星雲社(発売):2	星雲社	星雲社(発売)=[1, 2]	[1, 2]
isekai-de-shippai-shinai-100-no-houhou	異世界で失敗しない100の方法	5	星雲社:4 | 星雲社(発売):1	星雲社	星雲社(発売)=[5]	[5]
ishuuin-hayato-shi-no-heionnaranu-nichijou	伊集院隼人氏の平穏ならぬ日常	5	竹書房:4 | 竹書房(発売):1	竹書房	竹書房(発売)=[4]	[4]
itoshi-no-nekokke	いとしの猫っ毛	5	リブレ出版:4 | リブレ:1	リブレ出版	リブレ=[5]	[5]
joushi-no-asoko-wa-ekkusueru-saizu	上司のアソコはXLサイズ!?	5	星雲社:3 | 星雲社(発売):2	星雲社	星雲社(発売)=[4, 5]	[4, 5]
kareinaru-shishi-no-okinimesu-mama	華麗なる獅子のお気に召すまま	5	宙出版:3 | ジャイブ:1 | ジャイブ(発売):1	宙出版	ジャイブ=[4];ジャイブ(発売)=[5]	[4, 5]
kawaii-imouto-ga-konyaku-haki-sareta-rashii-node-ima-kara-orei-ni-mairimasu	可愛い義妹が婚約破棄されたらしいので、今から「御礼」に参ります。	5	星雲社:3 | 星雲社(発売):1	星雲社	星雲社(発売)=[1]	[1]
kidoban-no-bantarou	木戸番の番太郎	5	幻冬舎:3 | 幻冬舎(発売):2	幻冬舎	幻冬舎(発売)=[1, 2]	[1, 2]
kimi-wa-kirei-na-ahiru-no-ko	君は綺麗なアヒルの子	5	LINEDigitalFrontier:3 | LINE:2	LINEDigitalFrontier	LINE=[1, 2]	[1, 2]
