slug	title	detail
gekiman	激マン!	ダイナミックプロダクション
gen-to-tsugumi	源とツグミ	赤目プロダクション
genjuu-no-kuni-monogatari	幻獣の國物語	猫十字社
gensen-tanpenshuu-gougasa	幻選短編集 豪画沙GOGASHA	ダイナミックプロダクション
get-sports	GET SPORTS	テレビ朝日
getter-robo-arc	ゲッターロボアーク	ダイナミックプロダクション
getter-robo	ゲッターロボ	ダイナミックプロダクション
ghost-hound-another-side	神霊狩 ANOTHER SIDE	プロダクションI. G
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン	講談社
girls-ando-panzer-little-army-2	ガールズ＆パンツァーリトルアーミー2	ガールズ＆パンツァー製作委員会
girls-und-panzer-little-army	ガールズ＆パンツァーリトルアーミー	ガールズ＆パンツァー製作委員会
girls-und-panzer	ガールズ＆パンツァー	ガールズ＆パンツァー製作委員会
god-bird	ゴッドバード	東北新社
god-mazinger	ゴッドマジンガー	ダイナミックプロダクション
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	さいとうプロダクション
golgo-13-supinofu-series	ゴルゴ13スピンオフシリーズ	さいとうプロダクション
golgo-13	ゴルゴ13	さいとうプロダクション
gou-chan-magazine	豪ちゃんマガジン	ダイナミックプロダクション
goudan-araki-mataemon	豪談荒木又右衛門	ダイナミックプロダクション
goudan-kirigakure-saizou	豪談霧隠才蔵	ダイナミックプロダクション
goudan-musashibou-benkei	豪談武蔵坊弁慶	ダイナミックプロダクション
goudan-sanada-gunki	豪談真田軍記	ダイナミックプロダクション
goudan-sarutobi-sasuke	豪談猿飛佐助	ダイナミックプロダクション
great-mazinger	グレート・マジンガー	ダイナミックプロダクション
grimm-kumikyoku	グリム組曲	Netflix株式会社
guilty-crown-dancing-endlaves	ギルティクラウンDANCING ENDLAVES	ギルティクラウン製作委員会
gurandaa-musashi	グランダー武蔵	日本アニメーション株式会社
guruguru-shoukougun	ぐるぐる症候群	ノアール出版
hakuin-oshou-monogatari	白隠和尚物語	禅文化研究所編集部
hakuouki	薄桜鬼	「薄桜鬼」製作委員会
hakuouki-2011	薄桜鬼 新選組奇譚	「薄桜鬼碧血録」製作委員会
hakuouki-reimeiroku	薄桜鬼 黎明録	「薄桜鬼黎明録」製作委員会
hanamoto-san-chi-no-gokiyoudai	華本さんちのご兄弟	猫十字社
haruka-tsuushin-haruka-naru-toki-no-naka-de	はるか通信―遙かなる時空の中で	はるか通信編集部
higurashi-no-naku-koro-ni-ki-tan-senshuu	ひぐらしのなく頃に 奇譚撰集	一迅社
higurashi-no-naku-koro-ni-shinkitanshuu	ひぐらしのなく頃に 新奇譚集	一迅社
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	キングレコード株式会社
hipunoshisumaiku	ヒプノシスマイク	キングレコード株式会社
hishou-densetsu	飛翔伝説	花とゆめコミックス編集部
holox-meeting	ホロックスみーてぃんぐ!	カバー株式会社
hontoni-atta-noroi-no-video-comic	ほんとにあった!呪いのビデオcomic	ほんとにあった!呪いのビデオcomic製作委員会
hop-step-debut	ほっぷすてっぷデビュー!	りぼん編集部
hop-step-sing	Hop Step Sing!	講談社
hoshi-no-hitomi-no-silhouette	星の瞳のシルエット	ホーム社
hoshi-no-seijin	星の聖人	喧噪社
houkago-no-iruma-kun	放課後の!入間くん	秋田書店
houkago-pedal-hai-keidensu	放課後ペダルハイケイデンス	秋田書店
houkago-pedal	放課後ペダル	秋田書店
hypnosis-mic-before-the-battle-dawn-of-divisions	ヒプノシスマイク-before the battle-dawn of divisions	キングレコード株式会社
igano-kabamaru	伊賀野カバ丸	花とゆめコミックス編集部
inosensu-mesozzu-oshii-mamoru-enshutsu-note	「イノセンス」methods押井守演出ノート	プロダクションI. G
iron-muscle	アイアンマッスル	ダイナミックプロダクション
ishii-hisaichi-no-keizai-gairon	いしいひさいちの経済外論	朝日新聞社出版本部ムック編集部
ittou-ryoudan-2012	一刀両断	さいとうプロダクション
jashin-senki	邪神戦記	ダイナミックプロダクション
jikuukan-fuuunroku	時空間風雲録	ダイナミックプロダクション
jitsuwa-kyoufu-taiken	実話・恐怖体験	恐デラ特別編集
jitsuwa-maji-de-kowaai-hanashi	実話マジで怖ーい話	ダイナミックプロダクション
jump-sq-comic-selection	ジャンプSQ.Comic Selection	集英社
kaara	カーラ	説話社
kaiten-mutenmaru-2015	回転むてん丸 第2章 ひかりの旅路	マイクロマガジン社
kaiten-mutenmaru	回転むてん丸	マイクロマガジン社
kaitou-shinshi	怪盗紳士	安田達矢ダイナミック・プロダクション
kakkura-jinta	カックラ陣太	スタジオスパイス
kamigami-no-asobi	神々の悪戯	ブロッコリー・神あそ製作委員会
kannushi-san-no-nichijou	神主さんの日常	三峯神社
kanojo-gacha	彼女ガチャ	芳文社
kanshikan-tsunemori-akane	監視官常守朱	サイコパス製作委員会
kasuga-no-tsubone-watanabe-1989	春日局	手塚プロダクション
katsu-kaishuu	勝海舟	ダイナミックプロダクション
kaze-tachinu	風立ちぬ	徳間書店
kenritsu-midabutsu-koukou	県立御陀仏高校	猫十字社
kiganjou	奇岩城	安田達矢ダイナミック・プロダクション
kikkai-kun	キッカイくん	ダイナミックプロダクション
kimitachi-ha-dou-ikiru-ka	君たちはどう生きるか	徳間書店
kin-sankaku	金三角	安田達矢ダイナミック・プロダクション
kishin	機神	ダイナミックプロダクション
koi-no-yamai-to-yarougumi-season-2	恋の病と野郎組シーズン2	日本テレビ放送網株式会社 (2012年)
kokurikozaka-kara	コクリコ坂から	徳間書店
koutetsu-jeeg	鋼鉄ジーグ	ダイナミックプロダクション
kowasugiru-nagai-gou	怖すぎる永井豪	ダイナミックプロダクション
kuro-no-monmongumi	黒のもんもん組	猫十字社
lens-no-mukou-no-megamitachi	レンズの向こうの女神たち	デジタル職人株式会社
lost-planet-bound-raven	ロストプラネットバウンドレイブン	ジャストコーズプロダクション
lovely-angel	ラブリー・エンジェル	ダイナミックプロダクション
lunar	LUNAR	スタジオ・アレックス
