slug	title	our_author	src_author(種1/楽天)	誤ISBN数
shounen-shoujo-jinbutsu-nippon-no-rekishi	少年少女人物日本の歴史	学習マンガ集団;小井土繁	アオムラ純	4
signal-100	シグナル100	龍翠	宮月新;近藤シグレ	4
soredemo-ore-no-mono-ni-naru	それでも俺のものになる	イケガミ小5	高崎ボスコ	4
soushitsu-mahoutsukai-no-saikyou-kenja	喪失魔法使いの最強賢者	紅木春;藤沢里菜	ドマドマ;近藤笑真	4
star-wars-1998	スター・ウォーズ	lucasgeorge;工藤俊生	ジョージルーカス;ヒロモト森一;田巻久雄	4
street-fighter-4-4koma-manga-oukoku	ストリートファイターⅡ 4コマまんが王国	(unknown)	ggc	4
suizoku-company	水族カンパニー!	中川海二	イシイ渡	4
tada-shiawasena-isekai-kazoku-seikatsu-tenseishite-kondo-koso-shiawase-ni-kurashimasu	ただ幸せな異世界家族生活	君塚力;白石新	sbクリエイティブ刊);エイヒ;水沢;水沢翔	4
taikaizoku-doumei	大海賊同盟	(unknown)	ノアール出版	4
taimashi-to-akuma-chan	退魔師と悪魔ちゃん	髭乃慎士	トナミショウ	4
tantei-higurashi-tabito-no-sagashimono	探偵・日暮旅人の探し物	菅原竜	スガハラ竜;山口幸三郎;煙楽	4
tekichuu	的中	田原成貴;能田茂	ノダシゲル	4
tekitoo-na-maid-no-onee-san-to-erasou-de-ichizu-na-botsu-chan	テキトーなメイドのお姉さんと偉そうで一途	jin	大原ロロン	4
the-athletes	ザ・アスリーターズ	田近康平	淡田青	4
toaru-tenin-to-kyaku-no-hanashi	とある店員と客の話	エムダ	幸子	4
tochigami-to-mura-de-ichiban-wakai-yome	土地神と、村で一番若い嫁	剛田ナギ	アラヲカ青イ	4
tokaku-no-kyoudai	兎角ノ兄弟	アオキタクト	十束椿	4
tokugawa-no-mashira	徳川の猿	昭時大紀	藤田カクジ	4
tomogui	トモグイ	ジジ&ピンチ	razen;金沢伸明	4
transformers-more-than-meets-the-eye	トランスフォーマー:モア・ザン・ミーツ・	milnealex;raizejam	アレックスミルン;ジェームズロバーツ;ニックロシ	4
tsugaru-seishun-sanga	津軽青春山河	倉科遼	司敬	4
tsukitousagi	ツキトウサギ	九重リココ	小虎	4
uchi-no-maou-kamimasenyo	うちの魔王かみませんよ	人類補完計画監視委員会	オトウサン	4
umibe-no-q	海辺のキュー	kinaco	背川昇	4
usotsuki-na-tetora	うそつきなテトラ	時雨サヨ	ナナノイチ	4
usotsuki-usotsuki	嘘月-ウソツキ-	井上知之	ミナミ	4
wadatsumi-no-musume	海神の娘	トイケ;晴山晴緒	サルマ;白川紺子	4
warasibe	WARASIBE	ヒイロ莎々	松葉サトル	4
watashi-ni-dake-tenparu-joushi-no-hanashi	私にだけテンパる上司の話	カワセワカ	イスズ	4
watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	私、能力は平均値でって言ったよね!	荒井小豆	funa;ネコミント;亜方逸樹	4
yami-ni-naku-oni	闇に哭く鬼	霧嶋珠生	霧島珠樹	4
yankee-juku-e-iku	ヤンキー塾へ行く	空木哲生	荒木光	4
yome-no-manimani	嫁のまにまに	三木ヨウ子	優風	4
yoru-ni-naru-to-boku-wa	夜になると僕は	ハコロク	一×;益子悠	4
yoru-no-ikigami-sama-to-susukaburi-no-otome	夜の生き神様とすすかぶりの乙女	花生	蒔々	4
youchien-senki-madara	幼稚園戦記まだら	ヨシミイク	義見依久	4
yuusha-wa-kousoku-ihan-ni-narimasuka	勇者は校則違反になりますか?	レノts	有馬レンジ	4
zettai-bl-ni-naru-sekai-vs-zettai-bl-ni-naritakunai-otoko	絶対BLになる世界vs絶対BLになりたく	re:	紺吉	4
zettai-naru-isolator	絶対ナル孤独者	オカカ	シメジ;川原礫;越水ナオキ	4
15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	成家慎一郎	成瀬芳貴	3
2200nen-neko-no-2200	2200年ねこの国ニッポン	白縫餡	猫葉リテ	3
24colors	24COLORS	千葉コズエ	説話社;麻生歩	3
35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ	蜜柑子	3
a-i-c-o-incarnation	A.I.C.O. Incarnation	ニイサトル	bones;道明宏明	3
abunoomarukei-joshi	危ノーマル系女子	カトウハルアキ	真田ジューイチ	3
after-5-no-jououtachi	アフター5の女王たち	武川慎	六反リョウ	3
ai-datoka-fukushuu-datoka	愛だとか復讐だとか	toguchi	紘井ミチキ	3
ai-like-haiku	あいらいく俳句	ミナリフウリン	骨抜キチキン	3
ai-o-katarunara-hisoyakani	愛を語るなら密やかに	オトクニ	オムザライス	3
ai-sensei-wa-wakaranai	アイ先生はわからない	ウオヤマ	児玉潤	3
aitsu-1993	あいつ	ブシヤマ	飯野恵子	3
aketemo-kuretemo	明けても暮れても	meco	倉橋トモ	3
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	連城寺ノア	ワタリサエ	3
akuyaku-reijou-ni-tensei-shita-hazu-ga-marii-antoinette-deshita	悪役令嬢に転生したはずがマリー・アントワ	uzno	小出ヨシト	3
akuyaku-reijou-no-yojouhan	悪役令嬢の四畳半	森長アヤミ	岡野ク仔	3
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	臼井トモミ	蜂巣	3
ame-nochi-hare-zonbiyori	雨のち晴れゾン日和	飛田漱	キヨミズリュウタロウ	3
angelique-ensemble	アンジェリークアンサンブル	(unknown)	光栄	3
ano-ko-wa-shoujo-no-furi-o-shite	あの子は少女の振りをして	ハルコ	田中文	3
ao-no-otoko	蒼の男	ベルネ	belne	3
art-gangsta	アートギャングスタ	時田	齊藤真聖	3
arusu-no-tsubasa	アルスの翼	ウサトサヤ	田中雅子(漫画家)	3
asuka-chan-wa-ijimeraretai	明日花ちゃんはいじめられたい.	オケイド	麦野スミレ	3
atama-no-naka-no-suzu-senpai	アタマのナカの鈴せんぱい	ウルヒコ;ナナオ	ニャルラ;ユメツキママ	3
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵	永田礼路	結城アオ	3
ato-wa-go-jiyuu-ni-douzo	あとはご自由にどうぞ!	大城戸カロ;石山サヤカ	ixy;カンムリ;鬼影スパナ	3
atsugari-hinata-san-to-samugari-yozaki-kun	暑がりヒナタさんと寒がりヨザキくん	鉄山カヤ	マスダ悠	3
ayame-senpai-wa-boku-to-himitsu-no-keiyaku-o	あやめ先輩は僕とヒミツの契約を	昼間行燈	蛇足センタロウ	3
ayashikotogatari	怪しことがたり	イシコ漫画家	白鳥ウシオ	3
bake-no-kawa-no-hitobake	化けの皮のヒトバケ	巳島早生	佐藤サツキ	3
baku-kun	バクくん	家田明歩	田中優吏	3
banana-hakusho	バナナ白書	蛭田充	sanze摩利	3
banji-no-nyamunyamu-nikki	バンジのにゃむにゃむ日記	山崎アロエ	ジョンイ;ラナ	3
batsuichi-ga-moteru-nante-kiitemasen	バツイチがモテるなんて聞いてません	コミックルーム;蛭塚都	comicroom;亀奈ユウ	3
bb-hell	BB.HELL	関根光太郎	渡レイ	3
bikkuriman-omoshirorando	ビックリマン おもしろランド	(unknown)	菅野誠一	3
black-board	BLACK BOARD	星海ユミ	イズミダフユキ	3
bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia	ぼっち博士とロボット少女の絶望的ユートピ	堀祐介	山田鐘人	3
boku-igai-zenin-tenseisha-kayo	僕以外全員転生者かよ	武田スーパー	夏名ユーマ	3
boku-mo-isshokenmei	ぼくもいっしょ!	映画館	ラクダ	3
boku-no-dokuhime-wa-kyou-mo-kawaii	ぼくの毒姫は今日もかわいい	saku漫画家	咲竹チヒロ	3
boku-to-kanojo-no-meguru-isekai	僕と彼女の転生る異世界	清水ヤスヲミ	コジィ	3
boku-to-mimoza-no-75-nichi	ぼくとミモザの75日	鈴木ミニラ	鬼山瑞樹	3
boku-to-uchuujin	僕と宇宙人	竹充ヒロ	nobel	3
boku-wa-onii-chan-no-koto-ga-suki-desu	僕はお兄ちゃんのことが好きです。	田村純兵	蒼井タマゴ	3
bokura-no-libido	ボクらのリビドー	野﨑花一	乙本ロイ	3
bokutachi-hoikuka-koukou-1-nensei	ぼくたち保育科高校1年生	(unknown)	弾正ヨシカゲ	3
bon-hyakusen-sai	盆百千栽	冴木ポテリ	火事屋	3
budfly	バドフライ	月島冬二	イワシタシゲユキ	3
byoon-youkai-gakkyuu	びょ～ん!!陽快学級	伊藤直晃	イトウナオアキ	3
c-darwin	C・Darwin	橘瑞樹;櫻林子	橘水樹	3
chanto-norotte-ichiko-chan	ちゃんと呪ってイチコちゃん	カナンアスカ	オリオ無	3
chaos-child-children-s-collapse	CHAOS;CHILD～Children	三日月シズカ	chiyostinc;mages	3
cheroofu-san-no-mahou-doll	チェローフさんの魔法人形	西尾洋一	星川チドリ	3
chibon-kaburi	チボンカブリ	彩月ツカサ	北岡朋	3
chichi-o-okorasetai	父を怒らせたい	葉月セン	オカクーコ	3
chiguhagu	CHI・GU・HA・GU	山花典之	山崎花子	3
chiisai-boku-no-haru	小さい僕の春	小川錦	渥美駿	3
chiisana-majo-no-korie	小さな魔女の首輪	港川一臣	チノク	3
chikkoincho	ちっこいんちょ	豊田アキヒロ	トイシキ	3
chuu-bosu-reijou-wa-taijou-go-no-jinsei-o-ouka-suru-yotei	中ボス令嬢は、退場後の人生を謳歌する (	ハルコ;小見川ナマリ	nishi;shabon;コル	3
chuuganji-ke-no-onmitsu	中巌寺家の隠密	恩田時夫	ホカ;志村泰央;片桐了	3
clay-lord	CLAY LORD	瀬之タツネ	鈴本純	3
colors-2001	Colors	啄木鳥シンキ	説話社;麻生歩	3
comic-bii-tarou	コミックビー太郎	ミヤモト留美	ヤマト将臣;水ヨウカン;高鍋千歳	3
comic-sangokushi-touruu-episode-rendetsu	コミック三國志トゥルーエピソード列伝	コーエー出版部;フィールドワイ	光栄	3
cue	Cue	花見沢q太郎	村上カツラ	3
d-drops	D・ドロップス	住野ヨル	椎名	3
daijoubu-club	大丈夫倶楽部	杉山鉄兵	井上マイ	3
dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	抱かれた悪役令嬢は、激変王子の溺愛ルート	ヤマチ	吉田ニン	3
dakitsubusu-made-yamenee-zo	抱きつぶすまでやめねぇぞ	akabeko	キビダンゴユン	3
danjonzu-ando-dragons-dark-elf-monogatari	DUNGEONS & DRAGONSダー	dabbandrew;salvato	raサルバトーレ;アンドリューダブ	3
danouryoku-jk-narumogawa-san	駄能力JK成毛川さん	parisipaolo	菅森コウ	3
danzai-no-majutsugari	断罪の魔術狩り	ボーカン;恵比須清司	梳久耶マヒル;羊太郎	3
darkartsmaster	DarkArtsMaster	星河蟹	神原絵理華	3
dekiai-seifuku	溺愛征服	原浩	フジキハルカ	3
dekiaisuru-nomo-hodohodo-ni	溺愛するのもほどほどに。	花岡美莉	サンカク	3
dekkaincho	でっかいんちょ	豊田アキヒロ	トイシキ	3
densha-otoko	電車男	中野独人;御茶マチコ;渡辺航;道家大	原秀則	3
desu-dot-teiibii	死.tv	金田達也	カネダカズヤ	3
devi-rock	デビ★ロック	麻斗	那貴リンゴ	3
devil-dezaiaazu	デビルデザイアーズ!!	椰子木虹	拓平	3
dezi-con	デジコン	オダトモヒト	小田智仁;石沢将人	3
doku-doku-mori-mori	どく・どく・もり・もり	kinaco	背川昇	3
dokuro-san-ga-mite-iru	どくろさんが見ている	藤野モヤム	桑佳アサ	3
doronkyuu	どろんきゅー	石津カユ	吉村佳	3
double-half	ダブル・ハーフ	霧嶋珠生	霧島珠樹	3
doubles	Doubles	荻丸雅子	麻原イツミ	3
doukyonin-ga-fuantei-deshite	同居人が不安定でして	甘露アメ	タカダフミ子	3
dousei-seikatsu	同棲生活	waldentillie	サツマ揚ゲ	3
dunwich-no-kai	ダニッチの怪	lovecrafthowardphi	]ラヴクラフト;田辺剛	3
edo-jou-saiken	江戸城再建	猿渡カザミ	三浦正幸;黒川清	3
eegekai-o-wataru-hanatachi	エーゲ海を渡る花たち	三原シラユキ	日之下アカメ	3
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	雨宮皐季	茸太	3
eigyou-smile-danjo	営業スマイル男女	(unknown)	mako	3
eigyoubu-no-saeki-san-to-kagitsuki-etchi	営業部の佐伯さんと鍵つきエッチ	辰巳仁	山田パン	3
ekkusueru-de-oku-made-tonton-sarete-revenge-eichi-kara-nukedasenai	XLで奥までトントンされて…リベンジHか	成瀬真琴	ナルセマコト	3
elysion-online	Elysion online	(unknown);吉山航平	トリウミイタチ;トンシ	3
endo	ENDO	duratogiuseppe	ペッペ	3
erudegain	エルデガイン	円英智	ツブラヒデトモ	3
etoranjieru-chiaratto	干支天使チアラット	gan	中川ホメオパシー	3
fantasy-o-hotondo-shiranai-joshi-joshikousei-ni-yoru-isekai-teni-seikatsu	ファンタジーをほとんど知らない女子高生に	蛍幻飛鳥	shimano;コウ;游紗吹香	3
fenrir-nee-san-to-boku	フェンリル姉さんと僕	大家	阿崎桃子	3
fleur	fleur	クロバr	ナガトカヨ	3
fujoi-no-ishadou	腐女医の医者道!	岩葉純希	サータリ	3
fujoshi-no-tsuzui-san	腐女子のつづ井さん	内野コメコ	ツヅ井	3
fukou-reijou-deshitaga-happy-end-o-mukaemashita	不幸令嬢でしたが、ハッピーエンドを迎えま	棚本イコマ;横山モヨ;美麻リン;雪森	acca;エッチャン;サ田;ミズメ;メイリ;ユニ	3
fure-ai	触レ愛	春兎アヤ	オグリイコ	3
fureai-lesson-keiyaku	ふれあいレッスン契約	望月ウタ	mae	3
furuki-okite-no-mahou-kishi	古き掟の魔法騎士	恵比須清司;秋乃カカシ	カワバタヨシヒロ;羊太郎;遠坂アサギ	3
futari-nara-dokoedemo	夫婦ならどこへでも	甘露アメ	カヅチ	3
g-joshi	G女子!	榎本ハイツ	酉川宇宙	3
ga-kirai-na-joshi-nanka-imasen	××が嫌いな女子なんかいません!	大沢ウイチ	実倉ナル	3
gaira	凱羅	syufo	板橋シュウホウ	3
gal-kishi-angelica	ギャル騎士アンジェリカ	高槻ナギー	nagy;トリアイナ	3
gal-suke	ギャル×スケ!	三葦十夢	神内アキラ	3
gantz-g	GANTZ:G	後藤正人	イイヅカケイタ;大崎知仁;奥浩哉	3
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	ナナミアイス	知葉サナガ	3
gay-bar-no-mochigi-san	ゲイバーのもちぎさん	ゴジョウフミエ	モチギ	3
gekikara-bunka-kouryuu	ゲキカラ文化交流	将良	沼江蛙	3
gekikara-ojou-sama-wa-jibun-o-basshitai	激辛お嬢さまは自分を罰したい	西巻拓馬	小菊路ヨウ	3
generous-kiss	GENEROUS KISS	カンベアキラ	栗栖ヒトミ;桜城ヤヤ;藤タマキ	3
gensuibaku-manga-collection	原水爆漫画コレクション	滝田ユウ;白土三平	中沢啓治;妹尾浩也;安田卓也;影丸穣也;手塚治虫	3
ginsei-no-proust	銀青のプルースト	渡部大羊	エモフウ	3
gokudou-faust	極道ファウスト	マズリン	横尾公敏	3
gokujou-kishidanchou-no-yuruginai-dokusen-ai	極上騎士団長の揺るぎない独占愛	サクマレン;北郷豊	直江亜季子;黒乃梓	3
goreijou-kanezaki-reiko	御令嬢金崎麗子	ハヤシリエコ	林倫恵子	3
gyakusou-randevuu	逆装ランデヴー	小手万里	次見ヤヲラ	3
h-na-omocha-no-tsukurikata	Hなおもちゃの作り方	i-iv	永谷エンガワ	3
haikei-arishihi-ni-saku-hanatachi-e	拝啓、在りし日に咲く花たちへ	ハトボシ	五十嵐純	3
hajimete-no-ojou-sama	はじめてのお嬢様	久川ハル	橙夏リリ	3
hakkou-1985	白虹	長岡良子	中村理恵	3
hakuouki	薄桜鬼	「薄桜鬼」製作委員会;オトメイト	アイディアフ;アイディアファクトリー;デザインフ	3
hanasaki-san-no-shuukatsu-nikki	花咲さんの就活日記	伊丹澄一	小野田真央	3
hanatsumugu-higo-no-kami	花紡ぐ、庇護ノ神	タコツムリ	丹野イチ子	3
hanayome-to-akuma-no-yakusoku	花嫁と悪魔の約束	堂島高博	浅井結衣	3
haramu-made-midare-ike	孕むまで乱れいけ	山本泰一郎	神崎柚	3
hardboiled-matatabi-bebop	ハードボイルド・マタタビ・ビバップ	12log	フジモトシゲキ	3
harinezumi-no-harry	ハリネズミのハリー	伊海	村松マツリ	3
harusame-to-koi-moyou	春雨と恋もよう	児嶋建洋	行村コウ	3
hatsujouki-ja-nakya-nagutteru	発情期じゃなきゃ殴ってる!	(unknown)	佐崎イマ;佐崎イマ+高瀬ロク;高瀬ロ	3
hatsukoi-futatabi	はつ恋、ふたたび。	藤野モヤム	桑佳アサ	3
hawkeye	ホークアイ	ajadavid	アニーウー;アランデイビス;デイビッドアジャ;デ	3
hazure-skill-mappingu-o-te-ni-shita-shounen-wa-saikyou-party-to-dungeon-ni-idomu	外れスキル〈地図化(マッピング)〉を手に	(unknown)	savan;雫綺一生;鴨野ウドン	3
heart-no-alice	ハートのアリス	真敷ヒサメ	三浦ヒラク	3
heilang	黒狼(ヘイラン)	ミヤコカック	百地元	3
hello-morning-star	ハローモーニングスター	meco	倉橋トモ	3
henkyou-no-shishi-wa-ruriiro-no-bara-o-dekiai-suru	辺境の獅子は瑠璃色のバラを溺愛する	ナフセ;蛸八太二	マロ乃;三沢ケイ;宵マチ	3
hero-datte-omae-o-dakitai	ヒーローだって…おまえを抱きたい。	春キャベツ	祈崎ヒナ汰	3
heroes	Heroes	三宅乱丈;大山アツシ	徳光康之;数原マコト;森元サトル;田村高信	3
hidamari-ga-kikoeru	ひだまりが聴こえる	茜田千	文乃ユキ	3
hijuumura	祕十村	唯野	宗方馨;白輝蓮	3
himari-no-mawari	ひまりのまわり	studiohip-cats	桜木蓮	3
himawari-ueno-2005	ひまわり	市川ジュン	林壮太;滝直毅	3
hime-no-dameshi	ヒメの惰飯	クリモトピンコ	二階堂幸	3
hinmin-no-shokutaku	貧民の食卓	オオツボマキ	大坪万記	3
hinomoto-3-shimai-wa-kamatte-hoshii	陽下3姉妹はかまってほしい	浪咲ユカ	ネコ末端	3
hippuhoppu-kakeizu	ヒップホップ家系図	中川海二	エドピスコー;中沢俊介;綾井亜希子;高松和史	3
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	児嶋建洋	行村コウ	3
hiroware-lily-wa-amai-uso-ni-hodasareru	拾われリリーは甘い嘘にほだされる	夏木美香	tsugumi	3
hitman-go-go	ヒットマンgo!go!	(unknown)	ノアール出版	3
hito-no-musuko	人の息子	ツルマイカダ	アノアヤノ	3
hoken-kanyuusha-ni-tsugu	保険加入者に告ぐ。	ビタワン	渡辺悠;田丸哲二	3
honey-tochka	ハニートーチカ	吉宗	ウシハシル	3
honno-koi-nado	ほんの恋など	日高アスマ	カワカミコマ	3
honya-no-onii-san	本屋の鬼いさん	オカカ	モモタン	3
houkago-sentai-gotakkii	放課後戦隊ゴタッキー	月島冬二	ソラミミクロスケ	3
houkago-shoujo-bout	放課後少女バウト	昭時大紀	藤田カクジ	3
houkago-wa-kimi-no-kanojo	放課後は君の彼女	石井タクマ	佐々木奈緒	3
housekishou-no-shinjin	宝石省の新人	赤澤正之	マリムゥ	3
hq-familia	HQファミリア	一本木尊	アンソロジー;潜エム;黒兎	3
hush-hush	Hush Hush	マッハダイ	rojer	3
ibaraki-tte-dokoni-arundesuka	茨城ってどこにあるんですか?	都波ミナト	真枝アキ	3
ice-cream-kanojo	アイスクリームカノジョ	ツブキ	クウネリン	3
idolatry	アイドラトリィ	山崎将;蜂蓮花マルモ	ホマレ;大鷹シン	3
ihou-no-oswald	異邦のオズワルド	黒崎ナオキ	オカザキサト乃	3
ikari-no-roadshow	怒りのロードショー	四宮和	マクレーン	3
ikusaba-animation	戦場アニメーション	今野ユウキ	中田貴大	3
inko-to-asobou	インコとあそぼう	トオノヒロコ	アンソロジー	3
isekai-de-item-corrector	異世界でアイテムコレクター	kuhnandy;ルゥ1mm	今泉サルチェンコ;冬馬来彩;時野洋輔	3
isekai-eebii-satsueitai	異世界AV撮影隊	checchettomarco	ガチョン次郎	3
isekai-kaeri-no-eiyuu-iwaku	異世界帰りの英雄曰く	サクラ真呂;朝日曼耀	涼暮皐;窪茶	3
isekai-ni-shoukan-sarete-watashi-ga-kokuou-sonnano-muri-desu	異世界に召喚されて私が国王!?そんなのム	トイケ	キシバマユ;トガタガト	3
isekai-toubou-no-aibou-wa-koi-o-shiranai-ouji-sama	異世界逃亡の相棒は恋を知らない王子様	八神凪	アサミ青子	3
jikai-no-death-game-ni-gokitai-kudasai	次回のデスゲームにご期待ください!!	高野水登	perico	3
jikangai-dekiai-itashimasu-toshishita-hisho-kara-gokuama-ni-iyasareru	時間外、溺愛いたします	森田富士	モリフジ	3
jiken-wa-skirt-no-naka-de	事件はスカートの中で	カエデミノル	ズミ子	3
jinrou-game-beast-side	人狼ゲームビーストサイド	小ウドン	小独活;川上亮	3
joou-no-trunk	女王のトランク	中村ミネ	北森サイ	3
joshikai-quest	女子会QUEST	浅田圭	椎名聰	3
joushi-ga-gomu-o-kuwaetara	上司がゴムを咥えたら	椎名マウミ	蜜柑子	3
js-san-to-ol-chan	JSさんとOLちゃん	亘理肖悟	ユリカゴ	3
juusou-reijou-morenet	重装令嬢モアネット	guidiguido;小見川ナマリ	nishi;サキ;増田メグミ	3
kabuki-no-fudou	カブキの不動	奥谷通教;花乃軍	奥道則;観月昴	3
kabuto-no-hana	兜の花	(unknown)	由里華三夫	3
kagura-ga-yuku	神楽がゆく!	ケダマ柴	奥一	3
kahan-no-machi-no-seriinu	河畔の街のセリーヌ	三原シラユキ	日之下アカメ	3
kaibutsu-shoujo-wa-hatsukoi-no-yume-o-miruka	怪物少女は初恋の夢を見るか?	坂本遊也	在間リシン	3
kainushi-juujin-to-pet-joshikousei	飼い主獣人とペット女子高生	映画館	野干ツヅラ	3
kakemakumo-kashikoki	かけまくも畏き	burnscharles	悦若エツコ	3
kakkoii-sukiyaki	かっこいいスキヤキ	ネテル	泉昌之	3
kakushita-koi-no-owari-made	隠した恋の終わりまで	立川譲	ミノリ;ミノリpub2025	3
kame	かめ!	ナガイサワコ	六田登	3
kami-sama-damono	神様だもの	赤井里美	紗夢猫	3
kami-sama-ga-mitenai-kara	神様が見てないから	sadam	伊角香;麦野イヌ	3
kami-sama-no-joker	神様のジョーカー	夢花李	佐原ミズ;楠ミチハル	3
kamigatari	かみがたり	三日月シズカ	クセツキコ	3
kamisogi	神殺(かみそぎ)	仁乃	爾弥餡丸	3
kanojo-o-chara-make	カノジョをキャラメイク!	3rdie	シスイ青	3
kapukon-bishoujo-suit	カプコン美少女戦士	(unknown)	コミックゲーメスト編集部	3
karin-chan-wa-misetagari	カリンちゃんは魅せたがり	アサギ龍	守姫武士	3
katakoi-candy	片恋キャンディ	アトリエセントー	三月ユカ	3
katte-ni-hero-yattemasu	勝手にヒーローやってます。	マツダイオ	森永アグリ	3
kayou-koukyuu-no-hanayome	華耀後宮の花嫁	ヒラノリョウ;佐茂スケ	山崎里佳;深山キリ;藤野ポチョムキン	3
kaze-no-tani-no-naushika-1984	風の谷のナウシカ	(unknown)	宮崎駿	3
kazeoh	風霊王	厦門潤	アモイ潤	3
kegawa-to-nakami	けがわとなかみ	19歳	類家海	3
kenja-ga-nakama-ni-natta	賢者が仲間になった!	ササノユユスケ	アズ	3
kihei-senki	キヘイ戰記	金城宗幸	原田ケンタロー	3
kimi-ga-radio-o-suki-dakara	きみがラジオを好きだから	斉田エジワ	高橋ツバサ;髙橋ツバサ	3
kimi-ni-kisushitai	君にKissしたい	カヤマユミ	加山弓	3
kimi-ni-somareba	君に染まれば	石川オレオ	河井アポロ	3
kimi-ni-tsumugu-bouhaku	君に紡ぐ傍白	ナムル	矢坂シュウ	3
kimi-no-sumire	きみの春花	エムダ	有馬嵐	3
kimi-no-uso-sura-aishiteru	君の嘘すら愛してる	徳之ユイカ	如月アイ	3
kimi-o-daku-no-wa-shigoto-dakara	君を抱くのは仕事だから	ニヤマ	聖ユウカ	3
kimi-to-shiranai-natsu-ni-naru	君としらない夏になる	七緒一綺	キィヤン	3
kinirobachi-ni-mitsu	金色蜂に蜜	コン炉	キタハラリイ	3
kinjo-no-nanako-san	近所のななこさん	佐々木陽子	米白粕	3
kioku-no-kaibutsu	記憶の怪物	望月ウタ	mae	3
kirigiri-hotaru-no-kirai-na-tabemono	桐切蛍の嫌いな食べもの	神泉セイ	木綿八十子	3
kiss-shitai-tte-nedatte-miroyo	キスしたいってねだってみろよ	春巻トキコ	三月トモコ	3
knuckle-knuckle	ナックルナックル	ヨンチャン	山岸汰誠	3
kodomo-ni-natta-ore-o-tsuma-ga-mechakucha-medetekuru	子供になった俺を妻がめちゃくちゃ愛でてく	小手万里	次見ヤヲラ	3
kohitsuji-hokaku-keekaku	仔羊捕獲ケーカク!	ミナミ遥	南カズカ	3
koi-wa-doujinshi-yori-ki-nari	恋は同人誌より奇なり	日向キョウ	夏目アヤノ	3
koibito-wa-oni-no-hime	コイビトは鬼の姫	秦槙吾	佐保	3
koisuru-panty-stocking	恋するパンティストッキング	吉宗	ウシハシル	3
kokage-kun-wa-majo	木陰くんは魔女。	コユキ	小森羊仔	3
komatsubara-ga-koibito-ni-naritasou-ni-kochira-o-mite-iru	小松原が恋人になりたそうにこちらをみてい	昭時大紀	カワニシ萌	3
kono-gei-towa-tsukiaitakunai	このゲイとは付き合いたくない!!!	ゴジョウフミエ	モチギ	3
konyaku-haki-sareta-koushaku-reijou-wa-mori-ni-hikikomorimasu	婚約破棄された公爵令嬢は森に引き籠ります	ハレノチアメ	iyutani;春野コモモ;西山アラ	3
kore-dakara-geemuzukuri-wa-yamerarenai	これだからゲーム作りはやめられない!	芋畑サリー	タカシ♂	3
kore-kara-dandan-shiawase-ni-natte-iku-kowai-onna-joushi	これからだんだん幸せになっていく怖い女上	沢田竜治	矢野トシノリ	3
koroshiya-datte-mimamoritai	殺し屋だって見守りたい	遊痴庵	隈浪サエ	3
kouya-no-hanayome	荒野の花嫁	東冬	村山慶	3
kowamote-koukousei-to-jimiko-san	コワモテ高校生と地味子さん	梶原伊緒	九重ヤエ	3
kuchibeni	口紅	メェ田ノン	川端新;軍事法規研究会;軍事法規研究会(協力)	3
kujirahama-otoko-koukou-engee-bu	くじら浜男子高校えんげー部	生倉大福	サンカク	3
kuma-to-usagi-wa-tomodachi-dewa-irarenai	クマとウサギは友達ではいられない	漆赤	犬好晶	3
kurara-shake	くららシェイク	唯登詩樹	加藤雅基	3
kurogyaru-ni-natta-kara-shinyuu-to-yatte-mita	黒ギャルになったから親友とヤってみた。	星タ	織島ユポポ	3
kurone-san-wa-nyaa-to-nakanai	黒根さんはニャーと鳴かない	竹村優	乙川灯	3
kuroneko-kareshi-no-afurekata	クロネコ彼氏のあふれ方	右京アヤネ	左京亜也	3
kyou-no-suu	きょうのスー	峰島ナワコ	マツダユカ	3
kyoudai-brothers	兄弟-BROTHERS	成家慎一郎	成瀬芳貴	3
kyuuketsu-bar-e-youkoso	吸血バーへようこそ	小手万里	次見ヤヲラ	3
last-man	ラストマン	vivésbastien	バスティアンヴィヴェス;バラック	3
level-99-boukensha-ni-yoru-hajimete-no-ryouchi-keiei	レベル99冒険者によるはじめての領地経営	クジラ;水星	クロカワ;パクパク;藤崎	3
little-n-flippers	リトルエヌフリッパーズ	銀子	リトルエヌ	3
live-reboruto	ライブレボルト	ナモナキ	咲良ユキ;瀬島ハルキ	3
lost-stars	STAR WARS/ロスト・スターズ	白梅ナズナ	claudiagray;ルーカスフィ	3
love-gurimowaaru	恋愛グリモワール	吉山航平	イヌヤマリコ	3
