slug	title	detail
arasa-dakedo-hatsukoi-desu	アラサーだけど、初恋です。	310
asobi-ni-iku-yo	あそびにいくヨ!	888
deyuerunoouninaruotoko	遊☆戯☆王SEVENSルーク!爆裂覇道伝!!	あああ
dream-club-destiny	ドリームクラブdestiny	888
inou-battle-wa-nichijoukei-no-naka-de	異能バトルは日常系のなかで	029
isaku	139	139
kao-ni-dasenai-yoshizawa-kun	顔に出せない吉沢くん	310
koutei-no-kodomo-o-kakusu-houhou	皇帝の子供を隠す方法	26
kuma-kuma-kuma-bear	くまクマ熊ベアー	029
mobile-suit-gundam-yuushii-bandeshine	機動戦士ガンダムUCバンデシネ	な
shiganai-mobu-reijou-nanode-ouji-no-kyuukon-wa-mi-ni-amarimasu	しがないモブ令嬢なので、王子の求婚は身に余ります!	310
tantei-bose-21-kyuusan	探偵ボーズ21休さん	な
tsuru-no-ongaeshi-kenja-no-okurimono-hoka	つるのおん返し・けんじゃのおくり物ほか	な
yuu-gi-ou-5ds	遊・戯・王5D's	あああ
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	あああ
yuugiou-goorasshu	遊☆戯☆王ゴーラッシュ!!	あああ
yuugiou-ooshiijii-stories	遊☆戯☆王OCG(オフィシャルカードゲーム)STORIES	あああ
yuugiou-zearu	遊☆戯☆王ZEXAL	あああ
