slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
mierundesu	視えるんです。	standard	通常版	6	MID_GAP	v3(2012)→v4(2018)	2010-2022		8
mobile-suit-gundam-f90	Mobile suit gundam	standard	通常版	6	MID_GAP	v2(1980)→v11(1986)	1980-1986	ISBN無	3
mondai-sararii-man	問題サラリーMAN	standard	通常版	6	MID_GAP	v4(1994)→v5(2000)	1991-2000		6
motherfuckers	マザーファッカーズ	standard	通常版	6	OLD_FIRST	v2(2013)→v3(2022)	2007-2022		3
mysterian	ミステリアン	standard	通常版	6	OLD_FIRST	v1(1985)→v2(1991)	1985-1991	ISBN無	2
naniwa-doraihon	難波鉦異本	standard	通常版	6	MID_GAP	v2(2004)→v3(2010)	2003-2010		3
neko-de-kataru-kaii	猫で語る怪異	standard	通常版	6	MID_GAP	v2(2019)→v3(2025)	2017-2025		3
neko-youkai-gorogoro	ねこようかいゴロゴロ	standard	通常版	6	OLD_FIRST	v1(2018)→v9(2024)	2018-2026		4
neko-youkai-mugyutsu	ねこようかいムギュッ!	standard	通常版	6	OLD_FIRST	v1(2018)→v9(2024)	2018-2026		4
neko-youkai	ねこようかい	standard	通常版	6	OLD_FIRST	v1(2018)→v9(2024)	2018-2026		4
neo-faust	ネオ・ファウスト	standard	通常版	6	OLD_FIRST	v1(1989)→v2(1995)	1989-1995		2
nibelung-no-yubiwa	ニーベルングの指環	standard	通常版	6	OLD_FIRST	v1(1992)→v2(1998)	1992-2002		8
ninja-slayer	ニンジャスレイヤー	standard	通常版	6	MID_GAP	v14(2018)→v15(2024)	2013-2025		18
nobunaga-o-koroshita-otoko	信長を殺した男	standard	通常版	6	MID_GAP	v8(2020)→v9(2026)	2017-2026		9
nora-1993	のら	standard	通常版	6	OLD_FIRST	v1(1993)→v2(1999)	1993-1999	ISBN無	3
notari-matsutarou	のたり松太郎	standard	通常版	6	MID_GAP	v22(1986)→v23(1992)	1976-2000		36
numumo-san-to-nponu-kun	ぬむもさんとんぽぬくん	standard	通常版	6	MID_GAP	v2(2019)→v3(2025)	2017-2025		3
ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau	落ちこぼれ〈☆1〉魔法使いは、今日も	standard	通常版	6	MID_GAP	v5(2019)→v6(2025)	2021-2026		7
odenwa-omachishitemasu	お電話お待ちしてます	standard	通常版	6	OLD_FIRST	v1(1982)→v2(1988)	1982-1989		3
ol-shinkaron	OL進化論	bunkobon	文庫版	6	MID_GAP	v8(1995)→v9(2001)	1994-2002		16
onihei-hankachou	鬼平犯科帳	standard	通常版	6	MID_GAP	v6(1994)→v7(2000)	1999-2024		122
onna-no-hashorimichi	女のはしょり道	standard	通常版	6	OLD_FIRST	v1(2008)→v2(2014)	2008-2014		2
onnanoko-ga-suki	女の子が好き♥	standard	通常版	6	OLD_FIRST	v1(1995)→v2(2001)	1995-2001		2
ooi-yamabiko	オーイ!!やまびこ	standard	通常版	6	MID_GAP	v4(1990)→v5(1996)	1988-1990		7
ossu-tonko-chan	オッス!トン子ちゃん	standard	通常版	6	OLD_FIRST	v1(2003)→v2(2009)	2003-2009		3
ouke-no-monshou	王家の紋章	bunkobon	文庫版	6	MID_GAP	v25(2018)→v26(2024)	1996-2026		27
outo-monogatari	王都物語	standard	通常版	6	MID_GAP	v3(2005)→v4(2011)	2004-2011		4
oyaji-kairou-e-youkoso	オヤジ回廊へようこそ	standard	通常版	6	OLD_FIRST	v1(2003)→v2(2009)	2003-2009		2
pasara-chan	パサラちゃん	standard	通常版	6	OLD_FIRST	v1(2002)→v2(2008)	2002-2008		2
plastic-babies	プラスティック: ベイビイズ	standard	通常版	6	MID_GAP	v3(2005)→v4(2011)	2000-2011		5
pokkapoka	ぽっかぽか	standard	通常版	6	OLD_FIRST	v1(1996)→v4(2002)	1996-2011		19
professor-wa-yoru-mo-nemurezu	プロフェッサーは夜も眠れず	standard	通常版	6	MID_GAP	v2(1996)→v3(2002)	1993-2004		6
punch	Punch↑	standard	通常版	6	MID_GAP	v4(2011)→v5(2017)	2006-2021		7
rashanu	ラシャーヌ!	standard	通常版	6	MID_GAP	v6(1987)→v7(1993)	1979-1993	ISBN無	7
rat	RAT	standard	通常版	6	OLD_FIRST	v1(1985)→v2(1991)	1985-1991	ISBN無	2
real	リアル	standard	通常版	6	MID_GAP	v14(2014)→v15(2020)	2001-2026		17
renaidisutooshon	恋愛ディストーション	standard	通常版	6	MID_GAP	v5(2006)→v6(2012)	2000-2013		8
rikei-kun	理系クン	standard	通常版	6	MID_GAP	v2(2009)→v4(2015)	2008-2015		3
rozen-maiden	Rozen Maiden	standard	通常版	6	MID_GAP	v8(2007)→v9(2013)	2003-2014		10
ryuuken-densetsu	竜剣伝説	standard	通常版	6	MID_GAP	v2(1993)→v3(1999)	1991-1999		3
sairin-no-meshiya	再臨のメシヤ	standard	通常版	6	MID_GAP	v4(1997)→v5(2003)	1994-2003		5
saiyuu-youenden	西遊妖猿伝	standard	通常版	6	MID_GAP	v8(1989)→v9(1995)	1984-2000	ISBN無	16
sayonara-jitensha	サヨナラ自転車	standard	通常版	6	OLD_FIRST	v1(2016)→v3(2022)	2016-2022		2
sayonara-mini-skirt	さよならミニスカート	standard	通常版	6	MID_GAP	v2(2019)→v4(2025)	2018-2025		3
seibonjinden	聖凡人伝	standard	通常版	6	OLD_FIRST	v1(1978)→v2(1984)	1978-1984	ISBN無	7
seishun-hana-shinjuu	青春花心中	standard	通常版	6	OLD_FIRST	v1(2011)→v2(2017)	2011-2017		2
shanaou-yoshitsune	遮那王義経	standard	通常版	6	MID_GAP	v22(2007)→v23(2013)	2001-2013		24
shiin	死印	standard	通常版	6	OLD_FIRST	v1(2019)→v2(2025)	2019-2025		2
shin-jikenya-kagyou	新事件屋稼業	standard	通常版	6	MID_GAP	v2(1985)→v4(1991)	1983-1994		5
shinjuku-lucky-hole	新宿ラッキーホール	standard	通常版	6	OLD_FIRST	v1(2012)→v2(2018)	2012-2018		2
shinobi-no-kuni	忍びの国	standard	通常版	6	MID_GAP	v4(2011)→v5(2017)	2009-2017		5
shippo-ga-tomodachi	シッポがともだち	bunkobon	文庫版	6	OLD_FIRST	v2(1997)→v3(2003)	1997-2006		3
shounen-mahoushi	少年魔法士	standard	通常版	6	MID_GAP	v13(2005)→v14(2011)	1996-2017		19
shunka-torikaeshou	春華とりかえ抄	standard	通常版	6	MID_GAP	v2(2020)→v3(2026)	2019-2026		3
sono-keisatsukan-tokidoki-yajuu	その警察官、ときどき野獣!	standard	通常版	6	OLD_FIRST	v1(2020)→v2(2026)	2020-2025		10
sorejaa-yoshida-kun	それじゃあ吉田くん!	standard	通常版	6	MID_GAP	v2(2003)→v3(2009)	2003-2010		4
sougihime	葬儀姫	standard	通常版	6	MID_GAP	v2(2012)→v3(2018)	2012-2018		3
suikoden-2000	水滸伝	standard	通常版	6	OLD_FIRST	v1(2013)→v2(2019)	2013-2019		2
sword-art-online-phantom-bullet	ソードアート・オンライン ファントム	standard	通常版	6	MID_GAP	v3(2016)→v4(2022)	2014-2022		4
taberemasen	食べれません	standard	通常版	6	MID_GAP	v8(2000)→v9(2006)	1996-2013		14
takahashi-rumiko-gekijou	高橋留美子劇場	standard	通常版	6	MID_GAP	v2(2003)→v3(2009)	2003-2015		4
ten-no-hate-made	天の涯まで	bunkobon	文庫版	6	OLD_FIRST	v1(1993)→v2(1999)	1993-1993		3
terra-formars	テラフォーマーズ	standard	通常版	6	MID_GAP	v22(2018)→v23(2024)	2012-2024		23
tetsuwan-atom	鉄腕アトム	standard	通常版	6	MID_GAP	v20(1970)→v21(1976)	1955-1976	ISBN無	21
toaru-hi-no-kuru	とある日のクル	standard	通常版	6	OLD_FIRST	v1(2009)→v2(2015)	2009-2021		4
tobakushitachi	賭博師たち	standard	通常版	6	MID_GAP	v2(1973)→v3(1979)	1972-1979	ISBN無	3
tokyo-bakuhatsu-musume	東京爆発娘	standard	通常版	6	OLD_FIRST	v1(1992)→v2(1998)	1992-1998		2
tono-chan-no-shimashima-eburidi	TONOちゃんのしましまえぶりでぃ	standard	通常版	6	MID_GAP	v2(2008)→v3(2014)	2005-2023		5
totoaruhi-no-kuru	ととある日のクル	standard	通常版	6	OLD_FIRST	v1(2009)→v2(2015)	2009-2021		4
toukyouto-kitaku-akabane	東京都北区赤羽	standard	通常版	6	MID_GAP	v2(2009)→v3(2015)	2009-2015		4
tsurikichi-sanpei	釣りキチ三平	other	KCスペシャル	6	MID_GAP	v37(1987)→v38(1993)	1985-1993		39
uchuu-senkan-yamato-2199	宇宙戦艦ヤマト2199	standard	通常版	6	MID_GAP	v8(2016)→v9(2022)	2012-2022		9
ultra-seven-1978	ウルトラセブン	standard	通常版	6	OLD_FIRST	v1(1998)→v3(2004)	1998-1978		4
unkai-no-tabibito	雲界の旅人	standard	通常版	6	OLD_FIRST	v1(1989)→v2(1995)	1989-1995		2
uwanosora-chuutoriaru	うわの空チュートリアル	standard	通常版	6	OLD_FIRST	v1(2008)→v4(2014)	2008-2014		2
waga-seishun-no-arcadia	わが青春のアルカディア	standard	通常版	6	OLD_FIRST	v1(1976)→v3(1982)	1976-1982	ISBN無	2
worst-komuro-1970	ワースト	standard	通常版	6	MID_GAP	v2(1971)→v3(1977)	1970-1977	ISBN無	4
yasha-kisouden	夜叉鬼想伝	standard	通常版	6	MID_GAP	v3(1994)→v4(2000)	1991-2002		6
yuki-no-taiyou	ユキの太陽	standard	通常版	6	MID_GAP	v2(1963)→v3(1969)	1969-1969	ISBN無	4
yume-genji-tsurugi-no-saimon	夢源氏剣祭文	standard	通常版	6	OLD_FIRST	v1(2008)→v2(2014)	2008-2014		2
yuurei-tanteidan	幽霊探偵団	standard	通常版	6	MID_GAP	v2(1989)→v3(1995)	1988-1995	ISBN無	4
zansatsusha	斬殺者	standard	通常版	6	MID_GAP	v2(1973)→v3(1979)	1974-1979	ISBN無	6
zettai-ni-hatarakitakunai-dungeon-master-ga-damin-o-musaboru-made	絶対に働きたくないダンジョンマスター	standard	通常版	6	MID_GAP	v11(2019)→v12(2025)	2019-2026		13
21-seiki-tantei-jimusho	21世紀探偵事務所	standard	通常版	5	MID_GAP	v2(1993)→v3(1998)	1993-2000		5
2200nen-neko-no-2200	2200年ねこの国ニッポン	standard	通常版	5	OLD_FIRST	v1(2020)→v2(2025)	2020-2025		3
again	アゲイン	standard	通常版	5	OLD_FIRST	v1(1967)→v2(1972)	1967-1972	ISBN無	6
ai-no-arashi	愛のあらし	standard	通常版	5	OLD_FIRST	v1(1976)→v2(1981)	1976-1981		2
akabee	赤兵衛	standard	通常版	5	OLD_FIRST	v1(1974)→v2(1979)	1974-1979	ISBN無	2
alcohol	アルコール	standard	通常版	5	OLD_FIRST	v1(2001)→v2(2006)	2001-2009		3
anata-ni-honoji	あなたにホの字	standard	通常版	5	MID_GAP	v6(1992)→v8(1997)	1989-2002		11
anata-o-korosu-tabi	あなたを殺す旅	standard	通常版	5	OLD_FIRST	v1(2020)→v3(2025)	2020-2025		2
android-wa-ai-no-yume-o-miruka	アンドロイドは愛の夢をみるか?	standard	通常版	5	MID_GAP	v3(2020)→v4(2025)	2018-2025		4
ashita-kimi-to-koi-o-shiru	あした、君と恋を知る	standard	通常版	5	OLD_FIRST	v1(2021)→v3(2026)	2021-2026		2
asura	アシュラ	standard	通常版	5	OLD_FIRST	v1(1972)→v2(1977)	1972-1972	ISBN無	3
atarashii-game-hajimemashita-comic	新しいゲーム始めました。@COMIC	standard	通常版	5	MID_GAP	v2(2021)→v3(2026)	2019-2026		3
atsuatsu-fuufuu	あつあつふーふー	standard	通常版	5	MID_GAP	v2(2015)→v3(2020)	2013-2020		3
aurora-housoukyoku	オーロラ放送局	standard	通常版	5	OLD_FIRST	v1(1993)→v2(1998)	1993-1993		3
aventura	Aventura	standard	通常版	5	MID_GAP	v5(2010)→v6(2015)	2006-2015		6
babel	BABEL	standard	通常版	5	MID_GAP	v5(2015)→v6(2020)	2012-2021		10
banana-hime-onari	ばなな姫お成り!	standard	通常版	5	MID_GAP	v2(1995)→v3(2000)	1994-2000		3
bar-lemon-heart-2014	BARレモン・ハート	standard	通常版	5	MID_GAP	v18(2002)→v23(2007)	1986-2013		16
barakamon	ばらかもん	standard	通常版	5	MID_GAP	v18(2018)→v19(2023)	2009-2023		19
baromu-1	バロム・1	standard	通常版	5	OLD_FIRST	v1(1998)→v2(2003)	1998-1998		3
beeshitsu-kun	べーしっ君	standard	通常版	5	OLD_FIRST	v1(1987)→v2(1992)	1987-1992	ISBN無	3
bkyuu-gourmet-club	B級グルメ倶楽部	standard	通常版	5	MID_GAP	v4(2011)→v5(2016)	2003-2016		5
black-lagoon	BLACK LAGOON	standard	通常版	5	MID_GAP	v9(2009)→v10(2014)	2003-2023		13
blangel	BLANGEL	standard	通常版	5	OLD_FIRST	v1(2007)→v2(2012)	2007-2012		2
blue-moment	BLUE MOMENT	standard	通常版	5	OLD_FIRST	v1(2019)→v3(2024)	2019-2024		3
blue-zone	ブルーゾーン	standard	通常版	5	MID_GAP	v2(1971)→v3(1976)	1971-1976	ISBN無	3
bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia	ぼっち博士とロボット少女の絶望的ユー	standard	通常版	5	MID_GAP	v2(2018)→v3(2023)	2017-2023		3
bolt-and-nut	ボルト＆ナット	standard	通常版	5	OLD_FIRST	v1(1999)→v2(2004)	1999-2010		16
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	standard	通常版	5	MID_GAP	v3(2013)→v13(2018)	2012-2019		7
bouei-mantama-nikki	防衛漫玉日記	standard	通常版	5	OLD_FIRST	v1(1996)→v2(2001)	1996-2001		2
bremen-5	ブレーメン5	standard	通常版	5	MID_GAP	v4(1984)→v5(1989)	1982-1989		6
bukkira-ni-yoroshiku	ブッキラによろしく!	standard	通常版	5	OLD_FIRST	v1(1985)→v2(1990)	1985-1990		2
canon-1995	CANON	standard	通常版	5	MID_GAP	v4(1996)→v8(2001)	1995-2001		5
chaos-damonne	カオスだもんね!	standard	通常版	5	OLD_FIRST	v1(1994)→v4(1999)	1994-2009		18
chicchai-nurse	ちっちゃいナース	standard	通常版	5	OLD_FIRST	v1(2006)→v3(2011)	2006-2011		2
chiyochiyo	ちよちよ	standard	通常版	5	MID_GAP	v5(2012)→v6(2017)	2008-2017		6
choukou-sennin-haruka	超昂閃忍ハルカ	standard	通常版	5	OLD_FIRST	v1(2009)→v2(2014)	2009-2016		4
clamp-premium-collection-clamp-gakuen-tanteidan	CLAMP PREMIUM COLL	standard	あすかコミックスDX（1992–1997）	5	OLD_FIRST	v1(1992)→v2(1997)	1992-1997		2
coji-coji	COJI‐COJI	standard	通常版	5	MID_GAP	v3(1997)→v4(2002)	1995-2002		4
comic-higashino-keigo-mystery	コミック東野圭吾ミステリー	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2019		2
condor-king	コンドル・キング	standard	通常版	5	MID_GAP	v3(1990)→v4(1995)	1990-1998	ISBN無	6
crew-de-gozaimasu	CREWでございます!	standard	通常版	5	OLD_FIRST	v1(2016)→v4(2021)	2016-2021		2
crimson-spell	クリムゾン・スペル	standard	通常版	5	MID_GAP	v5(2013)→v6(2018)	2007-2021		7
cross-1997	十字	standard	通常版	5	OLD_FIRST	v1(1993)→v2(1998)	1993-2001	ISBN無	5
dandy-to-watashi	ダンディーとわたし	standard	通常版	5	MID_GAP	v6(1990)→v7(1995)	1988-1996		9
dark-alice	DARK ALICE	standard	通常版	5	OLD_FIRST	v1(2016)→v2(2021)	2016-2021		2
deadlock	Deadlock	standard	通常版	5	MID_GAP	v2(2015)→v3(2020)	2012-2020		4
deadpool-samurai-sano-2021	デッドプール:SAMURAI	standard	通常版	5	MID_GAP	v2(2021)→v4(2026)	2021-2026		3
death-rocker	DEATH ROCKER	standard	通常版	5	OLD_FIRST	v1(1993)→v2(1998)	1993-1998		2
dekirukana	できるかな	standard	通常版	5	OLD_FIRST	v1(1998)→v3(2003)	1998-2007		3
doro-no-onnatsuushin	泥の女通信	standard	通常版	5	OLD_FIRST	v1(2019)→v2(2024)	2019-2024		2
doubutsu-no-mori	どうぶつの森	standard	通常版	5	MID_GAP	v8(2011)→v12(2016)	2005-2016		9
drifters	ドリフターズ	standard	通常版	5	MID_GAP	v6(2018)→v7(2023)	2010-2023		7
eigyou-nikatsu	営業二課っ!	standard	通常版	5	OLD_FIRST	v1(2015)→v2(2020)	2015-2020		2
exit	EXIT	standard	通常版	5	MID_GAP	v3(1993)→v4(1998)	1990-2008		11
fire-emblem-fuyuki-1999	ファイアーエムブレム	standard	通常版	5	OLD_FIRST	v1(1994)→v2(1999)	1994-2001		5
five	ファイブ	standard	通常版	5	OLD_FIRST	v1(2000)→v2(2005)	2000-2011		15
fragments	フラグメンツ	standard	通常版	5	MID_GAP	v3(1998)→v4(2003)	1997-2003		4
full-moon-ni-sasayaite	Full moonにささやいて	standard	通常版	5	OLD_FIRST	v1(1993)→v2(1998)	1993-1998		2
fullmetal-alchemist	Fullmetal alchemis	standard	通常版	5	MID_GAP	v2(2006)→v3(2011)	2004-2011		3
fushigina-shounen	不思議な少年	standard	通常版	5	MID_GAP	v8(2009)→v9(2014)	2001-2014		9
game-in-high-school	GAME-inハイスクール-	standard	通常版	5	OLD_FIRST	v1(2021)→v2(2026)	2021-2026		2
game-suit-no-sukima	GAME-スーツの隙間-	standard	通常版	5	MID_GAP	v5(2021)→v6(2026)	2016-2026		6
garigari-kun	ガリガリ君	standard	通常版	5	OLD_FIRST	v1(2008)→v2(2013)	2008-2016		4
gengetsurou-ki-tan	幻月楼奇譚	standard	通常版	5	MID_GAP	v4(2013)→v5(2018)	2004-2022		6
genshiken	げんしけん	standard	通常版	5	MID_GAP	v9(2006)→v10(2011)	2002-2016		21
gomiyashiki-to-toipuudoru-to-watashi	ゴミ屋敷とトイプードルと私	standard	通常版	5	OLD_FIRST	v1(2019)→v4(2024)	2019-2024		2
hajimete-no-kedamono	はじめてのケダモノ	standard	通常版	5	MID_GAP	v10(2018)→v11(2023)	2013-2024		13
hakanage	はかなげ。	standard	通常版	5	OLD_FIRST	v1(2018)→v2(2023)	2018-2023		2
harukaze-no-tranger	春風のエトランゼ	standard	通常版	5	MID_GAP	v3(2017)→v5(2022)	2015-2025		6
hebi	蛇	standard	通常版	5	OLD_FIRST	v1(1998)→v2(2003)	1998-2003		2
hello-morning-star	ハローモーニングスター	deluxe	デラックス版	5	OLD_FIRST	v1(2018)→v3(2023)	2018-2023		3
hidamari-ga-kikoeru	ひだまりが聴こえる	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2020		3
higashino-keigo-mystery	東野圭吾ミステリー	standard	通常版	5	OLD_FIRST	v1(2007)→v2(2012)	2007-2012		2
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	standard	通常版	5	OLD_FIRST	v1(2019)→v6(2024)	2019-2024		2
historie	ヒストリエ	standard	通常版	5	MID_GAP	v11(2019)→v12(2024)	2004-2024		12
hitsugikatsugi-no-kuro	棺担ぎのクロ。	standard	通常版	5	MID_GAP	v2(2007)→v3(2012)	2006-2018		7
honda-kanoko-no-hondana	本田鹿の子の本棚	standard	通常版	5	MID_GAP	v2(2021)→v46(2026)	2017-2026		3
houkago-shounen-hanako-kun	放課後少年花子くん	standard	通常版	5	OLD_FIRST	v1(2019)→v2(2024)	2019-2024		2
i-tan-bunsho	異端文書	standard	通常版	5	OLD_FIRST	v1(2001)→v2(2006)	2001-2006		2
ichigo-jidai	いちご時代	standard	通常版	5	OLD_FIRST	v1(1980)→v2(1985)	1980-1986	ISBN無	3
ichiman-jiyuubiyou-monogatari	一万十秒物語	standard	通常版	5	OLD_FIRST	v1(1978)→v2(1983)	1978-1985	ISBN無	3
iisutoken	いーすとけん。	standard	通常版	5	MID_GAP	v2(2019)→v4(2024)	2018-2024		4
ikujinashi-nikki-vs-ikujisare-nikki	育児なし日記vs育児され日記	standard	通常版	5	OLD_FIRST	v1(2008)→v2(2013)	2008-2013		2
is-2010	IS	standard	通常版	5	MID_GAP	v5(2012)→v6(2017)	2010-2017		6
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良	standard	通常版	5	OLD_FIRST	v4(2018)→v5(2025)	2018-2025		5
izu-bungou-manga-yadochou	伊豆・文豪漫画宿帳	standard	通常版	5	MID_GAP	v3(2012)→v4(2017)	2010-2017		4
japash	ジャパッシュ	standard	通常版	5	MID_GAP	v2(1972)→v3(1977)	1972-1977	ISBN無	3
jikken-chiku-13	実験地区13	standard	通常版	5	MID_GAP	v2(2021)→v3(2026)	2021-2026		4
jikken-doll-dummy-oscar	実験人形ダミー・オスカー	standard	通常版	5	MID_GAP	v14(1984)→v15(1989)	1978-1991	ISBN無	19
jiro-ga-yuku	ジロがゆく	standard	通常版	5	MID_GAP	v2(1971)→v3(1976)	1971-1976	ISBN無	3
joker	JOKER	bunkobon	文庫版	5	MID_GAP	v3(1999)→v4(2004)	1998-2008		5
junkin-no-douwa	純金の童話	standard	通常版	5	OLD_FIRST	v1(1994)→v2(1999)	1994-1999		2
juuhime	銃姫	standard	通常版	5	MID_GAP	v4(2008)→v5(2013)	2006-2014		6
kaasa-no-nekomura-san	カーサの猫村さん	standard	通常版	5	MID_GAP	v2(2011)→v3(2016)	2010-2024		7
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	standard	通常版	5	MID_GAP	v5(2016)→v11(2021)	2013-2021		6
kami-sama-nanka-shinjinai-bokura-no-eden	神様なんか信じない僕らのエデン	deluxe	デラックス版	5	MID_GAP	v3(2021)→v4(2026)	2021-2026		4
kanojochuu	彼女中	standard	通常版	5	OLD_FIRST	v1(2017)→v2(2022)	2017-2022		2
karada-wa-kodomo-nakami-wa-otsu-san-no-nariagari-boukenki	身体は児童(こども)、中身はおっさん	standard	通常版	5	OLD_FIRST	v1(2020)→v2(2025)	2020-2025		2
karappo-dance-r	からっぽダンスR	standard	通常版	5	OLD_FIRST	v1(2018)→v2(2023)	2018-2023		2
karate-baka-ichidai-1972	空手バカ一代	deluxe	デラックス版	5	MID_GAP	v6(1990)→v7(1995)	1989-1995	ISBN無	11
katsura-masakazu-collection	桂正和コレクション	standard	通常版	5	OLD_FIRST	v1(1984)→v2(1989)	1984-1989		2
kazoku-no-shokutaku	家族の食卓	standard	通常版	5	MID_GAP	v2(1993)→v3(1998)	1991-1998		3
kemono-sama-ha-ongaeshi-de-harama-setai	獣様は恩返しで孕ませたい	standard	通常版	5	OLD_FIRST	v1(2018)→v2(2023)	2018-2023		2
kenja-no-deshi-o-nanoru-kenja	賢者の弟子を名乗る賢者	standard	通常版	5	MID_GAP	v13(2020)→v14(2025)	2017-2026		15
kenjuutenshi	拳銃天使	standard	通常版	5	OLD_FIRST	v1(1949)→v2(1954)	1949-1954	ISBN無	3
king-abyss	キングアビス	standard	通常版	5	OLD_FIRST	v1(2009)→v3(2014)	2009-2014		2
kishibe-rohan-wa-ugokanai	岸辺露伴は動かない	standard	通常版	5	OLD_FIRST	v2(2018)→v3(2025)	2013-2025		3
kochira-katsushikaku-kameari-kouenmae-hashutsujo	こちら葛飾区亀有公園前派出所	standard	通常版	5	MID_GAP	v200(2016)→v201(2021)	1977-2021	ISBN無	201
koisuiren	恋水蓮	standard	通常版	5	MID_GAP	v4(2002)→v5(2007)	1997-2007		5
kokomame-chan	ゝゝこまめちゃん	standard	通常版	5	OLD_FIRST	v1(1980)→v2(1985)	1980-1989	ISBN無	3
kugutsu-takahashi-1999	傀儡	standard	通常版	5	OLD_FIRST	v1(1999)→v2(2004)	1999-2004		3
kurayami-douwashuu	暗闇童話集	standard	通常版	5	OLD_FIRST	v1(1988)→v2(1993)	1988-1993		2
kurumi-no-naka	胡桃の中	standard	通常版	5	OLD_FIRST	v3(2010)→v4(2022)	2002-2022		4
kuuberuchuuru	クーベルチュール	standard	通常版	5	OLD_FIRST	v1(2009)→v2(2014)	2009-2014		2
kuusou-kagaku-taisen	空想科学大戦	bunkobon	文庫版	5	MID_GAP	v3(2004)→v4(2009)	2003-2009		4
kuutei-kaikosareta-toshi	空挺懐古都市	standard	通常版	5	MID_GAP	v3(2014)→v4(2019)	2011-2019		4
kyomusume	巨娘	standard	通常版	5	OLD_FIRST	v1(2007)→v2(2012)	2007-2018		5
kyoukai-meikyuu-to-ikai-no-majutsushi	境界迷宮と異界の魔術師	standard	通常版	5	MID_GAP	v13(2020)→v14(2025)	2019-2025		15
lady-q	レディーQ	standard	通常版	5	OLD_FIRST	v1(1997)→v2(2002)	1997-2002		4
lemon-angel	レモンエンジェル	standard	通常版	5	MID_GAP	v5(1989)→v6(1994)	1988-1990		10
lion-books	ライオンブックス	standard	通常版	5	MID_GAP	v4(1973)→v5(1978)	1973-1983	ISBN無	7
love-control	恋愛操作	standard	通常版	5	MID_GAP	v3(2010)→v4(2015)	2006-2026		9
love-me-tender	ラヴミーテンダー	standard	通常版	5	MID_GAP	v5(2008)→v7(2013)	2002-2014		7
love	LOVE	standard	通常版	5	OLD_FIRST	v1(1989)→v2(1994)	1989-1999		30
ludwig-b	ルードウィヒ・B	standard	通常版	5	OLD_FIRST	v1(1989)→v2(1994)	1989-1994		2
magia-record-2025	マギアレコード	standard	通常版	5	MID_GAP	v3(2020)→v11(2025)	2019-2025		5
mahouka-koukou-no-rettousei-2012	魔法科高校の劣等生	standard	通常版	5	MID_GAP	v4(2013)→v5(2018)	2012-2024		8
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	standard	通常版	5	MID_GAP	v7(2019)→v8(2024)	2020-2024		7
mahouka-koukou-no-rettousei	魔法科高校の劣等生	standard	通常版	5	MID_GAP	v7(2019)→v8(2024)	2019-2024		8
makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	standard	通常版	5	MID_GAP	v2(1996)→v3(2001)	1995-2001		3
manga-de-yomu-kojiki	まんがで読む古事記	standard	通常版	5	MID_GAP	v6(2014)→v7(2019)	2009-2019		7
mangamichi	まんが道	standard	通常版	5	MID_GAP	v9(1980)→v10(1985)	1978-1986	ISBN無	23
mato	魔都	standard	通常版	5	OLD_FIRST	v1(2004)→v3(2009)	2004-2009		2
matsumoto-purittsu-no-fuufu-manzai-tabi-tokidoki-3-shimai	松本ぷりっつの夫婦漫才旅ときどき3姉	standard	通常版	5	MID_GAP	v2(2020)→v3(2025)	2019-2026		4
mazin-saga	マジン・サーガ	standard	通常版	5	MID_GAP	v3(1992)→v4(1997)	1991-1998	ISBN無	6
megumix	メグミックス	standard	通常版	5	OLD_FIRST	v1(2002)→v2(2007)	2002-2007		2
meguro-to-akino-wa-kizukanai	目黒と秋野は気づかない	standard	通常版	5	OLD_FIRST	v1(2019)→v2(2024)	2019-2024		2
mikosuri-gekijou	みこすり半劇場	standard	通常版	5	MID_GAP	v14(1997)→v18(2002)	1988-2002		15
mimi-o-sumaseba	耳をすませば	standard	通常版	5	OLD_FIRST	v1(1990)→v2(1995)	1990-1995		4
miotsukushi	澪つくし	deluxe	デラックス版	5	MID_GAP	v2(2020)→v3(2025)	2017-2025		3
mitsu-to-doku	蜜と毒	standard	通常版	5	MID_GAP	v2(2019)→v3(2024)	2019-2024		4
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	standard	通常版	5	MID_GAP	v66(2013)→v67(2018)	2013-2018		103
nanawo-chiitoitsu	ナナヲチートイツ	standard	通常版	5	MID_GAP	v3(2013)→v4(2018)	2011-2018		4
nande-koko-ni-sensei-ga	なんでここに先生が!?	standard	通常版	5	MID_GAP	v11(2020)→v12(2025)	2017-2025		12
