slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
goshujin-sama-no-oshioki	ご主人様のおしおき?	standard	通常版	7	OLD_FIRST	v1(2011)→v3(2018)	2011-2018		2
hanako-lavatory	ハナコ@ラバトリー	standard	通常版	7	MID_GAP	v2(2012)→v3(2019)	2011-2019		3
happy-people	ハッピーピープル	standard	通常版	7	MID_GAP	v8(1991)→v9(1998)	1984-1995		12
hatsuetchi-no-oaite-wa-masaka-no-houtaiotoko	初エッチのお相手は…まさかの包帯男!	standard	通常版	7	MID_GAP	v2(2017)→v3(2024)	2017-2024		3
heart	HEART	standard	通常版	7	OLD_FIRST	v1(1994)→v2(2001)	1994-2003		10
helck	ヘルク	standard	通常版	7	MID_GAP	v4(2015)→v5(2022)	2014-2023		12
hello-harinezumi	ハロー張りネズミ	standard	通常版	7	MID_GAP	v22(1989)→v24(1996)	1981-1996	ISBN無	24
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	standard	通常版	7	MID_GAP	v50(2011)→v61(2018)	1981-2026		53
honoo-no-fudedama	炎の筆魂	standard	通常版	7	MID_GAP	v2(1998)→v3(2005)	1997-2005		3
i-ueo-boy	I・餓男	standard	通常版	7	MID_GAP	v7(1985)→v8(1992)	1973-1992	ISBN無	9
isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良	standard	通常版	7	MID_GAP	v4(2018)→v5(2025)	2022-2025		5
itsudemo-otenki-kibun	いつでもお天気気分	standard	通常版	7	MID_GAP	v2(1997)→v3(2004)	1994-2014		7
juujimichi	十字道	standard	通常版	7	OLD_FIRST	v1(2010)→v2(2017)	2010-2018		7
kage-kara-mamoru	陰からマモル!	standard	通常版	7	MID_GAP	v7(2015)→v8(2022)	2007-2022		8
kagemusha-tokugawa-ieyasu	影武者徳川家康	standard	通常版	7	MID_GAP	v6(1995)→v7(2002)	1994-2002		7
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	standard	通常版	7	MID_GAP	v3(2014)→v11(2021)	2014-2021		3
kamurobamura-e	かむろば村へ	standard	通常版	7	OLD_FIRST	v1(2007)→v2(2014)	2007-2009		4
kare-no-1ban-1-naru-houhou	彼の1番になる方法	standard	通常版	7	MID_GAP	v2(2011)→v3(2018)	2010-2018		3
kariage-kun	かりあげクン	standard	通常版	7	MID_GAP	v50(2011)→v61(2018)	1981-2026		53
karubania-monogatari	カルバニア物語	standard	通常版	7	MID_GAP	v7(2002)→v9(2009)	1995-2025		21
kaze-no-tani-no-naushika	風の谷のナウシカ	standard	通常版	7	MID_GAP	v4(1984)→v5(1991)	1984-1995		7
kimi-to-boku	君と僕。	standard	通常版	7	MID_GAP	v15(2015)→v16(2022)	2005-2022		17
kindaichi-shounen-no-file	金田一少年の事件簿	bunkobon	文庫版	7	MID_GAP	v26(2005)→v27(2012)	2004-2014		34
kinpeibai-watanabe-1995	金瓶梅	bunkobon	文庫版	7	MID_GAP	v6(2003)→v7(2010)	2000-2011		11
kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	通常版	7	OLD_FIRST	v1(2000)→v8(2007)	2000-2007		2
koisuru-minzoku-gakusha	恋する民俗学者	standard	通常版	7	OLD_FIRST	v1(2014)→v2(2021)	2014-2021		2
kujibiki-tokushou-musou-haaremuken	くじ引き特賞:無双ハーレム権	standard	通常版	7	MID_GAP	v10(2018)→v11(2025)	2019-2025		12
kuuki-no-soko	空気の底	standard	通常版	7	OLD_FIRST	v1(1971)→v2(1978)	1971-1972	ISBN無	3
kyokutou-tengoku	極東天国!	standard	通常版	7	OLD_FIRST	v1(1992)→v2(1999)	1992-1999	ISBN無	2
kyou-no-nekomura-san	きょうの猫村さん	standard	通常版	7	MID_GAP	v9(2016)→v10(2023)	2005-2025		11
lightning-brigade	ライトニング・ブリゲイド	standard	通常版	7	OLD_FIRST	v1(1994)→v3(2001)	1994-2001		2
lycanthrope-bouken-hoken	ライカンスロープ冒険保険	standard	通常版	7	MID_GAP	v3(2018)→v4(2025)	2017-2025		4
majimoji-rurumo	まじもじるるも	standard	通常版	7	MID_GAP	v7(2011)→v8(2018)	2008-2019		9
mononoke	モノノ怪	standard	通常版	7	MID_GAP	v2(2008)→v3(2015)	2008-2015		3
mune-ga-naru-noha-kimi-no-sei	胸が鳴るのは君のせい	standard	通常版	7	MID_GAP	v5(2014)→v6(2021)	2013-2021		6
naniwa-tomoare	ナニワトモアレ	standard	通常版	7	MID_GAP	v28(2007)→v29(2014)	2000-2014		31
nekomekozou	猫目小僧	standard	通常版	7	MID_GAP	v2(1969)→v3(1976)	1969-1977	ISBN無	5
nichijou	日常	standard	通常版	7	MID_GAP	v10(2015)→v11(2022)	2007-2022		11
nirameba-koi	睨めば恋	standard	通常版	7	MID_GAP	v2(2014)→v3(2021)	2013-2022		4
okama-hakusho	おカマ白書	standard	通常版	7	MID_GAP	v2(1990)→v3(1997)	1990-1997		5
omorai-kun	オモライくん	standard	通常版	7	MID_GAP	v2(1973)→v3(1980)	1973-1980	ISBN無	3
ore-no-onnatachi	俺の女たち	standard	通常版	7	OLD_FIRST	v1(1982)→v2(1989)	1982-1989	ISBN無	2
osaka-hamlet	大阪ハムレット	standard	通常版	7	MID_GAP	v4(2010)→v5(2017)	2006-2017		5
otokogi	男樹	standard	通常版	7	MID_GAP	v3(1980)→v4(1987)	1980-1988		6
ouchi-ga-ichiban	おうちがいちばん	standard	通常版	7	OLD_FIRST	v1(2005)→v2(2012)	2005-2013		7
pairazada	パイラザーダ	standard	通常版	7	MID_GAP	v2(1985)→v3(1992)	1984-1992	ISBN無	3
rasenjikake-no-umi	螺旋じかけの海	standard	通常版	7	MID_GAP	v2(2016)→v3(2023)	2015-2023		5
sabaku-ni-fuku-kaze	砂漠に吹く風	standard	通常版	7	OLD_FIRST	v1(1996)→v2(2003)	1996-2003		2
saihate-no-diasuta	最果てのディアスタ	standard	通常版	7	MID_GAP	v2(2010)→v3(2017)	2010-2017		3
sarura	沙流羅	deluxe	デラックス版	7	MID_GAP	v4(1997)→v5(2004)	1990-2004		5
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	standard	通常版	7	MID_GAP	v13(2018)→v14(2025)	2017-2026		15
sheerlore	シアロア	standard	通常版	7	OLD_FIRST	v1(2012)→v2(2019)	2012-2020		3
shimogari-hanjirou	下苅り半次郎	standard	通常版	7	OLD_FIRST	v1(1977)→v2(1984)	1977-1985		7
shinpan-himitsu-tantei-jieiei	秘密探偵JA	standard	通常版	7	MID_GAP	v7(1969)→v8(1976)	1972-1974	ISBN無	15
shiroi-pilot	白いパイロット	standard	通常版	7	OLD_FIRST	v1(1962)→v2(1969)	1962-1963	ISBN無	3
shoujo-shounen-gakkyuudan	少女少年学級団	standard	通常版	7	MID_GAP	v7(2011)→v8(2018)	2008-2018		9
shounen-giants	少年ジャイアンツ	standard	通常版	7	MID_GAP	v2(1968)→v3(1975)	1968-1975	ISBN無	3
shounen-shinkaron	少年進化論	standard	通常版	7	OLD_FIRST	v1(1998)→v2(2005)	1998-2008		7
sodatte-darling	育ってダーリン!!	standard	通常版	7	OLD_FIRST	v1(1995)→v2(2002)	1995-2002		2
sodomu	そどむ	standard	通常版	7	MID_GAP	v2(2000)→v3(2007)	2000-2007		3
suzushiro-nikki	すゞしろ日記	standard	通常版	7	MID_GAP	v3(2018)→v4(2025)	2009-2025		4
sweet-wheels	SWEET WHEELS	standard	通常版	7	OLD_FIRST	v1(1991)→v3(1998)	1991-1998		2
tableau-gate	タブロウ・ゲート	standard	通常版	7	MID_GAP	v2(2001)→v3(2008)	2001-2022		26
taiheiki	太平記	standard	通常版	7	OLD_FIRST	v1(1983)→v2(1990)	1983-1991	ISBN無	6
tedaremonra	てだれもんら	standard	通常版	7	OLD_FIRST	v1(2019)→v3(2026)	2019-2026		2
tenshi	天使	standard	通常版	7	OLD_FIRST	v1(1999)→v2(2006)	1999-2006		2
tetsuwan-birdy	鉄腕バーディー	standard	通常版	7	MID_GAP	v2(1997)→v3(2004)	1996-2008		20
the-cockpit	ザ・コクピット	standard	通常版	7	OLD_FIRST	v1(1983)→v2(1990)	1983-1990		5
the-cop	ザ・コップ	standard	通常版	7	MID_GAP	v2(1975)→v3(1982)	1975-1983	ISBN無	7
tokyo-myuumyuu	東京ミュウミュウ	deluxe	デラックス版	7	MID_GAP	v7(2015)→v8(2022)	2015-2022		10
wild-life	WILD LIFE	standard	通常版	7	MID_GAP	v23(2000)→v24(2007)	2003-2008		27
winning-shot-1996	ウイニング・ショット	standard	通常版	7	OLD_FIRST	v1(1990)→v2(1997)	1990-1997	ISBN無	2
yamada-tarou-monogatari	山田太郎ものがたり	standard	通常版	7	MID_GAP	v14(2000)→v15(2007)	1996-2007		15
yami-kagishi	闇鍵師	standard	通常版	7	MID_GAP	v2(2006)→v3(2013)	2005-2013	ISBN無	3
yami-no-rappa	ヤミの乱破	standard	通常版	7	MID_GAP	v2(2005)→v3(2012)	2005-2014		4
yesterdays-2008	YESTERDAYS	aizoban	愛蔵版	7	OLD_FIRST	v1(2008)→v2(2015)	2008-2015		2
yume-hotel	夢ホテル	standard	通常版	7	MID_GAP	v6(1995)→v8(2002)	1993-2002		9
yuriyuri	ゆりゆり	standard	通常版	7	OLD_FIRST	v1(2012)→v2(2019)	2012-2019		2
zouroku-no-kibyou	蔵六の奇病	standard	通常版	7	MID_GAP	v3(1979)→v4(1986)	1979-1986	ISBN無	6
21-emon	21エモン	standard	通常版	6	MID_GAP	v3(1972)→v4(1978)	1971-1984	ISBN無	5
abe-seimei	安倍晴明	standard	通常版	6	OLD_FIRST	v1(2001)→v2(2007)	2001-2007		3
after-0	アフター0	standard	通常版	6	MID_GAP	v6(1996)→v7(2002)	1990-2003		10
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	standard	通常版	6	OLD_FIRST	v1(2019)→v3(2025)	2019-2025		2
aka-i-piano-sen	赤いピアノ線	standard	通常版	6	MID_GAP	v2(1982)→v3(1988)	1981-1988	ISBN無	4
alice-in-wonderland	ありす IN WONDERLAND	standard	通常版	6	OLD_FIRST	v1(1989)→v2(1995)	1989-1995		2
animal-1	アニマル1	standard	通常版	6	MID_GAP	v4(1969)→v5(1975)	1969-1975	ISBN無	5
anzu-ando-ei	杏＆影	standard	通常版	6	MID_GAP	v3(1986)→v4(1992)	1984-1994		6
aphorism	アホリズム	standard	通常版	6	MID_GAP	v14(2016)→v15(2022)	2008-2025		17
apollo-no-uta	アポロの歌	standard	通常版	6	OLD_FIRST	v1(1971)→v2(1977)	1971-1971	ISBN無	3
aru-nichi-toaru-nichi-totoaru-nichi-no-kuru	ある日とある日ととある日のクル	standard	通常版	6	OLD_FIRST	v1(2009)→v2(2015)	2009-2021		4
asakaze-kun	あさかぜ君	standard	通常版	6	MID_GAP	v2(1987)→v8(1993)	1986-1993	ISBN無	3
astrawberry	アストロベリー	standard	通常版	6	OLD_FIRST	v1(2003)→v2(2009)	2003-2009		2
aurora-no-machi	オーロラの街	standard	通常版	6	OLD_FIRST	v1(1993)→v2(1999)	1993-1999		2
baki-gaiden-kizumen	バキ外伝疵面	standard	通常版	6	MID_GAP	v5(2009)→v6(2015)	2005-2019		8
black-joke	ブラック・ジョーク	standard	通常版	6	MID_GAP	v9(2014)→v10(2020)	2008-2023		11
blue-inferior	ブルー・インフェリア	standard	通常版	6	MID_GAP	v2(1994)→v3(2000)	1994-2001		4
boku-wa-subete-o-shitteiru	僕はすべてを知っている	standard	通常版	6	MID_GAP	v6(2018)→v7(2024)	2010-2025		8
bouken-erekitetou	冒険エレキテ島	standard	通常版	6	OLD_FIRST	v1(2011)→v2(2017)	2011-2017		2
boy	BOY	bunkobon	文庫版	6	MID_GAP	v2(1999)→v3(2005)	1999-2006		20
captain-kid	キャプテンキッド	standard	通常版	6	MID_GAP	v9(1993)→v10(1999)	1998-1999		12
chihiro	ちひろ	standard	通常版	6	OLD_FIRST	v1(2001)→v3(2007)	2001-2007		2
chouetsusha-to-natta-otsu-san-wa-mai-peesu-ni-isekai-o-sansaku-suru	超越者となったおっさんはマイペースに	standard	通常版	6	MID_GAP	v6(2019)→v7(2025)	2019-2025		7
classmate	クラスメイト	standard	通常版	6	OLD_FIRST	v1(1981)→v2(1987)	1981-1987	ISBN無	2
comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー	standard	通常版	6	OLD_FIRST	v1(2013)→v2(2019)	2013-2019		2
cool	COOL	standard	通常版	6	OLD_FIRST	v1(1992)→v2(1998)	1992-1998	ISBN無	3
dameoyaji	ダメおやじ	standard	通常版	6	MID_GAP	v2(1972)→v3(1978)	1973-1976	ISBN無	21
danna-ga-totsuzen-shinimashita	旦那が突然死にました。	standard	通常版	6	OLD_FIRST	v1(2020)→v2(2026)	2020-2026		2
dare-nimo-aisarenai	誰にも愛されない	standard	通常版	6	OLD_FIRST	v1(2007)→v3(2013)	2007-2013		2
deimosu-no-hanayome	悪魔の花嫁	standard	通常版	6	MID_GAP	v16(1984)→v17(1990)	1975-1990	ISBN無	17
dekichatta-otoko	できちゃった男子	standard	通常版	6	OLD_FIRST	v1(2011)→v2(2017)	2011-2017		2
dkb	DKB+	standard	通常版	6	OLD_FIRST	v1(2017)→v2(2023)	2017-2023		2
dorakuuun	ドラクゥーン	standard	通常版	6	MID_GAP	v3(1991)→v4(1997)	1988-2003		5
