我々slug	我々title	誤ISBN数	取り違え相手(楽天題)	相手の我々slug候補	相互swap
champagne-sherbet	シャンパン・シャーベット	1	名香智子選集（2-2）		
chatterley-fujin-no-koibito	チャタレイ夫人の恋人	1	マンガ世界の文学（7）		
chi-to-etsuraku-ni-oboreta-jitsuzai-himegimi-tachi	血と悦楽に溺れた実在姫君たち	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chic	CHIC	1	シック　第1巻		
chic	CHIC	1	シック　第2巻		
chichi-no-koibito	父の恋人	1	もりたじゅん自選集（4）		
chidamagi	血玉樹	1	伊藤潤二恐怖マンガcollection（5）		
chin-arabian-naito	珍アラビアンナイト	1	手塚治虫漫画全集（258）		
china-girl	CHINA GIRL	1	チャイナ・ガール　1		
china-girl	CHINA GIRL	1	チャイナ・ガール　2		
china-girl	CHINA GIRL	1	チャイナ・ガール　3		
china-girl	CHINA GIRL	1	チャイナ・ガールー4		
china-girl	CHINA GIRL	1	チャイナ・ガール　5		
china-girl	CHINA GIRL	1	チャイナ・ガール　6		
china-girl	CHINA GIRL	1	チャイナ・ガール　7		
china-girl	CHINA GIRL	1	チャイナ・ガール　8		
china-girl	CHINA GIRL	1	チャイナ・ガール　9		
china-girl	CHINA GIRL	1	チャイナ・ガール10		
china-girl	CHINA GIRL	1	チャイナ・ガール12		
chinurareta-hakkinbon	血塗られた発禁本	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chinurareta-nippon-mukashi-banashi	血塗られた日本昔話	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chocolate-panic	Chocolate panic	1	チョコレート・パニック　2		
chocolate-panic	Chocolate panic	1	GREATチョコレートパニック		
choujintaikei	鳥人大系	1	手塚治虫漫画全集（258）		
choukanden-shoujo-mona	超感電少女モナ	1	RAVE（9）	rave	
chrome-kidoutai-stand-alone-complex-tachikomana-hibi	攻殻機動隊STAND ALONE COMPLEXタチコマなヒビ	1	攻殻機動隊S．A．C．　タチコマなヒビ（8）＜完＞		
chronicle-2012	CHRONICLE	1	Rくろにくる		
chuugoku-akujo-den	中国悪女伝	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chuugoku-akusai-zankoku-den	中国悪妻残酷伝	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chuugoku-dokufu-ki-tan	中国毒婦奇譚	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chuugoku-kijo-rendetsu	中国鬼女伝	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
chuugoku-zangyaku-hi-den	中国残虐妃伝	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
cinderella-2004	シンデレラ	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
cinderella-no-wasuremono	シンデレラの忘れ物	1	三浦みつる傑作集		
cinderella	シンデレラ	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
circus-ga-kita	サーカスが来た	1	伊藤潤二恐怖マンガcollection（5）		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）1		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）2		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）3		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）4		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）5		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）6		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）7		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）8		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）9		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）10		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）11		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）12		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）13		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）14		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）15		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）16		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）17		
city-hunter	シティーハンター	1	City Hunter（シティー・ハンター）18		
city-mansion-no-shikaku	シティ・マンションの死角	1	夫婦探偵奮戦記（10）	yami-no-ekusasaizu	
code-red	Code:red	1	コード：レッド　1		
code-red	Code:red	1	コード：レッド　2		
collectors	Collectors	1	コレクターズ 2		
collington-woods-street	COLLINGTON WOODS STREET	1	コリントン：ウッズ　ストリート（section．3（		
colorful-macchiato	カラフル★マキアート!	1	カラフル・マキアート！-魔法少女は戦わないー（1）		
comic-essay	COMIC ESSAY	1	PARマンの情熱的な日々（漫画家人生愉快にいこう編）	perman-no-jounetsuteki-na-hibi	
comic-kyuuyaku-seisho-souseiki	コミック旧約聖書 創世記	1	創世記　1		
cool-2001	COOL	1	クール／ドルチェ・ヴィータ		
copernicus-no-kokyuu	コペルニクスの呼吸	1	中村明日美子コレクション（2）		
cosmos-no-saku-kisetsu	コスモスの咲く季節	1	上原きみ子自選集（2）		
crescent	CRESCENT	1	クレッセント　5		
crescent	CRESCENT	1	クレッセント　6		
crescent	CRESCENT	1	クレッセント　9		
crescent	CRESCENT	1	クレッセント（28）		
cross-and-crime	クロスアンドクライム	1	CROSS and CRIME 10		
cross-game-1986	クロスゲーム	1	緒戦突破		
cross-game-1986	クロスゲーム	1	背番号10		
cross-game-1986	クロスゲーム	1	一打逆転		
d-j-vu	DÉJÁ VU	1	De′ja｀　vu		
dahlia-no-obi	ダリアの帯	1	大島弓子選集（第6巻）		
dahlia-the-vampire	DAHLIA THE VAMPIRE	1	ダリアザヴァンパイア（2）		
dai-chouhen-doraemon	大長編ドラエもん	1	のび太の宇宙開拓史		
daitokai-ni-hoero	大都会にほえろ	1	湯の花つばめ　第3巻		
damenzu-walker	だめんず・うぉ～か～	1	グータンヌーボ女のセキララ名言集love		
dareka-ga-miteiru	だれかが見ている	1	たがみよしひさ作品集	tagami-yoshihisa-sakuhinshuu	
dark-angel-1995	闇天使comics	1	ヴァンパイアハンター闇天使		
dark-moon	Dark Moon	1	ダーク・ムーン		
david	David	1	デイビッド　1		
daydream-believer-again	デイ・ドリーム・ビリーバーアゲイン	1	DAY　DREAM　BELIEVER　again　v		
daydream-believer-again	デイ・ドリーム・ビリーバーアゲイン	1	DAY　DREAM　BELIEVER　again　2		
death-trap	デス・トラップ	1	柴田昌弘傑作集（7）		
dekkai-yatsu	でっかい奴	1	大江戸競艶伝		
delivery-cinderella-selection	Delivery Cinderella Selection	1	デリバリーシンデレラSelection-ご指名ありが		
detsudohiito-shiyun	デッドヒート瞬	1	なんと孫六（9）	nanto-magoroku	
doragu-kyouryuuken	ドラグ恐竜剣	1	若草一家でいこう		
dorei-ni-ochita-himegimi	奴隷に堕ちた姫君	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
doronko-sensei	どろんこ先生	1	手塚治虫漫画全集（258）		
double-asuka	ダブル・アスカ	1	ASUKA2（1）		
doujin-sakka-collection	同人作家コレクション	1	上田信舟・藤たまき		
dragon-ball	ドラゴンボール	1	DRAGON BALL 1		
dragon-ball	ドラゴンボール	1	DRAGON BALL 2		
dragon-ball	ドラゴンボール	1	DRAGON BALL 3		
dragon-ball	ドラゴンボール	1	DRAGON BALL 4		
dragon-ball	ドラゴンボール	1	DRAGON BALL 5		
dragon-ball	ドラゴンボール	1	DRAGON BALL 6		
dragon-ball	ドラゴンボール	1	DRAGON BALL 7		
dragon-ball	ドラゴンボール	1	DRAGON BALL 8		
dragon-ball	ドラゴンボール	1	DRAGON BALL 9		
dragon-ball	ドラゴンボール	1	DRAGON BALL 10		
dragon-ball	ドラゴンボール	1	DRAGON BALL 11		
dragon-ball	ドラゴンボール	1	DRAGON BALL 12		
dragon-ball	ドラゴンボール	1	DRAGON BALL 13		
dragon-ball	ドラゴンボール	1	DRAGON BALL 14		
dragon-ball	ドラゴンボール	1	DRAGON BALL 15		
dragon-ball	ドラゴンボール	1	DRAGON BALL 16		
dragon-ball	ドラゴンボール	1	DRAGON BALL 17		
dragon-ball	ドラゴンボール	1	DRAGON BALL 18		
dragon-ball	ドラゴンボール	1	DRAGON BALL 19		
dragon-ball	ドラゴンボール	1	DRAGON BALL 20		
dragon-ball	ドラゴンボール	1	DRAGON BALL 21		
dragon-ball	ドラゴンボール	1	DRAGON BALL 22		
dragon-ball	ドラゴンボール	1	DRAGON BALL 23		
dragon-ball	ドラゴンボール	1	DRAGON BALL 24		
dragon-ball	ドラゴンボール	1	DRAGON BALL 25		
dragon-ball	ドラゴンボール	1	DRAGON BALL 26		
dragon-ball	ドラゴンボール	1	DRAGON BALL 27		
dragon-ball	ドラゴンボール	1	DRAGON BALL 28		
dragon-ball	ドラゴンボール	1	DRAGON BALL 29		
dragon-ball	ドラゴンボール	1	DRAGON BALL 30		
dragon-ball	ドラゴンボール	1	DRAGON BALL 31		
dragon-ball	ドラゴンボール	1	DRAGON BALL 32		
dragon-ball	ドラゴンボール	1	DRAGON BALL 33		
dragon-ball	ドラゴンボール	1	DRAGON BALL 34		
dragon-ball	ドラゴンボール	1	DRAGON BALL 35		
dragon-ball	ドラゴンボール	1	DRAGON BALL 36		
dragon-ball	ドラゴンボール	1	DRAGON BALL 37		
dragon-ball	ドラゴンボール	1	DRAGON BALL 38		
dragon-ball	ドラゴンボール	1	DRAGON BALL 39		
dragon-ball	ドラゴンボール	1	DRAGON BALL 40		
dragon-ball	ドラゴンボール	1	DRAGON BALL 41		
dragon-ball	ドラゴンボール	1	DRAGON BALL 42		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 1		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 2		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 3		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 4		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 5		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 6		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 7		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 8		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 9		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 10		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 11		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 12		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 13		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 14		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 15		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 16		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 17		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 18		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 19		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 20		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 21		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 22		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 23		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 24		
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	1	ドラゴンクエスト ダイの大冒険 新装彩録版 25		
dry-and-heavy	ドライアンドヘビー	1	DRY　＆　HEAVY（01）		
dry-and-heavy	ドライアンドヘビー	1	DRY＆HEAVY（2）＜完＞		
duende	ドゥエンデ	1	つのだじろうオカルト自選集（1）		
dust-8	ダスト8	1	手塚治虫漫画全集（258）		
e-s	E'S	1	E’S（14）初回限定特装版		
edo-onna-tsuya-geshou	江戸おんな艶化粧	1	ケン月影官能		
egg-stand	エッグ・スタンド	1	萩尾望都作品集（〔第2期〕　6）		
enban-doujiyouki	円盤同乗記	1	水木しげるの不思議な世界（2）		
engage-1994	Engage	1	星の瞳のシルエット番外編（ENGAGE）（1）		
enjou-otokotachi-wa-tobikonda	炎上男たちは飛び込んだ	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
epitafu	墓碑銘	1	曽祢まさこホラ-・ワ-ルド（2）新版		
ergo-proxy	Ergo Proxy	1	センツォン・ヒッチャーズ＆アンダーテイカー（1）		
ergo-proxy	Ergo Proxy	1	センツォン・ヒッチャーズ＆アンダーティカ（2）		
erotic	エノティック	1	ENOTIC		
eshi-ikegami-ryouichi-zenshigoto	絵師池上遼一全仕事	1	池上遼一キャラクター劇画集		
eva-lady-miyonescy	エヴァ・レディ	1	Ev．a．lady（1）		
eyes-kingin-youdou	Eyes金銀妖瞳	1	Eyes（アイズ）1		
eyes-kingin-youdou	Eyes金銀妖瞳	1	Eyes（アイズ）2		
f-1-club	F-1倶楽部	1	次原隆二短編集（1）		
fairies-story	FAIRIES STORY	1	NEW　GAME！画集		
fiariiburuu-no-densetsu	フィアリーブルーの伝説	1	銀青色（フィアリ-ブル-）の伝説		
five	ファイブ	1	【推しの子】 5	5|5-2000	
flowers	フラワーズ	1	Flower’s（1）		
flowers	フラワーズ	1	Flowers増補改訂版		
flying-away-azarashi	FLYING AWAY AZARASHI	1	何かを掴んでないとどこかに飛んで行っちゃうアザラシ		
fuji-san-reedaa-kyodai-taifuu-kara-nippon-o-mamore	富士山レーダー巨大台風から日本を守れ	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
fujiko-efu-fujio-ishoku-tanpenshuu	藤子・F・不二雄 異色短編集	1	幸運児		
fujiko-efu-fujio-ishoku-tanpenshuu	藤子・F・不二雄 異色短編集	1	気楽に殺ろうよ（2)		
fukurettsura-no-princess	ふくれっつらのプリンセス	1	岩館真理子自選集（1）		
fukuyama-keiko-shoki-sakuhinshuu	ふくやまけいこ初期作品集	1	エリス＆アメリア　ゼリービーンズ		
fukuyama-keiko-shoki-sakuhinshuu	ふくやまけいこ初期作品集	1	何がジョーンに起こったか		
furansu-mado-dayori	フランス窓便り	1	田淵由美子作品集（2）		
fushichou-dolls	不死鳥ドールズ	1	森園みるく傑作集（1）		
fushichou-o-kau-otoko-nekomata	不死鳥を飼う男・猫又	1	水木しげる怪奇貸本名作選		
fushigi-na-melmo	ふしぎなメルモ	1	手塚治虫漫画全集（258）		
gachou-saraiya-goyou	画帖さらい屋五葉	1	オノ・ナツメ イラスト集		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	先史時代と古代オリエント		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	ギリシア・ローマと地中海世界		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	アジアの古代文明と東アジア世界の成立		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	イスラーム世界とヨーロッパ世界の成立		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	十字軍とモンゴル帝国		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	ルネサンスと大航海時代		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	フランス革命と産業革命		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	アメリカ独立と南北戦争		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	列強の世界植民地化とアジアの民族運動		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	第一次世界大戦とロシア革命		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	世界恐慌と第二次世界大戦		
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	1	冷戦と冷戦後の世界		
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	1	上杉謙信と武田信玄川中島のたたかい		
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	1	豊臣秀吉と天下統一のたたかい		
garasunoshironokiroku	ガラスの城の記録	1	手塚治虫漫画全集（258）		
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	1	処女がヤクザに調教されてます！		
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	1	処女がヤクザに調教されてます！　2		
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	1	処女がヤクザに調教されてます！3		
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	1	処女がヤクザに調教されてます！　4		
gatou-zero-ichi-no-senjou	GATO-ゼロイチの戦場-	1	GATO　第1巻		
gatou-zero-ichi-no-senjou	GATO-ゼロイチの戦場-	1	GATO　第2巻		
gatou-zero-ichi-no-senjou	GATO-ゼロイチの戦場-	1	GATO　第3巻		
gekijou-no-joou-media	激情の王女メディア	1	マンガギリシア神話（8）	manga-girishia-shinwa	
genshi-shounen-gyao	原始少年ギャオ	1	鳥の肖像をかくには		
gensou-fantasy	幻想ファンタジー	1	金鈴夜話		
gensou-labyrinth	幻想ラビリンス	1	瑠璃宮		
genten-papa	減点パパ	1	蘊蓄漫画（1）	unchiku-manga	★相互
gentou-kuroyondamu-ni-idomu	厳冬黒四ダムに挑む	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
ghost-suiipaa-holmes-gokuraku-daisakusen	GSホームズ極楽大作戦!!	1	椎名高志短編集		
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	1	義風堂々！！疾風の軍師ー黒田官兵衛ー（3）	gifuu-doudou-kaze-no-gunshi-kuroda-kanbe	
gigant	ギガント	1	GIGANT 1		
gion-kaidan	祇園怪談	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
girishago-tsuuyaku	ギリシャ語通訳	1	シャーロック・ホームズの冒険（2）	sherlock-holmes-no-bouken	
girls-mode	GIRLS MODE	1	わがままファッション ガールズモード みらのSTYL		
glass-no-hanataba-ni-shite	ガラスの花束にして	1	岩館真理子自選集（1）		
glass-no-kutsu-wa-niawanai	ガラスの靴は似合わない	1	かなしい箱（上）	kanashii-hako	
glass-no-kutsu	ガラスの靴	1	津雲むつみ傑作選（2）		
gobangai-o-arukou	五番街を歩こう	1	岩館真理子自選集（1）		
god-father-no-musuko	ゴッドファーザーの息子	1	手塚治虫漫画全集（258）		
god-father-no-musuko	ゴッドファーザーの息子	1	手塚治虫名作集（19）		
goddess	ガッデス	1	新装版　GODEATH 〜女神の血脈〜　下巻		
golf-jinsei	ゴルフ・人生	1	パステル家族（6）	pastel-kazoku	
golgo-13-readers-choice-best-13-of-g	ゴルゴ13リーダーズ・チョイスBEST 13 OF“G”	1	改訂版「ゴルゴ13」リーダーズ・チョイス		
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	1	ゴルゴ13 スペシャルエディション1 デイブ・マッカ		
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	1	ゴルゴ13 スペシャルエディション2 脚本／沖吾郎（		
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	1	ゴルゴ13 スペシャルエディション3 Gの起源:芹沢		
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	1	ゴルゴ13 スペシャルエディション4 Gの起源:おろ		
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	1	ゴルゴ13 スペシャルエディション5 Gの起源:すべ		
goseidouji-ran	護星童子ラン	1	百年の恋かもしれない		
grace-kelly	グレース・ケリー	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
grandoll	グランドール	1	手塚治虫名作集（19）		
gudaguda-ace	ぐだぐだエース	1	コハエース	koha-ace	★相互
gun-and-heaven	ガンアンドヘヴン	1	GUN　＆　HEAVEN		
gundam-exa	GUNDAM EXA	1	ガンダムEXA（2）	gundam-exa-2013	
gunjou-gakusha	群青学舍	1	群青学舎　一巻		
gunjou-gakusha	群青学舍	1	群青学舎　二巻		
gunjou-gakusha	群青学舍	1	群青学舎　三巻		
gunjou-gakusha	群青学舍	1	群青学舎　四巻		
gunshi-yamamoto-kansuke	軍師山本勘介	1	山本勘介ー男弐　上巻		
gunshi-yamamoto-kansuke	軍師山本勘介	1	山本勘助ー男弐　下巻		
guranburuu-fantasy-souken-no-kizuna	GRANBLUE FANTASY双剣の絆	1	グランブルーファンタジー　双剣の絆1		
guranburuu-fantasy-souken-no-kizuna	GRANBLUE FANTASY双剣の絆	1	グランブルーファンタジー　双剣の絆2		
guranburuu-fantasy-souken-no-kizuna	GRANBLUE FANTASY双剣の絆	1	グランブルーファンタジー　双剣の絆3		
guranburuu-fantasy-souken-no-kizuna	GRANBLUE FANTASY双剣の絆	1	グランブルーファンタジー　双剣の絆4		
haka-no-machi	墓の町	1	水木しげる怪異貸本・短編名作選		
haka-o-horu-otoko-tebukuro-no-kai	墓をほる男・手袋の怪	1	水木しげる恐怖貸本名作選		
hakanomachichiteinoashioto	墓の町/地底の足音	1	水木しげる貸本漫画傑作選（20）		
hakke-no-sora	八卦の空	1	ふしぎ道士伝八掛の空（5）		
hakuouki-2011	薄桜鬼 新選組奇譚	1	薄桜鬼　巻之参		
hakuouki-2011	薄桜鬼 新選組奇譚	1	薄桜鬼　巻之四		
hakuryuu-za-best	白竜ザ・ベスト	1	白竜伝説の始まりGコ		
hakushaku-cain	伯爵カイン	1	忘れられたジュリエット	wasure-rareta-juliet	★相互
hakushaku-cain	伯爵カイン	1	赤い羊の刻印　2		
hakutei-no-rival	白蹄のライバル	1	優駿の門（番外編）	yuushun-no-mon	
hana-arashi	華あらし	1	華夜叉（巻之十二）	hana-yasha	
hana-chiru-yoru-ni-kimi-o-omoeba	花散る夜にきみを想えば	1	タクミくんシリーズ June　Pride 〜6月の自		
hana-ikusa	華いくさ	1	華夜叉（巻之十二）	hana-yasha	
hana-kariudo	花狩人	1	華夜叉（巻之十二）	hana-yasha	
hana-omoi	華想ひ	1	華夜叉（巻之十二）	hana-yasha	
hanabana-no-zanzou	花々の残像	1	シリーズ斎（1）		
hananonagareboshinagekigawa	花の流れ星/嘆き川	1	水木しげる貸本漫画傑作選（20）		
hannya-shingyou	般若心経	1	潮間帯（第4部）		
hapihapi-mangaka-fuufu	ハピハピ漫画家ふうふ	1	あっきうのダメぎみ嫁日記（仮）		
happy-omajinai-comic	ハッピーおまじないコミック	1	ウラナにおまかせ！（2）		
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	1	ケワイシ（1）		
harajukumonogatari	原宿物語	1	原宿ファッション物語（1）	harajuku-fasshon-monogatari	
harukanaruhoshi	はるかなる星	1	手塚治虫名作集（19）		
hatchoubori-koto-hajime	八丁堀事始メ	1	やじきた学園道中記　昭和仕立　八丁堀事		
hatsuki-kyou-art-works	葉月京アートワークス	1	葉月京art works		
hatsumei-taiketsu	発明対決	1	常識の枠を越えろ		
hatta-ayuko-love-joshi-tanpenshuu	八田鮎子恋愛女子短編集	1	オーダーは僕でよろしいですか？	order-wa-boku-de-yoroshii-desuka	
helck	ヘルク	1	Helck 1		
helck	ヘルク	1	Helck 2		
helck	ヘルク	1	Helck 3		
helck	ヘルク	1	Helck 4		
henri-the-blood	アンリ・ザ・ブラッド	1	ANRI THE BLOOD 1		
hi-no-ataru-sakamichi	陽のあたる坂道	1	海街diary（1)	umimachi-diary	
higashi-no-chihei-nishi-no-eien	東の地平 西の永遠	1	萩尾望都作品集（〔第2期〕　6）		
high	High	1	はいTime-風子と一北		
hiiro-no-kenkyuu	緋色の研究	1	まんがシャーロック・ホームズ全集（第4巻）		
hime-to-inma-no-utage	姫と淫魔の宴	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
himegamichou-rinku	姫神町リンク	1	コドモの約束		
himegimi-tachi-no-zankoku-aizoushi	姫君たちの残酷愛憎史	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
himitsu-no-akko-chan	ひみつのアッコちゃん	1	赤塚不二夫名作選（4）		
hinoyama	火の山	1	手塚治虫漫画全集（258）		
hisui-no-mori	翡翠の森	1	名香智子ミステリー名作選集（1）		
hitman-the-shitman	ヒットマン・ザ・シットマン	1	HITMAN THE SHITMAN　1		
hitman-the-shitman	ヒットマン・ザ・シットマン	1	HITMAN THE SHITMAN　2		
hitman-the-shitman	ヒットマン・ザ・シットマン	1	HITMAN THE SHITMAN　3		
hitodama-o-kau-otoko	人魂を飼う男	1	水木しげる妖奇貸本・短編名作選		
hitodamawokauotokokaikisenketsunome	人魂を飼う男/怪奇鮮血の目	1	水木しげる貸本漫画傑作選（20）		
hitsukurikaetsuta-omochiyabako	ひっくりかえったおもちゃ箱	1	山本鈴美香作品集（2）中公愛蔵版		
holmes-saigo-no-jiken	ホームズ最後の事件	1	まんがシャーロック・ホームズ全集（第4巻）		
hommage	オマージュ	1	矢野健太郎作品集（2）		
hontou-wa-zankokuna-henzeru-to-gretel	本当は残酷なヘンゼルとグレーテル	1	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
hoomurantenshi	ホームラン天使	1	石井いさみ傑作集（其の1）		
hoozuki-yo	鬼灯夜	1	華夜叉（巻之十二）	hana-yasha	
hoshi-to-taiyou-to-shinigami	星と太陽と死神	1	つのだじろうオカルト自選集（1）		
hot-stuff	HOT STUFF	1	ホットスタッフ（1）		
housen-ka-pan	ほうせんか・ぱん	1	大島弓子選集（第6巻）		
hpurasup	ひめぱら H+P	1	Blood＋A（1）		
hpurasup	ひめぱら H+P	1	BLOOD　〓＋〓　A　（2）		
i-l	I.L	1	手塚治虫漫画全集（258）		
i-s-1997	I''s	1	I”s＜アイズ＞ 1		
i-s-1997	I''s	1	I”s＜アイズ＞ 2		
i-s-1997	I''s	1	I”s＜アイズ＞ 3		
i-s-1997	I''s	1	I”s＜アイズ＞ 4		
i-s-1997	I''s	1	I”s＜アイズ＞ 5		
i-s-1997	I''s	1	I”s＜アイズ＞ 6		
i-s-1997	I''s	1	I”s＜アイズ＞ 7		
