slug	title	authors	matched_title_core(著者の作品)	orig_status
201-goushitsu-no-otonari-san	201号室のおとなりさん	日向キョウ	201号室ノオトナリサン1	NOT_FOUND
20xx-nen-level-up-saigai	20XX年レベルアップ災害	内田拓也	20xx年レベルアップ災害4神カラ授カリシ新タナル力	NOT_FOUND
22-26	22-26	藤本タツキ	藤本タツキ短編集2226	NOT_FOUND
27-sai-no-nyuugan-diary	27歳のニューガン・ダイアリー	冬川智子	27歳ノニュガンダイアリボクノ美紀チャンガ乳ガンニナッタ話	NOT_FOUND
28sai-hatsutaiken	28歳、初体験。	夏葉ヤシ;山本美希;芳村カナミ;西園寺ミチル	28歳、初体験恋ガコンナニ気持チイイナンテ	NOT_FOUND
29-ji-no-asagohan	29時の朝ごはん	佐倉イサミ	29時ノ朝ゴハン味噌汁屋アサゲ2	NOT_FOUND
29sai-jimitsubone-no-totsuzenna-moteki	29歳・地味局の突然なモテ期	高山ネム子	29歳地味局ノ突然ナモテ期年下後輩トオフィスデ抜カズ3発	NOT_FOUND
2dk-g-pen-aftertime	2DK、Gペン、アフタータイム。	大沢ヤヨイ	2dk、gペン、アフタタイム大沢ヤヨイ短編集	NOT_FOUND
2nd-virgin-no-jouzu-na-sutekata	2ndバージンのじょうずな捨て方	ズンダ餅粉	2ndバジンノジョウズナ捨テ方season2	NOT_FOUND
3-byougo-yajuu	3秒後、野獣。	百瀬コア	3秒後、野獣合コンデ隅ニイタ彼ハ淫ラナ肉食デシタ7	NOT_FOUND
3-gatsu-no-hekireki	3月の霹靂	池ジュン子	3月ノ霹靂1	NOT_FOUND
3-kumi-no-osananajimi	3組の幼なじみ	イトノコ	2歳差ノ幼ナジミ2	NOT_FOUND
3-pungo-ni-marumaru-suru-hanashi	3分後に○○する話	武内コズエ	3分後ニ○○スル話2	NOT_FOUND
3	3	井上紀良;小池一夫	マッドブル34	AUTHOR_MISMATCH
30-sai-mojo-heisei-gal-ni-naru	30歳喪女、平成ギャルになる。	山口シズカ	30歳喪女、平成ギャルニナル1	NOT_FOUND
300-nen-go-ni-fukkatsu-shita-dai-mahoutsukai	300年後に復活した大魔法使い	エンドルフィン株式会社;ポテトルス;鄭薫	300年後ニ復活シタ大魔法使イ01	NOT_FOUND
31-sai-jimi-megane-ol-san	31歳地味眼鏡OLさん	新居サトシ	31歳地味眼鏡olサン4	NOT_FOUND
33-sai-to-iu-hibi	33歳という日々	鈴木ミロ	33歳トイウ日々子ナシ夫婦、エリノ場合	NOT_FOUND
35sai-no-fu-junai	35歳の不・純愛	小嶋スミレ	35歳ノ不純愛アナタガ恋シイダケダッタ	NOT_FOUND
37-c	37°C	岡野史佳	37°cボクノイチバンスキナモノ3	AUTHOR_MISMATCH
3b-no-koibito	3Bの恋人	朝日放送株式会社;横山モヨ	3bノ恋人付キ合ッテハイケナイ職業男子トノ恋遊戯	NOT_FOUND
4-gun-kun-kari	4軍くん〈仮〉	コージィ城倉;末広光	4軍クン3	NOT_FOUND
40-sai-kara-rajikon-dekiru-kana-type-s	40歳からラジコンできるかな?TYPE-S	阿部秀司	40歳カララジコンデキルカナ断言シヨウラジコンハトテツモナク面白イ	NOT_FOUND
4000-bai-no-otoko	4000倍の男	雁木万里	4000倍ノ男3	NOT_FOUND
4000-nenburi-ni-kikan-shita-dai-madoushi	4000年ぶりに帰還した大魔導士	kd-dragon;フジツボ;落下傘	4000年ブリニ帰還シタ大魔導士1	NOT_FOUND
4c-l-side	4C L-side	桂正和	4c	NOT_FOUND
5-00pm-revolution	>5:00PM REVOLUTION	竹宮惠子	>500pmrevolution5	AUTHOR_MISMATCH
5-byou-de-omae-o-ikasete-yaruyo	5秒でお前をイかせてやるよ	夏咲タカオ	5秒デオ前ヲイカセテヤルヨセクシ男優ト絶頂ヘブン1	NOT_FOUND
5-ga-matsushita-kounosuke-itsutsu-no-gensoku	漫画松下幸之助5つの原則	松枝尚嗣	松下幸之助5ツノ原則	NOT_FOUND
50kg-no-cinderella	-50kgのシンデレラ	望月イク;紅月リト	50kgノシンデレラ5	NOT_FOUND
6-gatsu-no-rabu-letter	6月のラブレター	春田ナナ	6月ノラブレタ1	NOT_FOUND
67-sai-no-shinjin	67歳の新人	ハン角斉	67歳ノ新人ハン角斉短編集	NOT_FOUND
7-nen-go-de-matteru	7年後で待ってる	fumipub2022;アルタ梨沙	7年後デ待ッテル1	NOT_FOUND
70-nenme-no-kokuhaku	70年目の告白	高階良子	70年目ノ告白毒トペン1	NOT_FOUND
8-dome-no-jinsei-kirawarete-ita-hazu-no-outaishi-denka-no-dekiai-route-ni-hamarimashita	8度目の人生、嫌われていたはずの王太子殿下の溺愛ルートにはまりました	ザネリ;永野明	8度目ノ人生、嫌ワレテイタハズノ王太子殿下ノ溺愛ルトニハマリマシタオ飾リ側妃ナノデドウゾオ構イナク3	NOT_FOUND
8-gatsu-no-nikki-wa-razuraito	8月の日記はラズライト	松月滉	8月ノ日記ハラズライト1	NOT_FOUND
