db_slug	db_title	db_author	誤ISBN数	真の作品	真の著者
shounen-ninja-basara-kun-fuyouhime-taikutsuki	「少年忍者バサラくん」芙蓉姫退屈記	ada;ヨシミイク	2	少年忍者バサラ君芙蓉姫退屈記（2）	義見依久
stallion	STALLION	captainscarlet	2	スタリオン（2）	キャプテンスカーレット
star-wars	STAR WARS	camkennedy;davedor	2	ダーク・エンパイア（2）	キャムケネディ;トムヴィーチ
super-suto-4	スーパーストⅡ　4コマ決定版	(unknown)	2	スーパースト2（2）	コミックゲーメスト編集部
superman-for-tomorrow	Superman for tomorro	石川裕人	2	スーパーマン：フォー・トゥモロー　＃2	brianazzarello
you-2003	陽	上条明峰	2	Yoh（2）	菊池トシヲ
za-doraemons-special	ザ☆ドラえもんズスペシャル	三谷幸広;宮崎マサル	2	ザ・ドラえもんズスペシャル（12）	藤子f不二雄
27sai	27歳	ワタナベ志穂	1	Sigh	遊人
7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢	1	りぼん新人まんが傑作集（3）	一条ユカリ
7mai-no-pootoreeto	7枚のポートレート	ホーム社	1	りぼん新人まんが傑作集（8）	一条ユカリ
8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	笠原倫	1	プロジェクトX挑戦者たち（〔17〕）	日本放送協会
82okushoku-no-kiseki	82億食の奇跡	加藤唯史	1	プロジェクトX挑戦者たち（〔5〕）	日本放送協会
ahondara	あほんだら	ササヤナナエコ	1	ささやななえ作品集（1）	ササヤナナエ
alexandros	アレクサンドロス	安彦良和	1	文明の道（1）	日本放送協会
all-stars	All stars	眠田直	1	ミンディランド　オールスターズ	ミンダナオ
ao-no-otoko	蒼の男	ベルネ	1	譚詩（バラ-ド）	belne
arisa	ARISA	安藤ナツミ	1	亜里砂	辻村弘子
astro-twin	アストロツイン	竹宮惠子	1	竹宮恵子作品集（1）	竹宮恵子
banana-sisters	バナナ❤シスターズ!!	ミヤスノンキ	1	バナナシスターズ	ヒロモリシノブ
battle-staff	BATTLE STAFF	唯登詩樹	1	バトルスタッフ	加藤雅基
biijiiemu-ga-kikoenai	B.G.M.がきこえない	九月姫	1	BGMがきこえない	イクザワノブコ
bright-no-yuuutsu	ブライトの憂鬱	竹宮惠子	1	ブライトの憂欝（2）	竹宮恵子
c-live	C-live	内田美奈子	1	C-ライブ（4）	田中正仁
case-b	Case B	雨宮淳	1	ケ-スB	雨宮ジュン
chronicle-2012	CHRONICLE	森山大輔	1	Rくろにくる	アヅマユキ;数多ヒロ
cinderella-express	シンデレラ・エクスプレス	弓月光	1	シンデレラ特急	松本洋子(漫画家)
club-crime	Club crime	厘ノミキ	1	クラブクライム（vol．1）	凛野ミキ
coyote	コヨーテ	座裏屋蘭丸	1	coyote	淡田青
crescent	CRESCENT	葉月シノブ	1	クレッセント　5	筒井百々子
crown	CROWN	和田慎二;氷栗優	1	クラウン（1）	中西達郎
crystalize	Crystalize	ミナミ遥	1	クリスタライズ	南カズカ
daruma-tanaka-2004	達摩	所十三;田中誠一	1	Daruma	山中健司
david	David	syufo	1	デイビッド　1	板橋シュウホウ
debut	デビュー	長浜幸子	1	DEBUT	日渡早紀
desire-1989	デザイアー	森園ミルク	1	Desire（2）	金沢有倖
detsudohiito-shiyun	デッドヒート瞬	スガヤミツル;モロガ卓	1	なんと孫六（9）	サダヤス圭
dog-tory	ドッグ・トーリィ	桑田二郎	1	ビッグ・ト-リィ＋アンドロイド・ピニ	桑田次郎
doubles-1992	Doubles	小谷憲一	1	ダブルス	佐野未央子
doubt-tonogai-2008	Doubt	外海良基	1	ダウト	桑田真澄;立沢克美
enjou-otokotachi-wa-tobikonda	炎上男たちは飛び込んだ	篠原トオル	1	プロジェクトX挑戦者たち（〔8〕）	日本放送協会
escape-kano-2014	ESCAPE	鹿乃シウコ	1	エスケープ	矢沢アイ
exhiibition	EXHIIBITION	スエヒロガリ	1	エキシビション	末広雅里
feauei-no-samurai	フェアウェイの侍	池沢早人師	1	フェアウエイの侍（1）	池沢サトシ
five	ファイブ	フルカワシオリ	1	5	芳原ノゾミ
flowers-2010	Flowers	今井康絵	1	フラワーズ	田中美菜子
fuji-san-reedaa-kyodai-taifuu-kara-nippon-o-mamore	富士山レーダー巨大台風から日本を守れ	高岩ヨシヒロ	1	プロジェクトX挑戦者たち（〔20〕）	日本放送協会
furansu-mado-dayori	フランス窓便り	田渕由美子	1	田淵由美子作品集（1）	田淵由美子
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	広岡球志	1	豊臣秀吉と天下統一のたたかい	三原一晃
gentou-kuroyondamu-ni-idomu	厳冬黒四ダムに挑む	影丸穣也	1	プロジェクトX挑戦者たち（〔14〕）	日本放送協会
gift-2002	ギフト	中村カナコ	1	Gift（2）	秋本尚美
girl	ガール	奥田英朗;早坂イアン	1	Girl	真柴ヒロミ
hannya-shingyou	般若心経	尺ヒメキ;池田淳一	1	潮間帯（第4部）	渋川驍
happy-omajinai-comic	ハッピーおまじないコミック	上重☆サユリ	1	ウラナにおまかせ！（2）	ジョウサユリ
harukanari-yume-no-kanata	遥かなり夢のかなた	竹宮惠子	1	遙かなり夢のかなた	竹宮恵子
high	High	渡辺未知;登坂恵里香	1	はいTime-風子と一北	耕野裕子
horizon	HORIZON	菊田洋之	1	ホライゾン	伊藤悶
j-p-s	J.P.S	山本夜羽音	1	Justice　＆　peace　spir	山本夜羽
jirubesutaa-no-hoshi-kara	ジルベスターの星から	竹宮惠子	1	シルベスターの星から	竹宮恵子
kaiki-daisakusen-kuwatajirouban	怪奇大作戦 桑田次郎版	桑田二郎	1	怪奇大作戦〈桑田次郎版〉＋学園名主	桑田次郎
kaitei-3000meetoru-no-daisousaku	海底3000メートルの大捜索	須本壮一	1	プロジェクトX挑戦者たち（〔18〕）	日本放送協会
kanon-usami-2003	カノン	宇佐美真紀	1	Canon	北里千寿
kanon	Kanon	keybyylab;森嶋プチ	1	Canon	北里千寿
karutteto	かるってと	山花典之	1	かるてっと（2）	山崎花子
kemonomichi-kagemaru-1980	けものみち	影丸穣也;真樹日佐夫	1	獣道	影丸譲也
king-of-the-hustler	キング・オブ・ザ・ハスラー	谷津太朗	1	キング・オブ・ハスラー（4）	小林伸明;谷津太郎
kita-no-fuuin	北の封印	成毛厚子	1	小さじ一杯主婦の素	正保ヒロミ
kizuna	KIZUNA	コダカ和麻	1	絆	金子節子
kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	科学技術庁科学技術政策局調査課	1	つくろう21世紀ーロボットに見る不思議の	子ドモ科学技術白書編集委員会
kootaroo-makaritooru	コータローまかりとおる!	蛭田達也	1	シュート！〜蒼きめぐり逢い〜（3）	大島司
kosaaju	こさあじゅ	田渕由美子	1	田淵由美子作品集（2）	田淵由美子
kublai	クビライ	星野之宣	1	文明の道（2）	日本放送協会
kuchi-no-koufun	口の興奮	安部慎一	1	日の興奮	安部愼一
kyuumei-kyuukyuu-er-tanjou	救命救急ER誕生	コヤス珠世	1	プロジェクトX挑戦者たち（〔22〕）	日本放送協会
liar	liar	袴田十莉	1	ライアー	イシカワエミ;川谷康久
like-father-like-son	Like father like son	尾崎未来	1	Life　father　like　son	井上洋子(漫画家)
ma-no-yama-daisounan-kesshi-no-kyuushutsugeki	魔の山大遭難決死の救出劇	コヤス珠世	1	プロジェクトX挑戦者たち（〔27〕）	日本放送協会
majutsu-no-princess-hikita-tenkou	魔術のプリンセス引田天功	福瀬クニ子;飛鳥幸子	1	セリーヌ・ディオン	ジャンボーノワイエ;岡田好惠
makiko	真貴子	ササヤナナエコ;和田慎二	1	ささやななえ作品集（2）	ササヤナナエ
manga-shouwashi	まんが昭和史	トミ新蔵	1	前線と銃後	臣新蔵
manga-time-mini	まんがタイムmini	フジノハルカ;大乃元初奈;山田マリオ	1	まんがタイムミニ（vol．5）	アンソロジー
manhattan-op	マンハッタン・オプ	谷口ジロー	1	凝った死顔	矢作俊彦
maya-2004	マヤ	須藤真澄	1	Maya	魔木子
milky-way	ミルキーウェイ	太刀掛秀子	1	Milky Way	佐藤楓
mindy-land	Mindy land	眠田直	1	魔法帝国	ミンダナオ
miracle-night-gate	ミラクル・ナイト・ゲート	厦門潤	1	ミラクル・ナイト・ゲーム	亜藤潤子
moshikashite-vamp	もしかしてヴァンプ	橘裕	1	火宵の月　2	平井摩利
neo-geo-comic	NEO・GEO COMIC	渡辺電機(株)	1	ネオジオコミック（1）	コミック編集部
nippon-hatsu-no-haiuee-shoubu-wa-tennouzan	日本初のハイウエー勝負は天王山	笠原倫	1	プロジェクトX挑戦者たち（〔26〕）	日本放送協会
nouzui-jungle	脳髄ジャングル	新井理恵	1	Mue48時間（1）	佐藤由惟
nozomi-s-life	望'sらいふ	富田安紀子	1	望’sらいふ	富田安紀良
nui-dara-zetsurin	脱いだら絶倫!?	加奈	1	絶倫教授の実験体 : 媚薬研究のお手伝い	嶋永ノノ
omoide-yorimo-setsunakute	思い出よりもせつなくて	石井マユミ	1	想い出よりもせつなくて	石井真裕美
orfina	Orfina	天王寺キツネ	1	オルフィ-ナ（1）	天王寺水族館
organ-box	Organ box	山本夜羽音	1	オルゴンボックス	山本夜羽
otokotachi-fukutsu-no-drama-seto-oohashi	男たち不屈のドラマ瀬戸大橋	笠原倫	1	プロジェクトX挑戦者たち（〔15〕）	日本放送協会
paradise	パラダイス	守村大	1	Paradise	タグチマコト
pelican-road	ペリカンロード	五十嵐浩一	1	ドリームジェネレーション（3）	吉岡ツトム
pet	ペット	三宅乱丈	1	Pet	日輪早夜
piyopiyo-clinic	ぴよぴよ★クリニック	ツキリノユミ	1	ぴよぴよ・クリニック	月梨野ユミ
raburetaa-seo-2007	ラブレター	瀬尾公治	1	Love　letter	流田マサミ
re-birth	RE-BIRTH	速水翼	1	リ・バース	矢野健太郎(漫画家)
real-kiss-2014	リアルキス	小純月子	1	Real kiss	宮坂香帆
reiko	レイコ	宮崎摩耶	1	Reiko	宮城理子
rifrein	Rifrein	岡田ユキオ	1	リフレイン	ササヤナナエ
romancing-saga	Romancing sa・ga	紺野サオリ	1	ロマンシングサガ1（2）	葉月マユミ;面堂カズキ
romanshingu-saga	ロマンシング サ・ガ2	葉月マユミ;面堂カズキ	1	ロマンシングサガ1	紺野サオリ
s-1999	エス	山本夜羽音	1	S	シンツグル;スタジオ編集部
sai-1998	彩	イノマタムツミ	1	Sigh	遊人
sai-2002	彩	小畑健	1	Sigh	遊人
saihate-no-kimi-e	最果ての君へ	ミナミ遥	1	ふしだらな脚本（シナリオ）	鹿住槇
sandman-1998	SANDMAN	サムキース;ニールゲイマン;マイクド	1	サンドマン（3）	クリスバチャロ
sangokushi-sou-sou-den	三国志曹操伝	影丸穣也	1	三國志曹操伝	影丸譲也
satsui-no-soko	殺意の底	竹宮惠子	1	竹宮恵子SF短篇集（3）	竹宮恵子
sayonara-ganpeki-sensei	さよなら!!岸壁先生	一文字鈴;小池一夫	1	さよなら岩壁先生（5）	石綿周一
sega-no-game-wa-sekaiichiiii	セガのゲームは世界いちぃぃぃ!	吉松孝博	1	ドリドリキャス子さん	サムシング吉松
seihaseyo-sekai-saikouhou-race	制覇せよ世界最高峰レース	横山アキラ	1	プロジェクトX挑戦者たち（〔12〕）	日本放送協会
shikei-shikkounin-blue	死刑執行人ブルー	倉科遼	1	列刑執行人・ブルー	司敬
shinreijoumonogatari	真・隷嬢物語	woody-rinn	1	新・隷嬢物語	森林リンゴ
shisaku-nansensu-senshuu	思索ナンセンス選集	久里洋二	1	佐々木マキのナンセンス世界	佐々木マキ
shuunen-ga-unda-shinkansen	執念が生んだ新幹線	六田登	1	プロジェクトX挑戦者たち（〔2〕）〔第2	日本放送協会
