sid	title	signals	n_authors	confidence
163843	超盛!本当にあった〔○生〕ここだけの話〔○超 〕	巻内多作家	29	低(要確認)
24870	まんが怪しい裏仕事	巻内多作家	28	低(要確認)
32925	まんが告発!非道いお仕事	巻内多作家	28	低(要確認)
53717	まんが罪深き悪人file	巻内多作家	28	低(要確認)
85604	ムダヅモ無き第二次改革	巻内多作家	28	低(要確認)
105431	業界テレビの正体DELUXE	巻内多作家	28	低(要確認)
121322	fellows	巻内多作家	28	低(要確認)
123470	Fate/stay night	巻内多作家	28	低(要確認)
125887	〔○生〕トンデモ冠婚葬祭読者投稿ベスト 結婚式こぼれ話!新郎新婦ドタバタ目撃談4	巻内多作家	28	低(要確認)
125932	ぷち本当にあった愉快な話間一髪!死ぬかと思ったSP	巻内多作家	28	低(要確認)
125975	超盛!本当にあった〔○生〕夏カミングアウトSP	巻内多作家	28	低(要確認)
129786	いただき〔□／〕幸せごはん	巻内多作家	28	低(要確認)
133075	on BLUE	巻内多作家	28	低(要確認)
137660	まんが実録残酷世界	巻内多作家	28	低(要確認)
157637	死ぬほど怖い話	巻内多作家	28	低(要確認)
163842	超盛!本当にあった〔○生〕	巻内多作家	28	低(要確認)
163844	超盛!本当にあった〔○生〕ここだけの話〔○超 〕	巻内多作家	28	低(要確認)
7706	極上!美味コミ	巻内多作家	27	低(要確認)
43652	コミティア30thクロニクル	編+巻内多作家	27	低(要確認)
120496	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	編+巻内多作家	27	低(要確認)
120647	わたし、視えるんです。	巻内多作家	27	低(要確認)
124293	本当にあった〔○生〕ここだけの話〔○超 〕	巻内多作家	27	低(要確認)
127850	ねこぶくろ	巻内多作家	27	低(要確認)
132142	On blue	巻内多作家	27	低(要確認)
133074	on BLUE	巻内多作家	27	低(要確認)
133789	いただき〔□／〕幸せごはんセレクション	巻内多作家	27	低(要確認)
137580	まんが2014年解禁!!日本悪の世界	巻内多作家	27	低(要確認)
137646	まんがネオン街の悪人	巻内多作家	27	低(要確認)
145729	ヤバ盛!本当にあった〔○生〕ここだけの話極	巻内多作家	27	低(要確認)
152392	実録怪談本当にあった怪奇村	巻内多作家	27	低(要確認)
152406	実録美女たちの犯罪!!	巻内多作家	27	低(要確認)
783	Fellows!（Q）	巻内多作家	26	低(要確認)
31499	まんが死んだ悪人たち	巻内多作家	26	低(要確認)
68961	ねこねこ天国	巻内多作家	26	低(要確認)
71042	まんが密着!!絶望24時	巻内多作家	26	低(要確認)
102123	戦国武将タブー伝説DX	巻内多作家	26	低(要確認)
124617	好色少年のススメ	巻内多作家	26	低(要確認)
125883	〔○生〕うっかり大失言読者投稿ベスト	巻内多作家	26	低(要確認)
125909	ぷち本当にあった愉快な話マジでヤバい!!裏お仕事SP	巻内多作家	26	低(要確認)
125920	ぷち本当にあった愉快な話怪幽!!心霊体験SP	巻内多作家	26	低(要確認)
125922	ぷち本当にあった愉快な話最恐!!心霊体験SP	巻内多作家	26	低(要確認)
125923	ぷち本当にあった愉快な話有害な隣人SP	巻内多作家	26	低(要確認)
125938	メガ盛!!本当にあった愉快な話最凶!!事件現場SP	巻内多作家	26	低(要確認)
125945	メガ盛!本当にあった〔○生〕人生max痛かったSP	巻内多作家	26	低(要確認)
137667	まんが最狂悪の実話ドキュメント	巻内多作家	26	低(要確認)
137673	まんが知ってはいけない消えた有名人の謎	編+巻内多作家	26	低(要確認)
145738	ヤバ盛!本当にあった〔○生〕ここだけの話極	巻内多作家	26	低(要確認)
152357	実話マジで怖ーい話	巻内多作家	26	低(要確認)
152358	実話マジで怖ーい話	巻内多作家	26	低(要確認)
152374	実録!体験談刑務所の中	巻内多作家	26	低(要確認)
160625	知ってはいけない消えた有名人の謎	編+巻内多作家	26	低(要確認)
162543	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	編+巻内多作家	26	低(要確認)
19109	実録激やばカネ儲け	巻内多作家	25	低(要確認)
21884	カレー漫	巻内多作家	25	低(要確認)
55351	マンガ酒	巻内多作家	25	低(要確認)
71087	まんが知ってはいけない消えた有名人の謎	巻内多作家	25	低(要確認)
71608	もっと死ぬほど怖い話	巻内多作家	25	低(要確認)
109013	猫ばか	巻内多作家	25	低(要確認)
110851	真説コミック稲川淳二のすごーく恐い話	巻内多作家	25	低(要確認)
122911	ぷち本当にあった愉快な話目撃!!事件現場SP	巻内多作家	25	低(要確認)
125885	〔○生〕サイテー葬式＆結婚式読者投稿ベスト	巻内多作家	25	低(要確認)
125899	ぷち本当にあった愉快な話 ヤバイ場所に逝ってQ	巻内多作家	25	低(要確認)
125921	ぷち本当にあった愉快な話悶絶!!死ぬかと思ったSP	巻内多作家	25	低(要確認)
125936	メガ盛!!本当にあった愉快な話ブラックな職場SP	巻内多作家	25	低(要確認)
125937	メガ盛!!本当にあった愉快な話他人の不幸でめっちゃワロタSP	巻内多作家	25	低(要確認)
125952	本当にあった〔○生〕ここだけの話超	巻内多作家	25	低(要確認)
128625	新世紀エヴァンゲリオン	巻内多作家	25	低(要確認)
131768	LOVE&PEACE	巻内多作家	25	低(要確認)
136928	ひぐらしのなく頃に	巻内多作家	25	低(要確認)
137246	ぷち本当にあった愉快な話ギラギラ!!夜遊びSP	巻内多作家	25	低(要確認)
137581	まんがTV放送禁止＆放送事故	編+巻内多作家	25	低(要確認)
137613	まんがこれが現実貧しい日本	巻内多作家	25	低(要確認)
137815	めちゃ盛!本当にあった〔○生〕ここだけの話祭	巻内多作家	25	低(要確認)
146705	一騎当千	編+巻内多作家	25	低(要確認)
148662	全部ホンネの笑える話	巻内多作家	25	低(要確認)
153616	心霊実況中継スペシャル	編+巻内多作家	25	低(要確認)
158930	熱狂短編マンガ傑作集'83	巻内多作家	25	低(要確認)
161258	稲川淳二の超こわい話	巻内多作家	25	低(要確認)
100869	恐怖のテレビ業界ザ・ベスト	巻内多作家	24	低(要確認)
107975	潜入せよ!!日本裏現場	巻内多作家	24	低(要確認)
120519	ぷち本当にあった愉快な話 激ヤバ!!ヤっちゃん列伝	巻内多作家	24	低(要確認)
120520	ぷち本当にあった愉快な話(ヤ)裏稼業スペシャル	巻内多作家	24	低(要確認)
123030	LOVE＆PEACE	巻内多作家	24	低(要確認)
125946	メガ盛!本当にあった〔○生〕妊娠出産体験SP	巻内多作家	24	低(要確認)
125964	激盛!本当にあった〔○生〕私の夏大反省会SP	巻内多作家	24	低(要確認)
127903	コミックルナ	巻内多作家	24	低(要確認)
133073	on BLUE	巻内多作家	24	低(要確認)
137255	ぷち本当にあった愉快な話芸能人ダメ出しスクープSP	巻内多作家	24	低(要確認)
137816	めちゃ盛!本当にあった〔○生〕ここだけの話祭	巻内多作家	24	低(要確認)
137819	めちゃ盛!本当にあった〔○生〕ここだけの話祭	巻内多作家	24	低(要確認)
142549	ティータイム	巻内多作家	24	低(要確認)
143873	パンプキン	巻内多作家	24	低(要確認)
12863	マンガ肉	巻内多作家	23	低(要確認)
53662	Rozen Maiden Entr'acte	巻内多作家	23	低(要確認)
71100	まんが衝撃の実話 悲惨な人	巻内多作家	23	低(要確認)
71101	まんが衝撃の被害者体験許せない人人生捨てたくなるドクソ話	巻内多作家	23	低(要確認)
76694	コミック実話恐怖体験ほんとにあった話	巻内多作家	23	低(要確認)
94391	夜のビジネスホントの真相DX	巻内多作家	23	低(要確認)
97052	実録日本のタブー	巻内多作家	23	低(要確認)
102176	戦慄!!芸能界の都市伝説	巻内多作家	23	低(要確認)
108745	犯罪芸能タブーとスキャンダルDX 御用必至!タレントたちのエグい日常	巻内多作家	23	低(要確認)
114331	芸能人が話せなかった怖い話	巻内多作家	23	低(要確認)
116278	超日本タブー地帯SP	巻内多作家	23	低(要確認)
121699	いただき〔□／〕幸せごはん	巻内多作家	23	低(要確認)
121902	萌えの真理	巻内多作家	23	低(要確認)
123356	ぷち本当にあった愉快な話刑務所の人々SP	巻内多作家	23	低(要確認)
123854	ぷち本当にあった愉快な話芸能人ダメ出しSP	巻内多作家	23	低(要確認)
125884	〔○生〕お仕事ウラ話読者投稿ベスト 元スタッフが激白!衝撃ヤバヤバ業界(秘)スク	巻内多作家	23	低(要確認)
125889	〔○生〕夏九死に一生読者投稿ベスト	巻内多作家	23	低(要確認)
125902	ぷち本当にあった愉快な話 壮絶!!怪異体験EX	巻内多作家	23	低(要確認)
125914	ぷち本当にあった愉快な話他人の不幸で大いにワロタSP	巻内多作家	23	低(要確認)
125919	ぷち本当にあった愉快な話実話!!鬼畜な事件ファイル	巻内多作家	23	低(要確認)
125925	ぷち本当にあった愉快な話目撃!!事件現場max	巻内多作家	23	低(要確認)
125961	激盛!本当にあった〔○生〕サイテー葬式＆結婚式SP	巻内多作家	23	低(要確認)
125968	特盛!本当にあった〔○生〕痛かった武勇伝SP	巻内多作家	23	低(要確認)
127010	コミティア30thクロニクル	巻内多作家	23	低(要確認)
127369	地獄少女閻魔あいセレクション激こわストーリー	巻内多作家	23	低(要確認)
