isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784868120247	2025.1	ワニマガジン社	WANIMAGAZINE COMICS SPEC		あいとえき	アイトエキ	fu-ta 著	fu-ta:著
9784065382028	2025.1	講談社	講談社文庫 ; こ97-1		愛の人やなせたかし	アイノヒトヤナセタカシ	小手鞠, るい, 1956-	小手鞠るい [著]:
9784106023071	2025.1	新潮社	とんぼの本		青池保子 : 騒がしき男たちとマンガの冒険	アオイケヤスコ:サワガシキオトコタチトマンガノボウケン	青池, 保子, 1948-/新潮社	青池保子:著/芸術新潮編集部:編
9784047381056	2025.1	KADOKAWA	HARTA COMIX		青の秘密 = Secrets in Blue	アオノヒミツ		
9784758086363	2025.1	一迅社	IDコミックス. Zero-sum comics	3	悪役令嬢ですが、ヒロインに攻略されてますわ!? : アンソロジーコミック. 3	アクヤクレイジョウデスガ、ヒロインニコウリャクサレテマスワ!?:アンソロジーコミ		
9784867943892	2025.1	TOブックス	コロナ・コミックス	8	アナザー・フロンティア・オンライン～生産系スキルを極めたらチートなNPCを雇えるようになりました～@COMIC. 8	アナザーフロンティアオンラインセイサンケイスキルオキワメタラチートナエヌピーシー	fufu/ぺんぎん	fufu:著/ぺんぎん:原作/YuzuKi:キャラクター原案
9784821159635	2025.1	ぶんか社	Bunkasha comics		あなたが体験した怖い話 : 前世の怖い因縁	アナタガタイケンシタコワイハナシ:ゼンセノコワイインネン		
9784408177151	2025.1	実業之日本社	マンサンコミックス		妖 : 輪廻の事件簿	アヤカシ:リンネノジケンボ	山本, まゆり/一綺, サチア/三原, 千恵利/説話社	山本まゆり, 一綺サチア, 三原千恵利, 紫垣まゆみ, 冬森雪湖:著/説話社 編集:
9784866538358	2025.1	コアマガジン	メガストアコミックスシリーズ ; No.787		アンダーザスカート	アンダーザスカート	SAEKI 著	SAEKI:著
9784434350849	2025.1	リベラル社			いくつになっても夢を追い続けるやなせたかしの言葉 = 80 WORDS OF TAKASHI YANASE	イクツニナッテモユメオオイツズケルヤナセタカシノコトバ	桑原, 晃弥, 1956-	桑原晃弥:著
9784823607936	2025.1	ジーオーティー	GOT COMICS		イケナイことだ～いすき	イケナイコトダーイスキ	mirudora 著	mirudora:著
9784823607950	2025.1	ジーオーティー	GOT COMICS		いけないよ、佐藤先生!	イケナイヨサトウセンセイ	高野真之 著	高野真之:著
9784823607967	2025.1	ジーオーティー	GOT COMICS		陰キャ優等生の性交体験	インキャユウトウセイノセイコウタイケン	広乃あずま 著	広乃あずま:著
9784868120261	2025.1	ワニマガジン社	WANIMAGAZINE COMICS SPEC		淫謀	インボウ	シャイン・ナビス 著	シャイン・ナビス:著
9784065400326	2025.7	講談社		45	宇宙兄弟 45	ウチュウキョウダイ	小山, 宙哉	小山宙哉著:
9784867943700	2025.1	TOブックス	コロナ・コミックス	4	羽林、乱世を翔る : 異伝淡海乃海. 4	ウリンランセオカケル:イデンアフミノウミ	藤科, 遥市, 1989-/イスラーフィール	藤科遥市:著/イスラーフィール:原作/碧風羽:キャラクター原案
9784867943878	2025.1	TOブックス	コロナ・コミックス	7	運命の番?ならばその赤い糸とやら切り捨てて差し上げましょう@COMIC = Threads of Fate?Well Then,I Shall Cut It Off. 7	ウンメイノツガイナラバソノアカイイトトヤラキリステテサシアゲマショウアットマーク	南澤, 久佳/音無, 砂月	南澤久佳:著/音無砂月:原作/iyutani:キャラクター原案
9784046843463	2025.1	KADOKAWA	フロースコミック	1	王子様などいりません! = I don&#39;t need a prince. : 脇役の金持ち悪女に転生していたので、今世では贅沢三昧に過ごします. 1	オウジサマナドイリマセン	ゆいまーる/別所, 燈	ゆいまーる:漫画/別所燈:原作/コユコム:キャラクター原案
9784107728159	2025.4	新潮社		20	応天の門 = Ohten no mon 20	オウテンノモン	灰原, 薬	灰原薬 [著]:
9784434347481	2025.1	ブラスト出版	occupai	[7]	おーばーふろぉ. [7]	オーバーフロォ	かいづか 著	かいづか:著
9784773066043	2025.1	笠倉出版社	Cult comics. Love chucol	7	幼馴染は一卵性の獣. 7	オサナナジミワイチランセイノケダモノ	あわい, ぽっぽ/さくら, 蒼	あわいぽっぽ, さくら蒼:著
9784046845146	2025.1	KADOKAWA	フロースコミック	1	鬼狩り神社の守り姫. 1	オニガリジンジャノマモリヒメ	牛舌/やしろ, 慧	牛舌:著/やしろ慧:原作/白谷ゆう:キャラクター原案
9784758019521	2025.1	一迅社	Lake		俺、異世界でとろとろに愛されちゃってます : アンソロジー	オレ、イセカイデトロトロニアイサレチャッテマス:アンソロジー		
9784867943885	2025.1	TOブックス	コロナ・コミックス	2	顔が見分けられない伯爵令嬢ですが、悪人公爵様に溺愛されています@COMIC = She is a countess whose face is unrecognizable,but she is doted upon by the evil	カオガミワケラレナイハクシャクレイジョウデスガアクニンコウシャクサマニデキアイサ	樋木, ゆいち/櫻田, りん	樋木ゆいち:著/櫻田りん:原作/紫藤むらさき:キャラクター原案
9784046828293	2025.1	KADOKAWA	フロースコミック	1	鴉天狗様と最愛の契り : 落ちこぼれの私が、最強のあやかしに執着されるまで. 1	カラステングサマトサイアイノチギリ:オチコボレノワタシガサイキョウノアヤカシニシ	七瀬, なつ/琴子	七瀬なつ:漫画/琴子:原作
9784758019507	2025.1	一迅社		2	カワイイ恋は着飾らない = DON&#39;T DRESS UP MY SWEET SWEET LOVE. 2	カワイイコイワキカザラナイ	直, 正也	直正也:著
9784870424555	2025.1	あまとりあ社	バイキングコミックススペシャル		監禁飼育 : JKペット	カンキンシイク:ジェイケイペット	やまのべきった 著	やまのべきった:著
9784778323332	2025.10	太田出版		1	起承転転 1	キショウテンテン	雁, 須磨子	雁須磨子著:
9784866538471	2025.1	コアマガジン	メガストアコミックスシリーズ ; No.789		キミ推しっ!	キミオシッ	雨宮ミズキ 著	雨宮ミズキ:著
9784823607929	2025.1	ジーオーティー	GOT COMICS		キミの本性を曝して	キミノホンショウオサラシテ	れい 著	れい:著
9784334808563	2025.1	光文社		3	キラー通りのソムリエ探偵. 3	キラードオリノソムリエタンテイ	天樹, 征丸, 1962-/草壁, エリザ	天樹征丸:原作/草壁エリザ:漫画
9784823607905	2025.1	ジーオーティー	GOT COMICS		KING of the PARADISE	キングオブザパラダイス	Karl 著	Karl:著
9784091582089	2025.12	小学館		21	薬屋のひとりごと : 猫猫の後宮謎解き手帳 21	クスリヤノヒトリゴト:マオマオノコウキュウナゾトキテチョウ	日向, 夏/倉田, 三ノ路/しの, とうこ	日向夏原作 ; 倉田三ノ路作画 ; しのとうこキャラクター原案:
9784091578815	2025.5	小学館		20	薬屋のひとりごと : 猫猫の後宮謎解き手帳 20	クスリヤノヒトリゴト:マオマオノコウキュウナゾトキテチョウ	日向, 夏/倉田, 三ノ路/しの, とうこ	日向夏原作 ; 倉田三ノ路作画 ; しのとうこキャラクター原案:
9784798636184	2025.1	ホビージャパン	HJコミックス ; HJC367	3	グランアヴェール : お守りの魔導師は最推しラスボスお兄様を救いたい. 3	グランアヴェール:オマモリノマドウシワサイオシラスボスオニイサマオスクイタイ	彩戸, ゆめ/夏河, もか	彩戸ゆめ:原作/夏河もか:漫画
9784868120216	2025.1	ワニマガジン社	WANIMAGAZINE COMICS SPEC		ケモミミの占術師	ケモミミノセンジュツシ	れぐでく 著	れぐでく:著
9784867166857	2025.1	マイクロマガジン社	Ride Comics	13	賢者の弟子を名乗る賢者 = She professed herself pupil of the wise man. : THE COMIC. 13	ケンジャノデシオナノルケンジャ	すえみつ, ぢっか/りゅうせん, ひろつぐ	すえみつぢっか:漫画/りゅうせんひろつぐ:原作/藤ちょこ:キャラクター原案
9784046844033	2025.2	KADOKAWA		14	外科医エリーゼ 14	ゲカイエリーゼ	mini/yuin	mini漫画 ; yuin原作 = Surgeon Elise:
9784046838629	2025.1	KADOKAWA	フロースコミック	1	皇帝廟の花嫁探し. 1	コウテイビョウノハナヨメサガシ	こより, さつき/藤乃, 早雪	こよりさつき:漫画/藤乃早雪:原作/Nardack:キャラクター原案
9784801942707	2025.1	竹書房	華猫	2	皇帝陛下のスキャンダル☆ベイビー : 逃亡するはずが甘く捕まえられました. 2	コウテイヘイカノスキャンダルベイビー:トウボウスルハズガアマクツカマエラレマシタ	佐東, ゆかり/藍杜, 雫	佐東ゆかり:作画/藍杜雫:原作
9784801942714	2025.1	竹書房	華猫	3	皇帝陛下のスキャンダル☆ベイビー : 逃亡するはずが甘く捕まえられました. 3	コウテイヘイカノスキャンダルベイビー:トウボウスルハズガアマクツカマエラレマシタ	佐東, ゆかり/藍杜, 雫	佐東ゆかり:作画/藍杜雫:原作
9784867943830	2025.1	TOブックス	コロナ・コミックス	3	心の声が聞こえる悪役令嬢は、今日も子犬殿下に翻弄される@COMIC. 3	ココロノコエガキコエルアクヤクレイジョウワキョウモコイヌデンカニホンロウサレルア	百畑, うな/かのん, 1988-	百畑うな:著/かのん:原作/Shabon:キャラクター原案
9784046844347	2025.1	KADOKAWA	fleur comics		この探偵、欲張りにつき	コノタンテイヨクバリニツキ	小津, リオ	小津リオ:著
9784864425186	2025.1	東京漫画社	MARBLE COMICS		こぼれるアンビバレンス	コボレルアンビバレンス	はかた	はかた:著
9784046844361	2025.1	KADOKAWA	MFコミックス. ジーンシリーズ		SERVAMPコンプリートガイドブック = SERVAMP COMPLETE GUIDE BOOK	サーヴァンプコンプリートガイドブック	田中, ストライク	田中ストライク:著
9784074602339	2025.1	主婦の友社			柴犬食堂の12カ月	シバイヌショクドウノジュウニカゲツ	影山, 直美	影山直美:著
9784088935553	2025.2	集英社	ヤングジャンプコミックス	5	アイアンファミリア = IRON FAMILIAR. 5	アイアンファミリア	竜丸	竜丸:著
9784758019583	2025.2	一迅社	ベビードール×comics		愛が重い婚約者に淫らにイカされちゃうアンソロジー : ナカまで蕩けて満たされる	アイガオモイコンヤクシャニミダラニイカサレチャウアンソロジー:ナカマデトロケテミ		
9784048996679	2025.2	ブシロードワークス	ブシロードコミックス		愛さないと言われた令嬢ですが、勝手に幸せになりますのでお構いなく! : アンソロジーコミック	アイサナイトイワレタレイジョウデスガカッテニシアワセニナリマスノデオカマイナク:		
9784098537785	2025.2	小学館	少年サンデーコミックス	36	アオアシ. 36	アオアシ	小林, 有吾	小林有吾:著
9784098537792	2025.2	小学館	少年サンデーコミックス	37	アオアシ. 37	アオアシ	小林, 有吾	小林有吾:著
9784582946338	2025.2	平凡社	別冊太陽. 太陽の地図帖 ; 041		青池保子『エロイカより愛をこめて』の世界	アオイケヤスコエロイカヨリアイオコメテノセカイ		
9784861174704	2025.2	文苑堂	バベルコミックス		あなたにご奉仕するために	アナタニゴホウシスルタメニ	可座ミドリ 著	可座ミドリ:著
9784823608117	2025.2	ジーオーティー	GOT COMICS		あの、もう1回しませんか…?	アノモウイッカイシマセンカ	ろうか 著	ろうか:著
9784416524077	2025.2	誠文堂新光社			ある手芸中毒者の告白 : ひそかな愉しみと不安 縫い欲にまみれたその日常	アルシュゲイチュウドクシャノコクハク:ヒソカナタノシミトフアンヌイヨクニマミレタ	グレゴリ青山, 1966-	グレゴリ青山:著
9784868120315	2025.2	ワニマガジン社	WANIMAGAZINE COMICS SPEC		異種族ラブガールズ	イシュゾクラブガールズ	アシオミマサト 著	アシオミマサト:著
9784823608094	2025.2	ジーオーティー	GOT COMICS		異世界!異文化!性交流!	イセカイイブンカセイコウリュウ	由雅なおは 著	由雅なおは:著
9784344855571	2025.2	幻冬舎コミックス	バーズコミックス	4	異世界に来たみたいだけど如何すれば良いのだろう : 社畜SEのマイペース冒険記. 4	イセカイニキタミタイダケドドウスレバヨイノダロウ:シャチクSEノマイペースボウケ	舞, pub. 2016/天野, こひつじ	舞:原作/天野こひつじ:作画
9784046838445	2025.2	KADOKAWA	フロースコミック		一途な彼と紡ぐ運命の恋 : 軍服男子アンソロジー	イチズナカレトツムグウンメイノコイ:グンプクダンシアンソロジー		
9784757596856	2025.2	スクウェア・エニックス	ガンガンコミックスjoker	1	犬窪ノアとなかよしするまで. 1	イヌクボノアトナカヨシスルマデ	塩井, こぬ	塩井こぬ:著
9784088935560	2025.2	集英社	ヤングジャンプコミックス	10	イリオス = IΛIOΣ. 10	イリオス	円城寺, 真己	円城寺真己:著
9784799219973	2025.2	キルタイムコミュニケーション	二次元ドリームコミックス ; 758		淫辱迷宮 : エロトラップで乱れ咲く魔勇	インジョクメイキュウ:エロトラップデミダレザクマユウ	へたれん 著	へたれん:著
9784799220023	2025.2	キルタイムコミュニケーション	アンリアルコミックス ; 328		淫足のマリオネット : 触手に溺れるオトメ達	インソクノマリオネット:ショクシュニオボレルオトメタチ	蘭田夢 著	蘭田夢:著
9784065385593	2025.2	講談社	ヤンマガKC	1	上野くんは開発済み = ueno-kun has been developed. 1	ウエノクンワカイハツズミ	中浦, トモキ	中浦トモキ:著
9784098540129	2025.2	小学館	少年サンデーコミックス	3	写らナイんです = The ghost doesn&#39;t show up. 3	ウツラナインデス	コノシマ, ルカ	コノシマルカ:著
9784813764168	2025.2	スターツ出版	グラストCOMICS ; し1-6	6	Sランクパーティーを無能だと追放されたけど、〈鑑定〉と〈治癒魔法〉で成り上がり無双. 6	エスランクパーティーオムノウダトツイホウサレタケドカンテイトチユマホウデナリアガ	ジアナズ/昼行燈	ジアナズ:作画/昼行燈:原作/riritto:キャラクター原案
9784813764182	2025.2	スターツ出版	グラストCOMICS ; さ1-6	6	えろいことするために巨乳美少女奴隷を買ったはずが、お師匠さまと慕われて思った通りにいかなくなる話. 6	エロイコトスルタメニキョニュウビショウジョドレイオカッタハズガオシショウサマトシ	佐藤, 36/煮豆シューター	佐藤36:作画/煮豆シューター:原作
9784592225225	2025.2	白泉社	花とゆめCOMICS	7	推しに甘噛み. 7	オシニアマガミ	鈴木, ジュリエッタ	鈴木ジュリエッタ:著
9784344855519	2025.2	幻冬舎コミックス	バーズコミックス	2	おひゃくどまいり. 2	オヒャクドマイリ	高尾, じんぐ	高尾じんぐ:
9784785978570	2025.2	少年画報社	ぐる漫	No. 80 (熱々♨ハンバーグ編)	思い出食堂. No. 80 (熱々♨ハンバーグ編)	オモイデショクドウ		
9784098538805	2025.2	小学館	サンデーうぇぶり少年サンデーコミックス	3	Kaiju on the Earthボルカルス = KAIJU ON THE EARTH VULCANUS. 3	カイジュウオンジアースボルカルス	渡辺, 範明/中道, 裕大/松本, 智明/松浦, まさふみ	渡辺範明:原作/中道裕大:作画/中北晃二 デザイン原案:/松本智明 怪獣デザイン:/松浦まさふみ メカデザイン:
9784098540150	2025.2	小学館	少年サンデーコミックス	1	界変の魔法使い. 1	カイヘンノマホウツカイ	田辺, イエロウ	田辺イエロウ:著
9784592225195	2025.2	白泉社	花とゆめCOMICS	13	顔だけじゃ好きになりません. 13	カオダケジャスキニナリマセン	安斎, かりん	安斎かりん:著
9784801985490	2025.2	竹書房	Bamboo comics. Moment		輝く僕は君のあまいドロップ	カガヤクボクワキミノアマイドロップ	たけはら, ひなこ	たけはらひなこ:
9784592230564	2025.2	白泉社	HC Special		輝ける星 = Shining Star	カガヤケルホシ	椎名, 橙	椎名橙:著
9784088431246	2025.2	集英社	マーガレットコミックス	7	隠したがりの同期くん. 7	カクシタガリノドウキクン	袖山, みみり	袖山みみり:著
9784592165934	2025.2	白泉社	YOUNG ANIMAL COMICS	1	かさねがさねの初恋ですが. 1	カサネガサネノハツコイデスガ	もろみ, 新	もろみ新:著
9784758028493	2025.2	一迅社	IDコミックス. Gateau comics		風の色まで憶えてる	カゼノイロマデオボエテル	飾	飾:
9784434353079	2025.2	アルファポリス	&amp;arche COMICS		買った天使に手が出せない	カッタテンシニテガダセナイ	キトー/不破, 希海	キトー:原作/不破希海:漫画
9784088935522	2025.2	集英社	ヤングジャンプコミックス	14	カット&amp;ペーストでこの世界を生きていく. 14	カットアンドペーストデコノセカイオイキテイク	咲夜/天野, ハザマ/加藤, コウキ	咲夜, 天野ハザマ:原作/加藤コウキ:漫画/PiNe キャラクター[ほか]原案:
9784866578255	2025.2	フロンティアワークス	Daria comics	3	カドル : 獣人オメガバース. 3	カドル:ジュウジンオメガバース	羽純, ハナ	羽純ハナ:著
9784863114326	2025.2	産業編集センター			亀に無視され続けています	カメニムシサレツズケテイマス	カメユ	カメユ:著
