slug	base_title	kana	author
akuyumereijouwaikkametsubounoyumeomita-watashinomokutekiwaikinobirukoto	悪夢令嬢は一家滅亡の夢を見た : 私の目的は生き延びることです	アクユメレイジョウワイッカメツボウノユメオミタ:ワタシノモクテキワイキノビルコト	近衛悠
akuyakureijoutoakuyakureisokugadeattekoiniochitanara-nanashinoseirei	悪役令嬢と悪役令息が、出逢って恋に落ちたなら : 名無しの精霊と契約して追い出された令嬢は、今日も令息と競い合っているようです : コミック	アクヤクレイジョウトアクヤクレイソクガデアッテコイニオチタナラ:ナナシノセイレイ	迂回チル
akuyakureijounomamahahanitenseishitanodemusumeoshiawasenishimasu-chikarazu	悪役令嬢の継母に転生したので娘を幸せにします、力尽くで。 : the comic	アクヤクレイジョウノママハハニテンセイシタノデムスメオシアワセニシマス、チカラズ	深澄なん
aisaresuginomigawarikon-omiaiaitewahatsukoinokaredeshita	愛されすぎの身代わり婚 : お見合い相手は初恋の彼でした	アイサレスギノミガワリコン:オミアイアイテワハツコイノカレデシタ	高瀬綾
aishisugiruniizuma	愛しすぎる新妻	アイシスギルニイズマ	御雲推
gokujoumechamoteiinchougaidenmechamoteiinchoudattawatashigaise	極上!!めちゃモテ委員長外伝めちゃモテ委員長だった私が異世界でも極上めざします!!	ゴクジョウメチャモテイインチョウガイデンメチャモテイインチョウダッタワタシガイセ	にしむらともこ
gokujoukishidanchounosekkusutoreeningu-sonokyodaisugiruaisubeteuke	極上騎士団長の溺愛調教 : その巨大すぎる愛、すべて受け入れてみせます!	ゴクジョウキシダンチョウノセックストレーニング:ソノキョダイスギルアイスベテウケ	クロサキゼロ
dekikon-dekiaisarerudekichattakon	溺婚 : 溺愛されるできちゃった婚	デキコン:デキアイサレルデキチャッタコン	斗田めぐみ
oujinosairen	王子の最恋	オウジノサイレン	いくたはな
isekaidesukiruokaitaishitarachiitonayomegazoushokushimashita-gainenkousa	異世界でスキルを解体したらチートな嫁が増殖しました : 概念交差のストラクチャー	イセカイデスキルオカイタイシタラチートナヨメガゾウショクシマシタ:ガイネンコウサ	カタセミナミ
isekainobinbounoukanitenseishitanoderengaotsukutteshirootaterukotonishima	異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました : @COMIC	イセカイノビンボウノウカニテンセイシタノデレンガオツクッテシロオタテルコトニシマ	槙島ギン
isekaisoopurandokaguyagaiden-anzukuesuto-otenbaawahimenodaibouken	異世界ソープランド輝夜外伝あんずクエスト : おてんば泡姫の大冒険	イセカイソープランドカグヤガイデンアンズクエスト:オテンバアワヒメノダイボウケン	猪熊しのぶ
isekaiseitaishi-bijomoajinmomamonomoryuumo-omaerazen-inmomihogusu	異世界整体師 : 美女も亜人も魔物も竜も、お前ら全員揉みほぐす!!	イセカイセイタイシ:ビジョモアジンモマモノモリュウモ、オマエラゼンインモミホグス	吉いず
