誤付与作品	誤の著者	何を	どう直す	正所有者	正の著者(NDL)	根拠	HIGH巻数	要確認巻数
sai	ワタセセイゾウ	除去すべきISBN 1巻	別作のISBN→「sai」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	遊人	NDL著者=遊人(誤付与作の著者「ワタセセイゾウ」と不一致) / 楽天題=Sigh	1	0
valkyrie-profile-2000	魔神ぐり子	除去すべきISBN 1巻(＋要確認2)	別作のISBN→「valkyrie-profile-2000」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	藍山恵	NDL著者=藍山恵(誤付与作の著者「魔神ぐり子」と不一致) / 楽天題=ヴァルキリープロファイル（3）	1	2
tales-of-destiny	啄木鳥しんき	除去すべきISBN 1巻	別作のISBN→「tales-of-destiny」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	啄木鳥しんき	NDL著者=啄木鳥しんき(誤付与作の著者「啄木鳥しんき」と不一致) / 楽天題=アストロノミコン（1（アマゾンレッド））	1	0
hypnosis-mic-before-the-battle-the-dirty-dawg	百瀬祐一郎	除去すべきISBN 1巻	別作のISBN→「hypnosis-mic-before-the-battle-the-dirty-dawg」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	evil;line;records	NDL著者=evil;line;records(誤付与作の著者「百瀬祐一郎」と不一致) / 楽天題=	1	0
steins-gate-2011	5pb.;nini;ニトロプラス	除去すべきISBN 1巻	別作のISBN→「steins-gate-2011」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	さらちよみ	NDL著者=さらちよみ(誤付与作の著者「5pb.;nini;ニトロプラス」と不一致) / 楽天題=	1	0
face-2019	サカワキヒロ太;村生ミオ	除去すべきISBN 1巻(＋要確認1)	別作のISBN→「face-2019」から除去。正所有者「face-osaka-1998」が保有	face-osaka-1998	逢坂みや	NDL著者=逢坂みや(誤付与作の著者「サカワキヒロ太;村生ミオ」と不一致) / 楽天題=Face（1）	1	1
face	ゆきもりりょう	除去すべきISBN 1巻(＋要確認1)	別作のISBN→「face」から除去。正所有者「face-osaka-1998」が保有	face-osaka-1998	逢坂みや	NDL著者=逢坂みや(誤付与作の著者「ゆきもりりょう」と不一致) / 楽天題=Face（1）	1	1
sakura-2020	タイラ;フクシマハルカ;西加奈子	除去すべきISBN 1巻	別作のISBN→「sakura-2020」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	いずみきょうた	NDL著者=いずみきょうた(誤付与作の著者「タイラ;フクシマハルカ;西加奈子」と不一致) / 楽天題=	1	0
sakura-moon	吉村明美	除去すべきISBN 1巻	別作のISBN→「sakura-moon」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	いずみきょうた	NDL著者=いずみきょうた(誤付与作の著者「吉村明美」と不一致) / 楽天題=	1	0
cyber-comics	北崎拓	除去すべきISBN 1巻	別作のISBN→「cyber-comics」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	松浦まさふみ	NDL著者=松浦まさふみ(誤付与作の著者「北崎拓」と不一致) / 楽天題=	1	0
