slug,title,total_vols,covered,missing,edition,volume,isbn13,has_isbn
0-love,0-LOVE,6,2,4,standard,1,9784091333612,yes
0-love,0-LOVE,6,2,4,standard,2,9784091333629,yes
0-love,0-LOVE,6,2,4,standard,3,9784091333636,yes
0-love,0-LOVE,6,2,4,standard,4,9784091333643,yes
007-nowa-yatsura-da,007死ぬのは奴らだ,2,1,1,bunkobon,1,,no
007-ougon-no-juu-o-motsu-otoko,007黄金の銃を持つ男,2,1,1,bunkobon,1,,no
0man,0マン,9,2,7,standard,1,,no
0man,0マン,9,2,7,standard,2,,no
0man,0マン,9,2,7,standard,3,,no
0man,0マン,9,2,7,standard,4,,no
0man,0マン,9,2,7,standard,5,,no
0man,0マン,9,2,7,standard,6,,no
0man,0マン,9,2,7,standard,7,,no
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,1,9784061725652,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,2,9784061725737,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,3,9784061725997,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,4,9784061726024,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,5,9784061726253,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,6,,no
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,7,9784061726642,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,8,9784061726840,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,9,9784061726857,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,10,9784061727113,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,11,9784061727236,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,12,9784061727458,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,13,9784061727687,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,14,9784061727816,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,15,9784061727991,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,16,9784061728127,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,17,9784061728301,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,18,9784061728479,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,19,9784061728592,yes
1-2-no-1-rou,1・2の三四郎,32,12,20,standard,20,9784061728844,yes
1-love-9,1〔LOVE〕9,3,1,2,standard,2,9784048679626,yes
1-love-9,1〔LOVE〕9,3,1,2,standard,3,9784048685573,yes
1-oku-issenman-no-watashi,1億1千万のわたし,4,1,3,standard,1,9784088490939,yes
1-oku-issenman-no-watashi,1億1千万のわたし,4,1,3,standard,2,9784088491011,yes
1-oku-issenman-no-watashi,1億1千万のわたし,4,1,3,standard,3,9784088491257,yes
