slug	title	edition	vol	cur_isbn
0-1988	0人間・八百八だぬき	standard	1	9784893510341
008-uchuutoshizerozerohachi	空中都市008	bunkobon	1	9784061471702
01-2001	01	standard	1	9784796622523
0sen-kamen	0戦仮面	standard	1	9784775911020
1-1-wa	1+1は?	standard	1	9784160900523
1-2fairy	1/2FAIRY!	standard	1	9784592118480
1-gatsu-no-rondo	1月の輪舞	standard	1	9784592125129
1-love-9	1〔LOVE〕9	standard	2	9784048679626
1-love-9	1〔LOVE〕9	standard	3	9784048685573
1-n-no-yuragi	1/Nのゆらぎ	standard	1	9784757506336
1-noshitsuketokenkou	1・2・3歳のしつけと健康	standard	1	9784093110037
1-okubunnoichi-no-koibito	百億分の1の恋人	standard	1	9784091334923
1-suu-no-douka	1スウの銅貨	standard	1	9784803329414
1-tasu-ichi-wa-0	1+1=0	standard	1	9784592177555
1-to-2	1と2	standard	2	9784253044806
10-2000	10	standard	1	9784789782616
10-bunnoichi-no-naisho-banashi	1/10のないしょ話	standard	1	9784592114062
10	10	standard	1	9784088615301
100-karatto-bambino	100カラット★バンビーノ	standard	1	9784403660429
100-mandoru-naito	100万＄ナイト	standard	1	9784886729408
100-mandoru-naito	100万＄ナイト	standard	2	9784886729545
100-ninme-no-sumaafu	100人めのスマーフ	standard	1	9784915632051
1000nichi-no-diana	1000日のディアナ	standard	1	9784088543604
100m-jumper	100Mジャンパー	standard	1	9784088510095
101-pikininjadai-koushin	101匹忍者大行進	standard	1	9784924802025
109banme-no-boku-no-hime	109ばんめのぼくの姫	standard	1	9784592116523
10gatsu-no-puranetariumu	10月のプラネタリウム	standard	1	9784838709151
11-gatsu-no-gymnasium	11月のギムナジウム	bunkobon	1	9784091907110
11-gatsudemohanabi	11月でも花火	standard	1	9784061745186
11-nin-iru	11人いる!	bunkobon	1	9784091907127
12-daasu-no-ikareru-onna	12ダースの怒れる女	standard	1	9784592150428
12-gatsu-no-rabu-sketch	12月のラブ・スケッチ	standard	1	9784257918202
12-nijuuyo-suki-na-hito	12/24.好きな人。	standard	1	9784063412628
12-seiza-no-serenade	12星座のセレナーデ	standard	1	9784892363634
12-seiza-no-serenade	12星座のセレナーデ	standard	2	9784892363641
12shoku-no-cocktail	12色のカクテル	standard	1	9784575289237
13-gakkou-kaidan	13-学校怪談-	standard	1	9784257985419
13-nichi-no-ochazukenori	13日の御茶漬海苔	standard	1	9784257961789
13	13	standard	1	9784088618234
130senchi-no-dandy	130センチのダンディ	standard	1	9784592123316
14-yon	14	standard	1	9784088618241
14sai-manual	14さいマニュアル	standard	1	9784872783407
14sai-ootomateikku	14さいオートマティック	standard	1	9784872789836
15-no-natsu-ga-yuku	15の夏がゆく	standard	1	9784091316165
15-sainoechuudo	15歳のエチュード	standard	1	9784061785069
15	15	standard	1	9784088618258
1549-jieitai-1549	戦国自衛隊1549	standard	2	9784047137707
15sai	15才	standard	1	9784575817027
16-fiito-no-manatsu	16フィートの真夏	standard	1	9784091512512
16-fiito-no-manatsu	16フィートの真夏	standard	2	9784091512529
16-sai-kiss	16歳KISS	standard	1	9784575817027
16	16	standard	1	9784088618265
17-bangai-no-joukei	17番街の情景	standard	1	9784796603294
17-sai-no-canon	17歳のカノン	standard	1	9784061701366
17nichime-no-17-yopan	17日めのショパン	standard	1	9784091324337
18-1990	18	standard	1	9784088618289
18-kai-no-otoko	18階の男	standard	1	9784537005912
19-ban-hole-no-taka	19番ホールの鷹	standard	1	9784420131278
1905-nna-1905	辰奈1905	standard	1	9784882717287
1950nendai	1950年代	standard	1	9784090016585
1960-nendai	1960年代	standard	1	9784090017865
1960-nendai	1960年代	standard	2	9784090017872
1970-nanajuunendai	1970年代	standard	1	9784090018886
1970-nanajuunendai	1970年代	standard	2	9784090018893
1980-nendai	1980年代	standard	1	9784090019104
1986-nen-no-natsu-monogatari	1986年の夏物語	standard	1	9784088492360
1990-nendai	1990年代	standard	1	9784090019159
1993-no-nippon-koufukuna-kekkon	1993年の日本幸福な結婚?	standard	1	9784569221922
1997-daisanji-sekai-taisen	1997第三次世界大戦	standard	1	9784253128643
1999-jinrui-shuumatsu	1999人類終末	standard	1	9784253128650
1999-nostradamus-jigoku-no-x-file	1999ノストラダムス地獄のX-file	standard	1	9784063137088
1999-seikimatsu-no-daikyoufu	1999世紀末の大恐怖!!	standard	1	9784063133837
19sai-no-hisokana-yokubou	19歳の密かな欲望	standard	1	9784835213101
19sai	19歳	standard	1	9784575817027
1k-apaato-no-koi	1Kアパートの恋	standard	1	9784756713889
1nen-3kumi-momochan-sensei	1ねん3くみ桃ちゃん先生。	standard	1	9784047134225
1p-comic-dragon-quest-monsters	1Pコミックドラゴンクエストモンスターズ	standard	1	9784757500372
2-bai-tsuu-channel	2×2チャンネル	standard	1	9784391916096
2-bun-no-1-no-akuma	1/2の悪魔	standard	1	9784821198429
2-choume-no-donkihoote	2丁目のドンキホーテ	standard	1	9784088611761
2-choume-no-donkihoote	2丁目のドンキホーテ	standard	2	9784088611778
2-choume-no-donkihoote	2丁目のドンキホーテ	standard	3	9784088611785
2-choume-no-donkihoote	2丁目のドンキホーテ	standard	4	9784088611792
2-choume-no-donkihoote	2丁目のドンキホーテ	standard	5	9784088611808
2-gatsu-wa-ame-ni-nurete	2月は雨に濡れて	standard	1	9784253120098
2-nen-7-kumi-onna-tomodachi	2年7組❤女ともだち	standard	1	9784061089990
2-tenichiyon-jiken	2.14事件	standard	1	9784592204145
20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu	蔵出し選集!!コミック乱創刊20周年記念特別編集	standard	1	9784845854769
2012-nen-chikyuu-metsubou-no-kiki	2012年地球滅亡の危機!!	standard	1	9784056049558
2014-nama-dokusha-toukou-natsu-za-best	〔○生〕読者投稿夏ザ・ベスト2014	standard	1	9784832253087
202-nigoyoujin	202号室にご用心	standard	1	9784063027242
2050-raishisu-2050	クライシス2050	standard	1	9784063131116
21-sai-no-suiheisen	21歳の水平線	standard	1	9784091336316
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション	standard	1	9784870253742
21seiki-no-asaatsu	21世紀のアサーッ!	standard	1	9784592131991
21seiki-no-nagareboshi	21世紀の流れ星	standard	1	9784088710532
21seiki-no-ookami	21世紀の狼	standard	1	9784877093938
21seiki-no-ookami	21世紀の狼	standard	2	9784877093976
21seiki-no-ookami	21世紀の狼	standard	3	9784877093983
22xx	22XX	standard	1	9784592126553
23-ji	23:00	standard	1	9784592177951
23-no-sakana	23のさかな	standard	1	9784575931587
24-ura-sennyuuhitozuma-tantei-24ji	〔○裏〕潜入!!人妻探偵24時	standard	1	9784845847860
24000-no-hijitetsu	24000回の肘鉄	standard	1	9784838705078
24colors	24COLORS	standard	1	9784408431109
24colors	24COLORS	standard	2	9784408431284
24colors	24COLORS	standard	3	9784408431451
25-ji-no-cinderella	25時のシンデレラ	standard	1	9784091312419
250-bunnoichi-byou-no-koibito	1/250秒の恋人	standard	1	9784391904154
27sai	27歳	standard	1	9784575817027
2821-kokakoora	2821コカコーラ	standard	1	9784403611124
3-gatsu-4-gatsu	3月4月	standard	1	9784403612350
3-gatsu-niwa-kasumisou	3月にはかすみ草	standard	1	9784257918653
3-gatsu-no-inubue	3月の犬笛	standard	1	9784091330864
3-ha-kirai	3は、キライ。	standard	1	9784790104896
3-ji-ni-nattara-paburofu-no-inu	3時になったらパブロフの犬	standard	1	9784420112253
3-nen-b-gumi-kinpachi-sensei-3	3年B組金八先生 3	standard	1	9784847010651
3-nen-b-gumi-kinpachi-sensei-3	3年B組金八先生 3	standard	2	9784847010750
3-nen-c-gumi-noroi-no-kokuban	3年C組呪いの黒板	standard	1	9784253125796
3	3	standard	1	9784883158669
300-ga-edo-bakufu-300nen	まんが江戸幕府300年	standard	1	9784051006228
3000-nen-no-haru	3000年の春	standard	1	9784537004571
31maime-no-31-uhaku	31まいめの空白	standard	1	9784063168013
36-gakotenrakugo36wa	まんが古典落語36話	standard	1	9784839364687
365-nichi-no-koibito	365日の恋人	standard	1	9784592116233
365-no-march	365歩のマーチ	standard	1	9784796296090
37-c	37°C	standard	1	9784592123859
37-c	37°C	standard	2	9784592123866
37-c	37°C	standard	3	9784592123873
37-c	37°C	standard	4	9784592123880
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	1	9784091406217
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	2	9784091406224
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	3	9784091406231
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	4	9784091406248
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	5	9784091406255
3d-koshien-purakon-taisaku	3D甲子園プラコン大作	standard	6	9784091406262
3d-material	3Dマテリアル	standard	1	9784796616621
3nin-de-aishiaimasho	3人で愛しあいましょう?	standard	1	9784253190640
3nin-de-aishiaimasho	3人で愛しあいましょう?	standard	2	9784253190657
3nin-de-aishiaimasho	3人で愛しあいましょう?	standard	3	9784253190664
3nin-de-aishiaimasho	3人で愛しあいましょう?	standard	4	9784253190671
3nin-de-aishiaimasho	3人で愛しあいましょう?	standard	5	9784253190688
4-n-megami-tensei-devil-children-koma-gyagu-battle	真・女神転生デビルチルドレン 4コマギャグバトル	standard	1	9784334805258
4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	standard	1	9784881991428
4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	standard	2	9784881991671
4-sha-no-yokkakan	死者の4日間	standard	1	9784890484195
4ldk-company	4LDKカンパニー	standard	1	9784091317216
4ldk-company	4LDKカンパニー	standard	2	9784091317223
5-00pm-revolution	>5:00PM REVOLUTION	standard	1	9784049240085
5-00pm-revolution	>5:00PM REVOLUTION	standard	2	9784049240115
5-00pm-revolution	>5:00PM REVOLUTION	standard	3	9784049240283
5-00pm-revolution	>5:00PM REVOLUTION	standard	4	9784049240375
5-00pm-revolution	>5:00PM REVOLUTION	standard	5	9784049240498
5-2000	5	standard	1	9784886533685
5-nenme-no-u-turn	5年めのUターン	standard	1	9784088620053
5-noryuu	5五の龍	aizoban	1	9784120017902
5-noryuu	5五の龍	aizoban	2	9784120018169
5-noryuu	5五の龍	bunkobon	1	9784122024816
5-noryuu	5五の龍	bunkobon	2	9784122024823
5-noryuu	5五の龍	bunkobon	3	9784122024830
5-noryuu	5五の龍	bunkobon	4	9784122025066
5-noryuu	5五の龍	bunkobon	5	9784122025073
5-noryuu	5五の龍	bunkobon	6	9784122025080
5	5	standard	1	9784088615257
5000-kounen-no-tora	5000光年の虎	standard	1	9784049210293
56ji-no-koushinkyoku	56時の行進曲	standard	1	9784088508450
5banme-no-meruhen	5番目のめるへん	standard	1	9784061097735
5gatsu-5-iin	5月クィーン	standard	1	9784253072328
5gatsu-no-fushigi	5月の不思議	standard	1	9784061064386
5ji-kara-0ji-made	5時から0時まで	standard	1	9784088620169
5nenme-no-kekkon-kinenbi	5年目の結婚記念日	standard	1	9784575819656
5nenme-no-piitaa-pan	5年めのピーターパン	standard	1	9784061753754
5nin-irutsu	5人いるっ!?	standard	1	9784048672795
6-banmenoniji	6番めの虹	standard	1	9784063173833
6-byou-no-9-gatsu	6秒の9月	standard	1	9784091314314
6	6	standard	1	9784088615264
621-redooria-621nen	クレドーリア621年	standard	1	9784061760882
6banme-no-sekai	6番目の世界	standard	1	9784757713840
7-iro-no-sketch	7色のスケッチ	standard	1	9784088535647
7-ji-o-wataru-7nin	虹を渡る7人	standard	1	9784088533278
7-ninme-wa-warau	7人目は笑う	standard	1	9784592127260
750rock	750ROCK	standard	1	9784821191796
77-rubaa-77	シルバー77	standard	1	9784775911754
7banme-no-7-younen	7番目の少年	standard	1	9784872872057
7iro-no-7-reyon	7色のクレヨン	standard	1	9784088533667
7mai-no-pootoreeto	7枚のポートレート	standard	1	9784088535227
7tsu-no-7-nfonii	7つのシンフォニー	standard	1	9784088536095
7tsu-no-tabidachi	7つの旅立ち	standard	1	9784088532943
7tsu-no-yume-fuusen	7つの夢風船	standard	1	9784088534428
8-beat-no-riizuntachi	8ビートのリーズンたち	standard	1	9784334921651
8-gatsu-no-joudan	8月の冗談	standard	1	9784091330857
8	8マン	bunkobon	1	9784594017231
88-no-natsuyasumi	88の夏休み	standard	1	9784047135840
8gatsu-19nichi-no-8-sou	8月19日の戦争	standard	1	9784418061273
9	9	standard	1	9784088615295
a-a	A-A'	standard	1	9784091780379
a-bu-na-i-danjo-kousai	あ・ぶ・な・い男女交際	standard	1	9784091320933
a-homance	ア・ホーマンス	standard	1	9784575930559
a-little-heaven	A little heaven	standard	1	9784915901034
a-no-higeki	Aの悲劇	standard	1	9784061785212
a-or-abc	A or ABC	standard	1	9784882719083
a-ressha-de-ikou	A列車でいこう	standard	1	9784061761780
a-su	ア○ス	standard	1	9784921181390
a-to-z	A to z	standard	1	9784887415416
a-to-z	A to z	standard	2	9784887415706
a-to-z	A to z	standard	3	9784887415867
aa-ato-ga-nai	ああ!!あとがない	standard	1	9784792603717
aa-nippon-katsudou-daishashin	嗚呼ニッポン活動大写真	standard	1	9784838708659
aaban-gensou	アーバン幻想	standard	1	9784061754041
aakeedogeemaafubuki	アーケードゲーマーふぶき	standard	1	9784757207684
aakeidia	アーケイディア	standard	1	9784592123965
aakeidia	アーケイディア	standard	2	9784592123972
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard	1	9784845813889
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard	3	9784845813629
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard	5	9784845813902
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard	6	9784845813919
aaru-pii-jii-ippatsu-otoko	RPG一発男	standard	1	9784907792138
ab-furyaa	AB.フリャー	standard	1	9784091833518
ab-furyaa	AB.フリャー	standard	2	9784091833525
abare-hayabusa	あばれ!隼	standard	1	9784091405111
abare-hayabusa	あばれ!隼	standard	4	9784091405142
abare-hayabusa	あばれ!隼	standard	5	9784091405159
abare-hayabusa	あばれ!隼	standard	6	9784091405166
abare-hayabusa	あばれ!隼	standard	7	9784091405173
abare-hayabusa	あばれ!隼	standard	8	9784091405180
abare-hayabusa	あばれ!隼	standard	9	9784091405197
abare-hayabusa	あばれ!隼	standard	10	9784091405203
abesede-youjin	あべせで用心	standard	2	9784091815927
abunai-doctor	あぶないドクター	standard	1	9784061783355
abunai-kinyoubi	危ない金曜日	standard	1	9784087822014
abunai-koibitotachi	あぶない恋人たち	standard	1	9784803312898
abunai-koto-hodo-kane-ni-naru	危いことほど金になる	bunkobon	1	9784575722147
abunai-nichiyoubi	あぶない日曜日	standard	1	9784091322227
abunai-oka-no-ie	あぶない丘の家	standard	1	9784049243505
abunai-oka-no-ie	あぶない丘の家	standard	2	9784049243901
abunai-oka-no-ie	あぶない丘の家	standard	3	9784049244793
abunai-rabu-song	あ・ぶ・な・いラブ・ソング	standard	1	9784061785342
abunai-summer-bakeishon	危ないサマーバケイション	standard	1	9784592204039
abunai-tokoro-ni-ittekimashita	アブナイところに行ってきました	standard	1	9784821178728
abunai-wedding-beru	危ないウエディングベル	standard	1	9784061702264
abunai-wedding-beru	危ないウエディングベル	standard	2	9784061702332
abunakkashii-juliet	危なっかしいジュリエット	standard	1	9784253073066
abunee-yatsura	あぶねえ奴ら	standard	1	9784537036756
abunee-yatsura	あぶねえ奴ら	standard	2	9784537036855
abunoomaru-shimasho	アブノーマルしましょ!?	standard	1	9784785910754
accel-tokyo-bekutaa	ACCEL!-東京ベクター-	standard	1	9784049261691
accel-tokyo-bekutaa	ACCEL!-東京ベクター-	standard	2	9784049261769
ace-001	ACE-001	standard	1	9784420131292
ace-o-nerae	エースをねらえ!	aizoban	2	9784120018428
ace-o-nerae	エースをねらえ!	aizoban	4	9784120018800
acid-flower	アシッド・フラワー	standard	1	9784877347291
actress	アクトレス	standard	1	9784088718217
adam-no-happa	アダムの葉っぱ	standard	1	9784061721173
adam-no-rakuen	アダムの楽園	standard	1	9784391915532
adamanto-no-toride	アダマントの砦	standard	1	9784592176312
adauchimiko-chan	仇討ちミコちゃん	standard	1	9784893510266
adele	アデル	standard	1	9784592117384
adesugata-otogi-zoushi	艶姿おとぎ草子	standard	1	9784845847952
adlib-offside	アドリブオフサイド	standard	1	9784893677983
adoressensu-seinenki	アドレッセンス青年期	standard	1	9784592130857
adult-kids	アダルトキッズ	standard	1	9784898293171
adventure-kid	アドベンチャーkid	standard	1	9784898290651
adventure-kid	アドベンチャーkid	standard	2	9784898290668
adventure2030-gakuen	Adventure2030学園	standard	1	9784476086058
adventure2030-gakuen	Adventure2030学園	standard	2	9784476081169
adventure2030-gakuen	Adventure2030学園	standard	3	9784476081176
adventure2030-gakuen	Adventure2030学園	standard	4	9784476081466
after-dream	アフター・ドリーム	standard	1	9784091390387
after-midnight	アフター・ミッドナイト	standard	1	9784088493312
after-school-wars	After school wars	standard	1	9784088542423
afternoon-potaufen	Afternoon potaufen	standard	1	9784877344450
afurika-asobi	アフリカ遊び	standard	1	9784885705489
afurika-no-bakudan	アフリカの爆弾	standard	1	9784893510259
afurika-no-taiyou	アフリカの太陽	standard	1	9784198310615
afutanuun-teii-time	アフタヌーンティーたいむ	standard	1	9784061064768
aganai-no-seija	贖いの聖者	standard	1	9784872330151
agapes-1999	Agapes	standard	6	9784091522566
agarime-sagarime	あがりめさがりめ	standard	1	9784990139001
agn-g-es-rosenstiehl	Agn「G」es Rosenstiehl.	standard	1	9782020392730
ah-my-mikan	あ!Myみかん	standard	1	9784091503510
ah-my-mikan	あ!Myみかん	standard	2	9784091503527
ah-my-mikan	あ!Myみかん	standard	3	9784091503534
ah-my-mikan	あ!Myみかん	standard	4	9784091503541
ah-my-mikan	あ!Myみかん	standard	5	9784091503558
ah-my-mikan	あ!Myみかん	standard	6	9784091503565
ahirutachi-no-bunzai-de	家鴨たちの分際で!	standard	1	9784592118435
ahoken-jakkii	あほ拳ジャッキー	standard	1	9784091407610
ahoken-jakkii	あほ拳ジャッキー	standard	2	9784091407627
ahoken-jakkii	あほ拳ジャッキー	standard	3	9784091407634
ahoken-jakkii	あほ拳ジャッキー	standard	4	9784091407641
ahoken-jakkii	あほ拳ジャッキー	standard	5	9784091407658
ahoken-jakkii	あほ拳ジャッキー	standard	6	9784091407665
ahoken-jakkii	あほ拳ジャッキー	standard	7	9784091407672
ai-1995	愛	standard	2	9784575933994
ai-ai-gal	I愛ギャル!	standard	1	9784061083875
ai-aru-juuyonya	愛ある十四夜	standard	1	9784898299425
ai-doll-hiroko	愛・ドールヒロコ	standard	1	9784592130246
ai-donto-koi	愛 DON'T 恋	standard	1	9784785918736
ai-donto-koi	愛 DON'T 恋	standard	2	9784785919016
ai-donto-koi	愛 DON'T 恋	standard	3	9784785919443
ai-donto-koi	愛 DON'T 恋	standard	4	9784785919993
ai-ga-ippai	愛がいっぱい	standard	1	9784803311822
ai-mai-mii	EYE・麻衣・ME	standard	1	9784091513212
ai-monogatari	愛物語	standard	1	9784197890729
ai-monogatari	愛物語	bunkobon	1	9784773003536
ai-ni-kaeritai	愛に帰りたい	standard	1	9784091390066
ai-niiju	あいにーじゅ♥	standard	1	9784575840544
ai-no-arabesque	愛のアラベスク	standard	1	9784091422316
ai-no-arashi	愛のあらし	standard	1	9784061097025
ai-no-chikai	愛のちかい	standard	1	9784789601634
ai-no-chikai	愛のちかい	standard	2	9784789601641
ai-no-chikai	愛のちかい	standard	3	9784789601658
ai-no-chikai	愛のちかい	standard	4	9784789601665
ai-no-chikai	愛のちかい	standard	5	9784789601672
ai-no-chikara	愛の力	bunkobon	1	9784575721430
ai-no-chikara	愛の力	bunkobon	2	9784575721447
ai-no-danchitchi	愛のだんちっち	standard	1	9784537008418
ai-no-goitsuka	愛の御一家	standard	1	9784253133241
ai-no-meikyuu	愛の迷宮	standard	1	9784391905236
ai-no-meiro-ni-goyoujin	愛の迷路にご用心	standard	1	9784061783157
ai-no-sakaagari	愛のさかあがり	standard	1	9784048520829
ai-no-sakaagari	愛のさかあがり	standard	2	9784048520836
ai-no-sakaagari	愛のさかあがり	standard	3	9784048520843
ai-no-sakaagari	愛のさかあがり	bunkobon	1	9784480030573
ai-no-sakaagari	愛のさかあがり	bunkobon	2	9784480030580
ai-no-sei-kashira	愛のせいかしら	standard	1	9784792602246
ai-no-seikatsu	愛の生活	deluxe	1	9784048524308
ai-no-shinkirou	愛の蜃気楼	standard	1	9784391905175
ai-no-shitta-kabutta	愛のシッタカブッタ	standard	1	9784889913187
ai-no-shushi	愛の種子	standard	1	9784253133968
ai-no-tranger	愛のエトランゼ	standard	1	9784391920277
