slug	title	edition	vol	cur_isbn
ai-no-tranger	愛のエトランゼ	standard	2	9784391920284
ai-no-uta-ni-naritai	愛の歌になりたい	standard	1	9784091315816
ai-no-uta-ni-naritai	愛の歌になりたい	standard	2	9784091315823
ai-no-uta-ni-naritai	愛の歌になりたい	standard	3	9784091315830
ai-no-uta-ni-naritai	愛の歌になりたい	standard	4	9784091315847
ai-no-uta-ni-naritai	愛の歌になりたい	standard	6	9784091315861
ai-no-yukue-2002	愛のゆくえ	standard	1	9784883791040
ai-no-yukue	愛の行方	standard	1	9784537031119
ai-o-yumemite	愛を夢みて…	standard	1	9784765921091
ai-shoujo-pollyanna-story	愛少女ポリアンナ物語	standard	1	9784047080041
ai-to-kaikan-no-kouzou	「愛」と「快感」の構造	standard	1	9784391915426
ai-to-kanashimi-no-vampire	愛と哀しみのバンパイア	standard	1	9784049260359
ai-to-nikushimi-no-hibi	愛と憎しみの日々	standard	1	9784803318890
ai-to-seishun-no-natchanzu	愛とせーしゅんのなっちゃんズ	standard	1	9784091362315
ai-to-seishun-no-pinokio	愛と青春のピノキオ	standard	1	9784391904536
ai-to-yokubou-no-1-6	愛と欲望の1/6	standard	1	9784898299258
ai-towa-yoru-ni-kizuku-mono	愛とは夜に気付くもの	standard	1	9784882719496
ai-tte-yuu-nowa-ne	愛っていうのはね	standard	1	9784592120902
ai-wa-chikyuu-o-sukuu	愛は地球を救う	standard	1	9784592116073
ai-wa-chikyuu-o-sukuu	愛は地球を救う	standard	2	9784592127451
ai-wa-furimakanai	愛はふりまかない	deluxe	1	9784088622446
ai-wa-kojin-no-jiyuugata	愛は個人の自由形	standard	1	9784391914078
aiaru-kurashi	愛ある暮らし	standard	1	9784776792574
aichannoakaikutsu	あいちゃんのあかいくつ	standard	1	9784805435373
aidea-papa-no-manga-ryouri-kyoushitsu	アイデアパパのまんが料理教室	standard	1	9784537030648
aidea-papa-no-manga-ryouri-kyoushitsu	アイデアパパのまんが料理教室	standard	2	9784537031362
aidea-papa-no-manga-ryouri-kyoushitsu	アイデアパパのまんが料理教室	standard	3	9784537036503
aido-teradateka	愛奴	standard	1	9784391905519
aien-kien	合縁奇縁	standard	1	9784897420110
aihakouzui	愛は洪水	standard	1	9784886728043
aiiro-densetsu	藍色伝説	standard	1	9784253091763
aiiro-no-obujie	愛色のオブジェ	bunkobon	1	9784086122009
aijin-2001	A・i・ji・n	standard	1	9784835211855
aijin-miman	愛人未満	standard	1	9784803316261
aijin-sengen	愛人宣言	deluxe	1	9784061720480
aijin-shigan-rakudaisei	愛人志願落第生	standard	1	9784091314116
aijou-monogatari	愛縄物語	standard	1	9784921181086
aijou-rental	愛情レンタル	standard	1	9784063175189
aikidou-hashimoto-doujou	合気道橋本道場	standard	1	9784916085924
aikidou-hashimoto-doujou	合気道橋本道場	standard	2	9784916085931
aiko-juurokusai	アイコ十六歳	standard	1	9784792603281
aiko-sajiyuurokusai	アイコ36歳	standard	1	9784061700345
aiko-san-no-kazoku-enitsuki	アイコさんの家族絵日記	standard	1	9784061701199
aikoku-sensou	哀国戦争	standard	1	9784862253682
aikoku-sensou	哀国戦争	standard	2	9784862253699
aikoku-sensou	哀国戦争	standard	3	9784862253705
aimaina-green	曖昧なグリーン	standard	1	9784886728548
aimu-dachikou	I'mダチ公	standard	1	9784253042444
aimu-namu	アイムナム	standard	1	9784091216311
aimu-namu	アイムナム	standard	3	9784091216335
aimu-suteiru-alive	あいむ・すてぃる・あらいぶ	standard	1	9784944120086
aimu-suteiru-alive	あいむ・すてぃる・あらいぶ	standard	2	9784944120550
ain-raaga	アイン・ラーガ	standard	1	9784049243895
ain-raaga	アイン・ラーガ	standard	2	9784049244472
ain-raaga	アイン・ラーガ	standard	3	9784049244892
ain-raaga	アイン・ラーガ	standard	4	9784049245141
ain-raaga	アイン・ラーガ	standard	5	9784049245332
ain-raaga	アイン・ラーガ	standard	6	9784049245912
ainojumon	愛の呪文	standard	1	9784063175561
ainokiseki	愛の奇跡	standard	1	9784063274493
ainomachigaiejisagashi	愛のまちがい絵字さがし	standard	1	9784876733118
air-pocket	エア・ポケット	standard	1	9784091810717
air-pocket	エア・ポケット	standard	2	9784091810724
airabuketsuekigata	アイ・LOVE・血液型	standard	1	9784061037076
airen-no-kazoku	愛蓮の家族 聖書	standard	1	9784792603571
airport-story	エアポート・ストーリー	standard	1	9784061783058
aisarete-seikimatsu	愛されて世紀末	standard	1	9784391913460
aishi	愛死	standard	1	9784757200968
aishiatte-nanka-irarenai	愛し合ってなんかいられない	standard	1	9784592116950
aishiatteru-futari	愛しあってる2人	standard	1	9784835216218
aishichatta-houkago	愛しちゃった放課後	standard	1	9784061066359
aishikihaanata	愛しきはあなた	standard	1	9784785945626
aishitai	愛・したい あい・SHITAI	standard	1	9784898291528
aishitai	愛・したい あい・SHITAI	standard	2	9784898291610
aishitaionnatachi	愛したい女たち	standard	1	9784063175394
aishite-himeko-san	愛して❤姫子さん	bunkobon	1	9784253016605
aishite-himeko-san	愛して❤姫子さん	standard	1	9784253099547
aishite-himeko-san	愛して❤姫子さん	standard	2	9784253099554
aishite-ii-desuka	愛していいですか	standard	1	9784091330819
aishite-mister	愛してミスター	standard	1	9784061760653
aishite-seera	愛してセーラ!	standard	1	9784061739864
aishitehoshiidake	愛してほしいだけ	standard	1	9784063411423
aishiteiruyo	愛しているよ	standard	1	9784257918134
aishitemintobooi	愛して❤ミントBOY	standard	1	9784091317117
aishitemintobooi	愛して❤ミントBOY	standard	2	9784091317124
aishitemintobooi	愛して❤ミントBOY	standard	3	9784091317131
aishiteru-tte-iwanakya-korosu	愛してるって言わなきゃ殺す	standard	1	9784863493476
aisubeki-dokusaisha	愛すべき独裁者	standard	1	9784835216621
aitakerya-beddo-ni-koi	愛たけりゃbedに恋	standard	1	9784391903355
aitenshi-densetsu-wedding-peach	愛天使伝説ウェディングピーチ	standard	1	9784091492210
aitsu-2	A・I・TSU	standard	1	9784061702394
aitsu-ga-mahoutsukai	あいつが魔法使い!	standard	1	9784091331236
aitsu-no-koi-menyuu	あいつの恋メニュー	standard	1	9784088508597
ajia-he-no-michi	千里の道も-アジアへの道-	standard	1	9784834230116
ajia-he-no-michi	千里の道も-アジアへの道-	standard	2	9784834230123
ajia-he-no-michi	千里の道も-アジアへの道-	standard	3	9784834230130
ajia-he-no-michi	千里の道も-アジアへの道-	standard	4	9784834230147
ajia-he-no-michi	千里の道も-アジアへの道-	standard	5	9784834230154
ajia-he-no-michi	千里の道も-アジアへの道-	standard	6	9784834230161
ajia-he-no-michi	千里の道も-アジアへの道-	standard	7	9784834230178
ajia-he-no-michi	千里の道も-アジアへの道-	standard	8	9784834230185
ajia-he-no-michi	千里の道も-アジアへの道-	standard	9	9784834230192
ajia-he-no-michi	千里の道も-アジアへの道-	standard	10	9784834230208
ajia-he-no-michi	千里の道も-アジアへの道-	standard	11	9784834230215
ajia-he-no-michi	千里の道も-アジアへの道-	standard	12	9784834230222
aka-2004	紅霹	standard	1	9784861270031
