slug	title	authors
boukansha-no-koi	傍観者の恋	ナツpub2016;蛭塚都
bourei-madoushi-no-hiroiage-hanayome	亡霊魔道士の拾い上げ花嫁	一花カナウ;久保田流生
brain-powerd	BRAIN POWERD	富野由悠季;杉崎ユキル
bullets	Bullets	士郎正宗
buzz-game	#バズゲーム	平石六;御鷹穂積
byoon-youkai-gakkyuu	びょ～ん!!陽快学級	伊藤直晃
chi-ga-hoshii-hiru-ga-suitsuku	血が欲しいヒルが吸いつく	古賀新一
chikyuu-san-wa-level-appu-shimashita-comic	地球さんはレベルアップしました!@COMIC	生咲日月
chingochou-futsuryoukyoku-ukeika	鎮護庁祓竜局誓約課	灰田高鴻
chita-nyan-ga-kita	ちたにゃんがきた!	稲荷家房之介
chizu-dai-tanken	地図大探検	藤子f不二雄
chou-ten-chan	超てんちゃん!	ワイソーシリアス
choueki-ichizen-shakai-no-gomi-desu-kedo-kansha-shite-kuremasuka	懲役一善	岬ネオン
chuu-bosu-reijou-wa-taijou-go-no-jinsei-o-ouka-suru-yotei	中ボス令嬢は、退場後の人生を謳歌する (予定)。	ハルコ;小見川ナマリ
chuunen-majutsushi-no-yuuyuu-jiteki-na-dungeon-kouryaku-skill-oobu-o-tsukattara-saikyou-skill-o-te	中年魔術師の悠々自適なダンジョン攻略～スキルオーブを使ったら最強スキルを手に入れたので、好きに生きようと思います～@COMIC	ロウ
chuutoriaru-ga-hajimaru-mae-ni	チュートリアルが始まる前に	髙橋炬燵
cinderella-no-ane-desu-fuhoni-nagara-ouji-to-kekkon-suru-koto-ni-narimashita	シンデレラの姉ですが、不本意ながら王子と結婚することになりました	支倉文度
cinderella-no-wasuremono	シンデレラの忘れ物	三浦ミツル
cinnamon	シナモン	吉岡榊
cosplay-onee-san-etchi	コスプレお姉さんH	星野竜一
cult-on-demand	カルトオンデマンド	ササオカエリ;大石普人
d-j-vu-2000	Dj vu	藤原カムイ
daijoubu-club	大丈夫倶楽部	杉山鉄兵
dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中!?	ヤマチ
dakarete-tamaruka	抱かれてたまるか!	吾平
dakitsubusu-made-yamenee-zo	抱きつぶすまでやめねぇぞ	akabeko
dame-ningen-no-aishikata	ダメ人間の愛しかた	岩葉純希
danna-sama-kaseide-rikon-sasete-itadakimasu	旦那様、稼いで離婚させていただきます!	ソラジマ;雨乃家路
darkartsmaster	DarkArtsMaster	星河蟹
dattara-ore-ga-daiteyaru	だったら俺が抱いてやる	袴田ナツキ
datte-shishunki	だって❤思春期	草薙竜樹
dekiai-mo-keiyaku-no-uchi-ni-hairimasu-ka	溺愛も契約のうちに入りますか?	江成イチコ;由井ヒナ子
dekiai-shinshi-umeda-san	溺愛紳士梅田さん。	林倉吉
densetsu-no-level-1-yuusha	伝説のレベル1勇者	アオキタクト
diamond-no-kouzai	ダイヤモンドの功罪	青佐ノリ
disney-twisted-wonderland	ディズニーツイステッドワンダーランド	(unknown)
dogou-no-ao	怒業の蒼	神田ハルカ
doku-ni-kuchizuke	毒にくちづけ	久保田流生
dominant	ドミナント	ハトボシ
doraemon-no-taiiku-omoshiro-kouryaku	ドラえもんの体育おもしろ攻略	村田ヒロシ;藤子プロ;鈴木伸一
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	中川勝海
doushitara-osananajimi-no-kanojo-ni-naremasuka	どうしたら幼馴染♀の彼女になれますか!?	ナムル
dracula-yakin	ドラキュラやきん!	アキノミドリ;和ケ原聡司
drama-queen	ドラマクイン	宇乃花空樹
dribble-nukko-aashi-chan	ドリブルヌッコあーしちゃん	カズフミ
dungeon-faamu	ダンジョン・ファーム	春乃カミハル
dungeon-haishin-o-kiriwasureta-yuumei-haishinsha-o-tasuketara-densetsu-no-tansakusha-toshite-bazuri	ダンジョン配信を切り忘れた有名配信者を助けたら、伝説の探索者としてバズりはじめた	浅白優;紅木春
dunwich-no-kai	ダニッチの怪	lovecrafthowardphillips;田邊剛
e-kekkon-tte-3-jigen-demo-dekirundesu-ka	え?結婚って3次元でもできるんですか?	玖乃緑
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	雨宮皐季
eigyoubu-no-saeki-san-to-kagitsuki-etchi	営業部の佐伯さんと鍵つきエッチ	辰巳仁
ekiden-bros	エキデンブロス	遥川潤
ekkusueru-de-oku-made-tonton-sarete-revenge-eichi-kara-nukedasenai	XLで奥までトントンされて…リベンジHから抜け出せない!	成瀬真琴
elf-to-hitotsu-yane-no-shita	エルフとひとつ屋根の下	ニドネ杉
elysion-online	Elysion online	(unknown);吉山航平
enameru-type-no-esukisu	エナメルタイプのエスキス	唯登詩樹
enerugii-no-himitsu	エネルギーのひみつ	堀江卓;西田真基;阿部団吉
enma-no-kyoushitsu	閻魔の教室	家田明歩
erukuesuto	えるくえすと!	安房サトル
eternal-melody	エターナルメロディ	森下要
euromanga	euromanga	フレデリックトゥルモンド
faasu-akechi-hakase-boukenki	FARCE!明智博士冒険記	赤井里美
feroumerou	フェロウメロウ	夕倉アキ
fuji-to-nankyoku-no-nakamatachi	ふじと南極のなかまたち	防衛省海上幕僚監部
fukushuu-no-dokko-riwaindo	復讐の毒鼓REWIND	トキヮ
fura-furadansu	フラ・フラダンス	アキツ鉄鋼
fure-ai	触レ愛	春兎アヤ
furuki-okite-no-mahou-kishi	古き掟の魔法騎士	恵比須清司;秋乃カカシ
gachikoi-nenchakujuu	ガチ恋粘着獣	山崎将
gaiken-shijou-shugi	外見至上主義	(unknown)
gal-ga-sylvanian-family-o-dekiai-shitara	ギャルがシルバニアファミリーを溺愛したら。	森長アヤミ
gal-ni-natsukareta-hanashi	ギャルになつかれた話	板場広志
gangster-girls	ギャングスタガールズ	ウミハル
gee-maou	ゲー魔王	岩崎優次
gei-fuuzoku-no-mochigi-san	ゲイ風俗のもちぎさん	ゴジョウフミエ
gekizumi-dungeon-desu-skill-hanshoku-de-gyakuten-shitai-to-omoimasu	激詰みダンジョンですが《スキル:繁殖》で逆転したいと思います	ahorobo;ハヤシ;鰻田マアチ
gen-si-kaki-ayam-hadashi-no-gen	Gen si kaki ayam （Hadashi no Gen）	中沢啓治
genbaku	原爆	alcante;bolléelaurent-frédéric
gene-diver	ジーンダイバー	渡辺サトル
genmetsu-camera	幻滅カメラ	八守リョウ
ghost-girl	ゴーストガール	月乃睡蓮
gilded-seven	Gilded seven	烏丸匡
ginsei-no-proust	銀青のプルースト	渡部大羊
godaigo-daigo	ゴダイゴダイゴ	コウノスケpub2022
gohoubi-wa-yoru-ni-choudai	ごほうびは夜にちょうだい	アイカpub2022;ミューナ
