slug	title	authors
mikoto-chan-wa-kirawaretakunai	みことちゃんは嫌われたくない!	クラナガ
mimiyori-gohan	耳よりごはん♪	ジョポジョリン
mingo	ミンゴ	duratogiuseppe
miracle-happy-kibou-no-doubutsu-monogatari	ミラクルハッピー☆希望のどうぶつ物語	(unknown)
mirai-no-hikouki-yarou-haruto	未来の飛行機野郎ハルト	桂イチホ
misaki-kun-wa-kouryaku-chara-ja-nai	三咲くんは攻略キャラじゃない	多喜ザワユキ
misato-san-wa-amasugi-joushi-ni-chotto-kibishii	三郷さんは甘すぎ上司にちょっとキビしい	陽村空葉
miseijuku-2024	未成熟	ユカリガワ弓夜
mitasu-no-wa-kuufuku-dake-desu-ka	満たすのは空腹だけですか?	ゴクゲツ
mitsuru-quest	ミツルクエスト!	大江慎一郎
mitsuya-sensei-no-keikakutekina-ezuke	三ツ矢先生の計画的な餌付け。.	マツモトアヤカ
mizudako-chan-kara-wa-nigerarenai	ミズダコちゃんからは逃げられない!	モウレノ
mizumaho	みずまほ	生方メグミ
mobamin	モバミン	上田敦夫
mofumofu-yashiki-no-neko-to-ore	モフモフ屋敷の猫とオレ	藤野モヤム
momo-momo-peach	もも〔桃〕もも〔逆さまの桃〕ピーチ	ニシムラトモコ
monkey-peak-the-rock	Monkey peak the rock	志名坂高次;粂田晃宏
monster-strike-shitamachi-hello-world	モンスターストライク下町ハローワールド	オヒタシ熱郎
moto-yan-papa-to-hitsuji-sensei-yotsuba	元ヤンパパとヒツジ先生よつば	比村奇石
motto-naka-made-aishite-ageru	もっとナカまで愛してあげる	マツダイオ
mujikaku-na-tensai-shoujo-wa-kizukanai	無自覚な天才少女は気付かない	キラタ
muku-kano	ムクカノ	マエジマ
mukuwarenakatta-murabito-ee-kizoku-ni-hirowarete-dekiai-dekiaisareru-ue-ni-jitsu-wa-motte-ita	報われなかった村人A、貴族に拾われて溺愛される上に、実は持っていた伝説級の神スキルも覚醒した	海産物
mumyou-sakanagare	無明逆流れ	トミ新蔵
munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	ニシキギカエデ;中浦トモキ
murder-hotel	Murder hotel	民谷剛
mushi-musume	ムシムスメ	森由羅
mutant-turtles-the-last-ronin-lost-years	ミュータントタートルズラスト・ローニンLOST YEARS.	bishopben;delgadoluisantonio;e
mutant-turtles-the-last-ronin	ミュータントタートルズラスト・ローニン	bishopben;curnowbobby;delgadol
mutant-turtles-tv-adventure	ミュータントタートルズTVアドベンチャー	myersarah;バーナムエリック;中村優児;彩月ツカサ
naisho-no-rabu-mariaaju	ナイショの♥ラブまりあーじゅ	菅原竜
nakanomi	なかのみ	ウラノリツ
nanami-minami-wa-kagayakitai	七海みなみは輝きたい	上機シホ
nanatsubu-no-houseki	7つぶの宝石	一条ユカリ;花トユメコミックス編集部
nanikato-mujikaku-na-joshi	何かと無自覚な女子	言炎
nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	アラタアキ
narcissus-black	ナーシサス・ブラック	内田一奈
nazo-no-mizu-souchi	謎の水装置	(unknown)
nee-mou-isso-tsukiatchau	ねぇ、もういっそつき合っちゃう?	ケンイチ
negattemo-nai-tsuihougo-kara-no-surooraifu	願ってもない追放後からのスローライフ?	石ト悠良;風緒
neko-no-te-datte-yaku-ni-tatsu	猫の手だって役に立つ	竹充ヒロ
nekomata-to-asagohan	ねこまたとあさごはん	石田リンネ
nekomimi-maid-to-shounen-ouji	猫耳メイドと少年王子	イツコ
nekopan-nikki	猫パン日記	ヒゲノ筆
nene-to-ikoku-no-mahoutsukai	ネネと異国の魔法使い	夏木美香
ni-no-kuni-no-hikitsugisho	弐の国の引継書	tospub2025
nidome-no-jinsei-to-omottara-jitsuwa-sandome-datta-rekishi-chishiki-to-naisei-doryoku-de-fukou-na	2度目の人生、と思ったら、実は3度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～@COMIC	take4;則本シゲ
nightmare-family	ナイトメア・ファミリー	史群アル仙
nikokei-ikari-no-manga-deka	にこけい!怒りのマンガ刑事	四宮和
ninshin-shitara-shinitakunatta	妊娠したら死にたくなった	イナセ多希
nippon-o-kaeta-sekai-no-rekishi	日本を変えた世界の歴史	サイトウハルオ;上下
nisemonohime-to-dekiai-ouji	ニセモノ姫と溺愛王子	大橋キッカ
nito-no-joreishi	二兎の除霊師	無機質
noijii-ruumumeito	ノイジールームメイト	グルッペンフューラー
nokemono-tomo-ni-shukufuku-o	のけもの共に祝福を	アマネカムラギ
non-classic-school	ノンクラシック・スクール.	夏ノティー
nonogaki-san-wa-nakayoku-shitai	野々垣さんは仲良くしたい	椰子木虹
nuance-tone	ニュアンス・トーン	ミヤコヒト
nuclear	Nuclear	甲斐トウシロウ
nui-dara-zetsurin	脱いだら絶倫!?	加奈
nyaight-of-the-living-cat	Nyaight of the living cat	ホークマン
oborozuki-no-regorisu	朧月のレゴリス	大隅剛史
ochibure-zeus-to-dorei-no-ko	落ちぶれゼウスと奴隷の子	雨水汐
ochikobore-haku-madoushi-cecil-wa-taishougai-no-hazu-deshita	落ちこぼれ白魔導士セシルは対象外のはずでした	シチ;戦翼倶楽部
odamaki-kun-no-michikusa-gohan	おだまき君の道草ごはん	tsukuru
oharaibako-no-tensai-fuyo-jutsushi-wa-henkyou-de-yuuyuu-jiteki-ni-kurashitai	おはらい箱の天才付与術師は、辺境で悠々自適に暮らしたい	モスコンブ;水無月pub2023
ohime-sama-no-ohime-sama	お姫様のお姫様	山崎将
oita-shitara-butte	おいたしたらぶって	チフユ漫画家
ojou-san-no-shitsuji	お嬢さんの執事	芽々ノ圭
okaeri-papa	おかえり、パパ	蝉丸漫画家
okibi-no-takibi	オキビのタキビ	園太デイ
okiku-san-wa-ichatsukitai	お菊さんはいちゃ憑きたい	家田キリゼン
ol-san-to-neko-no-hanashi	OLさんと猫のはなし	吉岡榊
old-yokohama-radio-hour	オールドヨコハマラジオアワー	ツッツ
omawari-san-no-ai-ga-ookisugi	お巡りさんの愛が大きすぎ!	イチコ漫画家
omega-senyou-kareshi	Ω専用カレシ	田仲ミノル
omiaikon	お見合い婚	オオグロテン;藤本正二
onee-kachou-tamaki-san	オネェ課長たまきさん	濃口kiki
oni-to-yoake	鬼と夜明け	ニドネ杉
ookami-sama-no-ichizu-na-bouai	オオカミ様の一途な暴愛	ウルヒコ
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	サトル
ore-isekai-de-torotoro-ni-aisarechattemasu	俺、異世界でとろとろに愛されちゃってます	設楽菜月
ore-no-wa-iranai-rashii	俺の×××はいらないらしい	石江八
oshi-no-shuuchaku-shin-o-namete-ita	推しの執着心を舐めていた	ソラジマ
oshi-no-tame-no-isekai-wedding-produce	推しのための異世界ウェディングプロデュース!	エンドルフィン株式会社
oshi-to-no-yuri-wa-arienai	推しとの百合はありえない!	檜乃坂耀季
oshikyara-ouji-to-kojirase-etchi	推しキャラ王子とこじらせエッチ	浅葱洋
otokoun-ga-ii-rank-nanode-isekai-no-yamiochi-kami-sama-ni-metoraremashita	男運がEランクなので異世界の闇落ち神様に娶られました	burnscharles
otona-no-koi-wa-yabusaka-ni-tsuki	おとなの恋は、やぶさかにつき。	タマコpub2023
otori	オトリ	テラオカ現象
otoriyose-shimasshi	おとりよせしまっし!	田仲ミノル
otoshite-kudasai-megami-sama	オトしてください!女神様!!	中村朝
otou-san-isshoni-asobo	おとうさん、いっしょに遊ぼ	ジャンポ~ル西
otsu-san-ga-zako-chara-ni-tensei-surumo-ippashi-o-mezasu	おっさんが雑魚キャラに転生するも、いっぱしを目指す。	桃川ササミ
otsu-san-no-pantsu-ga-nandatte-ii-janaika	おっさんのパンツがなんだっていいじゃないか!	練馬zim
ou-sama-no-kaikata	王様の飼い方	東里桐子
ouji-na-hime-to-hime-na-boku	王子な姫とヒメな僕	中村朝
oyaku-ni-tatsu-node-chi-o-kudasai	お役に立つので血をください	シンギョウガク
oyome-sanba	おヨメ❤サンバ	イガラシユミコ
paidon	ぱいどん	手塚治虫
pako-chan	パコちゃん	サノアサヒ
panaou-rippa-na-ou-ni-onarinasaitsu-bamboo-edition	ぱな王	氷堂涼二
paradox-live-stage-battle-comic	Paradox Live stage battle comic	tera;エイベックスピクチャーズ株式会社
parallel-leap-syndrome	パラレルリープ・シンドローム	眠田瞼
paura	パウラ	説話社
pedigree	ペディグリー	花巻カエル
peste-ga-aketara-asobimashou	ペストが明けたら遊びましょう!	中島コウキ
pet-boy-s	Pet-boy's	ヒンデンブルグ
phantom-busters	ファントムバスターズ	高岡祥
piatto-unico	PIATTO UNICO	フナツ一輝
plot-kara-yarinaose	プロットからやり直せ	辻恵
psycho-pass-3-first-inspector	PSYCHO-PASS サイコパス 3 FIRST INSPECTOR	hidero
quattro-battery	クワトロバッテリー	武川慎
rabukyo	らぶキョ	インド僧
raburabu-change	らぶらぶ❤ちぇんじ	ニシムラトモコ;久世ミズキ;明野ミル;栖川マキ;水瀬イツル;
raburabu-police	らぶらぶ・ぽりす	原秀則
raki-kun-wa-makai-de-kaima-shitai	ラキくんは魔界デ解魔したい!	月凪ナカ
reboot-ichikawa-2023	リブート	九重千花
reki-yomi	レキヨミ	モァラス
rising-1989	RISING	野部利雄
rocking-you	ロッキンユー!!!	高村真耶
route-33	ルートサーティスリー～ROUTE 33～	初瀬白
route	ルート	ヨシサト
rule-ihan-wa-asa-made-eichi	ルール違反は朝までH!?	アオイユミ
ryuu-to-itsuki	龍と樹	カスミリョウ;銀麦
ryuu-to-tora	龍と虎	ニドネ杉
ryuusora-no-aces	龍空のエイシズ	片山誠
sabakan	さばかん!	久松エイト
sabiiro-no-armor	錆色のアーマ	碓井ツカサ
safe-sex	セーフセックス	ノド山
saijoukyuu-no-seijo-rashii-desu-ryuuou-sama-no-hanayome-ni-wa-narimasen	最上級の聖女らしいですが、竜王様の花嫁にはなりません!	日乃チハヤ;臣人
saikyou-no-chikara-o-te-ni-ireta-kawari-ni-onnanoko-ni-narimashita	最強の力を手に入れたかわりに女の子になりました	小倉アスカ;新山サホ
sainou-nashi-to-iwareta-otsu-san-tamer-wa-manamusume-to-tomoni-musou-suru	才能なしと言われたおっさんテイマーは、愛娘と共に無双する!	モスコンブ
saisoku-kon	最速婚	龍翠
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	森野ドングリ;片山誠
saitou-yoshitatsu-ni-umarekawatta-node-oda-nobunaga-ni-kuniyuzuri-shite-nagaiki-suru-no-o	斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します!	サブリック;権田原
samenai-futari-no-hitori-gohan	冷めないふたりのひとりご飯	ミキポン
samishii-yoru-no-sakana	さみしい夜の魚	篠有紀子
samurai-musou	サムライ無双	芽生pub2024
saneka-no-yomeiri	サネカの嫁入り	百瀬渡
sasada-wa-tomodachi	佐々田は友達	サイ
scavengers-another-sky	スカベンジャーズアナザースカイ	竹村優
school-zone-2021	School zone	ニンギヤウ
seijo-futari-no-isekai-burari-tabi	聖女二人の異世界ぶらり旅	カヤpub2017;マツリ
seijo-yuusha-party-kara-kaikosareta-sareta-node-guild-o-tsukuttara-attohoomu-na-saikyou-guild-ni	聖女、勇者パーティーから解雇されたのでギルドを作ったらアットホームな最強ギルドに育ちました。	ヤシロ;ワカバpub2022
seijuu-ni-sodaterareta-shounen-no-isekai-yururi-hourouki	聖獣に育てられた少年の異世界ゆるり放浪記	一丸;非常口渉
sekai-saikyou-no-inkya-dungeon-haishin-de-oku-bazuru	世界最強の陰キャ、ダンジョン配信で億バズる	ソラジマ;紅木春
sekai-saikyou-no-majo-hajimemashita	世界最強の魔女、始めました	小田ヒロ
sekai-wa-owattemo-ikiru-tte-tanoshii	世界は終わっても生きるって楽しい	植草美幸
sekigan-sekiwan-sekikyaku-no-majutsushi	隻眼・隻腕・隻脚の魔術師@COMIC	スズスケ;三日月シズカ;矢上裕
sengoku-guriddoman	戦国グリッドマン	サブリック
senshiya-ichiya-monogatari	千氏夜一夜物語	テトメト
sex-fragrance	Sexフレグランス	mikko;一颯ハルヒ
shadows-house	シャドーハウス	青インク
share-ni-naranai-hanashi-o-otsumami-ni	洒落にならない話をおつまみに	吉舎和幸
shi-ga-futari-o-wakatsu-tomo	死がふたりを分かつとも	アマイロチユ
shiawase-cafe-e-youkoso	しあわせカフェへようこそ	(unknown)
shiba-inu-pon-chan-kyou-mo-wagamichi-o-yuku	柴犬ぽんちゃん、今日もわが道を行く	猫麦
shibatarian	シバタリアン	宗像夏潼
shigotoosame	シゴトオサメ	鶏尾
shiitagerare-reijou-to-kegare-koushaku	虐げられ令嬢とケガレ公爵	横山ヒロト
shinchoku-dou-desuka	進捗どうですか?	的場リョウ
shingeki-kyojin-koukou	進撃!巨人高校	岡﨑純平
shinigamineko-no-jizu-wa-nasakebukai	死神猫のジズは情け深い	本橋雄一
shinmai-yuusha-no-oshinagaki	新米勇者のおしながき	bell
shinobu-koi-hodo	忍ぶ恋ほど	レン野
shio-taiou-osananajimi-ni-amasugi-body-o-taberaremashita	塩対応幼馴染に甘過ぎボディを食べられました	竹若トモハル
shiokaze-to-ryuu-no-sumika	汐風と竜のすみか	キアチマチ
shiroi-asa-ni	Shiroi asa ni	森世
shiromajo-san-tono-henkyou-gurashi	白魔女さんとの辺境ぐらし	fuyusora;青柳朔
shogun-ashikaga-yoshiaki	将軍足利義昭	國津武士
shogun-no-chi	将軍の血	flowerchild
shokubutsu-dai-tanken	植物大探検	藤子f不二雄
shokugyou-wa-kanteishi-desu-shingan-tte-nandesu-ka	職業は鑑定士ですが〈神眼〉ってなんですか?	ニャンタロウ;鹿乃子
shounen-shikou-josou-destiny	少年嗜好女装destiny	箕神北都
shounen-shikou-josou-fureguransu	少年嗜好女装フレグランス	箕神北都
shuumatsu-no-harem-fantasia	終末のハーレムファンタジア	linkpub2019
shuumatsu-torein-doko-e-iku	終末トレインどこへいく?	竹輪ツボミ
siscon-onee-chan-to-kinishinai-imouto	シスコンお姉ちゃんと気にしない妹	的場リョウ
six	シックス	桃田テツ
sobakistan	サバキスタン	katia;terletskiĭvitaliĭ
sofii-no-sekai	ソフィーの世界	gaarderjostein;nicoby
sono-maid-kiken-ni-tsuki	そのメイド、危険につき	マコトpub2024
sora-made-itchau	空までイっちゃう	オワル
soro-yoi-sakaba	ソロ酔い酒場	ナカハラ★モモタ;ヒロミン
soushitsu-mahoutsukai-no-saikyou-kenja	喪失魔法使いの最強賢者	紅木春;藤沢里菜
souteigai-no-sweet-marriage	想定外のスウィートマリッジ	上田ニク
spy-game-a-d-1600	スパイゲームA.D.1600	田代弓矢
stage-s	ステージS	サーモニズム
studio-cabana	スタジオカバナ	藤田阿登
suiheisen-wa-yagate-matataku	水平線はやがて瞬く	茜田千
suki-dayo-good-boy	好きだよグッドボーイ	川野暁子
suki-nara-nugasete	好きなら脱がせて。	上田ニク
suki	好きだ。	春キャベツ
supaidaaman-kizuna	スパイダーマン:絆	渡辺進;関井シモン
suterareta-kouhi	捨てられた皇妃	ina漫画家
tabi-wa-all-pasu	旅はオールパス	ホナミ彩
tada-shiawasena-isekai-kazoku-seikatsu-tenseishite-kondo-koso-shiawase-ni-kurashimasu	ただ幸せな異世界家族生活	君塚力;白石新
taiichi-kun-ni-ezukesarete-masu	太一くんに餌付けされてます	尾藤麻論
takaga-shishaku-chakunan-ni-kouki-na-hitotachi-ga-guigui-kite-comic	たかが子爵嫡男に高貴な人たちがグイグイきて困る@COMIC	アグニュン;宮須弥
takase-san-wa-dorukatsu-ni-muchuu-desu	高瀬さんはドル活に夢中です	印イェニ
takatora-kun-to-omegatachi	鷹虎くんとオメガたち	小林嵩人
tasogare	黄昏	岩館真理子
tatsuki-ryou-senshuu	たつき諒選集	竜樹諒
tatsuki-to-tamaki	タツキとタマキ	沖尚樹
teal-blue-no-hairo	#ティールブルーの羽色	石川オレオ
teiou-joushi-no-choukyou-sekkusu	帝王上司の調教セックス	松本ユウカ
teiou-joushi-no-dekiai-sekkusu	帝王上司の溺愛セックス	松本ユウカ
telomere	テロメア	維邪之托刀
tenisukooto-no-michishirube	テニスコートの道しるべ	井出智香恵
tennen-na-koroshiya-san-to-fuun-na-oyome-san	天然な殺し屋さんと不運なお嫁さん〈仮〉	吉舎和幸
tenohira-neko	手のひらねこ	海月レオナ
tensei-idol-to-doruota-no-kishi	転生アイドルとドルオタの騎士	沙嶋カタナ
tensei-shitara-butouha-reijou	転生したら武闘派令嬢!?	伊恵中二;八茶橋ラック
tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～@COMIC	久松エイト;魔石ノ硬サ
tensei-shitara-koutei-deshita	転生したら皇帝でした	久松エイト;魔石ノ硬サ
tensei-yuusha-no-sangen-tonarinchi-no-ore	転生勇者の三軒隣んちの俺	aozora;ヘイン
toaru-mei-tantei-to-joshu-no-rabukome-teki-nichijou-tantei-wa-mou-shinde-iru	とある名探偵と助手のラブコメ的日常@探偵はもう、死んでいる。	オノヤマコズエ
toaru-ohime-sama-no-hanashi	とあるお姫さまのはなし	芋畑サリー
tobidase-tsuzui-san	とびだせ!つづ井さん	内野コメコ
tokimeki-shinkon-manual	ときめき新婚マニュアル	トモチ
tokubetsu-ja-nai-hi	特別じゃない日	flowerchild
tokyo-toyboxes	Tokyo toyboxes	ウメ
tomodachi-wa-kiss-shinai	友達はキスしない!	鮫類
toshishita-onzoushi-to-konzen-etchi	年下御曹司と婚前エッチ	マツダイオ
toshiue-no-kare-wa-amaku-daku	年上のカレは甘く抱く。	古賀テッ子
tou-no-shotou-no-itoori-otome	塔の諸島の糸織り乙女	esk;ニシキギカエデ
toudoukunchi-no-maid-shota	凍堂くんちのメイドショタ	由葵ルユ
tsuchikaburi-no-elena-hime	土かぶりのエレナ姫	夢木ミツル
tsugi-no-kuuhaku-o-umeyo	次の空白を埋めよ。	夏ノティー
tsuihousareta-sareta-renkinjutsushi-adaruto-guzzu-de-sekai-o-sukuu	追放された錬金術師、アダルトグッズで世界を救う	中浦トモキ
tsuki-wa-hitsuji-o-kazoenai	月はヒツジを数えない	studiohip-cats
tsumande-kande-switch-on	つまんで噛んでスイッチon	秋月綾
tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka	つまりそういうコト。	花本八満
tsurenai-hodo-aokute-azatoi-cry-ni-akai	つれないほど青くてあざといくらいに赤い	tomomi漫画家
tsutte-tabetai-gyaruzawa-san	釣って食べたいギャル澤さん	フナツ一輝
two-beliefs	TWO BELIEFS	putriyasmine
uchira-wa-mabudachi	うちらはマブダチ	安房サトル
ukulea	ウクレア!	midoripub20249
unjou-ni-utaite-kimi-o-matsu	雲上に歌いて、君を待つ。	花形怜
ura-aka-joshi	ウラアカジョシ	岩田レンタロウ
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-saretai	裏アカ男子は抱かれたい攻め様No. 1に××されたい	アサヒ漫画家
ura-kagyou-tensei-moto-gokudou-ga-kazoku-no-tame-ni-ryouchi-hatten-sasemasu-ga-nani-ka-comic	裏稼業転生～元極道が家族の為に領地発展させますが何か?～@COMIC	則本シゲ;西ノ果テノペロ
urami	怨	犬木加奈子
uruwashi-biru-no-tokanai-tantei	美しビルの解かない探偵	グルッペンフューラー
usotsuki-android	うそつきアンドロイド	小手万里
usotsuki-no-mai-alpha	嘘つきのmy α	田仲ミノル
uwaki-acme	浮気アクメ	戸田泰成
vaanya-no-oishii-tabi-kitchen	ヴァーニャのおいしい旅キッチン	中原都
viivuru-yousaiten	ヴィーヴル洋裁店	和田隆志漫画家
visual-prison-comics	ヴィジュアルプリズンcomics	afredes;上松範康
vivid-voice-party	VIVID VOICE PARTY	henselerthomas
wakaouji-shunin-wa-kouhai-voice-ni-agaraenai	若王子主任は後輩ボイスに抗えない!	折紙チヨコ
waltz-no-niau-koro	ワルツの似合うころ	高口里純
wanwan-otou-san-kiwami	わんわんお義父さん極	(unknown)
warau-arusunotoria-sun	咲うアルスノトリアすんっ!	mato
watashi-isekai-de-seirei-ni-narimashita	私、異世界で精霊になりました。	コウシ;ヨシモト
watashi-nande-wakarerarenaindarou	私、なんで別れられないんだろう	井上咲子
watashi-ni-ai-o-sakebasete	私に愛を叫ばせて	ヒロセエイ
wild-raifutsu	わいるどらいふっ!	藍川イタル
wotaku-mo-koisuru-nikushoku-shinshi	オタクも恋する肉食紳士	冬坂コロモ
wotaku-ni-yasashii-gal-ni-watashi-wa-naru	オタクに優しいギャルに私はなる!	sugarpub2021
x-men-1994-4	エックスメン	児嶋都;萩原玲二
yakuza-ni-ofuro-de-hatarakasaretemasu	ヤクザにお風呂で働かされてます。	芋畑サリー
yankee-to-futago-no-tsukurikata	ヤンキーと双子の作り方	森長アヤミ
yarinaoshi-akuyaku-reijou-wa-osanai-otouto-tenshi-o-dekiai-shimasu-comic	やり直し悪役令嬢は、幼い弟〈天使〉を溺愛します@comic	軽井広
yasashii-milk	やさしいミルク	五月雨キョウスケ
yatara-yarashii-fukami-kun	やたらやらしい深見くん	マツモトアヤカ
yattara	ヤッターラ	西野ミヤ子
yawara-den	柔?伝	バロン吉元
you-are-my-religion	You are my religion	松山花子
youkai-hiyaku-no-me-shoujo	妖怪百の目少女	杉戸光史
youko-no-danna-sama	妖狐の旦那さま	百乃モト
yugetatsuran	ゆげたつらん	okamura
yukai-na-shintouki	ゆかいな神統記	雨水汐
yukawa-hideki-tomonaga-shinichirou-tonegawa-susumu	湯川秀樹・朝永振一郎・利根川進	藤井博司
yume-de-aredake-yatta-noni	夢であれだけやったのに	石井紺
yume-nara-sameteyo	夢なら醒めてよ	aipub2025
yuru-days	ゆるデイズ	久壁オト
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	アアア;佐藤雅史
yuugiou-rush-duel-erupii	遊☆戯☆王RUSH DUEL LP	ウェッジホールディングス;友永晃浩
yuusha-densetsu-no-uragawa-de-ore-wa-eiyuu-densetsu-o-tsukurimasu	勇者伝説の裏側で俺は英雄伝説を作ります	マオpub2020;橋広功
yuusha-wa-hitori-nippon-de	勇者はひとり、ニッポンで	モミモミジ;泉スズシロ
yuutousei-no-seifuku-no-naka	優等生の制服のなか	カミツカゲツ
za-aikidou	ザ・合気道	美和剛
zannenna-ouji-kun-to-fujoshi-no-noda-san	残念な皇子くんと腐女子の野田さん	竹若トモハル
zeitaku-zanmai-shitai-no-desu	贅沢三昧したいのです!	五月雨キョウスケ
zen	ZEN	(unknown)
zessei-no-akujo-wa-ma-ouji-sama-ni-chouai-dekiaisareru	絶世の悪女は魔王子さまに寵愛される	卓美涼
zettai-joousei	絶対✝女王政	鳴見ナル
