slug	title	db	ndl	s2_edition_counts	verdict
ai-no-shin-tairiku	愛の新大陸	[6]	[1]	[1]	CONFIRM_single
akushumi-na-bigaku	悪趣味な美学	[7]	[1]	[1]	CONFIRM_single
aporon-ha-shit-suru	アポローンは嫉妬する	[2]	[1]	[1]	CONFIRM_single
awayukishou	淡雪抄	[3]	[1]	[1]	CONFIRM_single
best-obu-tezuka-osamu	ベスト・オブ・手塚治虫	[2]	[1]	[1]	CONFIRM_single
danna-sama-no-shitsukekata-next	だんな様のしつけ方 next	[2]	[1]	[1]	CONFIRM_single
doridorikyasusan	ドリドリキャス子さん	[2]	[1]	None	NO_S2
eien-o-miru-musume	永遠を見る娘	[5]	[1]	[1]	CONFIRM_single
emerald-ha-kidoriya	エメラルドは気取り屋	[10]	[1]	[1]	CONFIRM_single
gokujou-rakuen-otoko	極上楽園男子	[2]	[1]	[1]	CONFIRM_single
goudan-araki-mataemon	豪談荒木又右衛門	[1, 6]	[1]	[1, 1]	CONFIRM_single
goudan-gotou-matabee	豪談後藤又兵衛	[4]	[1]	[1]	CONFIRM_single
goudan-hidari-jingorou	豪談左甚五郎	[9]	[1]	[1]	CONFIRM_single
goudan-iwami-juutarou	豪談岩見重太郎	[7]	[1]	[1]	CONFIRM_single
goudan-kirigakure-saizou	豪談霧隠才蔵	[1, 2]	[1]	[1, 1]	CONFIRM_single
goudan-musashibou-benkei	豪談武蔵坊弁慶	[1, 10]	[1]	[1, 1]	CONFIRM_single
goudan-raiden-tameemon	豪談雷電為右衛門	[8]	[1]	[1]	CONFIRM_single
goudan-sanada-gunki	豪談真田軍記	[1, 5]	[1]	[1, 1]	CONFIRM_single
goudan-sarutobi-sasuke	豪談猿飛佐助	[1, 3]	[1]	[1, 1]	CONFIRM_single
hakujou-ga-hakuhyou-o-fumu	薄情が薄氷を踏む	[12]	[1]	[1]	CONFIRM_single
hana-arashi	華あらし	[5]	[1]	[1]	CONFIRM_single
hana-ikusa	華いくさ	[6]	[1]	[1]	CONFIRM_single
hana-kariudo	花狩人	[13]	[1]	[1]	CONFIRM_single
hana-omoi	華想ひ	[8]	[1]	[1]	CONFIRM_single
hanabi-ga-agattara	花火が上がったら	[2]	[1]	[1]	CONFIRM_single
himawari-ga-koi-o-shita-noha-dare	向日葵が恋をしたのは誰?	[4]	[1]	[1]	CONFIRM_single
himitsu-ha-barashitemo-ii	秘密はバラしてもいい	[9]	[1]	[1]	CONFIRM_single
hisauchi-michio-kenkyuu-2-ai-no-tabou-ni-tsuite-sukebe-wa-tsurai-yotsu	ひさうちみちお研究2 愛の多忙について スケベはつらいよっ!	[2]	[1]	[1]	CONFIRM_single
hitsukurikaetsuta-omochiyabako	ひっくりかえったおもちゃ箱	[1, 2]	[1]	[1, 1, 1, 1]	CONFIRM_single
hohoemi-o-kaeshitara	微笑みを返したら	[3]	[1]	[1]	CONFIRM_single
honkon-tokusou-lady	香港特捜Lady	[2]	[1]	[1]	CONFIRM_single
hoozuki-yo	鬼灯夜	[7]	[1]	[1]	CONFIRM_single
iki-doll	生き人形	[1, 2]	[1]	[1, 1, 1, 1]	CONFIRM_single
inu-go	いぬ五	[5]	[1]	[1]	CONFIRM_single
itokoi-chidori	愛恋千鳥	[2]	[1]	[1]	CONFIRM_single
junai-rakuen-otoko	潤愛楽園男子	[3]	[1]	[1]	CONFIRM_single
juuou-mujin-no-kaze	縦横無尽の風	[11]	[1]	[1]	CONFIRM_single
kaerenai-futari	帰れないふたり	[4]	[1]	[1]	CONFIRM_single
kago-no-naka-no-ohime-sama	籠の中のお姫様	[8]	[1]	[1]	CONFIRM_single
kifujin-ha-unazukanai	貴婦人は頷かない	[3]	[1]	[1]	CONFIRM_single
konoshitayami	木下闇	[14]	[1]	[1]	CONFIRM_single
kunpuuki	薫風記	[10]	[1]	[1]	CONFIRM_single
kuro-no-koutaishi	黒の皇太子	[5]	[1]	[1]	CONFIRM_single
magatsuhi-boshi	禍津日星	[15]	[1]	[1]	CONFIRM_single
magatte-soorou	曲がってそーろう	[3]	[1]	[1]	CONFIRM_single
magic-knight-rayearth	魔法騎士レイアース	[1, 2, 3]	[1]	[1, 3]	CONFLICT_multi
motto-otona-no-asobi	もっとオトナのアソビ	[2]	[1]	[1, 1]	CONFIRM_single
ninpou-juuban-shoubu-shirato	忍法十番勝負	[2]	[1]	[1]	CONFIRM_single
ninpou-juuban-shoubu	忍法十番勝負	[1, 3]	[1]	[1, 1]	CONFIRM_single
r-4443774	前線と銃後	[2]	[1]	None	NO_S2
raigeki-shindo-juukutengo	雷撃深度一九・五	[5]	[1]	[1]	CONFIRM_single
reppuu-juukitai-nimaru-san	烈風!!獣機隊二○三	[3]	[1]	[1]	CONFIRM_single
setsuenshou	雪焔抄	[4]	[1]	[1]	CONFIRM_single
setsugekka	雪月華	[2]	[1]	[1]	CONFIRM_single
shoki-sakuhin-shuu	レフトアンドライト	[28]	[1]	[1]	CONFIRM_single
shounen-ha-hiiki-dekiaisareru	少年は贔屓される	[6]	[1]	[1]	CONFIRM_single
sora-ga-haretara	空が晴れたら	[4]	[1]	[1]	CONFIRM_single
sourenki	双恋記	[17]	[1]	[1]	CONFIRM_single
suikyouka	水響花	[11]	[1]	[1]	CONFIRM_single
tecchannotsubasa	てっちゃんのつばさ	[2]	[1]	None	NO_S2
tonotatakai	豊臣秀吉と天下統一のたたかい	[3]	[1]	None	NO_S2
toukaidou-onna-sugoroku	東海道おんな双六	[6]	[1]	[1]	CONFIRM_single
touya	凍夜	[16]	[1]	[1]	CONFIRM_single
uiguru-no-suna	ウイグルの砂	[4]	[1]	[1]	CONFIRM_single
uramishuran	それでも行きたい恨ミシュラン	[1, 2]	[1]	[1, 1]	CONFIRM_single
watanabe-masako-kyoufu-gekijou-yashagaike	わたなべまさこ恐怖劇場 夜叉ヶ池	[2]	[1]	[1]	CONFIRM_single
yakouhai	夜光杯	[12]	[1]	[1]	CONFIRM_single
yamamoto-fuutarou-kun	山本風太郎くん	[2]	[1]	[2]	CONFLICT_multi
yappari-kotowaza-gundam-san	やっぱり・ことわざガンダムさん	[2]	[1]	[1]	CONFIRM_single
yasha-no-hitomi	夜叉の瞳	[3]	[1]	[1]	CONFIRM_single
