key	base	verdict	role	new_slug	title	surname	flag
qid:Q3109142|name:コイバナ	koibana	different_works	sub	koibana-enomoto-2007	コイバナ	enomoto	
name:大津秀一|name:はっぴーえんど	happy-end	different_works	main	happy-end	はっぴーえんど	uoto	
name:有田イマリ|name:はっぴぃヱンド。	happy-end	different_works	sub	happy-end-arita-2017	はっぴぃヱンド。	arita	
name:あいかわ菜都|name:ハッピーエンド	happy-end	different_works	sub	happy-end-2003	ハッピーエンド		YEAR_ONLY
qid:Q3101401|name:ハッピーエンド	happy-end	different_works	sub	happy-end-2002	ハッピーエンド		YEAR_ONLY
qid:Q6203085|name:Happy End	happy-end	different_works	sub	happy-end-1999	Happy End		YEAR_ONLY
name:イタバシマサヒロ|name:BOYS BE…	boys-be	no_merge	main	boys-be	BOYS BE…	itabashi	
name:イタバシマサヒロ|name:Boys be…	boys-be	no_merge	sub	boys-be-itabashi-2010	Boys be…	itabashi	
qid:Q88724271|name:月が綺麗ですね	tsuki-ga-kirei-desune	different_works	main	tsuki-ga-kirei-desune	月が綺麗ですね	ito	
name:えだお|name:つきがきれいですね★	tsuki-ga-kirei-desune	different_works	sub	tsuki-ga-kirei-desune-suzuyuki-2015	つきがきれいですね★	suzuyuki	
qid:Q6389239|name:RED	red	different_works	main	red	RED	muraeda	
name:エリカ・スピンドラー|name:レッド	red	different_works	sub	red-1999	レッド		YEAR_ONLY
qid:Q324980|name:レッド	red	different_works	sub	red-yamamoto-2007	レッド	yamamoto	
qid:Q545241|name:RED	red	different_works	sub	red-nakaji-1990	RED	nakaji	
qid:Q11382028|name:大図書館の羊飼い	dai-toshokan-no-hitsujikai	option2	sub	dai-toshokan-no-hitsujikai-august-2012	大図書館の羊飼い	august	
name:オーガスト|name:大図書館の羊飼い	dai-toshokan-no-hitsujikai	option2	sub	dai-toshokan-no-hitsujikai-august-2013	大図書館の羊飼い	august	
qid:Q11241885|name:大図書館の羊飼い	dai-toshokan-no-hitsujikai	option2	sub	dai-toshokan-no-hitsujikai-2014	大図書館の羊飼い		YEAR_ONLY
qid:Q3089616|name:ヒットマン	hitman	different_works	main	hitman	ヒットマン	seo	
name:ジョン・マクリア|name:ヒットマン	hitman	different_works	sub	hitman-2017	ヒットマン		YEAR_ONLY
name:ガース・ヱニス|name:ヒットマン	hitman	different_works	sub	hitman-2013	ヒットマン		YEAR_ONLY
qid:Q11397150|name:ラストオーダー	last-order	different_works	main	last-order	ラストオーダー		
name:カズナリ|name:ラストオーダー	last-order	different_works	sub	last-order-kazunari-2021	ラストオーダー	kazunari	
qid:Q1970474|name:ラストオーダー	last-order	different_works	sub	last-order-2000	ラストオーダー		YEAR_ONLY
name:角光|name:#ラストオーダー	last-order	different_works	sub	last-order-sumi-2019	#ラストオーダー	sumi	
qid:Q3272992|name:ひまわり!!	himawari	different_works	main	himawari	ひまわり!!		
qid:Q11482704|name:ヒマワリ	himawari	different_works	sub	himawari-hirakawa-2018	ヒマワリ	hirakawa	
