isbn	db_slug	db_title	db_author	src_title(種1/楽天)	src_author
9784041151020	13-kaime-no-ashiato	13回目の足跡	三部敬	13回目の足跡	三部ケイ	AUTHOR_DIFF
9784757530331	15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	成家慎一郎	15明刹工業高校ラグビー部	成瀬芳貴	AUTHOR_DIFF
9784757532021	15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	成家慎一郎	15明刹工業高校ラグビー部	成瀬芳貴	AUTHOR_DIFF
9784757534148	15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	成家慎一郎	15明刹工業高校ラグビー部	成瀬芳貴	AUTHOR_DIFF
9784867200001	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ : 徳重晃の問診	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867201862	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ : 徳重晃の問診	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867202456	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867202791	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867203798	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867204306	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867204696	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867205747	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ = THE 19TH 	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867206348	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ : 徳重晃の問診	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867206843	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ 徳重晃の問診（10）	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867207628	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867208014	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784867208700	19banme-no-karte	19番目のカルテ	frankmatt	19番目のカルテ	富士屋カツヒト;川下剛史	AUTHOR_DIFF
9784047134225	1nen-3kumi-momochan-sensei	1ねん3くみ桃ちゃん先生。	紺野比奈子	1ねん3くみ桃ちゃん先生。	ヒナ	AUTHOR_DIFF
9784832258075	2-nen-b-gumi-onee-sensei	2年B組オネェ先生	濃口kiki	2年B組オネェ先生	高瀬雛	AUTHOR_DIFF
9784832258235	2-nen-b-gumi-onee-sensei	2年B組オネェ先生	濃口kiki	2年B組オネェ先生	高瀬雛	AUTHOR_DIFF
9784046821201	20-dai-oya-o-mitoru	20代、親を看取る。	キクチpub2023	20代、親を看取る。	キクチ	AUTHOR_DIFF
9784124100198	21-emon	21エモン	藤子不二雄	21エモン（5）	藤子f不二雄	AUTHOR_DIFF
9784091941077	21-emon	21エモン	藤子不二雄	21エモン（1)	藤子f不二雄	AUTHOR_DIFF
9784091941084	21-emon	21エモン	藤子不二雄	21エモン（2)	藤子f不二雄	AUTHOR_DIFF
9784091941091	21-emon	21エモン	藤子不二雄	21エモン（3)	藤子f不二雄	AUTHOR_DIFF
9784864953658	2200nen-neko-no-2200	2200年ねこの国ニッポン	白縫餡	2200年ねこの国ニッポン	猫葉リテ	AUTHOR_DIFF
9784864957106	2200nen-neko-no-2200	2200年ねこの国ニッポン	白縫餡	2200年ねこの国ニッポン	猫葉リテ	AUTHOR_DIFF
9784864957663	2200nen-neko-no-2200	2200年ねこの国ニッポン	白縫餡	2200年ねこの国ニッポン	猫葉リテ	AUTHOR_DIFF
9784592887119	22xx	22XX	清水玲子	22XX	清水玲子(漫画家)	AUTHOR_DIFF
9784408431109	24colors	24COLORS	千葉コズエ	Colors（第1巻）	説話社;麻生歩	AUTHOR_DIFF
9784408431284	24colors	24COLORS	千葉コズエ	Colors（第2巻）	説話社;麻生歩	AUTHOR_DIFF
9784408431451	24colors	24COLORS	千葉コズエ	Colors（第3巻）	説話社;麻生歩	AUTHOR_DIFF
9784047308633	25-jigen-no-dice	25次元のダイス	hal	25次元のダイス	ハル	AUTHOR_DIFF
9784575817027	27sai	27歳	ワタナベ志穂	Sigh	遊人	TORICHIGAE
9784403611124	2821-kokakoora	2821コカコーラ	獸木野生	2821コカコ-ラ	伸タマキ	AUTHOR_DIFF
9784757556218	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784757557406	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784757558694	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784757561205	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784757562899	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784757564923	29-to-jk	29とJK	ヨパン男爵	29とJK	加藤カキト;渡辺樹;裕時悠示	AUTHOR_DIFF
9784107722355	3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月レオナ	午後3時雨宮教授のお茶の時間	鷹野久	AUTHOR_DIFF
9784107723246	3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月レオナ	午後3時雨宮教授のお茶の時間	鷹野久	AUTHOR_DIFF
9784107724113	3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月レオナ	午後3時雨宮教授のお茶の時間	鷹野久	AUTHOR_DIFF
9784107725059	3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月レオナ	午後3時雨宮教授のお茶の時間	鷹野久	AUTHOR_DIFF
9784091287298	3-inchi	3インチ	季生ミナト	3インチ	多口ハジメ	AUTHOR_DIFF
9784091288950	3-inchi	3インチ	季生ミナト	3インチ	多口ハジメ	AUTHOR_DIFF
9784803018868	3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ	3分聖女の幸せぐーたら生活 : 「きみを	アカツキ聖;カジキスイ;ユイレギナ	AUTHOR_DIFF
9784803019735	3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ	3分聖女の幸せぐーたら生活 : 「きみを	アカツキ聖;カジキスイ;ユイレギナ	AUTHOR_DIFF
9784803020700	3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ	3分聖女の幸せぐーたら生活	アカツキ聖;カジキスイ;ユイレギナ	AUTHOR_DIFF
9784803021905	3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ	3分聖女の幸せぐーたら生活	アカツキ聖;カジキスイ;ユイレギナ	AUTHOR_DIFF
9784776753957	32-sai-kojirase-moteki	32歳、こじらせ→モテ期!?	出樹	32歳、こじらせ→モテ期!?	梅子	AUTHOR_DIFF
9784776753964	32-sai-kojirase-moteki	32歳、こじらせ→モテ期!?	出樹	32歳、こじらせ→モテ期!?	梅子	AUTHOR_DIFF
9784434253997	33-sai-kiyoraka-fujoshi-ga-toshishita-otoko-to-asagaeri	33歳清らか腐女子が年下男子と朝帰り!?	大嶋マナブ	33歳清らか腐女子が年下男子と朝帰り!?	蜂谷ナナオ	AUTHOR_DIFF
9784434285202	33-sai-kiyoraka-fujoshi-ga-toshishita-otoko-to-asagaeri	33歳清らか腐女子が年下男子と朝帰り!?	大嶋マナブ	33歳清らか腐女子が年下男子と朝帰り!?	蜂谷ナナオ	AUTHOR_DIFF
9784909699503	35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ	35歳、今さら恋とかありえない	蜜柑子	AUTHOR_DIFF
9784909699510	35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ	35歳、今さら恋とかありえない	蜜柑子	AUTHOR_DIFF
9784909699640	35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ	35歳、今さら恋とかありえない	蜜柑子	AUTHOR_DIFF
9784785956837	36-tengodoshii-no-ivu	36.5℃の天使	ケンタロウ漫画家	36.5℃の天使	ケンタロウ	AUTHOR_DIFF
9784785957995	36-tengodoshii-no-ivu	36.5℃の天使	ケンタロウ漫画家	36.5℃の天使	ケンタロウ	AUTHOR_DIFF
9784107725479	37-sekanzu	37セカンズ	hikaripub2022	37セカンズ	hikari;栗原陽平	AUTHOR_DIFF
9784107726612	37-sekanzu	37セカンズ	hikaripub2022	37セカンズ	hikari;栗原陽平	AUTHOR_DIFF
9784334805258	4-n-megami-tensei-devil-children-koma-gyagu-battle	真・女神転生デビルチルドレン 4コマギャ	蜂文太	真女神転生デビルチルドレン4コマギャグバ	アンソロジー	AUTHOR_DIFF
9784881991428	4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	(unknown)	真サムライスピリッツ4コマ決定版	コミックゲーメスト編集部	AUTHOR_DIFF
