slug	title	db	ndl	s2	fill_isbns	class
100-man-doru-kid	100万＄キッド	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[1, 2, 3, 4, 5, 6, 7, 8, 9]		CONT
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	[2, 3, 4, 5]	[1, 2, 3, 4, 5]	[0, 2, 4]		CONT
3-byougo-yajuu	3秒後、野獣。	[2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[0, 2, 3, 4, 5, 6]	1:9784434297731	FILL
3-daa-surii	サンダー3	[1, 2, 3, 4, 5, 6, 7, 8]	[1, 2, 3, 4, 5, 6, 7, 8]	[1, 2, 3, 4, 5, 6, 7, 8]		CONT
3-three	3 THREE	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		NDL_NONE
31-sai-jimi-megane-ol-san	31歳地味眼鏡OLさん	[2, 3, 4, 5]	[1, 2, 3, 4, 5, 6]	[0, 2, 4, 5]	1:9784785973360	FILL
36	36-サンジュウロク-	[2, 3]	[1, 2, 3]	[2, 3]	1:9784098630790	FILL
aburabu	あぶらぶ	[2, 3]	[1, 2, 3]	[2, 3]	1:9784065371725	FILL
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	[3, 4, 5]	[]	[3, 4, 5]		NDL_NONE
agapes-1999	Agapes	[6, 7, 8, 9]	[6, 7, 8, 9]	[6, 7, 8, 9]		CONT
ahoudori-no-tomarigi	あほう鳥の止り木	[2, 3]	[2, 3]	[2, 3]		CONT
ai-1995	愛	[2, 4]	[]	[2]		NDL_NONE
air-gear-unlimited	エア・ギアUNLIMITED	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]		CONT
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	[3, 4, 5, 6, 7]	[1, 3, 4, 5, 6, 7]	[4, 5, 6, 7]	1:4253242111	FILL
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい	[2, 3]	[1, 2, 3, 4]	[2, 3]	1:9784824004185	FILL
akiraka-ni-nenrei-o-sashou-shite-iru-joshi-joshikousei-vtuber	あきらかに年齢を詐称している女子高生VTuber	[2, 3]	[1, 2, 3, 4]	[2, 3]	1:9784046840257	FILL
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	[2, 3, 4]	[]	[2, 3, 4]		NDL_NONE
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	[2, 3, 4]	[]	[2, 3, 4]		NDL_NONE
alfheim-no-kishi	妖精国の騎士	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]	[1, 10, 44, 45, 46, 47, 48, 49, 50, 51]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
ame-no-hi-wa-koi-o-suru	雨の日は恋をする	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]		CONT
anata-ni-miren-wa-arimasen	貴方に未練はありません!	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784575247343	FILL
anata-ni-mo-angel	アナタにもAngel	[2, 4]	[1, 2, 4]	[2, 4]		CONT
anata-no-oshiro-no-kobito-san	あなたのお城の小人さん	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784757578722	FILL
angel-beat	ANGEL❤BEAT	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[10, 11]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]		CONT
arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	[2, 3]	[1, 2, 3]	[2, 3]	1:9784758093170	FILL
ariel-comic	ARIEL COMIC	[2, 3, 4, 5, 8]	[4, 8]	[2, 3, 4, 5]		CONT
asakusa-young-youhinten	浅草ヤング妖品店	[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]		CONT
asami-mitsuhiko-mystery-and-ryojou-suspense	浅見光彦ミステリー＆旅情サスペンス	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[1, 3, 4, 9, 10, 11, 14]	[]	1:9784253245142	FILL
ashita-e-hashire	明日へ奔れ	[3, 4]	[1, 3, 4]	[3, 4]		CONT
atena-no-sotsugyoushiki	アテナの卒業式	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784867207093	FILL
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されていま	[2, 3, 4]	[]	[0, 2, 3, 4]		NDL_NONE
atori-show	アトリ抄	[4, 6]	[]	[4, 6]		NDL_NONE
baito-kun	バイトくん	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
bake-bake-bake	ベイク・ベイク・ベイク	[2, 3]	[]	[2, 3]		NDL_NONE
barubaro	バルバロ!	[2, 3]	[]	[2, 3]		NDL_NONE
bastard	BASTARD!!	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[1]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 14]		CONT
batchiri-scratch	ばっちりスクラッチ	[2, 3]	[]	[2, 3]		NDL_NONE
bats-terry	バツ＆テリー	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		NDL_NONE
beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	[2, 4, 5]	[1, 2, 3, 4, 5]	[2, 4, 5]	1:9784091425782;3:9784091428851	FILL
bikkuriman-omoshiro-land	ビックリマンおもしろランド	[4, 9]	[2, 3, 4, 5, 6, 9]	[4, 9]	2:4253098568;3:4253098576;5:4253098592;6:4253098606	FILL
bird-black-maaketto	バード	[3, 4, 5, 6, 7, 8, 9]	[]	[4, 5, 6, 7, 8, 9]		NDL_NONE
blife	BLife	[2, 3, 4]	[4]	[4]		CONT
bodo-kan	ボドカン!	[2, 3]	[1, 2, 3]	[2, 3]	1:9784048113922	FILL
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	[2, 3, 4]	[2, 3, 4]	[2, 4]		CONT
bon	Bon	[3, 5]	[]	[3, 5]		NDL_NONE
booska-plus	ブースカプラス	[2, 3]	[]	[2, 3]		NDL_NONE
botsu-chan-no-jidai-1989	坊ちゃんの時代	[1, 2, 3, 4, 5]	[1, 3, 4]	[2]		CONT
botsu-chan-no-jidai	『坊っちゃん』の時代	[1, 2, 3, 5]	[1, 2, 3, 4, 5]	[0, 1, 2, 3, 5]	4:4575933953	FILL
bouken-kyouryuukan	まんが 冒険恐竜館	[2, 3, 4, 5]	[]	[2, 3, 4, 5]		NDL_NONE
bushigin	武士銀	[2, 3, 4, 5]	[]	[2, 3, 4, 5]		NDL_NONE
