slug	title	title_romaji	a_romaji
bado-girl	バドガール	bado garu	Badminton Girl
baibai-earth	ばいばい、アース	baibai asu	Bye Bye, Earth 
bajirisuku	バジリスク	bajirisuku	Basilisk: Kouga Ninpouchou
baroque-2001	BAROQUE	barokku	BAROQUE: Ketsuraku no Paradigm
basutabu-ni-notta-kyoudai	バスタブに乗った兄弟	basutabu ni notta kyoudai	Bathtub ni Notta Kyoudai: Chikyuu Suibotsu Ki
batman-asamiya-2005	Batman	battoman	Batman: The Child of Dreams
beast-of-man	Beast of Man	bisuto obu man	Beast Man: Death Metal Majin-den - Jigoku no L
bekutaa-keesu-fairu	ベクター・ケースファイル	bekuta kesu fairu	Vector Case File - Inaho no Konchuuki
beru-pupee-no-supadari-konyaku	ベル・プペーのスパダリ婚約	beru pupe no supadari konyaku	Belle Poupée no Supadari Konyaku: "Konomi ja N
berunshutain	ベルンシュタイン	berunshutain	Yume no Ishibumi: Bernstein
bessatsu-rabu-kon-fan-book	別冊ラブ★コンfan book	bessatsu rabu kon	Lovely★Complex
besuteia	ベスティア	besuteia	Ryuugetsushou
birth-2002	BIRTH	basu	Raten - Birth
bite-maker-ousamanoomega	Bite Maker	baito meka	Bite Maker: Ousama no Ω
bitter	BITTER	bita	BITTER: Nakechau Koi Monogatari
black-jack-sousaku-hiwa	ブラック・ジャック創作〔○秘〕話	burakku jakku sousaku hiwa	Black Jack Sousaku Hiwa: Tezuka Osamu no Shigo
black-jack	ブラック・ジャック	burakku jakku	Black Jack
black-madougushi-guild-o-tsuihousareta-sareta-watashi-oukyuu-majutsushi-to-shite-hirowareru	ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる	burakku madougushi girudo o tsuihousareta watakushi oukyuu majutsushi to shite hirowareru	Black Madougushi Guild wo Tsuihousareta Watash
blade-girl	ブレードガール	buredo garu	Blade Girl: Kata Ashi no Runner
blazblue	BLAZBLUE	bureiburu	BlazBlue: Variable Heart
bloody-bride	ブラッディ・ブライド	buraddei buraido	Bloody Bride: Kyuuketsuki no Konkatsu
bloody-i	ブラッディ・アイ	buraddei ai	Bloody Eye: Sarasarete Shine
bloody-maiden	BLOODY MAIDEN	buraddei meiden	Bloody Maiden: Toomarimiki no Shima
blue-2008	Blue	buru	5-ji kara Honban!
blue-drop	BLUE DROP	buru doroppu	BLUE DROP: Tenshi no Bokura
blue-fight	BLUE FIGHT	buru faito	Blue Fight: Aoki Wakamono-tachi no Breaking Do
blue-giant-momentum	BLUE GIANT MOMENTUM	buru jaianto momentamu	BLUE GIANT MOMENTUM
blue-moon-blue	BLUE MOON, BLUE	buru mun buru	Blue Moon, Blue: Between the Sheets
body-talk-enomoto-2009	ボディトーク	bodei toku	Body Talk ~Junai Yuugi~
bojou	慕情	bojou	My Mother
boku-to-ohiru-o	僕とお昼を	boku to ohiru o	Super Remix Best
bon-hyakusen-sai	盆百千栽	bonbyaku sensai	Bon Hyakusensai: Jinrui no Jumyou wa Takadaka 
boogiepop-dual	ブギーポップ・デュアル	bugipoppu deyuaru	Boogiepop Dual: Makeinu-tachi no Circus
boss-renoma	ボスレノマ	bosu renoma	Boss Renoma: Shuujin Riku Gaiden
boy-boy	BOY×BOY	boi boi	BOY x BOY: Shiritsu Kouryou Gakuin Seishinryou
boy-skirt	ボーイスカート	boi sukato	Boy Skirt 4-koma
boys-life-kojima-1997	Boys life	boizu raifu	Ane ni wa Zettai Kanawanai
brave-story	ブレイブ・ストーリー	bureibu sutori	Brave Story: Shinsetsu
break-hands	ブレイクハンズ	bureiku hanzu	BREAK-HANDS: Inheritor of the Star Stone
bubble	バブル	baburu	Bubble: Chicano KEI - Kabukichou Kettou-hen  
bura-koi	ブラ恋	bura ren	Bra Koi: Yosete Agete mo Zureteru Futari
bureiburuu	ブレイブルー リミックスハート	bureiburu	BlazBlue: Remix Heart
buruuju	ブルージュ	buruju	Bruges: Applause
butterfly-kiss-shinonome-2009	バタフライキス	batafurai kisu	Butterfly Kiss Blade
cafe-kitakamakura-kottou-doori	Cafe北鎌倉骨董通り	kafe kitakamakura kottoudoori	Cafe Kita Kamakura Kottoudouri
cafe	cafe	kafe	Cafe Kita Kamakura Kottoudouri
