slug	title	title_romaji	a_romaji
gurizaia-phantom-trigger	グリザイア:ファントムトリガー	gurizaia fantomu toriga	Grisaia: Phantom Trigger - Sekai no Hate
gyagu-manga-hiyori	ギャグマンガ日和	gyagu manga biyori	Masuda Kousuke Gekijou: Gag Manga Biyori
gyakushuu-no-giganteisu	逆襲のギガンティス	gyakushuu no giganteisu	Mobile Suit Vs. Giant God: Gigantis' Counterat
gyarizumu	ギャリズム	gyarizumu	Galism: Renai Joutou 3 Shimai
h-e	H・E	eichi i	H・E: The Hunt for Energy
hacking-ghost	HACKING GHOST	hakkingu gosuto	HACKING GHOST: Karada ni Shika Kachi no Nai Ga
hai-time	はい Time	hai taimu	Hai Time: Fuuko to Kazukita
haisupe-kon-nimo-hodo-ga-aru	ハイスペ婚にもほどがある	haisupekon nimo hodo ga aru	High Spec Kon ni mo Hodo ga Aru: 13-nin no Iji
haiyaa-toraivu	ハイヤートライヴ	haiya toraivu	Higher Tribe: Ichiban no Sanmyaku
hanger	HANGER	hanga	Hanger: Shikkounin
hangyaku-no-nijigasaki	叛逆のニジガサキ	hangyaku no nijigasaki	Love Live! Nijigasaki Gakuen School Idol Douko
hapipuri	はぴぷり	hapipuri	Happy Pretty
happy-family-fukushuunorentaruokaasan	ハッピーファミリー	happi famiri	Happy Family: Fukushuu no Rental Okaa-san
happy-no-recipe	HAPPYのRECIPE	no	Anisaki Yuna Kessakushuu
hard-ando-ruuzu	ハード＆ルーズ	hado ruzu	Hard & Loose: Shiritsu Tantei Toki Shouzou Tro
hard-naado-daddy	ハード・ナード・ダディ	hado nado dadei	Hard Nerd Daddy: Hatarake! Otaku!!
heart-no-kuni-no-alice	ハートの国のアリス	hato no kuni no arisu	Heart no Kuni no Alice: Wonderful Wonder World
heat-beat	Heat×Beat	hito bito	Heat x Beat: Omega Dakedo Idol Hajimemashita
heaven-s-door-akimoto-2013	Heaven's Door	hevunzu doa	Heaven's Door - Kanojo no Saigo no Natsu
heaven	Heaven?	hebun	Heaven? Gokuraku Restaurant
hell-buster	ヘルバスター	heru basuta	Hell Buster: Jigoku wo Karu Mono
hell-dogs	ヘルドッグス	heru doggusu	Hell Dogs: Jigoku no Inu-tachi
hell-mode	ヘルモード	heru modo	Hell Mode: Yarikomi Suki no Gamer wa Haisettei
help-1991	Help!	help!	Series: Dareka Ni Nita Hito 
heren-keraa	ヘレン・ケラー	heren kera	Helen Keller - Kurayami kara Hikaru o Nagekake
hero-girl-healer-boy	ヒーローガール×ヒーラーボーイ	hiro garu hira boi	Hero Girl x Healer Boy: Touch or Death
hero-heel	Hero・heel	hiro hiru	HERO HEEL: Eiyuu to Akkan
hero	HERO	hiro	HERO: Akagi no Ishi wo Tsugu Otoko
heroes-kamubakku	ヒーローズ・カムバック	hirozu kamubakku	3.11 wo Wasurenai Tame ni Heroes Comeback
hetaria	ヘタリア	hetaria	Hetalia Axis Powers
high-low	HiGH ＆ LOW	hai ando rou	High & Low: The Story of S.W.O.R.D.
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	hipunoshisu maiku	Hypnosis Mic: Division Rap Battle - side F.P &
hito-o-katte-ni-sanbou-ni-surunja-nai-kono-haou	ヒトを勝手に参謀にするんじゃない、この覇王。	hito o katte ni sanbou ni surunja nai kono haou	Hito wo Katte ni Sanbou ni Surun ja Nai, Kono 
hiyoko-brand	Hiyoko brand	aizouban	HIYOKO BRAND: Oku-sama wa Joshi Kousei
hobugoburin	ホブゴブリン	hobugoburin	Hobgoblin: Majo to Futari
honey-ando-honey	ハニー＆ハニー	hani ando hani	Honey & Honey: Onnanoko Doushi no Love Couple
honey-coming	Honey Coming	hani kamingu	Honey Coming: Sweet Love Lesson
hoomuresu-tensei	ホームレス転生	homuresu tensei	Homeless Tensei: Isekai de Jiyuu Sugiru Jikyuu
horidei-love	ホリデイラブ	horidei rabu	Holiday Love: Fuufukan Renai
hoshikuzu-no-eiyuu	星屑の英雄	hoshikuzu no eiyuu	Mobile Suit Gundam 0083: Hero of Stardust
hospi-meshi	ホスピめし	hosupi meshi	Hospi Meshi: Minna no Gohan
howling	Howling	hauringu	Zoophilia Syndrome
hyper-run	HYPER☆ルン	haipa run	Cyber Planet 1999: HYPER☆Rune
i-rebo	アイレボ	ai rebo	Ice Revolution
ib-instant-bullet	ib-インスタントバレット-	aibi insutanto baretto	ib: Instant Bullet
ib	ib	aibi insutanto baretto	ib: Instant Bullet
ibaraado-monogatari	イバラード物語	ibarado monogatari	Iblard Monogatari: Laputa no Aru Fuukei
ice-trail	ICE TRAIL	aisu toreiru	TALE OF FAIRY TAIL ICE TRAIL: Koori no Kiseki
ichiefu	いちえふ	ichiefu	1F: Fukushima Daiichi Genshiryoku Hatsudensho 
id-invaded	ID:INVADED	ido inveideddo	ID: INVADED #BRAKE BROKEN
ifuriito	イフリート	ifurito	Ifrit: Danzai no Enjin
ijiwaru-matsuzaki-1993	意地悪	pichi komikkusu misuteri	Ijiwaru: Devil Spite
imigurimu	イミグリム	imigurimu	Imigrim: Yowamushi Akuma no Isekai Ijyuu Keika
imp	Imp!	inpu	Taihen Yoku Dekimashita?
inasaku	稲作	inasaku	Super Remix Best
indigo-blue-no-guradeeshon	インディゴブルーのグラデーション	indeigo buru no guradeshon	Blue Sky Complex Bangai-hen: Indigo Blue no Gr
inkya-datta-ore-no-seishun-revenge	陰キャだった俺の青春リベンジ	inkya datta ore no seishun ribenji	InCha Datta Ore no Seishun Revenge: Tenshi Sug
iron-naito	アイアンナイト	aian naito	Iron Knight
irugenesu	イルゲネス	irugenesu	Ilegenes: Giyoku no Koukyoukyoku
is	IS	aiesu	IS: Otoko demo Onna demo nai Sei
itazura-ouji	悪戯王子	itazura ouji	Tricky Prince
itoshi-no-honoo	愛しの焔	itoshi no honoo	Kanashi no Homura:Yume Maboroshi no Gotoku
itsutsu-no-hajimete	5つのハジメテ	itsutsu no hajimete	5-tsu no Hajimete: Ubawarete mo Ii, Kimi ni Na
jajji	ジャッジ	jajji	Yami no Shihosha Judge
jewelry	Jewelry	jueri	Jewelry: Hane to Kotori no Subarashiki Hibi
jieekee-musou	JK無双	jieke musou	JK Musou: Owaru Sekai no Sukuikata
jienova-no-deshi	ジェノヴァの弟子	jienova no deshi	Genova no Deshi: 10-byou Shika Tatakaenai Maju
jojorion	ジョジョリオン	jojorion	JoJo no Kimyou na Bouken: JoJolion
joker-no-kuni-no-alice	ジョーカーの国のアリス	joka no kuni no arisu	Joker no Kuni no Alice: Circus to Usotsuki Gam
joou-erizabesu	女王エリザベス	joou erizabesu	Elizabeth: Kuni to Kekkon Shita Joou
jououbachi	女王蜂	jououbachi	Jooubachi: Vampire Queen Bee
juicy	Juicy	jushii	Juicy (Genteiban)
jumbo-max	JUMBO MAX	janbo makkusu	JUMBO MAX: Hyper ED Yakumitsuzounin
jump-man	JUMP MAN	janpu man	JUMPMAN: Futari no Dai Shougai
juran	十蘭	juran	Saishuu Sensou
k-9	K-9	ke nain	K-9: Keishichou Kouan-bu Kouan Dai-9-Ka Inou T
k-yaku	ケイ×ヤク	kei yaku	Kei x Yaku: Abunai Aibou
kafeore-wa-erikusaa	カフェオレはエリクサー	kafeore wa erikusa	Café Au Lait wa Elixir: Kissaten no Jouren Kya
kafuka	カフカ	kafuka	Hakushaku Cain Series
kantorii-diary	カントリー・ダイアリー	kantori daiari	Country Diary: Aki Kara Fuyu e
kibando	牙人	kibando	Bukkira ni Yoroshiku!
kiss-2014	キス	kisu	Kiss XXXX
kissxxxx	Kissxxxx	kisu	Kiss XXXX
kisu-kara-hajimaru-isekai-harem	キスからはじまる異世界ハーレム	kisu kara hajimaru isekai haremu	Kiss kara Hajimaru Isekai Harem: Ipputasai no 
kitchinkaa-deri-joi	キッチンカー『デリ・ジョイ』	kicchin ka deri joi	Kitchen Car "Deli Joy": Shasou kara Isekai e U
knights	1001	naitsu	1001 Knights
koha-ace-goo	コハエースGO	koha esu go	Koha-Ace GO: Teito Seihai Kitan
kokuou-heika-to-amai-yoru	国王陛下と甘い夜	kokuou heika to amai yoru	Koukou Heika to Amai Yoru: Niizuma wa Danna-sa
konkuriito-reboruteio	コンクリート・レボルティオ	konkurito reboruteio	Concrete Revolutio: Choujin Gensou
kono-s-o-miyo	このSを、見よ!	kono o miyo	Kono S wo, Mi yo!: Cupid no Itazura
konsaru-nain	コンサルナイン	konsaru nain	Consult Nine: Sayoko no Gyakuten Produce 
koruseea	コルセーア	korusea	Corsair: Eigetsu
kuiinzu-blade	クイーンズブレイド	kuinzu bureido	Queen's Blade: Rurou no Senshi
kukkoro-knight	くっころナイト☆	kukkoro naito	Kukoro Knight: Seinaru Kishi wa Kuroki Yoroi w
kukurukan	ククルカン	kukurukan	Kukulcan - Shijousaidai no Sakusen
kuni-o-owareta-ryuushi-san-hirowareta-ringoku-de-ukkari-musou-shite-shimau	国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。	kuni o owareta ryuushisan hirowareta ringoku de ukkari musou shite shimau	Kuni wo Owareta Ryuushi-san, Hirowareta Ringok
kurebatesu	クレバテス	kurebatesu	Clevatess: Majuu no Ou to Akago to Kabane no Y
kureyon-days	くれよん・でいず	kureyon deizu	Crayon Days: Daikirai na Aitsu
kuronosu	クロノス	kuronosu	Chronos: Jiseidai Hanzai Jouhoushitsu
kuzu-kiri-otoko	クズ×キリ男子	kuzu kiri danshi	Kuzu x Kiri Danshi: Oretachi no Caste Sai Kaso
la-makiyuuzu	ラ・マキユーズ	ra makiyuzu	La Maquilleuse: Versailles no Keshoushi
lady-q	レディーQ	redei	Tensai Choukoushi Houjou Mika
lamento	Lamento	ramento	Lamento: Beyond the Void
last-continent	ラスト・コンチネント	rasuto konchinento	Last Continent
last-karte	ラストカルテ	rasuto karute	Last Karte: Houjuuigakusha Touma Kenshou no Ki
last-order-sumi-2019	#ラストオーダー	rasuto oda	#Last Order: Saigo no Sentaku
last-ranker	LAST RANKER	rasuto ranka	Last Ranker: Be the Last One
lemon-umumon	れもん、うむもん!	remon umumon	Lemon, Umumon! Soshite, Mama ni Naru
level-reset	レベルリセット	reberu risetto	Level Reset: Gomi Skill dato Kanchigai shita k
lo-se-night	Lo×se night	lo×se night	Loxse Night: Make Joshi to Utsukushiki Yajuu n
loop-8-shuume-wa-shiawase-na-jinsei-o	ループ8周目は幸せな人生を	rupu hasshuume wa shiawase na jinsei o	Loop 8-shume wa Shiawase na Jinsei wo: 7-Shuub
lost-2017	Lost	rosuto	LOST: Shisousha-tachi
lost-stars	STAR WARS/ロスト・スターズ	rosuto sutazu	STAR WARS: Lost Stars
lost-world-shikaban	ロストワールド 私家版	rosuto warudo shikaban	Lost World Shikaban
love-kare	ラブカレ	rabu kare	Love Kare Gokujou Men's Dokuhon!  BLACK
love-kon	ラブ★コン	rabu kon	Lovely★Complex
love-live	ラブライブ!	rabu raibu	Love Live! School idol project
love-plus	ラブプラス	rabu purasu	Love Plus: Kanojo no Kako
love-war	LOVE & WAR	rabu ando uo	Shin Musekinin Kanchou Tylor Gaiden: Love & Wa
lovers-high-anzai-2021	ラバーズハイ	rabazu hai	Lovers High: Shinyuu no Kareshi to Matching Sh
lovers-souruzu	ラバーズ、ソウルズ	rabazu souruzu	Lovers, Souls Kanzenban
lucky-star	LUCKY STAR	rakki suta	Lucky☆Star: Konata 30
lunar	LUNAR	runa	Lunar: Younenki no Owari
m	M	emu	M: Dark Angel III
m3	M3	emusuri	M3: Sono Kuroki Hagane
maadisuto	マーディスト	madeisuto	Murdist: Shikeishuu Kazami Tazuru
madara-ao	MADARA青	ao	MADARA Gilgamesh Saga
magic-2004	Magic	futaba bunko meisaku shirizu	Magic: The Gathering - Magic Gakuen Seitokai
magic-2018	Magic	majikku	Konkai wa Goen Arimashita, to Iu Koto de.
magic-meikaa	マジック・メイカー	majikku meika	Magic Maker: Isekai Mahou no Tsukurikata
magic-yuuzaa	マジックユーザー	majikku yuza	Magic User: TRPG de Sodateta Mahoutsukai wa Is
maid-nara-touzen-desu	メイドなら当然です。	meido nara touzen desu	Maid nara Touzen desu. Bannou Meid, Nureginu K
maid-o-nerae	メイドをねらえ!	meido o nerae	Maid wo Nerae!: Nakabayashi Kouchou no Yabou
maine-riibe	マイネリーベ	maine ribe	Meine Liebe: Eien Naru Traumerei
make-dokutaa	メイクドクター	meiku dokuta	Makeup Doctor Keshou Shinryoushi Kagami Youko
makoto	MAKOTO	makoto	Bakumatsu Roman Ibun
mama-loves-poyopoyo-saurus-ga-zaurus	ママはぽよぽよザウルスがお好き	mama wa poyopoyo zaurusu ga osuki	Mama Loves the Poyo Poyo Zaurus
maooeru	まおーえる!	maoeru	MaOL!: Shachiku OL to Isekai Saikyou Maou Irek
mariaaju	マリアージュ	mariaju	Marriage: Kami no Shizuku Saishuushou
marii-marii-marii	マリーマリーマリー	mari mari mari	Marry Marry Marry
mask	Mask	masuku	Mask: Kamen no Jouji
masuketto-girls	マスケットガールズ!	masuketto garuzu	Musket Girls! Tensei Sanbou to Senretsu Otome-
medium	medium	medeiumu	medium: Reibai Tantei Joutsuka Kawasemi
mei-no-hotori	冥のほとり	mei no hotori	Yoru no Hotori: Tenki Ibun
meideea-tensei-monogatari	メイデーア転生物語	meidea tensei monogatari	Maydare Tensei Monogatari: Kono Sekai de Ichib
merry-uitchiizu-life	メリー・ウィッチーズ・ライフ	meri wicchizu raifu	Merry Witches Life: Berle Basil no 3-nin no Mi
middogarudo-no-shugosha	ミッドガルドの守護者	middogarudo no shugosha	Midgard no Shugosha: Re-Birth of Norse Mytholo
milgram	MILGRAM	miruguramu	MILGRAM: Jikken Kangoku to Kanshu no Shoujo
milk-shibori-hunter-no-isekai-sakunyuuki	ミルク搾りハンターの異世界搾乳記	mirukushibori hanta no isekai sakunyuuki	Milk-shibori Hunter no Isekai Sakunyuuki: Nouk
miniban-life-horidee	ミニバン・ライフ・ホリデー	miniban raifu horide	Minivan Life Holiday: Kuruma no Ouchi de New Z
mirakyurasu	ミラキュラス	mirakyurasu	Miraculous: Ladybug & Chat Noir
mirimosu-saga	ミリモス・サーガ	mirimosu saga	Millimos Saga: Battei Ouji no Tensei Senki
mister-ajikko	ミスター味っ子	misuta ajikko	Mister Ajikko
mobile-suit-gundam-climax-yuushii-tsumugareshi-kettou	機動戦士ガンダムクライマックスU.C.-紡がれし血統-	kidou senshi gandamu kuraimakkusu yushi tsumugareshi kizuna	Mobile Suit Gundam Climax U.C.: The Bonds of t
mobu-nanoni-makikomarete-imasu	モブなのに巻き込まれています	mobu nanoni makikomarete imasu	Mob na no ni Makikomareteimasu: Ouji no Ibukur
monster-collection	モンスター・コレクション	monsuta korekushon	Monster Collection: Majuutsukai no Shoujo
monster-hunter	モンスターハンター 閃光の狩人	monsuta hanta	Monster Hunter: Senkou no Kariudo
montorihito	モントリヒト	montorihito	Mondlicht: Tsuki no Tsubasa
moonlight-flowers	Moonlight Flowers	munraito furawazu	Moonlight flowers: Gekka Bijin
mooretsu-uchuu-kaizoku	モーレツ宇宙海賊	moretsu pairetsu	Mouretsu Pirates: Abyss of Hyperspace
morris	MORRIS	morisu	Morris: Tsuno ga Haeta Neko no Bouken
mumei-no-ken	無名の剣	mumei no ken	Shinsengumi-tai Geki: Mumyou no Ken
murder-rokku	マーダーロック	mada rokku	Murder Lock: Satsujinki no Kyoushitsu
mutant-taatoruzu	ミュータントタートルズ	myutanto tatoruzu	Mutant Turtles - Ore-tacha Kame na 4-Ninkumi
muu-chan-to-te-o-tsunaide	ムーちゃんと手をつないで	muchan to te o tsunaide	Muu-chan to Te wo Tsunaide: Jihen Shou no Musu
my-fair-neibaa	マイ・フェア・ネイバー	mai fea neiba	My Fair Neighbor
naiteingu-naito	ナイティング+ナイト	naiteingu naito	Knighting Knight
nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治平和マンガ作品集	nakazawa keiji heiwa manga sakuhinshuu	Heiwa no Kane Series
naporeon	ナポレオン	naporeon	Napoleon: Shishi no Jidai
natsu-no-guuwa	夏の寓話	natsu no guuwa	Tennin Karakusa
nein	Nein	nain	Nein: 9th Story
nigeru-kodomo	児童福祉司一貫田逸子	nigeru kodomo	Jidoufukushishi: Inukita Etsuko
niiche-sensei	ニーチェ先生	nichie sensei	Nietzsche-sensei: Konbini ni, Satori Sedai no 
niou	仁王	niou	Nioh: Konjiki no Samurai
niru-adomirari-no-tenbin	ニル・アドミラリの天秤	niru adomirari no tenbin	Nil Admirari no Tenbin: Teito Genwaku Kitan
noesis	NOeSIS	noeshisu	NOeSIS: Uso wo Tsuita Kioku no Monogatari
noijii-ruumumeito	ノイジールームメイト	noiji rumumeito	Noisy Roommate: Ienashi ni Natta node Ikemen t
noroi	呪	noroi	The Horror Specialist
nude-mihiro-2010	Nude	nudo	nude: AV Joyuu Mihiro Tanjou Monogatari
nude	Nude	nudo	nude: AV Joyuu Mihiro Tanjou Monogatari
nurse-no-chikara	ナースのチカラ	nasu no chikara	Nurse no Chikara: Watashitachi ni dekiru koto 
nyaa-no-ongaeshi	にゃーの恩返し	nya no ongaeshi	Nyaa no Ongaeshi: Futari to Ichibiki no Uchi G
oboro-no-hanayome	朧の花嫁	oboro no hanayome	Oboru no Hanayome: Karisome no Konyaku wa, Aok
odds-and-ends	Odds and Ends	ozzu ando enzu	Odd and Ends Minai x Narasaki
onegai	お・ね・が・い	onegai	Shy Girl
only-you	Only you	onri yu	Only You: Tobenai Tsubasa
onmyouji-to-tengugan	陰陽師と天狗眼	onyouji to tengugan	Onmyouji to Tengume: Tomoe Shiyakusho Mononoke
oodin-sphere	オーディンスフィア	odein sufia	Odin Sphere: Leifthrasir
oorai	オーライ!	orai	All Right!
operaza-de-mattete	オペラ座で待ってて	operaza de mattete	Saitou Chiho: The Best Selection
ore-alice	俺アリス	ore arisu	Ore Alice: Danjo Gyakuten
ore-o-mitashite-shouri-no-megami-sama	オレを満たして、勝利の女神様	ore o mitashite shouri no megamisama	Ore wo Mitashite, Shouri no Megami-sama: Dekia
ore-yome	オレ×ヨメ	ore yome	Ore x Yome: Cupid no Itazura
orukusen-oukokushi	オルクセン王国史	orukusen oukokushi	Orcsen Oukokushi: Yaban na Orc no Kuni wa, Ika
otsubone-reijou-to-shuka-no-kisetsu	お局令嬢と朱夏の季節	otsubone reijou to shuka no kisetsu	Okyoku Reijou to Shiyuka no Kisetsu: Reitetsu 
ougon-shounen	黄金少年	ougon shounen	BABEL THE 2ND: Kogane Shounen GOLDEN BOY
ousaka-mieko-the-best	逢坂みえこthe best	ousaka mieko	Osaka Mieko THE BEST: Hito ni Miraretakunai Ni
outaishi-sama-wa-yume-no-otome-ni-goshuushin	王太子さまは夢の乙女にご執心	outaishisama wa yume no otome ni goshuushin	Ootaishi-sama wa Yume no Otome ni Go Shuushin:
outer-q	アウターQ	auta kyu	Outer Q: Jakushou Web Magazine no Jikenbo
p2	P2!	pitsu	P2 - Let's Play Ping Pong!
paikano	ぱいカノ!	paikano	Gokubuto♡Insert
pandora-1992	パンドラ	pandora	PANDRA: Shiroki Yokubou Kuro no Kibou
papa-papa	パパ×パパ	papa papa	Papa x Papa: α to Ω de Fuufu Yattemasu
papaiya-nedoko-de-nenne	パパイヤネドコデネンネ	papaiya nedoko de nenne	Drifting Family Papaya Nedokodenenne
peak	PEAK	piku	Gaku: Minna no Yama
peiru-blue-dot	ペイル・ブルー・ドット	peiru buru dotto	Pale Blue Dot Battle Athletes Daiundoukai: ReS
penguin-no-koto-suki	ペンギンのこと好き?	pengin no koto suki	Penguin no Koto Suki? Kimi no Umou-san ni Nari
perman-fujiko-1979	パーマン	paman	Perman
perman	パーマン	paman	Perman
persona-1998	Persona	perusona	Persona 2: Tsumi To Batsu
persona-2001	ペルソナ	perusona	Persona 2: Tsumi To Batsu
peste-ga-aketara-asobimashou	ペストが明けたら遊びましょう!	pesuto ga aketara asobimashou	Pest ga Aketara Asobimashou!- Chuusei Europa S
petit-minyon	プチミニョン	puchi minyon	Petit Mignon: Juujin Omegaverse
phantom-brave	ファントムブレイブ	fantomu bureibu	Phantom Brave: Ivoire Monogatari
phantom-plus-2009	Phantom	fantomu	Phantom: Requiem for the Phantom
piashie	ピアシェ	piashie	Piace: Watashi no Italian
pikuchaa-bride	ピクチャーブライド	pikucha buraido	Picture Bride: Umi wo Watatte Koi to Nare
plus-one	+1	purasu wan	+1: High Tension Basketball Story
pocket-monster-emerald	ポケットモンスターエメラルド	poketto monsuta emerarudo	Pocket Monsters Emerald: Chousen!! Battle Fron
pokemon-fushigi-no-dungeon	ポケモン不思議のダンジョン	pokemon fushigi no danjon	Pocket Monsters Fushigi no Dungeon: Ginji no K
poketsuto-no-naka-no-0080-sou	機動戦士ガンダム0080	poketsuto no naka no sensou	Kidou Senshi Gundam 0080 Pocket no Naka no Sen
poo-no-ichizoku-himitsu-no-hanazono	ポーの一族秘密の花園	po no ichizoku himitsu no hanazono	Poe no Ichizoku: Himitsu no Hanazono
poo-no-ichizoku	ポーの一族	po no ichizoku	Poe no Ichizoku
poora-to-mishieru	ポーラとミシェル	pora to mishieru	ACCA: 13-ku Kansatsu-ka Gaiden: Paula to Miche
potion-wa-160km-h-de-nageru-mono	ポーションは160km/hで投げるモノ!～アイテム係の俺が万能回復薬を投擲することで最強の冒険者に成り上がる!?～@COMIC	poshon wa jisoku hyakurokujikkirometoru de nageru mono aitemugakari no ore ga bannou kaifukuyaku o touteki suru koto de saikyou no boukensha ni nariagaru attomaku komikku	Potion wa 160km/h de Naderu Mono!: Item-gakari
princess-kun-to-knight-san	プリンセスくんとナイトさん	purinsesukun to naitosan	Princess-kun to Knight-san: Saikyou ni Kawaii 
princess-redaria	プリンセス・レダリア	purinsesu redaria	Princess Ledalia: Bara no Kaizoku
private-opinion	Private opinion	puraibeto opinion	Private Opinion: Banana Fish Another Story
project-tokyo-dolls	プロジェクト東京ドールズ	purojiekuto toukyou doruzu	Project Tokyo Dolls: Boukyaku no Imitation Dol
psycho-eyes	サイコアイズ	saiko aizu	Psycho Eyes
psycho-pass-3-first-inspector	PSYCHO-PASS サイコパス 3 FIRST INSPECTOR	saikopasu suri fasuto insupekuta	PSYCHO-PASS 3: FIRST INSPECTOR
psycho-pass-3	PSYCHO-PASS サイコパス 3	saikopasu suri	PSYCHO-PASS 3: FIRST INSPECTOR
psycho-pasuto	サイコ×パスト	saiko pasuto	Psycho x Past: Ryouki Satsujin Sennyuu Sousa
puchi-eva	ぷちえう゛ぁ	puchieva	Petit Eva: Evangelion@School
puratanasu-no-mi	プラタナスの実	puratanasu no mi	Platanas no Mi: Shounikairyou Channel
pure-1993	純愛	pyua	Shiawase ni Naritai
pure	Pure	pyua	Shiawase ni Naritai
puri-puri	プリ×プリ	puri puri	Puri X Puri: Himegimi wa Ouji-sama
purukogi	プルコギ	purukogi	The Yakiniku People Bulgogi
q-e-d-iff	Q.E.D.iff	kyuidei ifu	Q.E.D. iff: Shoumei Shuuryou
q-e-d	Q.E.D.	kyuidei	Q.E.D.: Shoumei Shuuryou
r-o-d	R.O.D	aruodei	R.O.D: READ OR DIE
rabukyo	らぶキョ	rabukyo	Lovekyo: Katei Kyoushi ga ×× Sugite Benkyou Do
raburabu-change	らぶらぶ❤ちぇんじ	raburabu chienji	Change!: Chigau Watashi ni Nareta Nara
rachetto-ando-kuranku	ラチェット＆クランク	rachietto ando kuranku	Ratchet & Clank - Gagaga! Ginga no Gakeppuchi 
rack	RACK	rakku	Rack: 13-gakari no Zankoku Kikai
rafaero	ラファエロ	rafaero	Raffaello: Sono Ai
rail-wars	RAIL WARS!	reru uozu	Rail Wars!: Nihon Kokuyuu Tetsudou Kouantai - 
rainbow	RAINBOW	yangu sande komikkusu	RAINBOW: Nisha Rokubou no Shichinin
raineeji-saga	ライネージサーガ	raineji saga	Lineage Saga: Koukoku o Tsugu Mono
raise	RAiSe!	reizu	RAiSe! The story of my music
ramia	ラミア	ramia	Jashin Densetsu
rasubosu-tachi-no-kakushi-go	ラスボスたちの隠し仔	rasubosutachi no kakushigo	Last Boss-tachi no Kakushi Ko: Maoujou ni Tens
rasubosu-yametemita	ラスボス、やめてみた	rasubosu yametemita	Last Boss, Yametemita: Shujinkou ni Taosareta 
rave	Rave	reivu	Groove Adventure Rave
real-propose	リアルプロポーズ	riaru puropozu	Real Propose: Otonari-kun to Nise Konnen no Sa
really-really	Really?Really!	riari riari	Shuffle: Really? Really!
red-list-keishichoukumitaisankapo	レッドリスト	reddo risuto	Red List: Keishichou Sotai Sanka PO
reeve-monogatari	レーヴェ物語	reve monogatari	Sora no Kiseki Gaiden: Loewe Monogatari
reimachi-ki-tan	霊街奇譚	reimachi kitan	Reigai Kitan: Kasoke Osamu-chou 1/2-Choume Tan
reiyaa-reiaa	レイヤー×レイアー	reiya reia	Layer x Layer
remunanto	レムナント	remunanto	Remnant: Juujin Omegaverse
restart	リスタート!	risutato	Restart! 34-sai Game Director no Tsuyokute New
riezon	リエゾン	riezon	Liaison: Kodomo no Kokoro Shinryoujo
ritaanaazu	リターナーズ	ritanazu	Returners: Aka no Kikansha
rival-2015	ライバル	raibaru	Rival: Tokubetsu na Otoko
road-of-the-wedding	ロード・オブ・ザ・ウェディング	rodo obu za wedeingu	Road of the Wedding: Yuusha no Konkatsu
robasutonesu	ロバストネス	robasutonesu	Robustness: Road To Olympia
roguauto-shita-no-wa-buiaaruemuemuoo-ja-naku-honmono-no-isekai-deshita	ログアウトしたのはVRMMOじゃなく本物の異世界でした	roguauto shita nowa vuiaruemuemuo ja naku honmono no isekai deshita	Logout Shita no wa VRMMO ja Naku Honmono no Is
rokku-up	ロックアップ	rokku appu	Lock Up: Warera Akatsuki Puroresu-dan
ronrinesu	ロンリネス	ronrinesu	Chikyuu Tansa Houkoku Loneliness
roodosutou-senki-1997	ロードス島戦記-灰色の魔女-	rodosutou senki	Lodoss-tou Senki: Haiiro no Majo
roodosutou-senki-farisu-no-seijo	ロードス島戦記 ファリスの聖女	rodosutou senki farisu no seijo	Lodoss-tou Senki: Pharis no Seijo
roodosutou-senki-haiiro-no-majo	ロードス島戦記 灰色の魔女	rodosutou senki haiiro no majo	Lodoss-tou Senki: Haiiro no Majo
roodosutou-senki	ロードス島戦記-英雄騎士伝-	rodosutou senki	Lodoss Tousenki: Eiyuu Kishiden
roopure-world	RPG W(・∀・)RLD	ropure warudo	RPG W(・∀・)RLD - Roleplay World
rosen-blood	Rosen Blood	rozen buraddo	Rosen Blood: Haitoku no Meikan
rough-diamond-2014	ラフダイヤモンド	rafu daiyamondo	Rough Diamond: Manga Gakkou ni Youkoso
route-double	ルートダブル	ruto daburu	Root Double: Before Crime＊After Days √After
route	ルート	ruto	Ruth: Yuki no Oukoku Mezameru Hoshitachi
royal-cinderella-mama	ロイヤル・シンデレラ・ママ	roiyaru shinderera mama	Royal Cinderella Mama: Tengai Kodoku no Botsur
royal-teeraa	ロイヤルテーラー	roiyaru tera	Royal Tailor: Oukyuu no Saihoushi
ruby-onza-cake	ルビー・オンザ・ケーキ	rubi on za keki	Ruby on the Cake: Hitokui Majo no Bansankai
ruchiru-kuootsu-no-taikan	ルチルクォーツの戴冠	ruchirukuotsu no taikan	Rutilequartz no Taikan: Slaine to Ou to Eiyuut
ruugaruu	ルー=ガルー	ru garu	Loups=Garous: Kihi Subeki Ookami
ruuzaazu	ルーザーズ	ruzazu	Losers: Nihon Hatsu no Shuukan Seinen Manga-sh
ryuuou-heika-no-gekirin-sama	竜王陛下の逆鱗サマ	ryuuou heika no gekirinsama	Ryu-ou Heika no Gekirin-sama: Hon suki Nezumi 
sabaibaazu-giruto	サバイバーズ・ギルト	sabaibazu giruto	Survivor's Guilt: Asobinin no Koi
sai-teikaa	サイ: テイカー	sai teika	SAI:Taker - Futari no Artemis
