slug	title	tv	has_synopsis	genres	n_isbn	caption
miraijin-saijoo	未来人サイジョー	3	False	drama,slice-of-life	3	"突如、激動騒然の2020年から、50年前の大阪にタイムスリップしてしまった元漫画家アシスタント西条浩志(50歳)。
ツテ無し無一文の彼の前に現れたのは、肉屋でバイトをしながらプロ漫画家を夢見ている稀代のお人好し北川ススム(20歳)！　
二人を待つ未来とは!? 決死のサバイバルが今始まる!!

鬼才・いましろたかしのSFタイムスリップサスペンス最新作!!　全3巻、同時発売！

●いましろたかし ビームコミックス好評既刊●

『曇天三茶生活 我、かく闘えり』
『ハード・コア 平成地獄ブラザーズ』全4巻 原作：狩撫麻礼
『釣れんボーイ』上・下巻
『新釣れんボーイ』
『永遠のケツ』
『ぼけまん』
『原発幻魔大戦』
『原発幻魔大戦 首相官邸前デモ編』
『原発幻魔大戦 日本発狂編』
『引き潮』
『いましろたかし傑作短編集』
『盆堀さん』
『ラララ劇場』
『タコポン』上・下巻 原作：狩撫麻礼
『ぼくトンちゃん』

●コミックビーム 公式ツイッター●
@COMIC_BEAM"
seigi-no-gakuen	正義の学園	3	False	action,drama	3	"正義とは何か……最終決戦の行方は！？ 

 問題児ばかりが集められた「正義の学園」に転校してきた星名正真。
彼は、「神様」と称される視聴者たちが熱狂的に支持する
リアリティーショーから送り込まれた、「チャレンジャー」だった。

ミッション「マラソン大会」直後、クラスに新たに加わったのは、
正真の実の妹・ひまりだった。動揺を隠せない正真。
二人は過去に、決して赦されない「罪」を共有していたのだった。
一方、態度が急変した正真の様子に戸惑いつつも、怒りをどこへ
ぶつけたらいいのかわからない未唯。
そんな彼女に、初凌が持ちかけた恐るべき提案とは……？

正義は、どこにあるのか。
学園サバイバルバトル、ついに完結！
 

 【編集担当からのおすすめ情報】 
 正真がなぜ「己の正義」に強くこだわるのか…その鍵を握る重要人物・ひまりの登場で、物語は一気にクライマックスへ。正真、ひまり、未唯、初凌……それぞれに己の信じる「正義」があり、そう信じるに至った切実なそれぞれの過去があり、しかし、彼らの「正義」は決して相入れない。その事実を前に、正真が選んだ結末とは……？ 彼らの行く末をぜひその目で確かめてください！"
shinitagari-kun-to-satsujinki-kun	死にたがり君と殺人鬼君	3	False	action,drama	3	"殺気に満ちたストーカーに後をつけられ… 

 友達が欲しい「殺人鬼君」と、生きる理由
が欲しい「死にたがり君」。これは、そんな
変わり者2人による、ちょっと変わった友情
物語である。
 外との繋がりを作るべくSNSを始めた「死
にたがり君」だが、早々にネタが尽きたため、
映えを求めて人生初のカフェへ！
 そこで大人気ネットアイドルの「夢乃あか
り」と出会ったのだが、あかりは殺気に満ち
溢れたストーカーに後をつけられていて…！？
 

 【編集担当からのおすすめ情報】 
 不思議な友情物語も第2巻！外に出た2人がどんな騒動を巻き起こすのか！？
天才的なストーリーテリングと美麗絵をご堪能ください。"
shinikaeri	死ニカエリ	3	False	action,drama,supernatural	3	【登場人物、全員自殺者】其の一、自殺した人が蘇り、「死ニカエリ」となる。其の二、「クビツリ」「リスカ」「フクドク」--。彼らは、死因にまつわる能力を授かっている。其の三、彼らは組織に所属し、悪い死ニカエリを「葬送」する。同じ痛みを持つ仲間とともに邪悪な者と対峙し、葬送する。蘇ってしまった自殺者たちは、過去と向き合い、生き直すことができるのか。「先生のやさしい殺し方」の反転シャロウによる異能バトル！
shibou-flag-ni-ki-o-tsukero	死亡フラグに気をつけろ!	3	False	comedy,supernatural	3	"「カップルがイチャイチャしだすと死ぬ」「マシンガンを乱射する奴は死ぬ」「戦場で家族の話をする奴は死ぬ」
古今東西のあらゆる映画に存在する“それをしてしまったら死んでしまう“行為、いわゆる『死亡フラグ』を、
映画オタクの[しの]と、遊ぶのが大好きなギャル[よーこ]の女の子バディが体を張って検証するエクストリーム・ギャグ!
各所で話題となったスマッシュヒット本「明日から使える死亡フラグ図鑑」(宝島社刊)の
茶んた仕掛ける笑いの暴走特急はクセになる事間違いなし!
人気映画系YouTuber・知的風ハットの映画コラム『恋する死亡フラグ』も収録！
単行本でしか読めない[新エピソード][主人公二人の日常][番外編]などなど、描き下ろしは20ページ以上!!!"
dokuoya-ni-sodateraremashita	毒親に育てられました	3	False	drama	3	"Instagramで話題のコミック。ついに完結！

短大を卒業したつつみは就職し、一人暮らしを始めます。
母からやっと逃れられたと思いきや、母は執拗につつみに連絡し、ついには家に押し掛けるように。
ストレスのかかったつつみはうつ病を患い、退職。まわりの支えもあり、つつみは少しずつ立ち直り、
母親と絶縁する決心をします。
娘に執着し続ける母から逃れるため、つつみがとった行動とは……。

毒親と絶縁するための弁護士アドバイスも収録"
nagamori-kun-ga-ichizusugite-komaru	永守くんが一途すぎて困る。	3	False	comedy,romance	3	"恋愛に対して後ろ向きな主人公・三崎優花の前に、
イケメン俳優・永守一途が現れ、『結婚を前提としないお付き合い』をすることに…。

数々の困難を乗り越え、ちゃんとしたお付き合いをすることになった二人だったが、
”将来”を考えなければならない事態が起こりーー…。

さやわか×ふみふみこコンビが贈る“純“恋愛ストーリー、
最終巻!!"
haken-shine-asumi-no-kakeibo-attomaaku-comic	派遣社員あすみの家計簿@comic	3	False	romance,slice-of-life	3	"家計簿で人生見直し。仕事も恋も甘くない？ 

 恋人の理空也に騙され、
正社員として勤めていた会社を“寿退社”してしまった
藤本あすみ、28歳。
日雇いの仕事と必死の節約、
そしてギャラが出るセレブ合コンに顔を出し
なんとか食いつなぐが…
家計簿には、生き様が表れる!?
金欠女子の節約サバイバル!!
大人気シリーズ『これは経費で落ちません！〜経理部の森若さん〜』の
著者による新シリーズ、コミカライズ第2巻！ 

 【編集担当からのおすすめ情報】 
 TVドラマ化された大ヒット小説『これは経費で落ちません！〜経理部の森若さん〜』の著者・青木祐子先生の新シリーズを
漫画家・雨野さやか先生が瑞々しい筆致でコミカライズ！
キャラクター達の豊かな表情に笑って泣いて癒やされて、
働く女性のリアルな悩みに共感して、恋人候補とのデートシーンにはドキドキして…と
コミカライズならではの魅力がいっぱいです。
ぜひ原作小説とあわせてお楽しみください!!"
senshun-kansoku	浅春観測	3	True	bl,romance,school,slice-of-life	3	"中学3年の八谷鷲人と、高校2年生の雀松遥。
遥は進むべき道のため海外留学を決心するが、
中学最後の野球部の試合を控えている鷲人には、告げられずにいた…。

すれ違いながらも、お互いを一途に思い続け縮まった二人の距離と身長差。 
そして桜の花びらが舞う中、彼らは四度目の春を迎えるーー。


うぶキュン青春ボーイズラブ完結！
単行本でしか読めない大ボリュームの描き下ろしを収録。"
shinya-anata-no-mono-ni-naru	深夜、あなたのものになる	3	False	romance	3	"ーー惹かれない…わけがない 

 一緒にいたら手ェ出したくなる…
まんが家を目指して上京してきた樹咲（きさき）。初恋の人・威風凜（いふうりん）が講師を務める専門学校に入学し、夢を追いかける日々。
パン屋でバイト中の樹咲は、お店のピンチを助けてくれた凜の兄・士堂（しどう）に本気で口説かれるようになる！！
まっすぐ向けられる好意と優しさに、次第に樹咲も士堂に惹かれていくーーー…。
ある日、士堂の誘いでラジオ局での収録を実際に見学できることになった樹咲だったが、番組が始まったその時、凜が現れてーーー！？
心あゆみが描く三角関係溺愛ラブ！
イケメンDJ兄・士堂が動く！？ 第2巻！！"
gekikara-kachou	激辛課長	3	False	comedy,romance,slice-of-life	3	"《TVドラマ化！激辛の名店を巡る、上司と部下の激辛デート》

ドS部下・新城さん×強がっちゃう系上司・課長の悶絶しまくり激辛デート！
名古屋の夜はアツいんです…！！

《イブニング人気連載作品、3巻ではついに…！？》
辛いモノ得意じゃないのに、部下の前で強がってしまい
「激辛好き」のフリを続けるハメに…。それが激辛課長！

激辛大好き・可愛い部下の新城さんに連れていかれる、激辛料理店の数々。
出先でも、仕事終わりも、出張先でも…！
でも、激辛デートを重ねるうちになんだかいい雰囲気にーー！？

2人の距離が一気に縮まる名古屋出張！2日目の夜に何かが起こる！！！

登場するのは実在の激辛＆激ウマ店。
お店の紹介記事も付いてます。"
enjou-hero-ako	炎上ヒーローアコ	3	True	drama,suspense	3	【初生配信】新世代のダークヒーロー配信スタート!!/【緊急生放送】女配信者ぽぽみん ストーカー被害!!/【神回】リアルでもネットでも! ストーカーの末路!!/大人気アイドルとクソケチ社長 嘘だらけの通信番組!!/【視聴者参加】アコの炎上させます! リスナー凸待ち!!/【大炎上】イケイケベンチャー社長 誹謗中傷の嵐!!/【衝撃】人気絶頂の元子役俳優・鮎原ミズキの裏の顔!!/【最悪】俳優・鮎原ミズキはアイドルを喰らう!!??/【祝炎上】おめでとう! 炎上で主演ドラマの視聴率UP!!/【番外編】炎上メーカー達の炎上前の、素の表情が!!
neko-ga-kaitakute-shikatanai-hito	猫が飼いたくて仕方ない人	3	False	comedy	3	"群れるのを嫌う孤高のサラリーマン・甲斐太三（29）の絶対正義…それは 猫。
猫がそばにいる生活に憧れるあまりさまざまな妄想を繰り広げる毎日。
一見不愛想だが、猫に優しい太三の姿に周囲の人もだんだん打ち解けてきて…!?完結！"
neko-to-hasukii-to-hamaji	猫とハスキーとハマジ	3	False	essay	3	誰もがどこかで見たことがあるシベリアンハスキー・シルビアちゃん。飼い主のハマジさんのTwitterのフォロワーは20万人超。ネットニュースやテレビの動物番組でもおなじみです。猫の大吉、イサム、ウララ、レイ、ユウヒにコテツ、そして新入りハスキーのシャンテちゃんも加わり、ハマジさんちは今日もにぎやかです！
isekai-no-yakusho-de-arubaito-hajimemashita	異世界の役所でアルバイト始めました	3	False	adventure,fantasy,isekai	3	ハイエルフの姫・ティターニアの身を狙う漆黒の魔手。漆黒の魔手から逃れるため子供の姿になったティターニアは、総司やブロッド、ヘリオドールたちと出会い交流を深めていく。ゴーレムやハーピーとの闘い、謎の兜男の登場など、目まぐるしく展開するティターニア逃走劇の結末とは!?まさかの炎上×大爆発!? ≪ウルドで最も恐ろしい場所≫ヘリオドール宅の大掃除編も収録!!
isekai-1-temo-shounen-manga-no-shujinkou-wa-ichimiri-mo-burenai	異世界行っても少年マンガの主人公は1ミリもブレない!!!	3	False	action,fantasy,isekai	3	鉄丸の隠された秘密が明らかとなる。父の名は『虎一』、工事現場で建物を解体する仕事をしていたが、鉄丸が10歳の時に亡くなっていた。さらに、鉄丸の額には生まれた時から菱形の痣があり…。「SWORD BREAKER」から続く戦いの物語、ここに完結！
hakumai-rai-san	白米礼賛	3	False	gourmet	3	"鮭のバター焼き、回鍋肉、辛子高菜に肉じゃが……
炊きたてごはんに合わせれば一気に至福の味!子供のころから白いご飯が大好きだったOLの恵美は仕事が終われば飲み会よりも白いご飯と合うおかずの美味探求!
ごはんグルメコミック！"
hyakunen-to-majo	百年と魔女	3	False	action,supernatural	3	舞台はUK、ロンドン・シティ。天才詐欺師・洋次は、ひょんなことから悪魔と魔女が幾千年繰り広げる争いの只中へと落ちてしまう。詐欺師と悪魔と魔女ーー悪党同士三つ巴の化かし合いと殺し合いが、いま始まる！　天才詐欺師が挑むハイスピード・ハンティング・アクション、一瞬たりとも目を離すな!!
koutei-to-onnakishi	皇帝と女騎士	3	False	action,drama,romance	3	"「でしたら…その機会、私に与えていただけませんか？」

皇帝についていくと決めたポリアナは行政補給部隊に配属になる。
剣を使う機会も大きな功績も挙げられない…それでも落ち込まないポリアナ。
そんな中、ベバロウ攻撃に拍車をかけるアクレア軍だが、経験のない水上戦に苦戦する一方で…。
ポリアナは騎士として自分を迎え入れてくれたルクソスの期待に応えるため、
最後のチャンスを求める！！
天然の要塞ベバロウ城の攻略は成功するのかー？！"
aibou-wa-slime	相棒はスライム!?	3	False	adventure,comedy,fantasy	3	黒い瞳の色が原因で父親には忌み嫌われ、婚約者からは婚約破棄を言い渡され人生どん底の主人公ザック。ある日森で人語を話す黒いスライム・スーラと出会い、伝説の魔法を手にすることに!? 剣聖のカルモンやS級ソルジャーのジャスカら仲間を従えて、成り上がりの一歩として戦へと臨むことになるが、その戦はかなり分が悪くて…!? スライムと共に“最強”を目指して大冒険！ 「小説家になろう」発、成り上がり冒険ファンタジー！
nemurenai-ookami	眠れないオオカミ	3	False	drama	3	約束の丘に向かう途中で消失した白いオオカミ。悲しみに暮れその場に根を張っていた孤独なオオカミは傷つきながら進んでいく。約束を果たすために。Twitterでバズった話題作が本編フルカラーでついに書籍化!
hametsu-no-keishisha	破滅の刑死者	3	False	mystery,supernatural	3	"ある怪事件と同時に消えたのは、国家機密ファイル。
唯一の手掛かりは、夜の現場で目撃された青年・戻橋トウヤだけ──。

内閣情報調査室に極秘裏に設置された「特務捜査」部門、通称CIRO-S(サイロス)。

「普通ではありえない事件」を扱うこの部署に
配属された新米捜査官・雙ヶ岡珠子は、目撃者トウヤと二人、事件の捜査にあたることに。

けれどこの青年・トウヤは
賭け事に命までも賭してしまう危険な人間の上、
“ある不思議な異能”を持っていた。
彼の能力が明らかになるとき、不利に見えた賭け事の盤面はひっくり返る。

第25回電撃小説大賞＜メディアワークス文庫賞＞受賞作
コミカライズ第2巻。"
kanbe-sensei-no-touchoku-gohan	神辺先生の当直ごはん	3	False	slice-of-life	3	"「好き嫌いしないでなんでも食べないと
大きくなれないよ」なんて言う立場の小児科医。
だけど、そんな先生たち自身は
自分たちが食べるごはんもおろそかにしがちで…？
多忙のあまりに自分を見失いそうになっても
明日への活力を養うごはんが必要。
だからーー神辺先生は今日も当直室でごはんを作る！


「辛いとき、しんどいとき。
必ず効くのは温かい好物」

さて、神辺先生の今日のごほうびごはんは…？
本格小児医療×グルメ漫画、第3巻!"
watashi-no-janru-ni-kami-ga-imasu	私のジャンルに「神」がいます	3	False	drama	3	"天才字書き・綾城（あやしろ）に憧れ、二次創作小説を書き続ける七瀬（ななせ）は新たな壁にぶつかっていた。メジャーCP（カップリング）からマイナーCPへと創作の対象を変えた彼女に世間は冷たく、心無い言葉に心は削られていく。すべては無駄な努力なのか、自分のやっていることに意味はあるのか……そう煩悶する彼女の前にある人物が現れるーー。

二次創作に対して圧倒的な熱量を注ぐ創作者たちを描く大人気シリーズ「同人女の感情」、書籍化第3弾！

書籍描きおろしとして、天才字書き・綾城（あやしろ）が虚崎（うろさき）と名乗っていた頃を描いた話を収録。
一人暮らしを始めたばかりの綾城とおけけパワー中島の交流が描かれます。
・登場人物紹介
・同人女用語集

第1話　同人女、嵐の海を往く
第2話　いいねが欲しい同人女
第3話　同人女の日々
第4話　同人女、愛を告げる
第5話　九条と向井
第6話　ジャンルの切れ目が、縁の切れ目？

＜おまけ4コマ＞
・整理整頓
・ガチャは気まぐれ
・作業通話"
watashi-no-hana-itsuwari-no-niwa	私の花、偽りの庭	3	False	drama,fantasy	3	"極東国の南に位置する小さな孤島。そこには「花女（はなめ）」と呼ばれる、花の名を持つ少女たちが住んでいた。
彼女たちの身体からは芳しい香りを持つ特殊な精油が抽出され、様々な効能から極東国では非常に重宝されている。

「花女」のひとり“鈴蘭”は、自分だけが精油抽出のための“調香”に呼ばれないことを思い悩んで暮らしていた。
しかし、そこには彼女に明かされていない大きな秘密と残酷な運命がありーーー。
和風ファンタジー史劇、開幕！"
shikeishuu	私刑囚	3	False	drama,ecchi,horror,mind-game,supernatural,suspense	3	"人智を超えた異常犯罪が多発する昨今、容疑者不在のまま捜査が途切れる事件が
続出。彼らの足取りは決まって異常なほどに美しい女・白城澪と接触し途切れる…
異常犯罪者たちが辿った人生と末路は!?堀博昭が描く最凶ホラーサスペンス新刊！"
hisureba-hana-nari	秘すれば華なり	3	False	fantasy,supernatural	3	秘密や悩みから生まれる＜四季狂い＞という病。心の華を咲かせ断ち切らなければ、患者は朽ちて命を落とす…。それを専門に治療する＜生け人師＞久園麗桜に出会ったことで、平凡な青年・美樹ともやの運命が動き出す！
zettai-happy-end-ni-naru-sankaku-kankei	絶対ハッピーエンドになる三角関係	3	False	comedy,drama,romance	3	女→男←男=幸せ確約トライアングル! 博愛不埒な漫画家(コミック)コメディ!! 漫画家志望、入賞以上・プロ未満ねこちゃん(♂)の夢は、「世界に届くヒット漫画をつくること!」 憧れの超ヒットメーカー宇佐美先生の元へアシスタント修行に入ったねこちゃんを…待っていたのは!? チーフうさ先輩(♀)と先輩アシのくまくん(♂)ひとつ屋根の下・密室職場から始まる三角関係(なのに)絶対ハッピーLOVEライフ!! なのに系LOVEコメディ新発明。
zettai-seiiki-no-cherion	絶対聖域のチェリオン	3	False	action,comedy,ecchi,romance,sci-fi	3	幼馴染みの女の子とオトナな関係になりたい男子高校生の桜。だがいい雰囲気になってきた矢先、謎のロボットが街を破壊し始めた！　　街を（ラブホを）案ずる桜の前に巨大ロボ・チェリオンが現れ、わけもわからぬまま戦うことに！　この日から戦いに身を投じることになる桜だが、チェリオンを動かす条件は「童貞」であること。敵の美女達が次々と誘惑してくる中、桜は世界を…童貞を守り抜くことができるのか！？　おバカでカッコ良くてちょっとHなバトル漫画爆誕！！
bijutsushitsu-no-monsters	美術室のモンスターず	3	False	comedy,fantasy,slice-of-life	3	"美術×人見知り×モンスター！？ 

 
人と話すことが苦手な女子高生・ブレイクさん。

彼女の学校での居場所は「誰も居ない美術室」。

だけどある日、美術室に突然現れた来訪者（モンスター♀）・・・！

彼女の狙いは美術室の中にある美術品みたいだけど・・・？


”美術”を通して心を通わす1人と1匹の物語が始まるーー
その日々はどんな色に彩られるのかーー・・・
 

 【編集担当からのおすすめ情報】 
 雑誌掲載時から話題の本作がついに単行本化です。

色んなオススメポイントがあるんですが、
とにかくキャラクターが魅力的で可愛いんです・・・
共感してくれる人、募集してます・・・"
wakiyaku-joshi-wa-kouhai-kun-ni-yowasaretai	脇役女子は後輩くんに酔わされたい	3	True	romance	3	"「私はいつも名脇役」とすべてを諦め、夜な夜なアルコール度数9%の安酒をあおるアラサーOL・楓子。
しかしある晩、コンビニで安酒を買い込んでいる姿を、会社のイケメンな後輩・矢矧に目撃されてしまう。矢矧は楓子のお酒の飲み方にドン引きしながらも、美味しいお酒の飲み方を教えてくれて…？
「ご飯つくりすぎ子と完食系男子」の揚立しのが贈る、お酒で始まる恋ものがたり。"
kyomou-no-joou-henkyou-keibi-gaiden	虚妄の女王～辺境警備外伝～	3	False	drama,fantasy	3	ルウム復活暦1005年、北方辺境国のエアドロム王国で代々王の護衛を担ってきた武人の家に育ったフィアンナだったが、武術のたぐいは苦手だった。そんな彼女に戴冠のために国に戻る、次期女王セオドラ姫の警護にあたることになってしまう。姫と歳も近く顔も似ているフィアンナは、彼女を守りたいと誓うのだったが、国民への新女王のお披露目で催される馬上試合において、姫は命を落としてしまう…。そんななか、姫とフィアンナが似ていることに目をつけた伯爵が…!?　王位継承者が次々と不審死していくこの国で、フィアンナは数奇な運命にふりまわされてゆく!?
mitsuaikon	蜜愛婚	3	False	romance	3	"職場の天敵上司・蓮司とお見合いすることになった乃梨子は、のっぴきならない事情でそのまま彼と同棲することに！ 破談に向かうよう“嫌われ作戦”を実行し続ける乃梨子だけど、蓮司には全く効いていない様子…。それどころか、いつもは意地悪ばかりの蓮司が見せる甘い顔に調子を狂わされっぱなしで!?
当初の目的とは裏腹に、どんな自分も受け止めて気持ちを尊重してくれる蓮司に少しずつ惹かれ始める乃梨子。そんなある日、蓮司から「俺は絶対にお前を嫌いにならない」とキスされてーー!? 不器用な二人の甘くてちょっぴり切ない恋の攻防戦、第2巻！"
osotte-nai-yo-aibu-dake	襲ってないよ?…愛撫だけ	3	True	romance	3	"「反則じゃない。【一人エッチの手伝い】してるだけだから」
甘いトラブルが止まらない！
最強のもだキュン同居ラブ！

声フェチのバーテンダー・奏は、オーナー・四十万の声がどストライク。見元で囁かれるたび、ドキドキしていた。気になる存在ではあるけれど、恋愛はいろいろあって“めんどくさい期”の奏は、おひとり様人生を満喫中。そんな中、ひょんなことから奏はオーナーの家にしばらく居候することに。職場の上司と毎晩、ひとつのベッドで寝ることになるなんて……!?"
chouri-deka-no-sousaku-gohan	調理刑事(デカ)の捜索ごはん	3	False	comedy,drama,mystery,slice-of-life	3	"『紺田照の合法レシピ』の馬田イスケ最新作！
今度は刑事×グルメの飯テロ活劇だ！！

警視庁大盛警察署刑事課強行犯係、調 理（しらべ おさむ）警部補。
何を隠そう、彼は凶悪犯を「飯」でオトす、型破りグルメ刑事なのだーー！
今日も現場でオトシ飯、いざ創作いや、捜索開始！！

↓陥落必至のレシピの数々↓
ナッツ衣の唐揚げオレンジソースがけ
タイ風オープン餃子
あさりと茗荷の混ぜご飯
油揚げの詰め焼きイタリア風
チョコおはぎのホイップクリーム乗せ
などなど！！"
isakai-harem	諍い・ハーレム	3	True	fantasy,romance,suspense	3	"ハーレムは男のロマン☆
とはいえ転生した異世界で諍い充満ザ・殺伐なこの状態は…。
著者お得意の魅惑のセックスと疑惑の陰謀に満ち満ちた大人のファンタジー長編、待望の第1巻。
ゲーム業界ネタも満載。
2021年1月刊"
toyoda-san-wa-nayamanai	豊田さんは悩まない。	3	False	comedy,slice-of-life	3	「女子大生の日常」や「貞子さんとさだこちゃん」でおなじみの津々巳あやが描く、中学校教師になった元同級生3人組が織りなす日常系コメディ！ 過酷な職場環境に日々悩む須原（すばる）、一見まじめそうだが裏で何事かを画策する松田、いかに楽に生きるかを考えている残念ギャップの持ち主の豊田たちが、今どきな中学校生徒やモンスターペアレントな親、同じ職場の先輩教師たちを相手に、日々悩んだり悩まなかったりする日常を描く……、かもしれない！？
binbou-kizoku-noodo-no-bouken-tan	貧乏貴族ノードの冒険譚	3	False	adventure,fantasy	3	"水晶級冒険者に昇格したノードは、姉の結婚に必要な大金を急ぎ手にするため、卵を求めて危険な飛竜の巣へと向かう。
なんとか見つけた大切な卵だが、帰還中に孵ってしまい……!?
幸か不幸か、ノードの運命は思わぬ方向に動き出す！"
kenja-no-deshi-o-nanoru-kenja-gaiden	賢者の弟子を名乗る賢者外伝	3	False	adventure,fantasy	3	老練な賢者としてプレイをしていたはずが、ひょんなことから美少女に…！？離れていた召喚体達とのふれあいを描くスピンオフ開幕！
kenja-no-madougu-koubou	賢者の魔道具工房	3	False	fantasy	3	"最強賢者、再び大活躍!! ロマンたっぷり魔道具ファンタジー、堂々完結!!
引退した最強賢者・ザイードが営む魔道具工房は今日もにぎやか!! 一緒に暮らす魔族の少女・キルシーのお友達づくりを手伝ったり、街の人の依頼を叶えたりーー。そんな中、キルシーの魔力が暴走してしまう!! 魔法の技術と絆で、大切な存在を護れ!! ロマンたっぷり魔道具ファンタジー、堂々完結!!"
tensei-nanajo-de-hajimeru-isekai-life	転生七女ではじめる異世界ライフ	3	False	fantasy,isekai	3	"鹿波ミリアの高校生活は最悪だった。
最低の父親に、友達なしのバイト三昧……だけど交通事故に遭い、そんな生活ともおさらば!!

見知らぬベッドの上で目が覚めたと思ったら、8歳の幼女ミーリアになっていた！
せっかく転生したのだから、前世よりかはいい生活をーー
と思っていたが…家族も住まいも劣悪環境！　このままじゃ私、婚約させられちゃう……

魔力なしの無能かと思われたミーリアには秘めた力が!?"
gyakuisekai-tensei-shite-kimowota-ni-natte-shimatta-daimajutsushi-derurei-kaachisu-no-fujouri-na	逆異世界転生してキモヲタになってしまった大魔術師デルレイ・カーチスの不条理な日常	3	False	fantasy,isekai	3	"レオニダス王国最強の大魔術師であるデルレイ・カーチスは、その功績が称えられて王国第3王女マリベルを娶ることになっていた。

だが、不慮の事故でデルレイは死亡し現世に異世界転生してキモオタである黒雷帝(くろいかづちみかど)となってしまう。その太く

重くるしい…まるでオークの様な身体を引きづりつつ現世に馴染もうとしていた矢先に列車事故からクラスメイトの森永未留瑠久を

魔法で助ける。ここから運命の歯車は加速し始め、デルレイと黒雷、未瑠久たちは世界を震撼させる危機に遭遇することになる！"
dairokukan-no-shieameito	醍鹿館のシェアメイト	3	False	comedy,supernatural	3	"変わった住人住まう「醍鹿館」で、過保護で口うるさい、だけどとっても優しいおっさん幽霊とルームシェア!!
明かされるレイさんの悲しい過去、そして美琴の運命はーー!?

冴えないおっさん幽霊×霊感体質ガールの「運命」のルームシェアライフ最終回!!"
juuhan-mitei	重版未定	3	False	drama	3	"「かすり傷」の痛みを知れ！

編集者はいつだって満身創痍！

出版業界のリアルを描き、本好きを震わせたあの漫画が堂々の完結!! 


弱小出版社「漂流社」にやってきた伝説のフリー編集者・権蔵は、渾身の企画『ナタデココダイエット』をヒットさせる。そんなある日、暴漢に襲われた権蔵から「とびっきりの原稿が入ったカバン」を託された主人公はーー


新入社員のテトラちゃんを迎え、直営書店まで立ち上げた漂流社だったが、なにやら編集長の様子が……漂流社はどこへ流れ着くのか!?　同人誌版コミックや社史、登場人物設定などのおまけもたっぷり！


〈目次〉

第31話 フリー編集者

第32話 フリー編集者 その2

第33話 フリー編集者 その3

第34話 採用面接

第35話 新入社員

第36話 プルーフ

第37話 持ち込み

第38話 書店ゼロ地帯

第39話 漂流社らしさ

第40話 漂流社らしさ その2

第41話 本に生き、本に斃れ……

第42話 本に生き、本に斃れ…… その2

第43話 流れ続けろ、本をつくるために

第44話 流れ続けろ、本を残すために

おまけ 「重版未定」同人誌版

おまけ ゲラトーーク

付録　おまけ 休刊／登場人物紹介／漂流社の歴史"
noichigo-shoujo-satsujin-jiken	野苺少女殺人事件	3	False	drama,mind-game,mystery	3	漫画編集者を志望し出版社へ就職した主人公・溝口は、願い叶わず写真週刊誌編集部へと配属され仕事に対する意欲を失っていた。そんなある日、彼は謎の敏腕映像配信者・ベニと出会う。非合法すれすれの手段で次々とスクープ映像を世に発信する彼女に巻き込まれる形で、溝口は刺激的な現場にかかわり始める。そしてそれはやがて、ひとつの「事件」に集約されていくのだったーー！
youki-na-shimerike	陽気なしめりけ	3	False	comedy	3	"「陽気」を目指す日陰少年の物語…完結！ 

 大好きな女の子を呼び出した
陰気な少年しめりけ。
伝えたいことがあるのだ。
彼はいつも湿っていて、
親切をしても報われず、
そして誰からも見向きもされない。
なんとかキメたい大事な今日も、
やっぱり踏んだり蹴ったりな有様。
そんな彼を見て、美笑子は言うのだった。


「根暗くんて………


湿気った昨日の自分にサヨナラ。
一風変わった学園ギャグ、最終巻！！

 

 【編集担当からのおすすめ情報】 
 奇才、緒木鈴人先生による陰気な少年の奮闘記、最終巻！
読切で人気を博し、本格連載となった本作…最後まで是非ご覧ください！"
ao-no-iris	青のアイリス	3	True	comedy,drama,fantasy,romance	3	"あいりに明かされるバツの正体って！？ 

 「野獣の騎士」のあだ名をもつ活発少女・虹ヶ原愛理。でももう一つの顔は超人気Vチューバー「青野アイリス」
そんな愛理がVR世界で気になるのはバツさん。
そのバツの正体はいつも隣にいる友だちだった！？
そしてリアル世界でも親友、椿と克樹がそれぞれ謎の行動を！？
急展開の第2巻！！ 

 【編集担当からのおすすめ情報】 
 ファンの皆様大変お待たせしました。
バーチャル＆リアルラブストーリーの第2巻をお届けします！
仮想世界と現実世界で絡み合うドラマはますます盛り上がります！
そしてついにあの謎も判明！？ 見逃せません！！"
kiryuu-menkyo-totta-joshikousei	騎竜免許とった女子高生	3	False	fantasy,slice-of-life	3	"竜と竜友でお祭り、ツーリング！
竜と人が一緒に暮らす世界。騎竜免許をとった女子高生・たつみは相棒のドラゴン・リューや友達のアリシラと共に「竜友とのツーリング」という夢をかなえる。次に目指すのはおじいちゃんの写真に残された「幻のバハムート」！"
oniyome	鬼嫁	3	False	fantasy,romance	3	"人と妖怪が共存する世界。その村では、少女を生贄として捧げる風習があった。
生贄として鬼の王、天藍の下に嫁いだ歩。最初は生贄だったけれど、次第に惹かれていく二人。
ずっといがみ合っていた鬼と人との間にも、二人の絆で親交が生まれる。
さらには天藍に愛を誓われ、歩は天藍の本当の花嫁にーー。
だけど天藍の実弟金剛が現れ、二人の仲を引き裂こうとしてーー!?
生贄から始まる異種婚姻ラブロマンス最終巻☆"
