slug	title	tv	has_synopsis	genres	n_isbn	caption
shin-kobo-chan	新コボちゃん	60	True	comedy,slice-of-life	60	"●植田まさし『新コボちゃん』第38巻※B6判定価524円+税
みんなから愛されています。
国民的4コマを家族で楽しもう！

すっかりお兄ちゃんらしくなってきたコボちゃんと
おませな妹のミホちゃんを中心に3世代が暮らす
コボちゃん一家は、面白い発見であふれています。
誰もが知ってるコボちゃんは、家族みんなで
楽しめる4コマです。"
kariage-kun	かりあげクン	59	False	comedy,slice-of-life	54	"ここ最近の日本では、ゲリラ豪雨、爆弾低気圧と、天候が荒れる事が多くなりました。日ごろから避難時の備えがかかせないですね。おや、そう言ってる間に、ご飛行中、ご通行中の皆様！
どうやらかみなり様…いや、かりあげ様が暴れ出しそうですぞぉ!! バリバリ ゴロゴロ どっか〜ん!! アクションコミックス『かりあげクン』は、62巻もギャグ、オチまくりっ!!"
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	59	False	comedy,slice-of-life	54	"ここ最近の日本では、ゲリラ豪雨、爆弾低気圧と、天候が荒れる事が多くなりました。日ごろから避難時の備えがかかせないですね。おや、そう言ってる間に、ご飛行中、ご通行中の皆様！
どうやらかみなり様…いや、かりあげ様が暴れ出しそうですぞぉ!! バリバリ ゴロゴロ どっか〜ん!! アクションコミックス『かりあげクン』は、62巻もギャグ、オチまくりっ!!"
hotel	ホテル	58	False	drama	58	"▼第167話／コメントカード▼第168話／アカウンティング▼第169話／ミスヒヤリング▼第170話／横浜オープン▼第171話／フードディレクター▼第172話／ファースト・ゲスト▼第173話／45分パーティー▼第174話／ファースト・サンライズ▼第175話／コンディション▼第176話／宿泊料金▼第177話／バレンタイン▼第178話／裸足になる▼第179話／パヒュームデザイナー＜sub＞ ＜/sub＞
●主な登場人物／赤川一郎（プラトン・フロントマン）、東堂克生（プラトン・マネージャー）、松田利春（プラトン・フロントマン）、倉田裕美（プラトン・フロント係）＜sub＞ ＜/sub＞
●あらすじ／プラトンでは、客室にコメントカードを用意している。そのカードに「倉田というフロントは応対が悪い」と、裕美を批判する内容が書かれたものがあった。その数は、この2週間で7通と多い。だが、裕美自身はミスした覚えがなく……。実はこのカード、裕美を引き抜こうとするスカウトが仕組んだものだった（第167話）。＜sub＞ ＜/sub＞
●本巻の特徴／上記「コメントカード」のほか、ベルマンから経理に配置転換となり不満を覚える山村を描いた「アカウンティング」、新しくオープンする横浜プラトンのスタッフたちの奮闘ぶりを描く「横浜オープン」「フードディレクター」「ファースト・ゲスト」、クリスマス・ディナーショーをテーマに"
kenkaku-shoubai	剣客商売	57	False	historical,samurai,drama	57	"どこから読んでも愉しめる、大人のための時代劇画!!

文豪・池波正太郎の傑作ベストセラー時代小説を実力派漫画家・大島やすいちが描破した、シリーズ累計発行部数270万部を超える人気作品。
凄腕の老剣客・秋山小兵衛とその息子・大治郎は人情の機微や因縁にまつわる事件・事象に相対しながら、自らの正義・価値観をもって万事を解決していきます。

本巻では、楼主を殺し金を奪ったと思しき女郎を弥七と秋山小兵衛が追う『箱根の関所』、盗賊の手伝いをしてしまった男が、周りの勘違いから英雄扱いされて数奇な運命をたどる『男 仙吉』、妻を辻斬りに殺された小兵衛の元弟子が、元主君の許に殺し屋となって戻ってきた事件を描く『河童の平八郎』、盗賊の引き込みとして商家に入り込んだ女の苦悩を小兵衛が救う『躑躅と蜈蚣』の、読み応えのある四編を収録しています。"
karate-baka-ichidai-1972	空手バカ一代	52	True	action,sports	44	極真会館、大山倍達の激動の人生が今甦る。凄絶な死闘を繰り返しながら、人生の師と仰ぐ剣聖・宮本武蔵の到達した境地を目指し、真の空手道を追求し続けた伝説の巨人・大山倍達の波乱の半生を描く第一弾！
oishinbo-arakaruto	美味しんぼア・ラ・カルト	50	False	gourmet	50	食の文化遺産！ フランス料理 ■著者名:作・雁屋哲 画・花咲アキラ ▼第1話／料理人のプライド▼第2話／日本の素材▼第3話／料理のルール▼第4話／臭さの魅力▼第5話／ボクサーの苦しみ（前・後編）▼第6話／心の味▼第7話／バターと醤油▼第8話／野菜の名前▼第9話／テレビ評論家誕生!?●主な登場人物／山岡士郎（東西新聞文化部員。普段はグータラだが、膨大な食の知識を持つ）、栗田ゆう子（東西新聞文化部員の新人記者）、海原雄山（名だたる陶芸家、画家であり、「美食倶楽部」を主催する食の探究者でもある。山岡の実父）●あらすじ／近頃、東西新聞の社員食堂の味が良くなったと大評判。その理由は、昨年入った若いコック・大里良夫の腕前のおかげだったのだが、文化部の面々が「いつまでも頑張ってね」と声をかけると、なぜか彼は戸惑いの表情を浮かべる。そんなある日、パリの有名な三つ星シェフ・ルピック氏が来日して、文化部で彼をもてなすことになるが、後日ルピック氏のもとで働くコック留学の試験が行なわれると、その会場に良夫も姿を現して…（第1話）。●本巻の特徴／第17集のテーマは「フランス料理」。蒸しアワビの冷製、スッポンのコンソメスープ、鮎のホイル包み焼き、平戸牛のステーキ、アンディーブの香草ソース、セロリのジュリエンヌ、ニンジンとアルファルファのサラダ、プティトマトのプロバンス風、ポトフ、さやいんげんの溶かしバターがけ
hakuryuu-hadou	白竜hadou	48	False	drama	48	"ピカレスク劇画の金字塔「白竜HADOU」第8巻！！ 王道会会長の座を目前にし、胃癌が発覚した剛野は、白竜に王道会会長に就くよう進言した…!! それを受け入れた白竜であるが……。 驚天動地の大展開！！ 「剛野がゆく」編、クライマックス!! そして始まる衝撃の新章「黒い東京五輪」編!!!　 五輪開催地が東京になった裏に何かあると目論む白竜が動き出す!! かつてない壮大なスケールで描かれるこの章を是非ともお見逃しなく!!
第62話：剛野がゆく7
第63話：剛野がゆく8
第64話：黒い東京五輪1
第65話：黒い東京五輪2
第66話：黒い東京五輪3
第67話：黒い東京五輪4
第68話：黒い東京五輪5
第69話：黒い東京五輪6
第70話：黒い東京五輪7"
ou-sama-no-shitateya	王様の仕立て屋	45	False	drama,slice-of-life	45	イタリア・ナポリの泥棒市に住む日本人、織部悠。ナポリ中の“突めし職人”から“ミケランジェロ”と賞賛された伝説の名仕立て屋が、唯一認めた弟子である。共に渡米中のパンツ職人・ロドリーゴがハリウッド映画の主役に抜擢されるという珍事態に巻き込まれた悠。監督に映画衣装の制作を頼まれて！？
kenta-yarimasu	健太やります!	44	False	action,sports	44	バレー大好き少年・井口健太。入部したのは、部員6人の超弱小バレー部。おかげで即、夢のレギュラー入り。インターハイ出場をめざして、猛特訓が始まった！
