slug	title	our_authors	source_authors(同題)	status
40-sai-ni-natte-kangaeta-chichioya-ga-yonjussai-datta-toki-no-koto	40歳になって考えた父親が40歳だった時のこと	吉田貴司	吉田;貴司	AUTHOR_MISMATCH
4000-bai-no-otoko	4000倍の男	雁木万里		NOT_FOUND
4000-nenburi-ni-kikan-shita-dai-madoushi	4000年ぶりに帰還した大魔導士	kd-dragon;フジツボ;落下傘		NOT_FOUND
45-sai-no-senkou-hanabi	45歳の線香花火	冬川智子	冬川;智子	AUTHOR_MISMATCH
4ban-no-takkyuu	4番の卓球	柳沢ユキオ	土田悠史	AUTHOR_MISMATCH
4c-l-side	4C L-side	桂正和		NOT_FOUND
4gatsu-no-tokyo-wa	4月の東京は…	hal	ハル	AUTHOR_MISMATCH
4ldk-company	4LDKカンパニー	荻丸雅子	麻原イツミ	AUTHOR_MISMATCH
5-00pm-revolution	>5:00PM REVOLUTION	竹宮惠子	竹宮恵子	AUTHOR_MISMATCH
5-byou-de-omae-o-ikasete-yaruyo	5秒でお前をイかせてやるよ	夏咲タカオ		NOT_FOUND
5-fungo-no-sekai	5分後の世界	福田宏	福田	AUTHOR_MISMATCH
5-g-b-faibu-jiinaa-brothers	5★G★B-ファイブ・ジーナー・ブラザーズ-	藤野モヤム	カネイチ;桑佳アサ	AUTHOR_MISMATCH
5-ga-matsushita-kounosuke-itsutsu-no-gensoku	漫画松下幸之助5つの原則	松枝尚嗣		NOT_FOUND
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	可児イトウ		NOT_FOUND
5-okunengo-ni-igai-na-ketsumatsu	5億年後に意外な結末	usiイラストレーター		NOT_FOUND
5080	5080	川井十三	十三;川井	AUTHOR_MISMATCH
50kg-no-cinderella	-50kgのシンデレラ	望月イク;紅月リト		NOT_FOUND
6-gatsu-no-rabu-letter	6月のラブレター	春田ナナ		NOT_FOUND
6-senchi-no-kizuna	6センチの絆	橋本ユウシ	中島;中島真;士朗;安達;安達士朗	AUTHOR_MISMATCH
67-sai-no-shinjin	67歳の新人	ハン角斉		NOT_FOUND
7-iro-no-sketch	7色のスケッチ	一条ユカリ		NOT_FOUND
7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢アイ;高倉アツコ	一条ユカリ;作品解説]一条ユカリ;白泉社	AUTHOR_MISMATCH
7-nen-go-de-matteru	7年後で待ってる	2022;fumipub;アルタ梨沙		NOT_FOUND
70-nenme-no-kokuhaku	70年目の告白	高階良子		NOT_FOUND
7iro-no-7-reyon	7色のクレヨン	一条ユカリ		NOT_FOUND
7mai-no-pootoreeto	7枚のポートレート	ホーム社		NOT_FOUND
7th	セブンス	三嶋与夢;高槻ナギー	nagy;トモゾ;三嶋;与夢	AUTHOR_MISMATCH
