slug	title	series	reason	dropped_at
# アンソロジーコミック=非掲載方針(ユーザ裁定2026-06-20)。NDL題に「アンソロジー」明記or無記名多著者で判定。
shin-mobile-senki-gundam-wing-1996	新機動戦記ガンダムW・アンソロジー 2nd	学研ノーラコミックスdeluxe	多著者アンソロ(NDL明言)	2026-06-20
shin-mobile-senki-gundam-wing-1996-2	新機動戦記ガンダムW・アンソロジー 6th	学研ノーラコミックスdeluxe	多著者アンソロ(NDL明言)	2026-06-20
shin-mobile-senki-gundam-wing-1996-3	新機動戦記ガンダムW・アンソロジー 4th	学研ノーラコミックスdeluxe	多著者アンソロ(NDL明言)	2026-06-20
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW・アンソロジー 3rd/5th	学研ノーラコミックスdeluxe	多著者アンソロ(NDL明言)	2026-06-20
