key	cat	title	cur_slug	new_slug	method
qid:Q108777015|name:気分は!?ハードボイルド	DEFER_YEAR_MISSING	気分は!?ハードボイルド	kibun-wa-haadoboirudo-2	kibun-wa-haadoboirudo-mizushimat	作画家姓
qid:Q11299283|name:おだいじに	DEFER_YEAR_MISSING	おだいじに	odaijini-2	odaijini-korita-1993	作画家姓+年
qid:Q11458108|name:堕天使	DEFER_YEAR_MISSING	堕天使	datenshi-2	datenshi-teradateka	作画家姓
qid:Q11267194|name:ぐれちゃわないでね	DEFER_V0_STUB	ぐれちゃわないでね	gurechawanaidene-2	(DROP)	junk-drop
qid:Q11270850|name:リンゴ	DEFER_YEAR_MISSING	リンゴ	ringo-2	ringo-takamochi	作画家姓
qid:Q11275808|name:Q	DEFER_YEAR_MISSING	Q	q-2	q-hayase	作画家姓
qid:Q18990544|name:Cue	DEFER_V0_STUB	Cue	q-3	(DROP)	junk-drop
qid:Q11277215|name:めめんと森	DEFER_YEAR_MISSING	めめんと森	memento-mori-fumi	memento-mori-fumi-fumi-2013	作画家姓+年
qid:Q11596472|name:まんが残酷日本むかしばなし	DEFER_YEAR_MISSING	まんが残酷日本むかしばなし	manga-zankoku-nihon-mukashibanashi-2	manga-zankoku-nihon-mukashibanashi-inagaki	作画家姓
qid:Q11278399|name:恐怖夜話	DEFER_V0_STUB	恐怖夜話	kyofu-yawa-2	(DROP)	junk-drop
qid:Q76970326|name:野口英世	DEFER_V0_STUB	野口英世	noguchi-hideyo-2	(DROP)	junk-drop
qid:Q11280180|name:結婚協奏曲pockets	DEFER_YEAR_MISSING	結婚協奏曲pockets	kekkon-kyosokyoku-pokettsu-2	kekkon-kyosokyoku-pokettsu-morita	作画家姓
qid:Q11330386|name:弁慶	DEFER_YEAR_MISSING	弁慶	benkei-2	benkei-hiromotosh	作画家姓
qid:Q1358489|name:忍法十番勝負	DEFER_YEAR_MISSING	忍法十番勝負	ninpo-juban-shobu-2	ninpo-juban-shobu-shirato	作画家姓
qid:Q11553037|name:ポケット・パーク	DEFER_YEAR_MISSING	ポケット・パーク	pocket-park-2	pocket-park-2	未解決
qid:Q11394055|name:妖花	DEFER_YEAR_MISSING	妖花	yoka-2	yoka-2	未解決
qid:Q11409873|name:指輪	DEFER_V0_STUB	指輪	yubiwa-2	(DROP)	junk-drop
qid:Q11465222|name:Game Over	DEFER_YEAR_MISSING	Game Over	game-over-2	game-over-inoe	作画家姓
qid:Q11458108|name:愛奴	DEFER_YEAR_MISSING	愛奴	aido-2	aido-teradateka	作画家姓
qid:Q11464212|name:メッシュ!!	DEFER_YEAR_MISSING	メッシュ!!	mesh-2	mesh-ono-2010	作画家姓+年
qid:Q11469369|name:SPEED	DEFER_YEAR_MISSING	SPEED	speed-2	speed-yamamoto	作画家姓
qid:Q11578568|name:個人授業	DEFER_YEAR_MISSING	個人授業	kojin-jugyo-2	kojin-jugyo-rumoijun	作画家姓
qid:Q11669300|name:ナースステーション	DEFER_YEAR_MISSING	ナースステーション	nurse-station-2	nurse-station-kozanyoshi-1990	作画家姓+年
qid:Q11488080|name:義経	DEFER_YEAR_MISSING	義経	yoshitsune-2	yoshitsune-kagemaru	作画家姓
qid:Q41698730|name:ブルームーン	DEFER_YEAR_MISSING	ブルームーン	blue-moon-2	blue-moon-makiko	作画家姓
qid:Q11581584|name:好き好き大好き	DEFER_YEAR_MISSING	好き好き大好き	sukisuki-daisuki-2	sukisuki-daisuki-mejiro	作画家姓
qid:Q41698730|name:火宅	DEFER_YEAR_MISSING	火宅	kataku-2	kataku-makiko	作画家姓
