slug	title	カタカナrun(辞書外=要AI/web)
hazure-skill-gacha-de-tsuihousareta-sareta-ore-wa-wagamama-osananajimi-o-zetsuen-shi-kakusei-suru	ハズレスキル『ガチャ』で追放された俺は、わがまま幼馴染を絶縁し覚醒する	ハズレスキル
hazure-skill-level-up-no-sei-de-party-o-tsuihousareta-sareta-shounen-wa-level-o-agete-butsuri-de	外れスキル『レベルアップ』のせいでパーティーを追放された少年は、レベルを上げて物理で殴る	レベルアップ/パーティー
hazure-skill-mappingu-o-te-ni-shita-shounen-wa-saikyou-party-to-dungeon-ni-idomu	外れスキル〈地図化(マッピング)〉を手にした少年は最強パーティーとダンジョンに挑む	マッピング/パーティー/ダンジョン
hazure-skill-nigeru-de-ore-wa-kyokugen-tei-level-no-mama-saikyou-o-mezasu	ハズレスキル「逃げる」で俺は極限低レベルのまま最強を目指す	ハズレスキル
hazure-skill-soine-ga-kakusei-shi-boku-ga-saikyou-harem-o-kizuku-made	ハズレスキル『添い寝』が覚醒し、僕が最強ハーレムを築くまで	ハズレスキル/ハーレム
hazure-zokusei-tsuchi-mahou-no-sei-de-henkyou-ni-tsuihousareta-sareta-node-gangan-ryouchi-kaitaku	ハズレ属性土魔法のせいで辺境に追放されたので、ガンガン領地開拓します!	ガンガン
healer-girl-espressivo	ヒーラー・ガールespressivo	ヒーラー・ガール
healing-paradox-deeper	ヒーリングパラドックスdeeper	ヒーリングパラドックス
heart-beat-ni-nosete	ハートビートにのせて	ハートビート
heart-boiled-papa	ハートボイルドパパ	ハートボイルドパパ
heart-channel	ハート・チャンネル	ハート・チャンネル
heart-cocktail-colorful	ハートカクテルカラフル	ハートカクテルカラフル
heart-cocktail-renaissance	ハートカクテルルネサンス	ハートカクテルルネサンス
heart-cocktail	ハートカクテル	ハートカクテル
heart-kyatchi-izumi-chan-zenbu	ハート・キャッチいずみちゃん全部!	ハート・キャッチ
heart-ni-nurse-call	はあとにナースコール	ナースコール
heart-of-stone	ハートオブストーン	ハートオブストーン
heart-telephone	ハートテレフォン	ハートテレフォン
heart-under-the-blade	ハートアンダーザブレイド	ハートアンダーザブレイド
heartbeat	ハートビート!!	ハートビート
heartbreak-papa	ハートブレイクパパ	ハートブレイクパパ
heartful-4-koma-fate-hollow-ataraxia	ハートフル4コマFate/hollow ataraxia	ハートフル
heartful-diners	はーとふる・ダイナーズ	・ダイナーズ
heartful-life	ハートフルライフ	ハートフルライフ
heartful	ハートフル	ハートフル
heartland-no-juunin	ハートランドの住人	ハートランド
heartstopper	ハートストッパー	ハートストッパー
heat-east	ヒート・イースト	ヒート・イースト
heat-island	ヒートアイランド	ヒートアイランド
heaven-eleven	HEAVENイレブン	イレブン
heavenly-kiss	ヘヴンリー・キス	ヘヴンリー・キス
heavenly-rock	ヘブンリー・ロック	ヘブンリー・ロック
heavens-gate	ヘブンズゲイト	ヘブンズゲイト
heavens-runner-akira	ヘブンズランナーアキラ	ヘブンズランナーアキラ
heavy-object-a	ヘヴィーオブジェクトA	ヘヴィーオブジェクト
hebii-meta-joshi-joshikousei	ヘビィメタ女子高生	ヘビィメタ
hebii-metal-erugaimu	重戦機エルガイム	エルガイム
hechima-milk	ヘチマミルク	ヘチマミルク
heel-no-oreta-cinderella	ヒールの折れたシンデレラ	シンデレラ
heel-no-text	ヒールのテキスト	テキスト
heesei-policemen	へ～せいポリスメン!!	ポリスメン
heilang	黒狼(ヘイラン)	ヘイラン
heisei-iryuujon	平成イリュージョン	イリュージョン
heisei-kid	ヘイセイ・キッド	ヘイセイ・キッド
heisei-namaiki-idol-sama-ga-zutto-tsuiteru	平成ナマイキアイドル様がずっと憑いてる	ナマイキアイドル
heisei-salaryman-senka	平成サラリーマン専科	サラリーマン
heisei-vampire-no-gyakushuu	平成バンパイアの逆襲	バンパイア
heisei-wotaku-remembers	平成ヲタクリメンバーズ	ヲタクリメンバーズ
heishishuveikunobouken	兵士シュヴェイクの冒険	シュヴェイク
heiwa-no-kane-series	平和の鐘シリーズ	シリーズ
heiwa-no-kuni-no-neverland	平和の国のネバーランド	ネバーランド
heiwateki-dungeon-seikatsu	平和的ダンジョン生活。	ダンジョン
hell-buster	ヘルバスター	ヘルバスター
hell-dogs	ヘルドッグス	ヘルドッグス
hell-madonna	ヘルマドンナ	ヘルマドンナ
hell-mode	ヘルモード	ヘルモード
hell-s-kitchen	ヘルズキッチン	ヘルズキッチン
hellhound-2018	ヘルハウンド	ヘルハウンド
hellhound	ヘルハウンド	ヘルハウンド
hello-goodbye-1995	ハローグッバイ	ハローグッバイ
hello-goodbye-2000	ハロー・グッドバイ	ハロー・グッドバイ
hello-goodbye-hello	ハロー・ぐっばい・ハロー	ハロー・/・ハロー
hello-goodbye	ハロー・グッドバイ	ハロー・グッドバイ
hello-hello-next-kingdom	ハローハローNEXT KINGDOM	ハローハロー
hello-innocent	ハロー、イノセント	イノセント
hello-jupitaa-suki-tte-itte	ハロージュピター好きっていって。	ハロージュピター
hello-mai-baby	はろー!マイベイビー	マイベイビー
hello-marian	ハロー!マリアン	マリアン
hello-merankorikku	ハロー、メランコリック!	メランコリック
hello-morning-star	ハローモーニングスター	ハローモーニングスター
hello-my-baby-s	はろー!マイベイビーS	マイベイビー
hello-my-home	ハロー・マイ・ホーム	ハロー・マイ・ホーム
hello-work-monsters	ハローワークモンスターズ	ハローワークモンスターズ
help-man	ヘルプマン!	ヘルプマン
helter-skelter	ヘルター・スケルター	ヘルター・スケルター
hen-koi	ヘンコイ!	ヘンコイ
hen-na-ryuu-to-moto-yuusha-party-zatsuyou-gakari-shintairiku-de-slow-life	変な竜と元勇者パーティー雑用係、新大陸でのんびりスローライフ	パーティー/スローライフ
henai-heartbeat	偏愛ハートビート	ハートビート
henai-immoral	偏愛インモラる	インモラ
henai-lingerie	偏愛ランジェリー	ランジェリー
hengoku-no-calendula	辺獄のカレンデュラ	カレンデュラ
hengoku-no-schwester	辺獄のシュヴェスタ	シュヴェスタ
henjin-no-salad-bowl-comic	変人のサラダボウル@comic	サラダボウル
henkano	ヘンカノ	ヘンカノ
henkei-henkei-toransufoomaa	変形!ヘンケイ!トランスフォーマー	ヘンケイ/トランスフォーマー
henkyou-no-roukishi-bard-loen	辺境の老騎士バルド・ローエン	バルド・ローエン
henkyouhakuke-jinan-wa-tensei-cheat-life-o-tanoshimitai	辺境伯家次男は転生チートライフを楽しみたい	チートライフ
henri-the-blood	アンリ・ザ・ブラッド	アンリ・ザ・ブラッド
henshin-no-news	変身のニュース	ニュース
hensokukei-quadrangle	変則系クアドラングル	クアドラングル
hentai-kasanegafuchi-naked	変體累ヶ淵ネイキッド	ネイキッド
hentai-stalker-ni-nerawaretemasu	変態ストーカーに狙われてます	ストーカー
henteko-ninja-imogakure-chingensai-sama	ヘンテコ忍者いもがくれチンゲンサイ様	ヘンテコ/チンゲンサイ
heppoko-yuusha-ni-senryaku-o	ヘッポコ勇者に戦略を	ヘッポコ
heppoko	ヘッポコ!	ヘッポコ
heptagon	ヘプタゴン	ヘプタゴン
herakuresu	ヘラクレス	ヘラクレス
heren-keraa	ヘレン・ケラー	ヘレン・ケラー
hereteku-no-ana	ヘレテクの穴	ヘレテク
heritako-puu-chan	ヘリタコぷーちゃん	ヘリタコ
hermes-no-michi	エルメスの道	エルメス
hero-hearts	ヒーローハーツ	ヒーローハーツ
hero-mask	ヒーローマスク	ヒーローマスク
hero-special	ヒーロースペシャル	ヒーロースペシャル
heroes-kamubakku	ヒーローズ・カムバック	ヒーローズ・カムバック
heroic-age	ヒロイック・エイジ	ヒロイック・エイジ
heroic-complex	ヒロイック・コンプレックス	ヒロイック・コンプレックス
heroine-voice	ヒロインボイス	ヒロインボイス
heroines-game	ヒロインズゲーム	ヒロインズゲーム
herscherik-aaru-tensei-ouji-no-eiyuu-tan	ハーシェリクR転生王子の英雄譚	ハーシェリク
herscherik-tensei-ouji-no-eiyuu-tan	ハーシェリク転生王子の英雄譚	ハーシェリク
heruman-san-kaku-katariki	ヘルマンさんかく語りき	ヘルマン
herumesu-ai-ha-kaze-no-gotoku	ヘルメス 愛は風の如く	ヘルメス
herumesu-no-tsubasa-no-moto-ni	ヘルメスの翼のもとに	ヘルメス
herupaa-atsuko-to-yukai-na-jouryuu-roujin	ヘルパーあつこと愉快な上流老人	ヘルパー
herupuman-shuzaiki	ヘルプマン!!取材記	ヘルプマン
hetakoi	ヘタコイ	ヘタコイ
hetalia-world-stars-gangsta	ヘタリアWorld★Stars Gangsta	ヘタリア
hetalia-world-stars	ヘタリアWorld★Stars	ヘタリア
hetamen	ヘタメン	ヘタメン
hetare-spiral	へたれスパイラル	スパイラル
hetaria	ヘタリア	ヘタリア
heterogenia-ringisuteiko	ヘテロゲニア リンギスティコ	ヘテロゲニア/リンギスティコ
heterosexual	ヘテロセクシャル	ヘテロセクシャル
heureka	ヘウレーカ	ヘウレーカ
hexa-alive	ヘキサアライブ	ヘキサアライブ
hey-bluesman	Hey!!ブルースマン	ブルースマン
hey-cathy	ヘーイ!キャシー	キャシー
heyaura-no-baiten	部屋裏のバイテン	バイテン
hi-fi-cluster	ハイファイクラスタ	ハイファイクラスタ
hi-izuru-tokoro-no-sunakku	日出処のスナック	スナック
hi-no-emblem	緋のエンブレム	エンブレム
hi-score-girl-dash	ハイスコアガールdash	ハイスコアガール
hi-score-girl	ハイスコアガール	ハイスコアガール
hibatsuna-climax	ヒバツナCLIMAX	ヒバツナ
hibike-euphonium-kitauji-koukou-suisougakubu-saidai-no-kiki	響け!ユーフォニアム 北宇治高校吹奏楽部、最大の危機	ユーフォニアム
hibike-yuufoniamu-kitauji-koukou-suisougakubu-no-ichiban-atsui-natsu	響け!ユーフォニアム 北宇治高校吹奏楽部のいちばん熱い夏	ユーフォニアム
hibike-yuufoniamu	響け!ユーフォニアム	ユーフォニアム
hibikino-bb	ヒビキノBB	ヒビキノ
hibikore	ヒビコレ	ヒビコレ
hidaka-nanawo-rabu-collection	日高七緒ラブコレクション	ラブコレクション
hidamari-ga-kikoeru-limit	ひだまりが聴こえる リミット	リミット
hidamari-no-album	陽だまりのアルバム	アルバム
hidamari-no-asufaruto	陽だまりのアスファルト	アスファルト
hidamari-share-house	陽だまりシェアハウス	シェアハウス
hidamari-sketch	ひだまりスケッチ	スケッチ
hidari-no-okurokku	左のオクロック	オクロック
hidarite-no-raburetaa	左手のラブレター	ラブレター
hierarchy-ni-oyogu-shinkaigyo-wa-yume-o-miru	ヒエラルキーに泳ぐ深海魚は夢を見る	ヒエラルキー
higaeri-quest-special	日帰りクエストすぺしゃる	クエスト
higanbana-no-joou	ヒガンバナの女王	ヒガンバナ
higashi-chiseki-san-no-meikuappu-doll	東千石さんのメイクアップドール	メイクアップドール
higashi-sandisu-ryokaku-tetsudou	東サンディス旅客鉄道	サンディス
higawari-collection	日替わりコレクション	コレクション
higawari-wig-no-katsura-san	日替わりウィッグの桂さん	ウィッグ
hige-to-haihiiru	髭とハイヒール	ハイヒール
hige-to-sailor	ヒゲとセーラー	セーラー
higeki-no-genkyou-to-naru-saikyou-gedou-rasubosu-joou-wa-tami-no-tameni-tsukushimasu	悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。	ラスボス
higeki-no-ou-oidipusu	悲劇の王オイディプス	オイディプス
higeoyaji-no-bouken	ヒゲオヤジの冒険	ヒゲオヤジ
high-heel-bomb	ハイヒールBOMB!!	ハイヒール
high-heel-cop	ハイヒールCOP	ハイヒール
high-life	ハイ・ライフ	ハイ・ライフ
high-risk-mission-therapy	ハイリスクミッションセラピー	ハイリスクミッションセラピー
high-school-agent	ハイスクールAGENT	ハイスクール
high-school-aura-buster-engage	ハイスクール・オーラバスター・エンゲイジ	ハイスクール・オーラバスター・エンゲイジ
high-school-connection	ハイスクール・コネクション	ハイスクール・コネクション
high-school-dxd	ハイスクールD×D	ハイスクール
high-school-hack-and-slash	ハイスクールハックアンドスラッシュ	ハイスクールハックアンドスラッシュ
high-school-rainy	ハイスクールレイニー	ハイスクールレイニー
high-score-aruko-2002	ハイスコア	ハイスコア
high-score-girl-continue	ハイスコアガールCONTINUE	ハイスコアガール
high-speed-jessie	ハイスピードジェシー	ハイスピードジェシー
high-teen-boogie	ハイティーン・ブギ	ハイティーン・ブギ
high-tension-priester	ハイテンションプリースター	ハイテンションプリースター
higher-ground	ハイアーグラウンド	ハイアーグラウンド
highlight	ハイライト	ハイライト
highschool-bakka-chan	ハイスクールばっかちゃん	ハイスクール
highschool-kimengumi	ハイスクール!奇面組	ハイスクール
highschool-musical	ハイスクールミュージカル	ハイスクールミュージカル
higumagma	ヒグマグマ	ヒグマグマ
hihou-surooraifu-o-okuritai-ore-hyakumagan-ryuuou-datta	〈悲報〉スローライフをおくりたいオレ、百魔眼竜王だった	スローライフ
hiiragi-buchou-no-panst-line	柊部長のパンストライン	パンストライン
hiiro-no-mademoiselle	緋色のマドモアゼル	マドモアゼル
hijiyama-san-hoshi-no-oto-mori-no-uta	ヒジヤマさん 星の音森のうた	ヒジヤマ
hikagaku-joushiki-keetai-kun	非科学常識ケータイくん!	ケータイ
hikare-meshisutanto	光れ!メシスタント	メシスタント
hikari-e-no-sutorooku	光へのストローク	ストローク
hikari-no-pansy	光のパンジー	パンジー
hikari-on-stage	ひかりオンステージ!	オンステージ
hikari-to-yami-no-dystopia	光と闇のディストピア	ディストピア
hikaru-cha-cha-chatsu	ひかる!チャチャチャッ!!	チャチャチャッ
hikaru-in-za-light	ひかるイン・ザ・ライト!	イン・ザ・ライト
hikarun-patsu	ヒカルンパッ☆	ヒカルンパッ
hikidashi-ni-anpan	ひきだしにアンパン	アンパン
hikidashi-ni-terrarium	ひきだしにテラリウム	テラリウム
hikisakareta-sairensu	引き裂かれたサイレンス	サイレンス
hikkatsu	ヒッカツ!	ヒッカツ
hikkomi-jian-na-shinchoujuu-tsukai-planet-intoruudaa-online-comic	引っ込み思案な神鳥獣使い-プラネットイントルーダー・オンライン-@COMIC	プラネットイントルーダー・オンライン
hikoboshi	ヒコボシ	ヒコボシ
hikou-meikyuu-gakuen-dangerous	飛行迷宮学園ダンゲロス	ダンゲロス
hikyoumono-da-to-yuusha-party-o-tsuihousareta-node-hataraku-koto-o-yamemashita	卑怯者だと勇者パーティを追放されたので働くことを止めました	パーティ
hima-inu-pepper	ひまいぬペッパー!	ペッパー
hima-nanode-hajimetemimasu	ヒマなのでハジメテみます。	ハジメテ
himadesho-omawari-kun	ひまで署オマワリくん	オマワリ
himaraya-hatsutouchou-monogatari	ヒマラヤ初登頂物語	ヒマラヤ
himawari-hirakawa-2018	ヒマワリ	ヒマワリ
himawarichou-sanroodo-girls	ひまわり町サンロードガールズ	サンロードガールズ
hime-kishi-ga-classmate	姫騎士がクラスメート!	クラスメート
hime-koukan	ヒメコウカン	ヒメコウカン
hime-sama-no-herumetto	姫さまのヘルメット	ヘルメット
hime-sama-to-eiyuu-to-puroresu	姫さまと英雄とプロレス	プロレス
himeanole	ヒメアノ～ル	ヒメアノ
himegami-gadget	姫神ガジェット	ガジェット
himegami	ヒメガミ	ヒメガミ
himegimi-no-aikon	姫君のアイコン	アイコン
himegimi-no-tou-kizukurugan	姫君の塔-キズクルガン-	キズクルガン
himegimi-no-tsukurikata	ヒメギミの作り方	ヒメギミ
himegoto-maternity	ヒメゴトマタニティ	ヒメゴトマタニティ
himegoto	ヒメゴト	ヒメゴト
himejijou-living-dead	姫路城リビングデッド	リビングデッド
himeka-ni-boku-wa	ヒメカに、僕は。-ヒメカニボクハ-	ヒメカニボクハ
himekei-doll	姫系・ドール	・ドール
himekishi-wa-barubaroi-no-yome	姫騎士は蛮族(バルバロイ)の嫁	バルバロイ
himemama	ヒメママ	ヒメママ
himeno-no-jierashii	姫乃のジェラシー	ジェラシー
himenospia	ヒメノスピア	ヒメノスピア
himeresu	ヒメレス	ヒメレス
himetaku	ヒメタク	ヒメタク
himeyaka-himesama	ヒメヤカヒメサマ	ヒメヤカヒメサマ
himitsu-de-scandal	秘密でスキャンダル	スキャンダル
himitsu-houjin-desu-meikaa	秘密法人デスメイカー	デスメイカー
himitsu-jigoku-hontou-ni-yabai-horror-story	ヒミツ地獄 本当にヤバイホラーストーリー	ヤバイホラーストーリー
himitsu-kessha-yaruminateii	秘密結社ヤルミナティー	ヤルミナティー
himitsu-no-chaiharo	秘密のチャイハロ	チャイハロ
himitsu-no-clover-chan	ひみつのクローバーちゃん	クローバー
himitsu-no-echo-box	ひみつのエコーボックス	エコーボックス
himitsu-no-goodon-hakase	ひみつのゴードン博士	ゴードン
himitsu-no-hanazono-apaato	秘密の花園アパート	アパート
himitsu-no-hanazono-kessha-risupekutaa	秘密の花園結社リスペクター	リスペクター
himitsu-no-innocent-world	ひみつのイノセントワールド	イノセントワールド
himitsu-no-juliet	ひみつのジュリエット	ジュリエット
himitsu-no-kinpatsu-twintail	秘蜜の金髪ツインテール	ツインテール
himitsu-no-koi-collection	ヒミツの恋コレクション	コレクション
himitsu-no-reptiles	秘密のレプタイルズ	レプタイルズ
himitsu-no-ririasu	秘密のリリアス	リリアス
himitsu-no-rouge	ひみつのルージュ	ルージュ
himitsu-no-takaramono	秘密のタカラモノ	タカラモノ
himitsu-no-toile	秘密のエトワール	エトワール
himitsu-perfect-profile	秘密 パーフェクトプロファイル	パーフェクトプロファイル
himitsu-sentai-gorenger	秘密戦隊ゴレンジャー	ゴレンジャー
himitsu-sentai-gorenjaa-1975	秘密戦隊ゴレンジャー1975	ゴレンジャー
himitsu-sentai-gorenjaa-gokko	ひみつ戦隊ゴレンジャーごっこ	ゴレンジャー
himitsu-sentai-momoidaa	ひみつ戦隊モモイダー	モモイダー
himokuzu-hana-kun-wa-shinitagari	ヒモクズ花くんは死にたがり	ヒモクズ
himomen	ヒモメン	ヒモメン
hina-chan-change	ヒナちゃんチェンジ	チェンジ
hina-dolly-collection	ヒナ★ドーリィこれくしょん	ドーリィ
hinako-barieeshon	雛子バリエーション!	バリエーション
hinata-no-yuri	ヒナタノユリ	ヒナタノユリ
hinichijousei-bias	非日常性バイアス	バイアス
hinichijoutekina-nepaaru-taizaiki	非日常的なネパール滞在記	ネパール
hiniiru	ヒニイル	ヒニイル
hinkonmakyoutsutehiyapaka	貧困魔境伝ヒヤパカ	ヒヤパカ
hinmin-choujin-kanenashi-kun	貧民超人カネナシくん	カネナシ
hinnyuu-maikuro-bikiniiso	貧乳マイクロビキニーソ	マイクロビキニーソ
hino-matsuri-irasutoreeshonzu	樋野まつりイラストレーションズ	イラストレーションズ
hinoe-woman	ヒノエウーマン	ヒノエウーマン
hinomaru-raizu	ヒノマルライズ	ヒノマルライズ
hinshi-no-esseisuto	瀕死のエッセイスト	エッセイスト
hip-hop-ouendan	ヒップホップ応援団	ヒップホップ
hip-ni-rori-pop	Hipにロリポップ	ロリポップ
hipparukosu-no-umi	ヒッパルコスの海	ヒッパルコス
hippii-chan	ヒッピーちゃん	ヒッピー
hippocrates-no-ikari	ヒポクラテスの怒り	ヒポクラテス
hippuhoppu-kakeizu	ヒップホップ家系図	ヒップホップ
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	ヒプノシスマイク
hipunoshisumaiku	ヒプノシスマイク	ヒプノシスマイク
hiraeth-wa-tabiji-no-hate	ヒラエスは旅路の果て	ヒラエス
hiramatsu-tsutomu-tanpenshuu	ミアフィールドの少女アニー	ミアフィールド
hirarii-queen-daitouryou-eno-michi	ヒラリー・クイーン大統領への道	ヒラリー・クイーン
hirefushi	ヒレフシ	ヒレフシ
hiren-trip	ヒレントリップ	ヒレントリップ
hiria-heights-wa-tadaima-manshitsu	非リアハイツはただいま満室。	リアハイツ
hiriajuu-shuudan-ga-classmate-o-josousasete-kanojo-ni-shitemita	非リア充集団がクラスメイトを女装させて彼女にしてみた	クラスメイト
hiroizumu-zensen	ヒロイズム前線	ヒロイズム
hirokane-kenshi-hyuumanizumu-tanpenshuu	弘兼憲史ヒューマニズム短編集	ヒューマニズム
hirokaneryuu-kouhansei-wa-jinsei-tanoshindamon-gachi	ヒロカネ流 後半生は「人生楽しんだもん勝ち」	ヒロカネ
hiromoto-shinichi-tanpenshuu	ヒロモト森一短編集	ヒロモト
hiroshima-gangsta	広島ギャングスタ	ギャングスタ
hiru-2	ヒル・ツー	ヒル・ツー
hiseki-senki-stone-buster	秘石戦記ストーンバスター!	ストーンバスター
hisesshokukei-lovers	非接触系ラバーズ	ラバーズ
hisho-ha-madonna	秘書はマドンナ	マドンナ
hisho-to-bodigaado	秘書とボディガード	ボディガード
hishoka-drop	秘書課ドロップ	ドロップ
hisoka-returns	密❤リターンズ!	リターンズ
hisokani-asare	ヒソカニアサレ	ヒソカニアサレ
hissatsu-paipai-talk	必撮!パイパイトーク	パイパイトーク
hisshou-dungeon-unei-houhou	必勝ダンジョン運営方法	ダンジョン
historie	ヒストリエ	ヒストリエ
hit-and-run	ヒット・エンド・ラン	ヒット・エンド・ラン
hit-end-love	ヒット・エンド・LOVE	ヒット・エンド・
hitaano-no-musume	ヒターノの娘	ヒターノ
hitler	ヒットラー	ヒットラー
hitman-2013	ヒットマン	ヒットマン
hitman-go-go	ヒットマンgo!go!	ヒットマン
hitman-the-shitman	ヒットマン・ザ・シットマン	ヒットマン・ザ・シットマン
hitman	ヒットマン	ヒットマン
hito-hitori-futari	ヒトヒトリフタリ	ヒトヒトリフタリ
hito-life	ヒトライフ	ヒトライフ
hito-wa-mitame-ga-100-paasento	人は見た目が100パーセント	パーセント
hitodasuke-o-shitara-party-o-tsuihousareta-sareta-otoko-wa-yuniiku-skill-otasuke-man-de-nariagaru	人助けをしたらパーティを追放された男は、ユニークスキル『お助けマン』で成り上がる。	パーティ/ユニークスキル
hitofusa-no-budou-cain-no-matsuei	一房の葡萄・カインの末裔	・カイン
hitogata	人形～ヒトガタ～	ヒトガタ
hitogatana	ヒトガタナ	ヒトガタナ
hitogoto-desu-kara	ヒトゴトですから!	ヒトゴト
hitojichi-seikatsu-kara-hajimeru-surooraifu	人質生活から始めるスローライフ	スローライフ
hitojichi-tachi-no-share-house	人質たちのシェアハウス	シェアハウス
hitokiri-share-house	ヒトキリシェアハウス	ヒトキリシェアハウス
hitokui-danchi	ヒトクイダンチ	ヒトクイダンチ
hitokui-hime-no-cavaliere	人喰い姫のカヴァリエーレ	カヴァリエーレ
hitokui-mansion-to-ooya-no-maison	人喰いマンションと大家のメゾン	マンション
hitokui-origin	ヒトクイ-origin-	ヒトクイ
hitomi-diary	瞳ダイアリー	ダイアリー
hitomi-no-catoblepas	瞳のカトブレパス	カトブレパス
hitomi-no-labyrinth	瞳のラビリンス	ラビリンス
hitomi-no-photograph	瞳のフォトグラフ	フォトグラフ
hitomi-tenkuu-no-escaflowne	Hitomi天空のエスカフローネ	エスカフローネ
hitori-camp-shitara-isekai-ni-teni-shita-hanashi	一人キャンプしたら異世界に転移した話	キャンプ
hitori-h-online	ひとりえっちオンライン	オンライン
hitoribocchi-no-lullaby	独りぼっちのララバイ	ララバイ
hitoribocchi-no-pandora	ひとりぼっちのパンドラ	パンドラ
hitorijime-my-hero	ひとりじめマイヒーロー	マイヒーロー
hitorimi-rhapsody	独り身ラプソディー	ラプソディー
hitou-de-nuppori-bijin-okami-no-hakudaku-service	秘湯でぬっぽり美人女将の白濁サービス	サービス
hitozuma-mansion-kaede	人妻マンション楓	マンション
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	チューハイ
hitsudan-hosutesu	筆談ホステス	ホステス
hitsugi-no-chaika	棺姫のチャイカ	チャイカ
hitsuji-kun-scramble	羊くん❤スクランブル	スクランブル
hitsuji-sensei-ga-shukishukisugite-otaota-shitai	ひつじ先生がしゅきしゅきすぎてヲタヲタしたい	ヲタヲタ
hitsujiotokonokurisumasu	羊男のクリスマス	クリスマス
hittoraa-no-musuko	ヒットラーの息子	ヒットラー
hiyahhaa-dayo-funasshii	ヒャッハーだよ♪ふなっしー	ヒャッハー
hiyama-kentarou-no-ninshin-ikujihen	ヒヤマケンタロウの妊娠育児編	ヒヤマケンタロウ
hiyama-kentarou-no-ninshin	ヒヤマケンタロウの妊娠	ヒヤマケンタロウ
hiyoko-romantica	ひよこロマンチカ	ロマンチカ
hiyoko-to-ai-to-koi-to-kanazuchi	ひよこと愛と恋とカナヅチ	カナヅチ
hk-dragnet	H・Kドラグネット	ドラグネット
ho-ki-bekakon	ホーキーベカコン	ホーキーベカコン
hoankan-evansu-no-uso	保安官エヴァンスの嘘	エヴァンス
hobo-zaitaku-tantei-holmes	ほぼ在宅探偵ホームズ	ホームズ
hobugoburin	ホブゴブリン	ホブゴブリン
hodoyoi-otoko-tachi-no-ballad	ほどよい男たちのバラード	バラード
hogosha-kaijin-genocyber	保護者怪人ジェノサイバー	ジェノサイバー
hoiho-hoihoiho	ホイホ・ホイホイホ	ホイホ・ホイホイホ
hoikumen	ホイクメン!	ホイクメン
hojotai-mozukus	補助隊モズクス	モズクス
hokaben	ホカベン	ホカベン
hokahibito	ホカヒビト	ホカヒビト
hokkahoka-honkan	ほっかほかホンカン	ホンカン
hokkyoku-hyakkaten-no-concierge-san	北極百貨店のコンシェルジュさん	コンシェルジュ
hokoten-dreamin	ホコテンdreamin	ホコテン
hokuou-bishoujo-no-classmate-ga-konyakusha-ni-nattara-deredere-no-amaama-ni-natteshimatta-ken-ni	北欧美少女のクラスメイトが、婚約者になったらデレデレの甘々になってしまった件について	クラスメイト/デレデレ
hokusai-to-meshi-sae-areba	ホクサイと飯さえあれば	ホクサイ
hokusai-to-meshi	ホクサイと飯	ホクサイ
hold-up-kids	ホールドアップ★キッズ	ホールドアップ
hole-in-one	ホールインワン	ホールインワン
holiday	ホリデイ	ホリデイ
hollow-fish	ホロウフィッシュ	ホロウフィッシュ
holmes-saigo-no-jiken	ホームズ最後の事件	ホームズ
holmes-san-wa-suiri-ga-dekinai	ホームズさんは推理ができない	ホームズ
holmes-sensei-no-suteki-na-bouken	ホームズ先生の素敵な冒険	ホームズ
holmes	ホームズ	ホームズ
holox-meeting	ホロックスみーてぃんぐ!	ホロックス
holy-talker	ホーリートーカー	ホーリートーカー
holy-town	ホーリータウン	ホーリータウン
holyland	ホーリーランド	ホーリーランド
home-center-tenko	ホームセンターてんこ	ホームセンター
home-drama-shika-shiranai	ホームドラマしか知らない	ホームドラマ
home-drama	ホーム・ドラマ	ホーム・ドラマ
home-steady	ホームステディ	ホームステディ
home-sweet-holmes	ホーム・スイート・ホームズ	ホーム・スイート・ホームズ
homeless-salaryman	ホームレス・サラリーマン	ホームレス・サラリーマン
homemade-heroes	ホームメイドヒーローズ	ホームメイドヒーローズ
homemade-sweet-home	ホームメイド・スイートホーム	ホームメイド・スイートホーム
homemade	ホームメイド	ホームメイド
homeroom	ホームルーム	ホームルーム
hommage	オマージュ	オマージュ
homo-mangaka-stripper-ni-naru	ホモ漫画家、ストリッパーになる	ストリッパー
homohomo-7	ホモホモ7	ホモホモ
homunculus-no-musume	ホムンクルスの娘	ホムンクルス
homunculus	ホムンクルス	ホムンクルス
hon-no-joke-de	ほんのジョークで・・・	ジョーク
hon-no-mushi-mimizuku-kun	本の虫ミミズクくん	ミミズク
honami-sutoratto	本阿弥ストラット	ストラット
honba-joshikou-manual-selection	本場ぢょしこうマニュアルSELECTION	マニュアル
honba-joshikou-manual	本場ぢょしこうマニュアル	マニュアル
honban-kinshi-ijiwaru-serapisuto-no-torotoro-dekiai-ryouhou	本番、禁止。いじわるセラピストのとろとろ溺愛療法	セラピスト
honehime-rozarii	骨姫ロザリー	ロザリー
honey-blood	ハニーブラッド	ハニーブラッド
honey-boys-spiral	蜜的男子スパイラル	スパイラル
honey-bunny	ハニバニ!	ハニバニ
honey-comb	レディ・ハニカム	レディ・ハニカム
