slug	title	著者グループ数	著者別巻
gekiga-ningen-kakumei	劇画人間革命	2	池田大;渡アキラ;石井イサミ(v[4, 5, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 3
gekka-no-kishi	月下の棋士	2	河口俊彦;能条純一;能條純一(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 1
gekkan-kochikame	月刊こち亀	2	秋元治(v[1]) || 秋本治(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 1
gekkou-mizuki-1982	月虹	2	水樹和佳(v[1, 2]) || 水樹和佳子(v[1])
genjuu-no-kuni-monogatari-1997	幻獣の国物語	2	猫十字社(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16]) || team猫十字社(v[1, 2, 3
genjuu-no-kuni-monogatari	幻獣の國物語	2	猫十字社(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16]) || team猫十字社(v[1, 2, 3
gensou-suikoden-5	幻想水滸伝Ⅴ	2	沙月ユウ(v[1]) || 柘植ミズキ(v[2, 3, 4])
get-azuma-1999	GET!	2	東マユミ(v[1]) || 金沢有倖(v[2])
getsuyoubi-no-ningyo	月曜日の人魚	2	大橋薫(漫画家)(v[1]) || 大橋薫(v[1])
gift-ichinose-2015	gift	2	秋本尚美(v[1, 2]) || 一ノ瀬ユマ(v[3])
ginga-ojou-sama-densetsu-yuna	銀河お嬢様伝説ユナ	2	イイヅミ蜜(v[1]) || 明貴美加(v[2])
ginga-tetsudou-no-yoru	銀河鉄道の夜	2	古城武司(v[1]) || マスムラヒロシ;増村昭子;宮(v[1, 2])
girlfriends	ガールフレンズ	2	浮谷チヒロ(v[1]) || 山下和美(v[2])
glass-feet	グラスフィート	2	木崎アオコ(v[1, 3]) || ]aokokizaki(v[2])
go-da-gun	Go da gun	2	片倉政憲(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || 片倉m政憲(v[14, 15, 16])
go-west	Go West!	2	矢上裕(漫画家)(v[1, 2]) || 矢上裕(v[3, 4])
gogh-hajimemashita	ゴッホはじめました。	2	関﨑俊三(v[1]) || 関崎俊三(v[2, 3])
gokinjo-sanrinshatai	ごきんじょ三輪車隊	2	近江ノコ(v[1]) || ]近江ノコ(v[2])
gokumaden	極麻伝	2	岡村茂(1963生)(v[1]) || 土井泰昭;岡村茂(v[2])
gold-1997	Gold	2	夢殿リサ(v[1]) || 魔木子(v[1])
gold-2004	GOLD	2	夢殿リサ(v[1]) || 山本隆一郎(v[9])
goo-remu	ごー・れむ	2	サクラエビチマ(v[1]) || ]サクラエビチマ(v[2])
gouhou-toshi	合法都市	2	東条仁(v[1]) || 東條仁(v[2, 3, 4, 5, 6])
goukyuu-shoujo	剛球少女	2	千葉潔和(v[1]) || 千葉キヨカズ;田中誠一(v[2, 3, 4, 5, 6, 7, 8])
guitar-shop-rosie	ギターショップ・ロージー	2	髙橋ツトム(v[1, 2, 3]) || 高橋ツトム(v[4])
gundam-tanpenshuu	ガンダム短編集	2	富野由悠季;杉山実;松本久志(v[1, 3]) || 加登屋ミツル;岩村俊哉(v[2])
gunjou-2012	群青	2	カネサダ雪緒;宮木アヤ子(v[1]) || 吉田秋生(v[5])
hachigatsu-kokonoka-boku-wa-kimi-ni-kuwareru	八月九日僕は君に喰われる。	2	tomomi(v[1, 2, 3, 4, 5]) || tomomi漫画家(v[6])
hadashi-no-gen	はだしのゲン	2	中沢啓治(v[1, 2, 2, 3, 6, 7, 9]) || 中沢啓治(1939-2012(v[10])
hagemashiyome	励まし嫁	2	スズモトコウ(v[1]) || ]スズモトコウ(v[2])
hageshiina-sakurai-kun	ハゲしいな!桜井くん	2	高倉アツ子(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]) || 高倉アツコ(v[1
haguregumo	浮浪雲	2	ジョージ秋山(v[1, 2, 13, 14, 15, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 3
haha-ga-shindoi	母がしんどい	2	田房永子(v[1]) || ]田房永子(v[1])
hai-baiyoushi-mizuiro	胚培養士ミズイロ	2	オカザキ真里(v[1, 2, 3, 4, 5, 6]) || オカザキマリ(v[7, 8, 9, 10])
haigakura	ハイガクラ	2	高山シノブ(v[1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15]) || shinobu(v[16])
hakkenden	八犬伝	2	碧也ピンク(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]) || アベ美幸(v[16, 17, 18
hakkou-1985	白虹	2	長岡良子(v[1]) || 中村理恵(v[2, 3, 4])
hakuouki	薄桜鬼	2	アイディアファクトリー;デザ(v[1, 3, 4]) || 「薄桜鬼」製作委員会;オトメ(v[2])
hakushaku-reijou	伯爵令嬢	2	細川智栄子(v[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]) || 細川知栄子;芙ーミン(v[5, 12])
hamster-club	ハムスター倶楽部	2	アンソロジー(v[4, 6]) || メデ鯛(v[1, 2, 3])
hamster-family	ハムスターファミリー	2	ジュリア-ノ(v[3]) || ジュリアーノ(v[4])
hana-yodan-to-isshokenmei	花四段といっしょ	2	]増村十七(v[1, 2, 3, 4]) || 増村十七(v[5, 6])
hanagumi-ninkyouden	花組仁侠伝	2	初田シウコ(v[2, 3]) || 鹿乃シウコ(v[1, 2])
hanaichimonme	花いちもんめ	2	谷川史子(v[1]) || アマネカズミ(v[2])
hanamaru-manga	花丸漫画	2	穂波ユキネ(v[1]) || アンソロジー(v[5])
hare-nochi-cinderella-magical	晴れのちシンデレラmagical	2	宮成楽(v[1, 2, 3, 4, 5]) || 宮成樂(v[6])
hare-nochi-cinderella	晴れのちシンデレラ	2	宮成樂(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]) || 宮成楽(v[17])
haruka-17	はるか17	2	山崎紗也夏(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || 山崎サヤカ(v[14, 15, 16, 17, 1
haruki-murakami-manga-stories	HARUKI MURAKAMI MA	2	]harukimurakam(v[2]) || deveneyjean-ch(v[3])
hataraku-onee-san	はたらくおねえさん	2	後藤ユタカ(v[1, 2]) || 細井玲子(v[3, 4])
hate-my-mia	Hate my Mia!	2	hitotori(v[2, 3]) || 人鳥ペンギン(v[4])
hazukashigariya-no-saramanko-san	恥ずかしがり屋のサラマン娘さん	2	アユカ(v[1]) || ]アユカ(v[2])
heart-o-uchinomese	ハートを打ちのめせ!	2	ジョージ朝倉(v[1]) || ジョ-ジ朝倉(v[2])
heart	HEART	2	前田恵津子(v[1]) || 高田リエ(v[2, 3, 4, 5, 6, 7, 8, 9, 10])
heat-beat	Heat×Beat	2	ホームラン拳(v[1]) || ]ホームラン拳(v[2])
heaven-2001	HEAVEN	2	高群保(v[1, 2]) || 王欣太(v[1])
hebi	蛇	2	井口カノン(v[1]) || 楳図カズオ(v[2])
hellhound-2018	ヘルハウンド	2	大沢俊太郎;安藤慈朗(v[1, 2]) || 皆川亮二(v[5])
hello-riko	ハロー!理子	2	篠崎マコト(1952生)(v[1]) || 篠崎マコト(v[2, 3])
hengen-no-hanko	変幻の半狐	2	イクタハナ(v[1, 2, 3]) || 育田花(v[4])
hermes-no-michi	エルメスの道	2	竹宮恵子(v[1]) || 竹宮惠子(v[1])
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	2	アンソロジー(v[6]) || ico;kanzume;イケ(v[10, 11, 12])
himitsu-no-chikashitsu	秘密の地下室	2	矢追町成増(v[1]) || 中ノ尾恵(v[2, 3, 4, 5, 6])
himitsu-no-kaidouke	ひみつの海藤家	2	加藤知子(v[1, 2, 3]) || 加藤知子(漫画家)(v[4])
himitsu	秘密	2	清水玲子(漫画家)(v[1, 2]) || 清水玲子(v[3, 4, 5, 6, 7, 8, 9, 10, 11, 12])
hinata-no-yuri	ヒナタノユリ	2	ヨツバ◎マスミ(v[1, 2]) || ヨツバマスミ(v[3])
hinmin-no-shokutaku	貧民の食卓	2	大坪万記(v[1, 2, 3]) || オオツボマキ(v[4, 5])
hitorijime-my-hero	ひとりじめマイヒーロー	2	アリイメメコ(v[1, 2, 7, 8, 9, 10, 11, 12, 13, 14]) || ]memecoarii(v[15])
hone-made-aishite-takaguchi-2011	骨まで愛して	2	森崎法美(v[1]) || 高口里純(v[2])
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	2	アンソロジー(v[1]) || 朝日ソノラマ(v[5, 11, 14, 26, 27, 28, 29, 30])
hoshi-no-kirby-manpukupupupufantajii	星のカービィ	2	サクマ良子(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) || 武内イブキ(v[13, 14])
hoshi-o-tsugu-mono	星を継ぐもの	2	星野和夏子;朱砂(v[1]) || jpホーガン;星野之宣(v[2, 3, 4])
host-to-shachiku	ホストと社畜	2	河尻ミツル(v[1]) || 河尻(v[2, 3, 4])
hot-shot	Hot Shot	2	ハリミスモモ(v[1]) || 大野純二(v[2, 3, 4, 5])
hotta	堀田	2	山本直樹(漫画家)(v[1, 2]) || 山本直樹(v[3, 4])
houkago-2014	ほうかご!	2	犬丸(v[1]) || 伊藤ハチ(v[2])
houkago-metabaasu	放課後メタバース	2	秋★枝(v[1]) || 秋枝(v[2])
houkago-teibou-nisshi	放課後ていぼう日誌	2	小坂泰之(v[1, 2, 3, 13, 14, 15]) || ]小坂泰之(v[4, 5, 6, 7, 8, 9, 10, 11, 12])
hq-familia	HQファミリア	2	黒兎(v[1]) || 潜エム(v[2, 3])
hunter-hunter	Hunter×hunter	2	ホーム社;ホーム社冨樫義博;(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
hyahoo-uni-family	ひゃほ～・ウニファミリー	2	鈴木由美子(漫画家)(v[1, 2, 3]) || 鈴木由美子(v[4, 5, 6, 7, 8, 9, 10, 11, 12])
hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	2	萩尾望都(v[1]) || 光瀬龍(v[2])
hyper-restaurant	ハイパーレストラン	2	霧香&聖娜(v[1, 2]) || タカナシ霧香(v[3, 4, 5, 6])
ice-prince	あいす★プリンス	2	長江朋美(v[1, 2, 3, 5]) || ]長江朋美(v[4])
idol-be-back	アイドルビーバック!	2	ハンザワカオリ(v[1]) || 半澤香織(v[3])
idol-yameru-kedo-kekkon-shite-kuremasu-ka	アイドル辞めるけど結婚してくれますか	2	]三吉汐美(v[1]) || 三吉汐美(v[2, 3, 4])
ikemen-kanojo-to-heroine-na-ore	イケメン彼女とヒロインな俺!?	2	斎創(v[1, 3]) || ]斎創(v[2])
iki-doll	生き人形	2	楳図カズオ(v[1]) || 永久保貴一(v[2])
ikisudama	生霊	2	ササヤナナエ(v[1]) || ササヤナナエコ(v[1])
imadoki-no-wakai-mon-wa	今どきの若いモンは	2	吉谷光平(v[1, 2, 3, 6]) || ]吉谷光平(v[4, 5])
inaba-haneru-no-haneman-maajan	因幡はねるのハネマン麻雀	2	]菅野航(v[1]) || 菅野航(v[2])
inazuma-eleven-go	イナズマイレブンgo	2	100percent;ヤブノ(v[1, 2, 3, 4, 5, 6, 7]) || 百丸(v[1])
inochi-no-utsuwa	いのちの器	2	上原キミ子(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12
inugami	犬神	2	外園昌也(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 9, 10, 11, 12, 13]) || 外薗昌也(
inugamike-no-ichizoku	犬神家の一族	2	ツノダジロウ;横溝正史(v[1, 1]) || jet(v[3])
isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良	2	天野コヒツジ;舞pub201(v[1, 2, 3, 5]) || トキチ(v[4])
itihasa	イティハーサ	2	水樹和佳(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]) || 水樹和佳子(v[1, 2, 3, 4
itoko-no-ko	いとこのこ	2	]イヌチク(v[1]) || イヌチク(v[2, 3, 4, 5])
jank-runk-family	ジャンク・ランク・ファミリー	2	髙橋ヒロシ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]) || 高橋ヒロシ(v[16, 17, 1
jibun-o-suki-ni-naritai	自分を好きになりたい。	2	ワタナベポン(v[1]) || ]ワタナベポン(v[1])
jigoku-no-ie	地獄の家	2	gonta(v[1, 2, 3, 4, 5]) || 王欣太(v[1, 2])
jigoku-yuugi	地獄遊戯	2	魔木子(v[1, 3]) || 亘理ナオミ(v[2])
jijii-no-koi	じじいの恋	2	]黒江s介(v[1]) || 黒江s介(v[2])
jipangu-boy	ジパング少年	2	岩重孝(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) || イワシゲ孝(v[15])
jiraishin-diablo	地雷震ディアブロ	2	高橋ツトム(v[1, 2]) || 髙橋ツトム(v[3])
jitsuroku-kantou-shouwa-gun	実録!関東昭和軍	2	田中誠(漫画家)(v[1]) || 田中誠(v[2, 3, 4, 5, 6])
joker-1998-2	JOKER	2	森谷幸子(v[1]) || 野村アキコ(v[2])
joker-1998-3	Joker	2	河奈マリオ(v[2]) || 上杉可南子;斎田晴子(v[3])
joker-1998	Joker	2	河野ヤス子(v[1]) || 河奈マリオ(v[2])
joker-yamane-1997	JOKER	2	山根和俊(v[2]) || 上杉可南子;斎田晴子(v[3])
josou-shite-mendokusai-koto-ni-natteru-nekura-to-yankee-no-ryou-kataomoi	女装してめんどくさい事になってるネク	2	トオル(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || トオル漫画家(v[14, 15])
joucho-o-mechakucha-ni-shitekuru-onna	情緒をめちゃくちゃにしてくる女	2	蝉丸(v[1, 2]) || 蝉丸漫画家(v[3])
jumbo-max	JUMBO MAX	2	髙橋ツトム(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) || 高橋ツトム(v[12, 13, 14, 15])
jump	JUMP!	2	森下薫(漫画家)(v[1]) || 森下薫(v[2, 3])
junk	JUNK	2	三上歩;菅原竜(v[1]) || 麻宮騎亜(v[2, 3, 4, 5, 6, 7])
junko	順子	2	勘崎順次(1953生)(v[1, 2, 3, 4, 5]) || 倉科遼;勘崎順次(v[6, 7, 8])
juon-juon	呪怨/juon	2	凛野ミキ(v[1]) || メイム(v[2])
k-shitsuki-1988	K	2	gohands;gora;来(v[2, 3]) || 谷口ジロ-;遠崎史朗(v[1])
k	K	2	高橋ツトム(v[1]) || gohands;gora;来(v[2, 3])
kagami-no-naka-no-yami	鏡の中の闇	2	高橋美由紀(v[1]) || 髙橋美由紀(v[1])
kaguyahime	輝夜姫	2	清水玲子(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 13, 14]) |
kaijin-nijuumensou	怪人二十面相	2	藤子不二雄a(v[1, 2]) || タクマ朋正;江戸川乱歩(v[3])
kaitou-kuishinbou	快盗くいしん坊	2	ビッグ錠(v[1]) || ビッグ錠1939-(v[2, 3])
kaleidoscope	カレイドスコープ	2	米田仁士(v[1]) || 野間美由紀(v[1])
kame	かめ!	2	六田登(v[1, 2, 3]) || ナガイサワコ(v[4, 5])
kamiotoshi-no-oni	神落しの鬼	2	菅原健二(v[1]) || ]菅原健二(v[2, 3])
kannou-senichiya	官能千一夜	2	笠間シロウ(v[1]) || 智代次(v[2])
kannou-sensei	官能先生	2	吉田基已(v[1, 2, 3]) || 吉田基己(v[4])
kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024	顔に出ない柏田さんと顔に出る太田君+	2	]東フユ(v[1]) || 東フユ(v[2])
kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun	顔に出ない柏田さんと顔に出る太田君	2	東フユ(v[1]) || ]東フユ(v[2, 3, 4, 5, 6, 7, 8, 9])
karajishi-kyoushi	唐獅子教師	2	地引カズヤ;牛次郎(v[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]) || 牛次郎(
katte-ni-shirokuma	かってにシロクマ	2	相原コージ(v[2, 3, 4, 5, 6]) || 相原コ-ジ(v[1, 2, 3])
katte-ni-shiyagare-konno-2002	勝手にしやがれ	2	黒川アヅサ(v[1]) || 紺野ケイ子(v[2])
kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	2	深海ユユ(v[1, 2, 3, 4, 6, 7, 8]) || ]深海ユユ(v[5])
kaze-to-ki-no-uta	風と木の詩	2	竹宮恵子(v[1, 1, 2, 7, 9, 10, 10, 12, 13, 14, 15, 16, 17]) || 竹宮惠子(v[2, 3, 4, 5, 6, 
kaze-yo-banri-o-kakeyo	風よ、万里を翔けよ	2	秋乃茉莉(v[1]) || モトムラエリ;田中芳樹(v[2, 3, 4])
kazoku-gokko	家族ごっこ	2	唐沢千晶(v[1]) || 遠藤淑子(v[1])
kekkon-no-real	結婚のリアル	2	島津郷子(v[1]) || 亜月裕;桜沢エリカ(v[2])
kemokko-doobutsuen	けもっ娘ど～ぶつえん!	2	メプチン☆(v[1, 2, 3]) || ]メプチン☆(v[4])
kenja-chan-wa-satotte-nai	賢者ちゃんは悟ってない!	2	]菅原健二(v[1, 3]) || 菅原健二(v[2])
kenka-dokugaku	喧嘩独学	2	キムゾンヒョン;テジュンパク(v[1, 3, 4, 5, 6]) || kimjunghyun;pa(v[2])
kenkaku-shoubai	剣客商売	2	サイトウタカヲ;池波正太郎(v[1, 1, 2, 2, 3, 3, 4, 5]) || 大島ヤスイチ;天沢彰;島田悠(v[6, 7, 8, 9, 10, 11,
keshou-mandala	化粧曼陀羅	2	ササヤナナエ(v[1, 2]) || ササヤナナエコ(v[1])
kijima-nikki	木島日記	2	大塚英志(v[1]) || 森美夏(v[2, 3, 4])
kikaider-02	キカイダー02	2	meimu(v[1, 2, 3, 4, 5, 6]) || meimu(1963-);石(v[7])
killers-holiday	キラーズホリディ	2	松(atypecorp)(v[1, 2, 4, 5, 6]) || 松イラストレーター(v[8])
killing-me-killing-you	KILLING ME/KILLING	2	成田芋虫(v[1]) || ]成田芋虫(v[2, 3, 4, 5])
kimi-ni-koisuru-sanshimai	キミに恋する三姉妹	2	saku(v[1, 2]) || saku漫画家(v[3, 4, 5, 6, 7, 8])
kimi-niwa-todokanai	君には届かない。	2	ミカ(v[1, 2, 3, 4, 5, 6, 7, 8]) || ミカ漫画家(v[9, 10])
kimi-no-katana-ga-oreru-made	君の刀が折れるまで	2	イノウエ(v[1, 2, 3, 4]) || 井上小春(v[5, 6])
kindan-no-kajitsu	禁断の果実	2	エリカスピンドラー;宮城朗子(v[1]) || 古田久恵;遊川和彦(v[2])
kinnikuman-jump	キン肉マンジャンプ	2	ユデタマゴ(v[1, 2, 4, 5]) || ]ユデタマゴ(v[3])
kiraide-isasete	嫌いでいさせて	2	ヒジキ(v[1, 2, 3, 4, 5, 6]) || ヒジキ漫画家(v[7])
kiraware-joou-ha-juuou-sama-no-okiniiri-dokuhime-ga-reset-shita-jinsei-de-dekiai-saremasu	嫌われ王女は獣王様のお気に入り	2	ヒマワリソウヤ(v[1, 2]) || 日輪早夜(v[3])
kiruto-s	キルトS	2	高橋美由紀(v[1, 2, 3, 4, 5, 6, 7, 8, 9]) || 髙橋美由紀(v[10])
kishimojin	鬼子母神	2	ヒロサチヤ;ワタナベマサコ(v[1]) || 山岸凉子(v[1])
kizuna	KIZUNA	2	コダカ和麻(v[1, 2, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10]) || 金子節子(v[1])
koala-enikki	コアラ絵日記	2	ユアミ(v[2, 3]) || ユアミpub2022(v[4, 5])
kochira-ai-outou-seyo	こちら愛!応答せよ	2	上原キミ子(v[1, 2]) || 上原キミコ(v[3, 4])
kodomo-shikkaku	子供失格	2	友利卓司(v[1]) || 松山花子(v[2])
kogane-crafter	コガネ・クラフター	2	橘由宇(v[1]) || ]橘由宇(v[2])
koharu-nikki	こはる日記	2	益田ミリ(v[1]) || ]益田ミリ(v[1])
koharu-no-sora-to-animal-life	こはるの空とアニマルライフ	2	加藤エリコ(v[1, 2]) || 加藤絵理子(v[3, 4])
koharu-to-minato	小春と湊	2	ヒアルロン&達磨(v[2]) || ヒアルロン;達磨(v[3])
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	2	芳谷圭児(v[1, 2]) || 小池一夫(v[6])
koisuru-mae-ni-amai-hatsujou	恋する前に、あまい発情。	2	ユン(v[1, 2, 3, 4]) || ユン漫画家(v[5])
koitsura-100-paasento-densetsu	こいつら100%伝説	2	岡田ア〜ミン(v[1, 2, 3]) || 岡田ア~ミン(v[1, 2])
kokkyou-no-yuusha-echo	国境の勇者エコー	2	]南ゴゼン(v[2]) || 南ゴゼン(v[3])
kokkyou-o-kakeru-ishi-ikoma	国境を駆ける医師イコマ	2	高野洋(v[1, 2, 3, 4, 5]) || 高橋洋(v[6])
kokoro-natsume-2023	こころ	2	佐々木亮(v[1]) || teamバンミカス;夏目漱石(v[2])
kokuen-no-valkyrie	黒焔の戦乙女(ヴァルキリー)	2	梶沖タクマ(v[1, 3]) || ]梶沖タクマ(v[2])
komi-san-wa-komyushou-desu	古見さんは、コミュ症です。	2	オダトモヒト(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 
konohana-ki-tan	このはな綺譚	2	天乃咲哉(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]) || 天乃咲耶(v[17])
konsei-wa-goen-ga-arimasu-you-ni	今世は五縁がありますように!	2	]ユキノ(v[1, 2, 3]) || ユキノ漫画家(v[4, 5])
koojien	コージ苑	2	相原コ-ジ(v[1, 2, 3]) || 相原コージ(v[1, 2, 3])
koori-no-joou-2013	氷の女王	2	真崎春望(v[1]) || リカチ;佐藤千恵(v[2])
kootaroo-makaritooru	コータローまかりとおる!	2	蛭田達也(v[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12
koshien-no-sora-ni-warae	甲子園の空に笑え!	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
koukousei-uebu-sakka-no-mote-seikatsu	高校生WEB作家のモテ生活	2	サトウユウ;茨木野(v[1, 2, 3, 4]) || 佐藤勇;茨木野1991-(v[5, 6])
kowai-hon	こわい本	2	楳図カズオ(v[1, 2, 5, 6, 7, 10, 11, 12, 13, 14]) || ]楳図カズオ(v[3, 4, 5, 6, 7, 8, 9, 10,
kozure-ookami	子連れ狼	2	小池一雄(v[7]) || 小島剛夕;小池一夫(v[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
kugishi-hourouki	釘師放浪記	2	牛次郎;石神保(v[1, 3, 4, 5, 6]) || 牛次郎(v[2])
kugutsu-hard-link	傀儡HARD LINK	2	高橋明(漫画家)(v[1]) || 高橋明(v[2])
kujakuou	孔雀王	2	荻野真(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 9, 9, 10, 11, 11, 12, 13, 14,
kunoichi-momoka-tabegoro-desu	くノ一桃果食べごろです?	2	]コンチキ(v[1]) || コンチキ(v[2])
kureyon-days	くれよん・でいず	2	横山ユキネ;真理光(v[1, 2]) || 千葉コズエ;川谷デザイン(v[3, 4])
kuro-1999	黒	2	奥浩哉(v[1]) || ソウマトウ(v[1, 2, 2, 3, 3])
kuroane-insomnia	黒姉インソムニア	2	的良ミラン(v[1, 2]) || ]的良ミラン(v[3])
kuroi-hohoemi	黒い微笑	2	細川智栄子(v[2]) || 細川知栄子(v[3, 4])
kyoshou	巨匠	2	高橋一仁(v[1]) || 髙橋一仁(v[2, 3])
kyoukai-no-end-feel	境界のエンドフィール	2	アントンシク;アントンシク1(v[1, 2, 3, 4, 6, 7]) || アントンシク1980-;近藤(v[5])
kyoukaku	侠客	2	池波正太郎;落合裕介(v[1, 4, 5, 6]) || 落合裕介漫画:池波正太郎(v[2, 3])
kyoushoku-soukou-guyver	強殖装甲ガイバー	2	高屋良樹;鹿住忠広(v[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 
kyuuketsuki-no-kisu	吸血鬼のキス	2	柴垣マユミ(v[1]) || 紫垣マユミ(v[2])
l-a-heat	L.A.HEAT	2	クロダカスミ(v[1]) || 黒田カスミ(v[1])
last-order-2000	ラストオーダー	2	高田裕三(v[2]) || カズナリ;松葉サトル;浜松春(v[3])
libido	リビ道	2	岩谷テンホ-(v[1]) || 岩谷テンホー(v[2, 3])
loan-knight	ローンナイト	2	吉冨昭仁(v[1, 2, 3]) || 吉富昭仁(v[4, 5])
long-riders	ろんぐらいだぁす!	2	三宅大志(v[1, 2, 6]) || ]三宅大志(v[3, 4, 5, 7, 8, 9])
love-kaidan-sayoko-san	恋愛怪談サヨコさん	2	関崎俊三(v[1, 2]) || 関﨑俊三(v[3, 4, 5, 6, 7, 8])
love-kowai	れんあいこわい	2	クズシロ(v[1]) || ]クズシロ(v[2])
love-peace	Love ＆ Peace	2	梅澤春人(v[1]) || 清野トオル(v[2])
love-taishitsu	恋愛体質	2	横山真由美(v[2]) || 近藤旭(v[3])
love	LOVE	2	森丘茉莉(v[1]) || 石渡治(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 
loveless	LOVELESS	2	新井理恵(v[1, 2]) || 高河ユン(v[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13])
lucky-strike	LUCKY STRIKE	2	神谷ユキエ(v[1, 2]) || 乾良彦(v[3, 4])
lunatic-zatsugidan	ルナティック雑技団	2	岡田ア〜ミン(v[1]) || 岡田アーミン(v[2, 3])
mabataki-yori-hayaku	瞬きより迅く!!	2	フナツカズキ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) || フナツ一輝(v[11, 12])
mafia-to-ruaa	マフィアとルアー	2	タグロ(v[1]) || tagro;サヤワカ(v[1])
mahiru-no-youjinbou	マヒルの用心棒	2	大岩ケンヂ(v[1]) || 大岩ケンジ(v[2])
mahoutsukai-kurohime	魔砲使い黒姫	2	片倉政憲(v[1]) || 片倉狼組政憲(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1
mahoutsukai-yousei-senmon-magic-star-gakuin	魔法使い養成専門マジックスター学院	2	南澤ミヅキ(v[1, 2]) || 南澤久佳(v[3, 4, 5])
majishanzu-akademii	まじしゃんず・あかでみい	2	blade(v[1]) || 仲尾ヒトミ;榊一郎(v[2, 3])
majo-ga-kudasu-tettsui	魔女が下す鉄槌	2	ミヤマルン(v[1]) || ]ミヤマルン(v[2])
majuugari	魔獣狩り	2	葉月秋子(v[1]) || 夢枕獏;青木雅彦(v[2, 3])
make-no-ohime-sama	メイクのお姫様	2	キタムラユウカ(v[1, 2]) || 北村有香(v[3])
makenkitsu	マケン姫っ!	2	武田弘光(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21
makimodori-koushaku-reijou-desu-maou-cheat-de-saikyou-yuusha-ni-narimashita	巻き戻り公爵令嬢ですが魔王チートで最	2	]塩田シオ(v[1]) || 塩田シオ(v[2])
