slug	title	著者グループ数	著者別巻
shounen-in-za-fuddo	少年イン・ザ・フッド	3	site(v[1, 2, 3, 4, 5, 6, 7, 8]) || site(ghettohol(v[9]) || site1979-(v[10, 11])
sora-yori-takaku	天より高く	3	半村良;石川サブロウ(v[1]) || 浅美裕子(v[2]) || 宮下アキラ(v[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 1
yamato-takeru	ヤマトタケル	3	山岸凉子(v[1]) || 山岸涼子(v[2]) || 安彦良和(v[1, 2, 3, 3, 4, 5, 6])
yume-de-aetara-1985	夢で逢えたら	3	小椋冬美(v[1]) || hanako(v[2, 3, 4, 5, 6, 7, 8]) || 山花典之(v[9, 10, 11, 12, 13, 14, 15
yuutousei-to-himitsu-no-oshigoto	優等生と秘密のお仕事	3	アズマユキ(v[1]) || ]アズマユキ(v[2, 3, 4, 5, 6, 7, 8, 9]) || アヅマユキ(v[10])
zannen-onnakanbu-black-general-san	残念女幹部ブラックジェネラルさん	3	jin(v[1, 2, 3, 4, 5, 6]) || ]jin(v[7, 8, 9, 10, 11]) || jin漫画家(v[12, 13])
zero-site-muhou-chitai	Xero site（無法恥帯）	3	ペルソナ(v[1]) || 万利休(v[3, 5, 6]) || 富秋悠(v[4])
1-nen-a-gumi-no-monster	1年A組のモンスター	2	]英貴(v[1, 3, 4, 5]) || 英貴(v[2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15])
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	10年間友達だと思ってた男の子に告白	2	○線(v[1, 2, 3, 4, 5, 6, 8, 9, 10]) || 〇線(マルセン)(v[7])
12beast	12BEAST	2	オカヤド(v[1, 2, 3, 4, 5, 6]) || ]オカヤド(v[7])
12kagetsu	12ヵ月	2	オカザキマリ(v[1]) || オカザキ真里(v[2])
13-kaime-no-ashiato	13回目の足跡	2	三部ケイ(v[1, 2, 3]) || 三部敬(v[4, 5, 6, 7])
22xx	22XX	2	清水玲子(v[1]) || 清水玲子(漫画家)(v[1])
311-anohi-o-wasurenai	3.11あの日を忘れない	2	石塚夢見(v[1]) || 生島淳;高瀬由香(v[4])
9-banme-no-musashi	9番目のムサシ	2	高橋美由紀(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21]) 
a-little-dragon	ア・リトル・ドラゴン	2	中村ウサギ(v[1, 2, 3]) || 上田宏(v[4, 5])
ace	エース!-ACE-	2	高橋陽一(漫画家)(v[1, 2, 3, 4, 5, 6, 7, 8, 9]) || 高橋陽一(v[1, 2, 3, 4, 5, 6])
agasa-kurisuteii-no-meitantei-poirot-to-marple	アガサ・クリスティーの名探偵ポワロと	2	アガサクリスティ;大橋志吉;(v[1, 2]) || アガサクリスティ-;石川森彦(v[3])
ai-de-naku	愛でなく	2	伸タマキ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) || 獸木野生(v[12])
ai-no-akujotachi	愛の悪女たち	2	寺館和子;星合操;近藤厚子(v[1, 3]) || 星合操;東克美(v[2])
ai-no-mystery-senshuu	愛のミステリー 選集	2	菊川近子(v[1]) || 伊万里スミ子(v[2])
aiseki-iidesuka	相席いいですか?	2	河上ダイシロウ(v[1, 2]) || 河上大志郎(v[3, 4, 5, 6, 7])
akarui-kazoku-keikaku-1995	明るい家族計画	2	有馬由美子(v[1]) || ミヅキ水脈(v[2])
aku-no-hana	悪の華	2	柳沢公夫(v[1, 2, 4]) || 柳沢キミオ(v[3, 5, 6])
akuma-ga-kitarite-fue-o-fuku	悪魔が来りて笛を吹く	2	影丸譲也;横溝正史(v[1]) || jet(v[1])
akuma-to-keiyaku	アクマと契約	2	ハル(v[1]) || ハルpub2016(v[3])
alice-no-shousei	アリスの照星	2	長谷川光司(漫画家)(v[1]) || 柿沼秀樹;長谷川光司(v[2, 3, 4])
ame-wa-korekara	雨はこれから	2	東本昌平(v[1, 2, 4, 9]) || ]東本昌平(v[3, 5, 6, 7, 8, 10])
ani-no-yome-to-kurashiteimasu	兄の嫁と暮らしています。	2	クズシロ(v[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]) || ]kuzushiro(v[9])
anotoki-no-kodomo-san	あのときのこどもさん	2	カメントツ(v[1]) || カメントツ1986-(v[2, 3])
ao-mata-ao	青また青	2	伸タマキ(v[1]) || 獸木野生(v[1])
ao-no-shima-to-neko-ippiki	青の島とねこ一匹	2	]小林俊彦(v[1, 2, 3, 4, 5, 6, 7, 8, 9]) || 小林俊彦(v[10, 11, 12])
aoki-hagane-no-arupejio	蒼き鋼のアルペジオ	2	arkperformance(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 28, 29, 
aozora-shotte	青空しょって	2	森秀樹(漫画家)(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
as-you-wish-sister	As you wish, siste	2	]hone(v[1, 2]) || hone(v[3])
asagiiro-no-saudaaji	あさぎ色のサウダージ	2	]サクタロー(v[1]) || サクタロー(v[3])
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	2	タノマユウム;タムラ純子;中(v[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
ashigaru	あしがる	2	ゴツボ×リュウジ(v[1]) || ゴツボリュウジ(v[2, 3])
ashita-kubi-ni-narisou	明日クビになりそう	2	サレンダー橋本(v[1, 2, 3, 4, 5, 6]) || サレンダー橋本1988-(v[7])
ashita-no-joe-shinrigaku-gairon	「あしたのジョー」心理学概論	2	superstringsサー(v[1]) || superstringsサ-(v[1])
at-tension	@テンション!	2	厦門潤(v[1, 2]) || アモイ潤(v[3])
