slug	title	title_kana	romaji(kana)
kimi-o-shinasenai-tame-no-storia	きみを死なせないための物語(ストーリア)	きみを死なせないための物語|キミオシナセナイタメノストーリア	kimionasenaitamenokimioshinasenaitamenosutoria
king-abyss	キングアビス	アダマ篇|キングアビス	adamakinguabisu
koibumi-to-13-sai-no-joyuu	恋文と13歳の女優	コイブミト13サイノアクトレス|恋文と13歳の女優(アクトレス)	koibumito13sainoakutoresuto13noakutoresu
koisuru-asteroid	恋する小惑星	コイスルアステロイド|恋する小惑星(アステロイド)	koisuruasuteroidosuruasuteroido
koisuru-wan-piisu	恋するワンピース	LOVEROMANCE-恋の幕開け-|コイスルワンピース	loveromancenokekoisuruwanpisu
kousha-no-sora-dewa-akuma-ga-waratte-iru	校舎の天(そら)では悪魔が嗤っている	L'angedemoniaquevitencieldel'ecole校舎の天では悪魔が嗤っている|コウシャノソラデワアクマガワラッテイル	langedemoniaquevitencieldelecolenodehagateirukoushanosoradewaakumagawarateiru
kumauchi-no-samurai	羆撃ちのサムライ	クマウチノサムライ|羆(クマ)撃ちのサムライ	kumauchinosamuraikumachinosamurai
kyou-kara-city-hunter-2021	今日から City hunter	キョウカラCityhunter|今日からシティハンター	kyoukaracityhunterkarashiteihanta
kyuupii-agatsuma-ryou-desperado	QP我妻涼デスペラード	キューピーアズマリョウデスペラード|ニューヨーク激情編	kyupiazumaryoudesuperadonyuyoku
like-the-beast	Like the beast	Likethebeast=ホントヤジュウ|ほんと野獣	likethebeasthontoyajuuhonto
love-live-sunshine-school-idol-diary	ラブライブ!サンシャイン!!School idol diary	ラブライブサンシャインスクールアイドルダイアリー|千歌・梨子・曜編	raburaibusanshainsukuruaidorudaiari
magajin-1888	少年マガジン大全集復刻版	少年マガジン大全集復刻版	magajin
magajin	少年マガジン大全集復刻版	少年マガジン大全集復刻版	magajin
maid-in-akatsuka-fujio	メイドイン赤塚不二夫	メイドインアカツカフジオ|六つ子	meidoinakatsukafujiotsu
majo-no-yasashii-parade	魔女 (リリス) のやさしい葬列 (パレード)	リリスノヤサシイパレード|魔女のやさしい葬列	ririsunoyasashiiparedonoyasashii
makinonansensu	佐々木マキのナンセンサス世界	佐々木マキノナンセンス世界	makinonansensu
mama-yuuyuu	魔々勇々	ママユウユウ|決意の朝に	mamayuuyuunoni
mamore-shugomaru	守れ!しゅごまる	さなぎを守れ!しゅごまる|マモレシュゴマル	sanagioreshugomarumamoreshugomaru
manga	マンガ三國志	マンガ三國志)	manga
mangaka-shinagara-tsuaa-nurse-shite-imasu	漫画家しながらツアーナースしています。	こどもの病気別役立ちセレクション|マンガカシナガラツアーナースシテイマス	kodomonochiserekushonmangakashinagaratsuanasushiteimasu
mangetsu-ni-koi-o-shite	満月に恋をして	フルムーンニコイオシテ|満月(フルムーン)に恋をして	furumunnikoioshitefurumunnioshite
marugoshi-deka-super-collection	まるごし刑事スーパーコレクション	まるごし刑事(デカ)スーパーコレクション|マルゴシデカスーパーコレクション	marugoshidekasupakorekushonmarugoshidekasupakorekushon
mata-no-okoshi-o-suzune-2018	来世(また)のお越しを!	マタノオコシオ|来世のお越しを!	matanookoshionooshio
meitantei-conan-zero-no-teiitaimu	名探偵コナンゼロの日常(ティータイム)	DetectiveCONANZERO'sTeaTime名探偵コナンゼロの日常|メイタンテイコナンゼロノティータイム	detectiveconanzerosteatimekonanzeronomeitanteikonanzeronoteitaimu
mina-sama-no-omocha-desu	皆様の玩具(オモチャ)です	ミナサマノオモチャデス|皆様の玩具です	minasamanoomochadesunodesu
mokutekichi-ni-touchaku-shimashita	目的地に到着しました。	サービスエリアニトウチャクシマシタ。|目的地(サービスエリア)に到着しました	sabisuerianitouchakushimashitasabisuerianishimashita
momiji-no-kisetsu	紅葉の棋節	モミジノキセツ|桜散り紅葉舞う	momijinokisetsuriu
ms-marvel	Ms.マーベル	もしかしてこれって…恋?|ミスマーベル	moshikashitekoretemisumaberu
mue48	Mue48時間	Mue48時間	mue48
musume-to-yakiniku	義娘と焼肉	ムスメトヤキニク|義娘(むすめ)と焼肉	musumetoyakinikumusumeto
neko-ga-4-hiki-iru-kurashi	猫が4匹いる暮らし	ネコガヨンヒキイルクラシ|今日も大騒ぎな猫たちに新入り猫がやってきた	nekogayonhikiirukurashimoginatachinirigayatekita
niikyonshikun	你好キョンシーくん	ニイ好キョンシークン	niikyonshikun
ninpu-to-kuiiji	にんぷとくいいじ	ニンプトクイイジ|妊婦と食い意地	ninputokuiijitoi
nodarutanyan	風のダルタニヤン	風ノダルタニャン	nodarutanyan
nogarebana-special	逃亡花 (のがればな) スペシャル	ノガレバナスペシャル|逃亡花スペシャル	nogarebanasupesharusupesharu
ooban-sangokushi	大判三国志	オオバンサンゴクシ|出師の表	oobansangokushino
owari-no-seraph-ichinose-guren-16-sai-no-catastrophe	終わりのセラフ一瀬グレン、16歳の破滅(カタストロフィ)	オワリノセラフイチノセグレンジュウロクサイノカタストロフィ|終わりのセラフ一瀬グレン、16歳の破滅	owarinoserafuichinosegurenjuurokusainokatasutorofuiwarinoserafuguren16no
purojiekutoxtachi-0044	海底3000メートルの大捜索	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-0204	富士山レーダー巨大台風から日本を守れ	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-0266	救命救急ER誕生	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-0983	日本初のハイウエー勝負は天王山	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-0990	魔の山大遭難決死の救出劇	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-1027	友の死を越えて	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8394	ツッパリ生徒と泣き虫先生	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8424	82億食の奇跡	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8431	夢のロータリーエンジン誕生	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8455	翼はよみがえった	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8462	炎上男たちは飛び込んだ	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8509	腕と度胸のトラック便	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8592	東京タワー恋人たちの戦い	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8684	制覇せよ世界最高峰レース	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8769	厳冬黒四ダムに挑む	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi-8875	男たち不屈のドラマ瀬戸大橋	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi	8ミリの悪魔vs特命班	プロジェクトX挑戦者タチ	purojiekutoxtachi
purojiekutoxtachi2	執念が生んだ新幹線	プロジェクトX挑戦者タチ〔第2版〕	purojiekutoxtachi2
r-0054222	クビライ	文明ノ道	no
r-1064454	亜里沙	亜里砂	
r-1086685	丹下左膳 ピストルをあたまにのせた人びと	手塚治虫漫画全集	
r-1782014	竹宮恵子作品集	竹宮恵子作品集	
r-1782038	竹宮恵子作品集	竹宮恵子作品集	
r-2027084	殺意の底	竹宮恵子SF短篇集	sf
r-3611193	蒼の男	譚詩	
r-3966128	Mindy land	魔法帝国	
r-4443774	前線と銃後	前線ト銃後	to
r-4952699	絶倫教授の実験体	絶倫教授ノ実験体	no
r-5910498	怪奇大作戦+学園名主	怪奇大作戦+学園名主	
