slug	title	edition	vol	isbn	rakuten_title	rakuten_core
baraaji	バラージ	standard	1	9784091998903	Barrage Rei Hiroe Artworks	barragereihiroeartwo
barairo-no-osake	薔薇色のお酒	bunkobon	1	9784087851021	小椋冬美ヤングユー名作集（2）	小椋冬美ヤングユ名作集
bararush	BARARUSH	standard	1	9784047351370	バララッシュ　1巻	バララッシュ1巻
bararush	BARARUSH	standard	2	9784047353350	バララッシュ　2巻	バララッシュ2巻
bararush	BARARUSH	standard	3	9784047356191	バララッシュ　3巻	バララッシュ3巻
barbara	ばるぼら	standard	2	9784061087460	手塚治虫漫画全集（146）	手塚治虫漫画全集
baroque-2017	バロック	standard	3	9784835454443	BAROQUE欠落のパラダイム新装版（下）	baroque欠落ノパラダイム
bartender	Bartender	deluxe	20	9784088598949	バーテンダー（20）	バテンダ
bartender	Bartender	bunkobon	1	9784086195119	バーテンダー（1（出会い編　1））	バテンダ)
bartender	Bartender	bunkobon	2	9784086195126	バーテンダー（2（出会い編　2））	バテンダ)
bartender	Bartender	bunkobon	3	9784086195133	バーテンダー（3（出会い編　3））	バテンダ)
bartender	Bartender	bunkobon	4	9784086195140	バーテンダー（4（出会い編　4））	バテンダ)
bartender	Bartender	standard	1	9784088934105	バーテンダー 〜イーデンホール〜	バテンダイデンホル
basukaviruke-no-inu	バスカヴィル家の犬	standard	1	9784092331051	まんがシャーロック・ホームズ全集（第5巻）	マンガシャロックホムズ全集
basutaado	バスタード	standard	1	9784087030013	BASTARD！！	bastard
batman-dark-victory	BATMAN Dark Victory	standard	1	9784863322721	バットマン：ダークビクトリー　Vol．1	バットマンダクビクトリvol.1
batman-dark-victory	BATMAN Dark Victory	standard	2	9784863322776	バットマン：ダークビクトリー　Vol．2	バットマンダクビクトリvol.2
batsuichi-30ans	バツイチ30ans	standard	1	9784812453209	バツイチトランタン（1）	バツイチトランタン
battle-machine	バトル・マシーン	standard	2	9784257900788	サンダーウォーズ	サンダウォズ
battle-machine	バトル・マシーン	standard	3	9784257900801	エキサイティングウォーズ	エキサイティングウォズ
battle-machine	バトル・マシーン	standard	6	9784257900863	ファイヤーウォーズ	ファイヤウォズ
battle-staff	BATTLE STAFF	standard	1	9784885705014	バトルスタッフ	バトルスタッフ
be-my-baby	ビーマイベイビー	bunkobon	1	9784087851014	小椋冬美ヤングユー名作集（1）	小椋冬美ヤングユ名作集
beast-of-blood	ビーストオブブラッド	standard	1	9784796413657	BEAST　OF　BLOOD	beastofblood
beast-of-blood	ビーストオブブラッド	standard	2	9784796414999	BEAST　OF　BLOOD（2）	beastofblood
beautiful-place	ビューティフルプレイス	standard	1	9784864688659	beautiful place（1）	beautifulplace
beautiful-place	ビューティフルプレイス	standard	2	9784864682473	beautiful place（2）	beautifulplace
beautiful-place	ビューティフルプレイス	standard	3	9784868050544	beautiful place（3）	beautifulplace
belles-ruelles	BELLES RUELLES	standard	1	9784408641065	ベル・リュエル 1er 銀ねこ通り	ベルリュエル1er銀ネコ通リ
belles-ruelles	BELLES RUELLES	standard	3	9784408641898	ベル・リュエル　3e　ふくろう通り	ベルリュエル3eフクロウ通リ
best-of-naka-tomoko	閑古鳥の巣	standard	1	9784575332391	Best　of名香智子（1）	bestof名香智子
best-of-naka-tomoko	閑古鳥の巣	standard	3	9784575332537	Best　of名香智子（3）	bestof名香智子
besuteia	ベスティア	standard	1	9784063351088	流月抄（1）	流月抄
besuteia	ベスティア	standard	2	9784063351149	流月抄（2）	流月抄
besuteia	ベスティア	standard	3	9784063351200	流月抄（3）	流月抄
biaku-no-hana-special	美悪の華special	standard	1	9784537153927	美悪の華スペシャル（逆襲編）	美悪ノ華スペシャル
bibou-no-series	美貌のディテイル	standard	1	9784048533256	タクミくんシリーズ June　Pride 〜6月の自尊心〜	タクミクンシリズjunepride6月ノ
bijo-to-yajuu-2007	美女と野獣	standard	1	9784821185252	まんがグリム童話（美女と野獣）	マンガグリム童話
bin	〔月賓〕	deluxe	1	9784088597126	ビン〜孫子異伝〜（1）	ビン孫子異伝
bin	〔月賓〕	deluxe	2	9784088597515	ビン〜孫子異伝〜（2）	ビン孫子異伝
bin	〔月賓〕	deluxe	3	9784088597775	ビン〜孫子異伝〜（3）	ビン孫子異伝
bin	〔月賓〕	deluxe	4	9784088597942	ビン〜孫子異伝〜（4）	ビン孫子異伝
bin	〔月賓〕	deluxe	5	9784088598239	ビン〜孫子異伝〜（5）	ビン孫子異伝
bin	〔月賓〕	deluxe	6	9784088598413	ビン〜孫子異伝〜（6）	ビン孫子異伝
bin	〔月賓〕	deluxe	7	9784088598567	ビン〜孫子異伝〜（7）	ビン孫子異伝
bin	〔月賓〕	deluxe	8	9784088598703	ビン〜孫子異伝〜（8）	ビン孫子異伝
bin	〔月賓〕	deluxe	9	9784088598918	ビン〜孫子異伝〜（9）	ビン孫子異伝
bin	〔月賓〕	deluxe	10	9784088587844	ビン〜孫子異伝〜（10）	ビン孫子異伝
bin	〔月賓〕	deluxe	11	9784088587899	ビン〜孫子異伝〜（11）	ビン孫子異伝
bin	〔月賓〕	deluxe	12	9784088587936	ビン〜孫子異伝〜（12）	ビン孫子異伝
bin	〔月賓〕	deluxe	13	9784088587981	ビン〜孫子異伝〜（13）	ビン孫子異伝
bin	〔月賓〕	deluxe	14	9784088588070	ビン〜孫子異伝〜（14）	ビン孫子異伝
bin	〔月賓〕	deluxe	15	9784088588087	ビン〜孫子異伝〜（15）	ビン孫子異伝
bin	〔月賓〕	deluxe	16	9784088588100	ビン〜孫子異伝〜（16）	ビン孫子異伝
bin	〔月賓〕	deluxe	17	9784088588124	ビン〜孫子異伝〜（17）	ビン孫子異伝
bin	〔月賓〕	deluxe	18	9784088588148	ビン〜孫子異伝〜（18）	ビン孫子異伝
