isbn	month	title	author	publisher	type	integrate_to	method	holes	verified	status
9784799777374	2026-4	息できないのは君のせい. 7	澄谷ゼニコ 著		型1_統合	sid100952:息できないのは君のせい(5巻)	完全題一致	-	-	ship
9784537173949	2026-4	生贄家族. 7	杉野アキユキ		型1_統合	sid159675:生贄家族(5巻)	完全題一致	-	-	ship
9784785981587	2026-4	医師を裁く医師 : E.D.D	橋本エイジ		型1_統合	sid20810:医師を裁く医師(3巻)	最長一致	-	-	ship
9784049211269	2026-4	異世界から帰還したら地球もかなりファンタジーでした。	高槻今城 漫画		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784823610271	2026-4	異世界来たのでスケベスキルで全力謳歌しようと思う. 	あきのそら 著		型1_統合	sid160075:異世界来たのでスケベスキルで全力謳歌(1巻)	完全題一致	書影[調べる:楽天/Amazon]	-	要fill(埋めれば出せる)
9784868120971	2026-4	異世界召喚されたので鍛え上げた肉体を駆使してスケベし	あきのそら 著		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784041123874	2026-4	異世界転移、地雷付き。. 3	いつきみずほ 原作		型1_統合	sid56536:異世界転移、地雷付き。(2巻)	完全題一致	-	-	ship
9784041170588	2026-4	異世界で配信活動をしたら大量のヤンデレ信者を生み出し	伊予嶺つく 漫画		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989290	2026-4	異世界ハーレムマッサージ : 神の指圧で悩めるモンス	サカヤギ		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784045000249	2026-4	いたいのいたいのそらをとべ. 1	黒崎冬子 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004653	2026-4	犬窪ノアとなかよしするまで. 4	塩井こぬ 著		型1_統合	sid159087:犬窪ノアとなかよしするまで(2巻)	完全題一致	-	-	ship
9784048116985	2026-4	犬に赤紙. 1	タイム涼介 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784046600622	2026-4	犬猫3匹、撫でても撫でても手が足りない	ふじもりはる 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784253012843	2026-4	いのちの器. 100	上原きみ子 著		型1_統合	sid49223:いのちの器(137巻)	完全題一致	-	-	ship
9784801989351	2026-4	要らない悪役令嬢、我が国で引き取りますわ : 優秀な	綾雅 原作		型1_統合	sid163283:要らない悪役令嬢、我が国で引き取りま(3巻)	最長一致	-	-	ship
9784868120995	2026-4	いろめくシャングリラ	日吉ハナ 著		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784041171202	2026-4	烏衣の華. 1	白川紺子 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784046856456	2026-4	受田と攻原	端 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784045000546	2026-4	ウスズミの果て : MISSION IN THE A	岩宗治生 著		型3_新規	新規ページ	題一致だが別社ガード	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784098545513	2026-4	うちのルカなら。 : 海外のすごい犬とわが家の愛犬ど	五箇野人 著		型1_統合	sid134025:うちのルカなら。(1巻)	最長一致	-	-	ship
9784065432488	2026-4	王妃様は離婚したい : 異世界から聖女様が来たので、	明夜明琉 原作		型1_統合	sid159350:王妃様は離婚したい(4巻)	最長一致	-	-	ship
9784301004776	2026-4	オーガクラフト. 1	岩見修三郎 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004660	2026-4	幼馴染をえらべない! 3	風呂川ツカサ 著		型3_新規	新規ページ	題一致だが別社ガード	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989306	2026-4	幼馴染たちに虐げられた俺、「聖女任命」スキルに目覚め	さとう 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784065430521	2026-4	落合博満のオレ流転生. 4	宮川サトシ 原作		型1_統合	sid128620:落合博満のオレ流転生(3巻)	完全題一致	-	-	ship
9784301004677	2026-4	オバイケ未来案内所. 3	高瀬飛鳥 著		型1_統合	sid129307:オバイケ未来案内所(2巻)	完全題一致	-	-	ship
9784785981563	2026-4	思い出食堂. No. 87 (ホイコーロー定食♪編)			型2/3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989511	2026-4	俺達は新婚さんかもしれない. 蓮根編 上	ちしゃの実 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989528	2026-4	俺達は新婚さんかもしれない. 蓮根編 下	ちしゃの実 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784088941837	2026-4	俺だけ不遇スキルの異世界召喚叛逆記 : 最弱スキル〈	すかいふぁーむ 原作		型1_統合	sid147977:俺だけ不遇スキルの異世界召喚叛逆記(6巻)	最長一致	-	-	ship
9784046600219	2026-4	女ひとり日本をゆっくり飲んでみたよ	新久千映 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784796418157	2026-4	飼いならせ純情	野田のんだ		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784098545360	2026-4	カグライ : 神楽と雷人. 4	レタス太郎 原作		型1_統合	sid139661:カグライ(3巻)	最長一致	-	-	ship
9784065430019	2026-4	カッコウの許嫁. 32	吉河美希 著		型1_統合	sid37443:カッコウの許嫁(27巻)	完全題一致	-	-	ship
9784065433287	2026-4	彼女、お借りします. 45	宮島礼吏 著		型1_統合	sid13766:彼女、お借りします(42巻)	完全題一致	-	-	ship
9784785981679	2026-4	株式会社神かくし. 11	片山陽介 著		型1_統合	sid157057:株式会社神かくし(7巻)	完全題一致	-	-	ship
9784065431344	2026-4	かみなり様の恋衣. 2	追本 著		型1_統合	sid134807:かみなり様の恋衣(1巻)	完全題一致	-	-	ship
9784040763408	2026-4	仮面の黒騎士。正体バレたのでもう学園でも無双する. 	楓原こうた 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004592	2026-4	華麗なるエロ漫画部. 1	よこえこうへい 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	hold_確証(成年→geo or drop)
9784420154994	2026-4	かろりのつやごとSeason2. 3	小田ゆうあ 著		型1_統合	sid122774:かろりのつやごとSeason2(1巻)	完全題一致	-	-	ship
9784301004363	2026-4	変わり者の底辺貴族、お人好しが高じてただ一人の宝石獣	白沢戌亥 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989399	2026-4	完全不可知の外道テイマー : ダンジョンの最強モンス	はらーむる 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784065431580	2026-4	ガクサン. 15	佐原実波 著		型1_統合	sid139853:ガクサン(13巻)	完全題一致	-	-	ship
9784403680526	2026-4	がっこうのふわもこ日誌. 3	松本花		型1_統合	sid65298:がっこうのふわもこ日誌(2巻)	完全題一致	-	-	ship
9784801989382	2026-4	キスからはじまる異世界ハーレム : 一夫多妻の世界に	勇人		型1_統合	sid122257:キスからはじまる異世界ハーレム(2巻)	最長一致	-	-	ship
9784253011907	2026-4	気絶勇者と暗殺姫. 15	のりしろちゃん 原作		型1_統合	sid157867:気絶勇者と暗殺姫(7巻)	完全題一致	-	-	ship
9784868051732	2026-4	機動絶記ガンダムSEQUEL. 6	井上敏樹 脚本		型1_統合	sid157465:機動絶記ガンダムSEQUEL(3巻)	完全題一致	-	-	ship
9784048118613	2026-4	君との恋はガード不能. 1	西園寺マヨイ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784861175039	2026-4	キミに火照る	花兄けい 著		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784796418119	2026-4	キミの撫で方躾け方. 7	かさいちあき		型1_統合	sid75519:キミの撫で方躾け方(5巻)	完全題一致	-	-	ship
9784785981662	2026-4	鬼門街KARMA. 12	永田晃一 著		型1_統合	sid119192:鬼門街KARMA(10巻)	完全題一致	-	-	ship
9784065429815	2026-4	Q.E.D.UNIV. : 証明終了. 3	加藤元浩 著		型1_統合	sid128903:Q.E.D.UNIV(2巻)	最長一致	-	-	ship
9784301004684	2026-4	休日のわるものさん. 8	森川侑 著		型1_統合	sid89646:休日のわるものさん(6巻)	完全題一致	-	-	ship
9784045000355	2026-4	恭花さんの恋の秘薬	麻井あらた 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784048119108	2026-4	今日からヒットマンRISING. 3	むとうひろし 著		型1_統合	sid121475:今日からヒットマンRISING(2巻)	完全題一致	-	-	ship
9784041170670	2026-4	今日もカフェななくさ日和	み～ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784253012829	2026-4	Killer Twinkle : アンチはステージに	田中こめ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784046600653	2026-4	ギャル技師ちゃんのやべぇ日常 : 放射線技師のかわい	からばく社 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784088940649	2026-4	九龍ジェネリックロマンス. 12	眉月じゅん 著		型1_統合	sid36341:九龍ジェネリックロマンス(10巻)	完全題一致	-	-	ship
9784098636549	2026-4	九条の大罪. 16	真鍋昌平 著		型1_統合	sid23971:九条の大罪(14巻)	完全題一致	-	-	ship
9784801989252	2026-4	クズ王子、やりなおす! : ざまぁされて死んだけど、	江本マシメサ 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784065432808	2026-4	クッキングパパ. トウフチリ	うえやまとち 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784065432761	2026-4	クッキングパパ. 177	うえやまとち 著		型1_統合	sid55085:クッキングパパ(549巻)	完全題一致	-	-	ship
9784301004745	2026-4	国木. 下	栗井茶		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004738	2026-4	国木. 上	栗井茶 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784041173848	2026-4	クラスの大嫌いな女子と結婚することになった。. 9	天乃聖樹 原作		型1_統合	sid140398:クラスの大嫌いな女子と結婚することに(5巻)	完全題一致	-	-	ship
