isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784344849662	2021.12	幻冬舎コミックス	バーズコミックスリミックス		ここから始める!異世界セレクション : ローソン限定版	ココカラハジメル!イセカイセレクション:ローソンゲンテイバン			
9784053054234	2021.12	学研プラス			心がスッと軽くなる英語フレーズwithスヌーピー = ENGLISH PHRASES TO COMFORT YOUR HEART,WITH SNOOPY	ココロガスットカルクナルエイゴフレーズウィズスヌーピー	Schulz, Charles Monroe, 1922-2/山田, 暢彦	チャールズ・M・シュルツ:原作/山田暢彦:訳	Schulz, Charles Monroe, 1922-2000|00455821|/山田, 暢彦|01155885|ヤマダ, ノブヒコ
9784821168408	2021.12	ぶんか社	ぶんか社ムック		コスパ最強レディコミ全員で懲らしめろ!女の恨み晴らします!	コスパサイキョウレディコミゼンインデコラシメロ!オンナノウラミハラシマス!			
9784867151228	2021.12	ネクストF		2022年度版	このBLがやばい! 2022年度版	コノボーイズラブガヤバイ	ジャイブ株式会社	ネクストF編集部:編	ジャイブ株式会社|00980816|ジャイブ カブシキ ガイシャ
9784299023896	2021.12	宝島社		2022	このマンガがすごい! 2022	コノマンガガスゴイ	宝島社	『このマンガがすごい!』編集部:編	宝島社|00292152|タカラジマシャ
9784802155281	2021.12	エックスワン	メディアパルムック	Vol.16	コミケplus. Vol.16	コミケプラス			
9784845863921	2021.12	リイド社	パーフェクト・メモワール	Vol. 18	コミック艶. Vol. 18	コミックエン			
9784821128914	2021.12	ぶんか社	Bunkasha comics	Vol. 32	ごはん日和. Vol. 32	ゴハンビヨリ			
9784472406010	2021.12	玉川大学出版部			サブカルチャーを消費する : 20世紀日本における漫画・アニメの歴史社会学	サブカルチャーオショウヒスル:ニジッセイキニホンニオケルマンガアニメノレキシシャ	貞包, 英之, 1973-	貞包英之:著	貞包, 英之, 1973-|001217992|サダカネ, ヒデユキ, 1973-
9784758036948	2022.1	一迅社	IDコミックス. Zero-sum comics	6	悪役令嬢ですが、幸せになってみせますわ! : アンソロジーコミック. 6	アクヤクレイジョウデスガ、シアワセニナッテミセマスワ!:アンソロジーコミック			
9784758023337	2022.1	一迅社	IDコミックス. DNAメディアコミックス	Vol. 7	アズールレーンコミックアンソロジーbreaking!! Vol. 7	アズールレーンコミックアンソロジーbreaking!!			
9784591172193	2022.1	ポプラ社		10	アニメコミックおしりたんてい. 10	アニメコミックオシリタンテイ			
9784022620576	2022.1	朝日新聞出版	朝日文庫 ; え14-1		いいことから始めよう : スヌーピーと仲間たちからの生きるヒント	イイコトカラハジメヨウ:スヌーピートナカマタチカラノイキルヒント	Twerski, Abraham J	エイブラハム・J・ツワルスキー:著/チャールズ・M・シュルツ コミック:/小関康之:訳	Twerski, Abraham J|00516680|
9789863196600	2022.7	蓋亞文化		5	異人茶跡 : 茶路綿延 5	イジンチャアト:チャロワタノベ	張李雅	張李雅作:	
9784758023467	2022.1	一迅社	IDコミックス. YH comics		いちゃらぶしかない百合アンソロジーコミックsugar	イチャラブシカナイユリアンソロジーコミックsugar			
9784065271537	2022.5	講談社		41	宇宙兄弟 41	ウチュウキョウダイ	小山, 宙哉	小山宙哉著:	
9784041125151	2022.8	KADOKAWA		8	衛宮さんちの今日のごはん 8	エミヤサンチノキョウノゴハン	TAa/Type‐Moon/只野, まこと	TAa漫画 ; TYPE-MOON原作 ; 只野まこと料理監修:	
9784065262641	2022.1	講談社		21	OTOMO THE COMPLETE WORKS. 21	オオトモザコンプリートワークス	大友, 克洋, 1954-	大友克洋:著	大友, 克洋, 1954-|00133891|オオトモ, カツヒロ, 1954-
9784065262634	2022.1	講談社		8	OTOMO THE COMPLETE WORKS. 8	オオトモザコンプリートワークス	大友, 克洋, 1954-	大友克洋:著	大友, 克洋, 1954-|00133891|オオトモ, カツヒロ, 1954-
9784821128938	2022.1	ぶんか社	Bunkasha comics		男は知らないディープな話 : マンガよもんがセレクション : ローソン限定版	オトコワシラナイディープナハナシ:マンガヨモンガセレクション:ローソンゲンテイバ			
9784396768690	2022.12	祥伝社		3	女の園の星 3	オンナノソノノホシ	和山, やま	和山やま著:	
9784396785352	2022.1	祥伝社		Vol. 56	On blue : boys love anthology for ultimate entertainment. Vol. 56	オンブルー:boysloveanthologyforultimateentert			
9784098511716	２０２２．６	小学館	ゲッサン少年サンデーコミックススペシャル	18	からかい上手の高木さん 18	カラカイジョウズノタカギサン	山本, 崇一朗	山本崇一朗:著	
9784867172711	[2022.1]	ジーウォーク	Moog comics = ムーグコミックス. 	4日目	鬼憚活動記録 : 鬼滅オールキャラ同人誌アンソロジー. 4日目	キタンカツドウキロク:キメツオールキャラドウジンシアンソロジー			
9784065290538	2022.10	講談社		20	きのう何食べた? 20	キノウナニタベタ?	よしなが, ふみ	よしながふみ著:	
9784088828978	2022.1	集英社	ジャンプコミックス. JUMP COMICS+		終末のハーレム公式ガイドブックworld&#39;s end report	シュウマツノハーレムコウシキガイドブックワールズエンドレポート	宵野, コタロー	LINK:原作/宵野コタロー:漫画	宵野, コタロー|001147381|ショウノ, コタロー
9784821168453	2022.1	ぶんか社	ぶんか社ムック. 本当にあった笑える話		心霊&amp;サイコ戦慄の恐怖体験	シンレイ&amp;サイコセンリツノキョウフタイケン			
