slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
shin-mobile-senki-gundam-wing-endless-waltz-haishatachi-no-eikou	新機動戦記ガンダムW Endless Waltz敗者たちの栄光	小笠原智史	14	041,047	2011-2018	0
shin-watashi-no-heya-no-neko-houdai	新・私の部屋の猫放題	TONO	2	864,886	2011-2016	0
shingeki-no-kyojin-before-za-fall	進撃の巨人 Before the fall	士貴智志	14	063,065	2013-2018	0
shingeki-no-kyojin	進撃の巨人	諫山創	34	063,065	2010-2021	0
shingetsu-tan-tsukihime	真月譚月姫	佐々木少年	10	048,840	2004-2010	0
shinigami-ni-totsugu-hi	死神に嫁ぐ日	椿カヲリ	14	048,049	2017-2025	0
shinja-zero-no-megami-sama-to-hajimeru-isekai-kouryaku	信者ゼロの女神サマと始める異世界攻略	早蕨たまお	10	824,865	2020-2026	0
shinkyoku-soukai-porifonika	神曲奏界ポリフォニカ	緋呂河とも	9	593,797	2007-2013	0
shinmai-shimai-no-futari-gohan	新米姉妹のふたりごはん	柊ゆたか	11	048,049	2015-2025	0
shinnyuushain-hamasaki-densuke	新入社員浜崎伝助	北見けんいち	5	091,098	2014-2021	0
shinobu-koi-hodo	忍ぶ恋ほど	れん野	5	861,867	2019-2025	0
shinohayu	シノハユ	五十嵐あぐり	19	301,757	2013-2026	0
shinozaki-kun-no-mente-jijou	篠崎くんのメンテ事情	駄犬ひろし	10	048,049	2018-2023	0
shinrei-tantei-yakumo	心霊探偵八雲	小田すずか	14	041,048	2009-2016	0
shinri-sousakan-kokoro	心理捜査官ココロ	北村有香	5	091,098	2016-2022	0
shinseiki-evangerion-ikari-shinji-ikusei-keikaku	新世紀エヴァンゲリオン 碇シンジ育成計画	高橋脩	18	041,047	2006-2016	0
shinseiki-evangerion	新世紀エヴァンゲリオン	貞本義行	14	041,047	1995-2014	0
shinsetsu-sakamotsu-chan	新説!さかもっちゃん	柳内大樹	2	087,785	2011-2019	0
