class	n	slugs	authors	nvols	isbn_overlap
DIFF_AUTHOR	4	himawari-2010,himawari-hirakawa-2018,himawari-ueno-2005,himawari	銀八 || 平川哲弘 || 市川ジュン || 愛本みずほ	4,10,3,11	no
DIFF_AUTHOR	4	hime-goto,himegoto-2010,himegoto-2013,himegoto	東雲龍 || 國津武士 || 佃煮のりお || 峰浪りょう	1,1,4,8	no
DIFF_AUTHOR	4	himitsu-no-hanazono-1984,himitsu-no-hanazono-1990,himitsu-no-hanazono-2003,himitsu-no-hanazono	文月今日子 || 藤田素子 || 杜野亜希 || めぐみ京香	3,2,2,2	no
DIFF_AUTHOR	4	himitsu-no-hanazono-1998,himitsu-no-hanazono-2017,himitsu-no-hanazono-fujii-1999,himitsu-no-hanazono-kotono-1999	和泉かねよし || 椎葉ナナ || 藤井みほな || まつざきあけみ	2,2,2,2	no
DIFF_AUTHOR	4	hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c,hipunoshisumaiku,hypnosis-mic-before-the-battle-dawn-of-divisions,hypnosis-mic-before-the-battle-the-dirty-dawg	蟹江鉄史 || 城キイコ || 鴉月ルイ || 百瀬祐一郎	2,2,3,3	yes
DIFF_AUTHOR	4	ise-monogatari-1993,ise-monogatari-2013,ise-monogatari-kihara-2011,ise-monogatari	細村誠 || 黒鉄ヒロシ || 木原敏江 || 柳川創造	1,1,1,1	no
DIFF_AUTHOR	4	kasuga-no-tsubone-1988-2,kasuga-no-tsubone-1988,kasuga-no-tsubone-watanabe-1989,kasuga-no-tsubone	横山まさみち || 久松文雄 || わたなべまさこ/手塚プロダクション || 池田理代子	2,4,4,6	no
DIFF_AUTHOR	4	kimikiss-sweet-lips,kimikisu-2007,kimikisu-2008,kimikisu	下口智裕/清水栄一 || 糸杉柾宏 || 佳月玲茅 || 東雲太郎	1,2,1,5	no
DIFF_AUTHOR	4	kou-u-to-ryuu-hou-2009,kou-u-to-ryuu-hou-sentaro-1987,kou-u-to-ryuu-hou,kouu-to-ryuuhou	李志清 || 久松文雄 || 横山光輝 || 石ノ森章太郎	2,3,33,2	no
DIFF_AUTHOR	4	last-waltz-1987,last-waltz-2002,last-waltz-katakura-2016,last-waltz	石井隆 || 島田虎之介 || 片倉アコ || 新田祐克	1,1,2,2	no
DIFF_AUTHOR	4	maajan-hourouki-2020,maajan-hourouki-2022,maajan-hourouki-classic,maajan-hourouki	清水洋三/やまち/東映株式会社 || 原恵一郎 || 井上孝重 || 嶺岸信明	2,7,3,10	no
DIFF_AUTHOR	4	makai-3-ki-disgaea-3,makai-senki-disgaea-2,makai-senki-disgaea-4,makai-senki-disgaea	佐々木心 || へかとん || 山本ケイジ || 神堂あらし	2,4,1,1	no
DIFF_AUTHOR	4	mamotte-agetai,mamotteagetai-1987,mamotteagetai-1998,mamotteagetai	高橋由佳利 || 松本美緒 || 山本直樹 || くじらいいく子	1,1,1,4	no
DIFF_AUTHOR	4	natural-2000,natural-2005,natural-2010,natural-aso-1989	秋本尚美 || くさか里樹 || 軽部潤子 || 麻生いずみ	2,1,2,13	no
DIFF_AUTHOR	4	pandora-1992,pandora-nemu-2010,pandora-yoshinaga-1995,pandora	麻刀城ひとみ || ねむようこ || 明智抄 || 里中満智子	2,1,2,5	no
DIFF_AUTHOR	4	partner-1990,partner-1993,partner-1999,partner-obana-2000	くさのあきひろ || 森園みるく || 麻乃真純 || 小花美穂	1,1,6,3	no
DIFF_AUTHOR	4	pocket-monsters-bw-good-partners,pocket-monsters-special-x-y,pocket-monsters-special,pocket-monsters	険持ちよ || 山本サトシ/しな || 真斗 || 穴久保幸作	1,6,64,14	no
DIFF_AUTHOR	4	rose-garden-1994,rose-garden-2000,rose-garden-hayami,rose-garden	文月今日子 || わかつきめぐみ || 速水翼 || 小椋冬美	1,1,1,2	no
DIFF_AUTHOR	4	seifuku-1992,seifuku-date,seifuku-duty,seifuku-max	寺館和子 || 黒咲練導 || 山崎童々 || 花小路ゆみ	1,3,3,1	no
DIFF_AUTHOR	4	shitsurakuen-1996,shitsurakuen-1997,shitsurakuen-kawashima-1988,shitsurakuen	ジェームスほたて/森下要/TARGO良明/つのだサブロー/清水大武/漣一人/六百年仙人/鱶山僚一/荒木瑛 || 牧美也子 || 諸星大二郎 || 尚村透	5,1,1,6	no
DIFF_AUTHOR	4	soukou-kihei-votoms-1995,soukou-kihei-votoms-at-stories,soukou-kihei-votoms-crimson-eyes,soukou-kihei-votoms	今掛勇 || 曽野由大/矢立肇/高橋良輔 || 杉村麦太 || のなかみのる	1,2,2,4	no
DIFF_AUTHOR	4	story-311,story,west-end-story,yokohama-story	ひうらさとる || 戸田誠二 || 森川久美 || 長浜幸子	1,1,1,2	no
DIFF_AUTHOR	4	takeda-shingen-1987,takeda-shingen-1988,takeda-shingen-2023,takeda-shingen	小池一夫/小島剛夕 || 田辺節雄 || 深谷陽/佐藤修弘/木村栄志 || さいとう・たかを/横山光輝/新田次郎	7,2,2,15	no
DIFF_AUTHOR	4	tekken-1996,tekken-2,tekken-hashimoto-1998,tekken	原恵一郎 || 式田典史 || 橋本正枝 || 鈴木けい一	1,2,1,2	no
DIFF_AUTHOR	4	tenshi-no-3p,tenshi-no-katte,tenshi-no-tattoo,tenshi-no-towaaru	水谷悠珠 || 水兵きき || さいとうちほ || 星合操	8,1,3,5	no
DIFF_AUTHOR	4	toshishita-no-otoko-no-ko,toshishita-no-otokonoko-1991,toshishita-no-otokonoko-2015,toshishita-no-otokonoko	小笠原朋子 || ぬまじりよしみ || ひろちひろ || とりよし	1,1,3,4	no
DIFF_AUTHOR	4	umineko-no-naku-koro-ni-chiru-episode-5,umineko-no-naku-koro-ni-chiru-episode-6,umineko-no-naku-koro-ni-chiru-episode-7,umineko-no-naku-koro-ni-chiru-episode-8	秋タカ || 桃山ひなせ || 水野英多 || 夏海ケイ	6,6,9,9	no
DIFF_AUTHOR	4	wakakusa-monogatari-2012,wakakusa-monogatari-kitajima-1989,wakakusa-monogatari-nev-2011,wakakusa-monogatari	高瀬直子 || 北島洋子 || nev || 高河ゆん	2,2,2,2	no
DIFF_AUTHOR	3	1549-jieitai-1549,sengoku-jieitai-2014,sengoku-jieitai	Ark performance || 森秀樹 || 田辺節雄	2,4,6	no
DIFF_AUTHOR	3	16bit-sensation,moegi-sensation-2009,moegi-sensation	若木民喜 || (unknown) || 戸川視友	2,2,5	no
DIFF_AUTHOR	3	1702-chuushingura,chuushingura-sentaro-2014,chuushingura	黒鉄ヒロシ || 土山しげる/しな || 小島剛夕	4,1,1	no
DIFF_AUTHOR	3	2-jou-no-valkyria-2,senjou-no-valkyria-2-our-only-days,senjou-no-valkyria	渡里 || 黒山メッキ || 鬼頭えん	2,2,4	no
DIFF_AUTHOR	3	2050-raishisu-2050,crisis,e-crisis	田中成治 || 高橋のぼる || 高田祐子	2,4,3	no
DIFF_AUTHOR	3	30-debut,debut-8914,debut	小純月子 || 倉持知子 || 長浜幸子	1,1,1	no
DIFF_AUTHOR	3	4ldk-company,heaven-company,zigzag-company	荻丸雅子 || なかじ有紀 || 河野やす子	2,1,3	no
DIFF_AUTHOR	3	77-rubaa-77,shiruba,silver	久松文雄 || 爆天童 || 藤田和子	1,2,9	no
DIFF_AUTHOR	3	ace-1985,ace-umino-1990,ace	佐々木潤子 || 佐藤文彦 || 高橋陽一	10,3,15	no
DIFF_AUTHOR	3	ai,i-boy,i-shiki-2008	仙道ますみ || あさぎり夕 || 士貴智志	11,8,2	no
DIFF_AUTHOR	3	akage-no-an-1983,akage-no-an-matsuzaki,akage-no-an	杉本啓子 || まつざきあけみ/恋塚稔 || 宮崎駿	4,4,6	no
DIFF_AUTHOR	3	akuerian-age-2004,akuerian-age,aquarian-age	あさぎ桜 || 八重咲馨 || 角井陽一	1,2,2	no
DIFF_AUTHOR	3	amaryllis-1991,amaryllis-fukushima-2014,amaryllis	竹田真理子 || 福島鉄平 || 岩館真理子	1,1,5	no
DIFF_AUTHOR	3	angel-blue-2000,angel-blue-hiura-1988,angel-blue	北村亜紀 || ひうらさとる || 秋本尚美	1,1,1	no
DIFF_AUTHOR	3	angelique-kihara-1978,angelique-sweet-memories,angelique	木原敏江 || 宗真仁子 || 由羅カイリ	8,1,11	no
DIFF_AUTHOR	3	armageddon,harumagedon-2003,harumagedon	山田ミネコ || 渡辺志保梨 || 守村大	1,2,5	no
DIFF_AUTHOR	3	atmosphere-1999,atmosphere,atomosufia	唯登詩樹 || 西島大介 || 野間美由紀	1,2,3	no
DIFF_AUTHOR	3	attack-no-1,attack-pta,attack	浦野千賀子 || 細川貂々 || 大島司	24,1,11	no
DIFF_AUTHOR	3	bai-bai-c-boy,baibai-strawberry-days,bye-bye-boy	愛田真夕美 || 川原由美子 || 真柴ひろみ	1,1,1	no
DIFF_AUTHOR	3	bakudan-1985-2,bakudan-1985,bakudan-2011	かわぐちかいじ || 本宮ひろ志 || 加瀬あつし	1,5,6	no
DIFF_AUTHOR	3	battle-asuriitesu-daiundoukai-ex,battle-athletes-daiundoukai-ad-4999,battle-athletes-daiundoukai	たかしたたかし || 赤津みづは || 中野友貴	1,3,4	no
DIFF_AUTHOR	3	bb-paradise,tengoku-2023,tengoku-abe-2002	あさぎり夕 || ゴトウユキコ || 安部慎一	2,1,1	no
DIFF_AUTHOR	3	big-1,big-x,bigguwan	藤子不二雄Ⓐ || 手塚治虫 || 藤子不二雄	2,8,2	no
DIFF_AUTHOR	3	binetsu-age,binetsu-mai-rabu,binetsu	榎本あつき || 村生ミオ || 雅亜公	2,18,1	no
DIFF_AUTHOR	3	black-jack-m,black-jack-missing-pieces,black-jack	垣野内成美/吉川うたた/秋乃茉莉/風間宏子/碧ゆかこ || 手塚治虫 || 吉富昭仁	2,1,42	no
DIFF_AUTHOR	3	bless-1992,bless-1993,bless	鎌田洋次 || 中尊寺ゆつこ || 石田万	1,1,8	no
DIFF_AUTHOR	3	border-66,border-watanabe-2013,border	藤堂裕 || 渡辺ペコ || たなか亜希夫	7,2,14	no
DIFF_AUTHOR	3	brand-peace,brand,no-brand	倉橋えりか || 富樫じゅん || 田渕由美子	2,3,1	no
DIFF_AUTHOR	3	bungou-stray-dogs-beast,bungou-stray-dogs-dead-apple,bungou-stray-dogs	星河シワス || 銃爺 || 春河35	4,4,28	no
DIFF_AUTHOR	3	butterfly-2017,butterfly,mm-butterfly	東元俊哉 || 相川有 || 石川けんじ	1,2,4	no
DIFF_AUTHOR	3	chance-1987,chance-1996,chance	まさき輝 || もりたじゅん || 里見桂	3,2,4	no
DIFF_AUTHOR	3	chicken-2001,chicken-iguchi-2024,chicken	村上真裕 || 歳脇将幸 || かどたひろし	1,22,4	no
DIFF_AUTHOR	3	christmas-carol,christmas-kyaroru-2012,christmas-kyaroru	Teamバンミカス/DickensCharles || 小林たつよし || 坂田靖子	2,1,1	no
DIFF_AUTHOR	3	christmas-monogatari,eidii-monogatari,j-monogatari	もとなおこ || 国友やすゆき || 楠みちはる	1,2,4	no
DIFF_AUTHOR	3	circle-game-1998-2,circle-game-1998,circle-game	こおはらしおみ || 聖千秋 || 村生ミオ	2,5,22	no
DIFF_AUTHOR	3	colorful-box,colorful-story,colorful-tokiwa-2021	なかじ有紀 || 吉田まゆみ || ときわ藍	3,1,3	no
DIFF_AUTHOR	3	comic-chuurippu-1988,comic-chuurippu,comic-tulip	眠田直 || いまざきいつき || おおや舞	6,6,5	yes
DIFF_AUTHOR	3	countdown-7-days,countdown,k-countdown	唐々煙 || 右京あやね || 黒榮ゆい	4,2,2	no
DIFF_AUTHOR	3	curtain-call-1993,curtain-call-1997,curtain-call	有沢遼 || 大橋薫 || 三原陽子	1,1,26	no
DIFF_AUTHOR	3	dai-toshokan-no-hitsujikai-lovely-raiburarianzu,daitoshokan-no-hitsujikai-library-4-you,daitoshokan-no-hitsujikai-za-little-rutora-rutora	Rico || 旭太郎 || 日下皓	2,2,2	no
DIFF_AUTHOR	3	daisuki-1993,daisuki-kikuchi-1992,daisuki	ともち || 河内実加 || 愛本みずほ	3,1,17	no
DIFF_AUTHOR	3	dauto,doubt-voltage-2019,doubt	桑田真澄 監修 || 此処田ヨー子 || 和泉かねよし	1,3,9	no
DIFF_AUTHOR	3	dd-hokuto-no-ken,hokuto-no-ken-2016,hokuto-no-ken	加治佐修/カジオ || 行徒妹 || 原哲夫	8,5,42	no
DIFF_AUTHOR	3	dear-monkey-saiyuuki,saiyuuki-1998,saiyuuki-2023	白井三二朗 || 藤原カムイ || Teamバンミカス	6,5,3	no
DIFF_AUTHOR	3	di-e-ce,r-16-r,r-3	山本佳奈 || 東直輝 || 箱田真紀	6,8,1	no
DIFF_AUTHOR	3	don-quixote-2002,don-quixote,shuryou-quixote	谷村ひとし || 今道英治/井元水明/高島茂/バラエティ・アートワークス || 行徒	1,2,2	no
DIFF_AUTHOR	3	eensy-weensy-monster,gogo-monster,monster-dj	津田雅美 || 松本大洋 || 山下友美	2,1,1	no
DIFF_AUTHOR	3	elite-2011,elite-yoshinaga-2025,elite	新條まゆ || 阿部秀司/岩橋健一郎/吉永啓之輔 || 桑田二郎/平井和正	5,6,6	no
DIFF_AUTHOR	3	face-2019,face-ito-1993,face	サカワキヒロ太 || 伊藤悶 || ゆきもりりょう	1,2,2	no
DIFF_AUTHOR	3	fantasia-1994,fantasia-2004,fantasia	喜多尚江 || 池田理代子 || 永野あかね	1,1,5	no
DIFF_AUTHOR	3	faust-1979,faust-2007,faust	手塚治虫 || 千之ナイフ || 里見桂	2,1,5	no
DIFF_AUTHOR	3	fire-emblem-1997-2,fire-emblem-seisen-no-keifu-fujimori-1997,fire-emblem-seisen-no-keifu	有坂須美 || 藤森ナッツ || うさ銀太郎	1,6,19	no
DIFF_AUTHOR	3	five-2007,five,sf-five	くさか里樹 || ふるかわしおり || 手塚治虫	5,15,1	no
DIFF_AUTHOR	3	fujiko-efu-fujio,fujiko-f-fujio,fujiko-fujio-ee	さいとうはるお || 藤子・F・不二雄 || 藤子不二雄Ⓐ	1,1,1	no
DIFF_AUTHOR	3	gakkou-e-ikou,gakkou-e-yukou-shinda-1998,gakkou-e-yukou	國居亨 || 新田真子 || 小原智佳	2,1,2	no
DIFF_AUTHOR	3	gakuen-k,minagoroshi-gakuen,wan-piisu-gakuen	鈴木次郎 || 神田森莉 || 搾精研究所	4,1,10	no
DIFF_AUTHOR	3	ghost-aya-2,ghost,mf-ghost	内山まもる || 四方津朱里 || しげの秀一	2,4,23	no
DIFF_AUTHOR	3	gontakure-1994,gontakure-1997,gontakure	木山道明 || 蔦二郎 || 中尾雄吉	3,2,6	no
DIFF_AUTHOR	3	h3-school,mission-school,school-1999	高田りえ || 大見武士 || OKAMA	5,4,1	no
DIFF_AUTHOR	3	hana-ni-arashi-1986,hana-ni-arashi-2011,hana-ni-arashi-2014	秋本尚美 || 小桜池なつみ || 竹内未来	1,1,1	no
DIFF_AUTHOR	3	happy-end-2002,happy-end-2003,happy-end	ジョージ朝倉 || あいかわ菜都 || 魚戸おさむ/大津秀一	1,3,9	no
DIFF_AUTHOR	3	haru-natsu-aki-fuyu,shun-ka-shuu-tou,shunka-shuutou-days	つだみきよ || 神坂智子 || 藤末さくら	1,2,5	no
DIFF_AUTHOR	3	hatsukoi-monogatari-2013,hatsukoi-monogatari-aoyagi-2007,hatsukoi-monogatari	桜田あおい || 青柳裕介 || 雅亜公	1,1,1	no
DIFF_AUTHOR	3	hitman-2013,hitman-go-go,hitman	ガース・エニス/ガース・ヱニス || (unknown) || 瀬尾公治	5,3,13	no
DIFF_AUTHOR	3	hiyaku-monogatari-bai-yooko,hiyaku-monogatari,hyaku-monogatari	毛羽毛現 || 手塚治虫 || 杉浦日向子	2,3,4	no
DIFF_AUTHOR	3	hotaru-2000,hotaru-2013,hotaru	三部敬 || 高田靖彦 || 村生ミオ	1,1,2	no
DIFF_AUTHOR	3	idol-master-2-the-world-is-all-one,idol-master,idolmaster-2-colorful-days	祐佑 || なぎり京 || しゅー	5,1,3	no
DIFF_AUTHOR	3	idolmaster-neue-green-for-dearly-stars,the-idolm-ster-dearly-stars-innocent-blue,the-idolm-ster-dearly-stars-splash-red	黒瀬浩介 || 零壱 || 坂野杏梨	3,3,3	no
DIFF_AUTHOR	3	ihoujin-2019,ihoujin-haranoriko,ihoujin-kodaka-2003	須賀原洋行 || 原のり子 || こだか和麻	1,1,1	no
DIFF_AUTHOR	3	innocent-1995,innocent-game,the-innocent	寺館和子 || 高橋美由紀 || 宮脇明子	4,2,2	no
DIFF_AUTHOR	3	itadakimasu-uekan-2015,itadakimasu-yoshihara-2004,itadakimasu	くりた陸 || 吉原由起 || 山田貴敏	3,6,17	no
DIFF_AUTHOR	3	itsumo-kokoro-ni-taiyou-o,itsumokokoronitaiyouwo-1993,itsumokokoronitaiyouwo	三浦実子 || 喜国雅彦 || やまだ浩一	3,2,3	no
DIFF_AUTHOR	3	joker-game-2015,joker-game-the-animation,joker-game	霜月かよ子 || 大島連盟 || 高村しづ	1,5,2	no
DIFF_AUTHOR	3	jooubachi-1998,jooubachi,jououbachi	英洋子 || 中村茉莉子 || 高田千種	1,3,6	no
DIFF_AUTHOR	3	junai,pure-1993,romance-1999	山田也 || 深見じゅん || 田中ユタカ	1,1,1	no
DIFF_AUTHOR	3	kachou-fuugetsu-1996,kachou-fuugetsu-2016,kachou-fuugetsu	神奈幸子 || 前川かずお || 志水ゆき	1,1,11	no
DIFF_AUTHOR	3	kagehime-kondo-1994,kagehime-umezu-2011,kagehime	近藤ようこ || 楳図かずお || 近藤るるる	1,1,4	no
DIFF_AUTHOR	3	karasu-1988,karasu-1994,karasu-2002	克・亜樹 || 木村直巳 || 内山まもる	3,1,2	no
DIFF_AUTHOR	3	kawaii-hito-2000,kawaii-hito-yamakami,kawaii-hito	田中美菜子 || やまかみ梨由 || 斎藤けん	1,1,7	no
DIFF_AUTHOR	3	kemonomichi-2013,kemonomichi-kagemaru-1980,kemonomichi	山浦サク || 影丸穣也 || まったくモー助	4,19,13	no
DIFF_AUTHOR	3	kimi-dake-ni-ai-o,kimi-dakeni-ai-o,kimidake-ni-ai-o	三浦浩子 || 金井たつお || 渡辺あゆ	2,2,1	no
DIFF_AUTHOR	3	kineko-collection,m-collection,ultramixkorekushon	阿部川キネコ || 日野日出志 || 水都あくあ	1,2,2	no
DIFF_AUTHOR	3	kinpeibai-1988,kinpeibai-watanabe-1995,kinpeibai	山上たつひこ || わたなべまさこ || 竹崎真実	1,15,38	no
DIFF_AUTHOR	3	kizuna-mocchii-2012,kizuna-momochi-2004,kizuna-yuki-2007	山田デイジー/瀬田ハルヒ/茶匡/白沢まりも/三浦瑞希/伊藤みんご || ももち麗子 || 結城稜	1,3,2	no
DIFF_AUTHOR	3	kodomo-no-joukei-2003,kodomo-no-joukei-2013,kodomo-no-joukei	さそうあきら || 諸星大二郎 || 黄毛あつき	2,1,2	no
DIFF_AUTHOR	3	koisuru-4-bun-no-1,koisuru-moon-dog,koisuru-tattoo	田島みみ || 山田南平 || 陣名まい	10,13,1	no
DIFF_AUTHOR	3	kojiki-1990,kojiki-1994,kojiki	つぼいこう || 石ノ森章太郎 || 里中満智子	1,2,3	no
DIFF_AUTHOR	3	kojin-jugyou-rumoijun,kojin-jugyou-yamada-2005,kojin-jugyou	留萌純 || 山田こもも || 遊人	1,1,1	no
DIFF_AUTHOR	3	kokuhaku-1986,kokuhaku-akiyama-2001,kokuhaku	竹宮惠子 || ジョージ秋山 || かわぐちかいじ	2,1,3	no
DIFF_AUTHOR	3	konbini-dmz,konbini-s,konbini	竿尾悟 || 芦原妃名子 || 紺野けい子	5,1,1	no
DIFF_AUTHOR	3	konjaku-monogatari-ozaki-1985,konjaku-monogatari-yanagawa-1990,konjaku-monogatari	桜多吾作 || 柳川創造 || 水木しげる	2,2,3	no
DIFF_AUTHOR	3	kouya-hijiri,kouyahijiri-1997,kouyahijiri	田辺節雄 || わたなべまさこ || 杲栄順	2,1,2	yes
DIFF_AUTHOR	3	lady-a,lady-q,lady	小林博美 || 三浦みつる || 英洋子	1,6,18	no
DIFF_AUTHOR	3	last-order-2000,last-order-kazunari-2021,last-order	高田裕三 || ひいろ莎々 || 前川つかさ	2,3,3	no
DIFF_AUTHOR	3	life-1991,life,ng-life	イワモトケンチ || すえのぶけいこ || 草凪みずほ	1,20,9	no
DIFF_AUTHOR	3	line-kotegawa-2003,line,rain-hashiba-2003	小手川ゆあ || 西村しのぶ || やまさき拓味	1,4,1	no
DIFF_AUTHOR	3	lion-heart-1993,lion-heart-shigematsu-2020,lion-heart	内田一奈 || しげまつ貴子 || ゆでたまご	1,1,5	no
DIFF_AUTHOR	3	loco-motion,locomotion,roko-mooshon	藤井理乃 || 吉田まゆみ || 小山田いく	2,5,3	no
DIFF_AUTHOR	3	love-junkie-tohjoh-2001,love-junkie,love-junkies	東城麻美 || 知原朱美 || 葉月京	1,2,26	no
DIFF_AUTHOR	3	love-live-school-idol-diary-special-edition,love-live,raburaibu-school-idol-diary	たかみ裕紀 || 姫なっつん || 公野櫻子	3,5,4	no
DIFF_AUTHOR	3	love-love-senya-ichiya-monogatari,senya-ichiya-monogatari-2004,senya-ichiya-monogatari	わたなべまさこ || モンキー・パンチ || 伊藤結花理	2,1,2	no
DIFF_AUTHOR	3	lovely-2007,lovely,max-lovely	くさか里樹 || 桜沢エリカ || 倉橋えりか	2,4,5	no
DIFF_AUTHOR	3	mach-go-go-go,mach-gogogo,mach-sos	谷上俊夫 || 吉田竜夫 || 桜多吾作	2,2,6	no
DIFF_AUTHOR	3	macross-7-trash-2009,macross-e,macross-f	美樹本晴彦 || 一文字蛍 || 青木ハヤト	6,2,5	no
DIFF_AUTHOR	3	magician-matsukawa-1995,majutsushi-ei,majutsushi	松川祐里子 || 意志強ナツ子 || 西岸良平	7,1,2	no
DIFF_AUTHOR	3	mahou-shoujo-201,mahou-shoujo-live,ri-mahou-shoujo	むちゃ || 岩虎みゃこ || 荒木そらいろ	5,2,3	no
DIFF_AUTHOR	3	mama-no-koibito-kanesada-2007,mama-no-koibito,mama-no-special	かねさだ雪緒 || 入江紀子 || 陸奥A子	1,6,1	no
DIFF_AUTHOR	3	manga-heike-monogatari-1995,manga-heike-monogatari-2012,manga-heike-monogatari	小山田つとむ || 横山光輝 || 阿部高明	2,2,1	no
DIFF_AUTHOR	3	milky-way-1983,milky-way-shimizu-1986,milky-way	はしもとてつじ || 清水玲子 || 太刀掛秀子	1,2,2	no
DIFF_AUTHOR	3	mira-kuru-1,miracle-2000,miracle	佐々木多利尓/藤子不二雄 || 米沢りか || 沼よしのぶ	1,2,3	no
DIFF_AUTHOR	3	mission-2,mission-3,mission	中垣慶 || 花津美子 || 入江喜和	5,3,4	no
DIFF_AUTHOR	3	mitsu-no-aji-2012,mitsu-no-aji-watanabe-1982,mitsu-no-aji	元町夏央 || わたなべまさこ || 美里繚子	1,1,6	no
DIFF_AUTHOR	3	mononoke-dk,mononoke-muronaga-2019,mononoke-present	菊地かまろ || 室長サオリ || みやさかたかし	1,2,2	no
DIFF_AUTHOR	3	napoleon,naporeon-2008,naporeon	井上恵美子 || 小林たつよし || 長谷川哲也	1,1,27	no
DIFF_AUTHOR	3	nibelung-no-yubiwa-1989,nibelung-no-yubiwa-2003,nibelung-no-yubiwa	あずみ椋 || 里中満智子 || 松本零士	5,2,8	no
DIFF_AUTHOR	3	no-side-1989,no-side,noosaido	里見桂 || 池田文春 || ちば拓	4,7,2	no
DIFF_AUTHOR	3	okan-2011,okan-moriyama-2007,okan	柏木きなこ || もりやまつる || 凪原ナツ	1,1,2	no
DIFF_AUTHOR	3	onihime-1972,onihime-2011,onihime-vs	楳図かずお || 矢口岳 || 李秀顯	1,1,4	no
DIFF_AUTHOR	3	onna-tomodachi-ichijo-1991,onna-tomodachi-reiko,onna-tomodachi	一条ゆかり || 長浜幸子 || 柴門ふみ	5,2,11	no
DIFF_AUTHOR	3	oooku-2006,oooku-2012,oooku	横山まさみち || 本田恵子/フジテレビジョン || よしながふみ	2,1,19	no
DIFF_AUTHOR	3	operation-g-g,operation-w,operation	さいとう・たかを/さいとうプロダクション || みずき健 || 金井たつお	3,2,3	no
DIFF_AUTHOR	3	p-s-restart,restart-hidaka-2006,restart	ふじま美耶 || 日高ショーコ || 百乃モト	2,1,3	no
DIFF_AUTHOR	3	poor-poor-lips,puapua-2005,puapua	後藤羽矢子 || みなみ遥/南国ばなな/わたなべあじあ || コンノトヒロ	4,1,5	no
DIFF_AUTHOR	3	present-1983,present-ikuemi-2003,present	千之ナイフ || いくえみ綾 || 犬木加奈子	1,1,3	no
DIFF_AUTHOR	3	re-modeling,re-modelling-r,remodeling	大野将磨 || 平岡滉史 || ふくたいさお	4,2,2	no
DIFF_AUTHOR	3	rental-105,rental-boy,rental	山本棗 || 法田恵 || 山口ヨシノブ	2,2,1	no
DIFF_AUTHOR	3	reverse-mishima-2005,reverse,ri-basu	杜野亜希 || 李秀顯 || 矢野健太郎	1,10,1	no
DIFF_AUTHOR	3	saboten-1995,saboten-1999,saboten-ol	惣領冬実 || ぬまじりよしみ || 堀田かつひこ	1,1,1	no
DIFF_AUTHOR	3	samurai-spirits-1994,samurai-spirits-2014,samurai-spirits	しろー大野 || 内藤泰弘 || 島本和彦	1,1,2	no
DIFF_AUTHOR	3	sapphire-1992,sapphire-1994,sapphire	田中夕子 || 柴山薫 || 花森ぴんく	2,1,4	no
DIFF_AUTHOR	3	scramble-egg-ichijo-1998,scramble-egg,sukuranburueggu	一条ゆかり || 臼井儀人 || 柳沢きみお	2,2,12	no
DIFF_AUTHOR	3	sennen-oukoku-2001,sennen-oukoku,sennenoukoku	辛酸なめ子 || 有栖川るい || 水木しげる	1,3,3	no
DIFF_AUTHOR	3	shinigami-doggy,shinigami-yamashita-2025,shinigami	山本佳奈 || 森脇真末味 || 横山光輝	3,1,1	no
DIFF_AUTHOR	3	shinsengumi-1996,shinsengumi-tezuka-1967,shinsengumi	黒鉄ヒロシ || 手塚治虫 || 金井たつお	2,2,8	no
DIFF_AUTHOR	3	shocking-boy,shocking-momoko,shocking-pink-sky	雨宮淳 || 小谷憲一 || 秋里和国	5,1,14	no
DIFF_AUTHOR	3	shokatsu-koumei-1993,shokatsu-koumei-1996,shokatsu-koumei	小室孝太郎 || 石ノ森章太郎 || 久松文雄	1,1,5	no
DIFF_AUTHOR	3	shounen-ee-aaru,shounen-no-1,shounen-y	東山和子 || 関谷ひさし || とうじたつや	1,6,8	no
DIFF_AUTHOR	3	sonshi-1986,sonshi-1993,sonshi	赤塚不二夫 || 村野守美 || ももなり高	1,2,2	no
DIFF_AUTHOR	3	sora-yori-takaku,ten-yori-takaku,tenyoritakaku	宮下あきら || 浅美裕子 || 現津みかみ	26,2,1	no
DIFF_AUTHOR	3	star-ocean-second-story,star-ocean-sekando-story,star-ocean-the-second-story	天麻灯 || 魔神ぐり子 || 東まゆみ	3,4,7	yes
DIFF_AUTHOR	3	step-1993,step-up,step	柊あおい || 相模ひな || 一の瀬正	1,1,2	no
DIFF_AUTHOR	3	street-fighter-ii-ryu,street-fighter-zero,street-fighter	神崎将臣 || 中平正彦 || 竜崎遼児	3,2,1	no
DIFF_AUTHOR	3	suki-ni-narazu-ni-irarenai-1991,suki-ni-narazu-ni-irarenai-2016,suki-ni-narazu-ni-irarenai	西尚美 || 木村恭子 || 山口真実	2,2,2	no
DIFF_AUTHOR	3	tantei-opera-milky-holmes-2,tantei-opera-milky-holmes-on-stage,tantei-opera-milky-holmes	刻田門大 || 奈月ここ/クロノギアクリエイティヴ || 水島空彦	2,2,2	no
DIFF_AUTHOR	3	tempest-1993,tempest-knife-2005,tempest	庄司陽子 || 千之ナイフ || 阿仁谷ユイジ	3,1,9	no
