slug	title	title_kana	期待romaji	一致度	flag
danjonzu-ando-dragons-dark-elf-monogatari	DUNGEONS & DRAGONSダー	ダンジョンズアンドドラゴンズダー	danjonzuandodora	0.94	title≠kana(別作の読み)
angou-gakuen-no-iroha	暗号学園のいろは	アンゴウガクエンノイロハ|第四次	angougakuennoiro	1.0	title≠kana(別作の読み)
basara-2592	「少年忍者バサラくん」芙蓉姫退屈記	少年忍者バサラ君芙蓉姫退屈記	basara	1.0	title≠kana(別作の読み)
basara-3001	戦国群笑伝少年忍者バサラくん	少年忍者バサラ君戦国群笑伝	basara	1.0	title≠kana(別作の読み)
black-clover-esudii-asuta-kun-mahoutei-e-no-michi	ブラッククローバーSDアスタくん魔法帝へ	アスタくん登場!|ブラッククロー	asutakunburakuku	1.0	title≠kana(別作の読み)
boku-no-hero-academia-chiimuappu-mission	僕のヒーローアカデミアチームアップミッシ	ボクノヒーローアカデミアチームア	bokunohiroakadem	1.0	title≠kana(別作の読み)
bokura-no-ketsumei	ぼくらの血盟	ボクラノケツメイ|血盟の兄弟	bokuranoketsumei	1.0	title≠kana(別作の読み)
buraitono	ブライトの憂鬱	ブライトノ憂欝	buraitono	1.0	title≠kana(別作の読み)
buru	死刑執行人ブル	列刑執行人・ブルー	buru	1.0	title≠kana(別作の読み)
chikyuu-no-ko	地球の子	チキュウノコ|君は地球、僕は月	chikyuunokohaha	1.0	title≠kana(別作の読み)
dai-tokyo-oniyome-den	大東京鬼嫁伝	ダイトウキョウオニヨメデン|鬼嫁	daitoukyouoniyom	1.0	title≠kana(別作の読み)
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	ドタバタヘナチョコタンテイダン|	dotabatahenachok	1.0	title≠kana(別作の読み)
esudii-komando-senki	SDコマンド戦記	エスディーコマンドセンキ|ガンダ	esudeikomandosen	1.0	title≠kana(別作の読み)
garu	天馬の空	鬼ガ疾ル	garu	1.0	title≠kana(別作の読み)
hitokowa	人怖	ヒトコワ|日常に隠された原初の恐	hitokowanisareta	1.0	title≠kana(別作の読み)
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	ヒトズマノクチビルワカンチューハ	hitozumanokuchib	1.0	title≠kana(別作の読み)
ichinoseke-no-taizai	一ノ瀬家の大罪	イチノセケノタイザイ|一ノ瀬家の	ichinosekenotaiz	1.0	title≠kana(別作の読み)
iyorimosetsunakute	思い出よりもせつなくて	想イ出ヨリモセツナクテ	iyorimosetsunaku	1.0	title≠kana(別作の読み)
jun-waidan	純猥談	ジュンワイダン|一度寝ただけの女	junwaidantadaken	1.0	title≠kana(別作の読み)
kaiki-kuukan-zozozozoon	怪奇空間ゾゾゾゾーン	カイキクウカンゾゾゾゾーン|表と	kaikikuukanzozoz	1.0	title≠kana(別作の読み)
kimetsu-gakuen	キメツ学園!	キメツガクエン|キメツ学園は遅刻	kimetsugakuenkim	1.0	title≠kana(別作の読み)
koisuru-wan-piisu	恋するワンピース	LOVEROMANCE-恋の幕開	loveromancenokek	1.0	title≠kana(別作の読み)
maid-in-akatsuka-fujio	メイドイン赤塚不二夫	メイドインアカツカフジオ|六つ子	meidoinakatsukaf	1.0	title≠kana(別作の読み)
mama-yuuyuu	魔々勇々	ママユウユウ|決意の朝に	mamayuuyuunoni	1.0	title≠kana(別作の読み)
mangaka-shinagara-tsuaa-nurse-shite-imasu	漫画家しながらツアーナースしています。	こどもの病気別役立ちセレクション	kodomonochiserek	1.0	title≠kana(別作の読み)
momiji-no-kisetsu	紅葉の棋節	モミジノキセツ|桜散り紅葉舞う	momijinokisetsur	1.0	title≠kana(別作の読み)
niikyonshikun	你好キョンシーくん	ニイ好キョンシークン	niikyonshikun	1.0	title≠kana(別作の読み)
ooban-sangokushi	大判三国志	オオバンサンゴクシ|出師の表	oobansangokushin	1.0	title≠kana(別作の読み)
purojiekutoxtachi-0044	海底3000メートルの大捜索	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-0204	富士山レーダー巨大台風から日本を守れ	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-0266	救命救急ER誕生	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-0983	日本初のハイウエー勝負は天王山	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-0990	魔の山大遭難決死の救出劇	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-1027	友の死を越えて	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8394	ツッパリ生徒と泣き虫先生	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8424	82億食の奇跡	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8431	夢のロータリーエンジン誕生	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8455	翼はよみがえった	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8462	炎上男たちは飛び込んだ	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8509	腕と度胸のトラック便	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8592	東京タワー恋人たちの戦い	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8684	制覇せよ世界最高峰レース	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8769	厳冬黒四ダムに挑む	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi-8875	男たち不屈のドラマ瀬戸大橋	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi	8ミリの悪魔vs特命班	プロジェクトX挑戦者タチ	purojiekutoxtach	1.0	title≠kana(別作の読み)
purojiekutoxtachi2	執念が生んだ新幹線	プロジェクトX挑戦者タチ〔第2版	purojiekutoxtach	1.0	title≠kana(別作の読み)
ribonmanga-5227	7枚のポートレート	リボン新人マンガ傑作集	ribonmanga	1.0	title≠kana(別作の読み)
ribonmanga	虹を渡る7人	リボン新人マンガ傑作集	ribonmanga	1.0	title≠kana(別作の読み)
ruirui-senki	累々戦記	ルイルイセンキ|累成る影	ruiruisenkiru	1.0	title≠kana(別作の読み)
sajino	北の封印	小サジ一杯主婦ノ素	sajino	1.0	title≠kana(別作の読み)
sasayananae-3186	真貴子	ササヤナナエ作品集	sasayananae	1.0	title≠kana(別作の読み)
sayonara	さよなら!!岸壁先生	サヨナラ岩壁先生	sayonara	1.0	title≠kana(別作の読み)
sekkyaku-musou	接客無双	その男、ナスノスケ|セッキャクム	sononasunosukese	1.0	title≠kana(別作の読み)
sutoritofuaita2v	ストリートファイターII V列伝	ストリートファイター2V烈伝	sutoritofuaita2v	1.0	title≠kana(別作の読み)
tesouka-michiru	手相家MICHIRU	テソウカミチル|旅立ち編	tesoukamichiruch	1.0	title≠kana(別作の読み)
tokkyuu-tansakushi-e-no-kakusei	特級探索師への覚醒	トッキュウタンサクシエノカクセイ	tokyuutansakushi	1.0	title≠kana(別作の読み)
yama-to-hawai	山とハワイ	ヤマトハワイ|登れ!世界最大の山	yamatohawairenoh	1.0	title≠kana(別作の読み)
yorozuya	よろず屋稼業只今盛業中	ヨロズヤ稼業只今盛業中	yorozuya	1.0	title≠kana(別作の読み)
yuugiou-goorasshu	遊☆戯☆王ゴーラッシュ!!	ユウギオウゴーラッシュ|未知との	yuugiougorashuto	1.0	title≠kana(別作の読み)
yuusha-no-kuzu	勇者のクズ	ユウシャノクズ|レッスン1:厄介	yuushanokuzuresu	1.0	title≠kana(別作の読み)
