title	kana_slug	v2_slug	new_slug	type	changed	flag
電撃6ハロン!!	dengeki-6-haron	dengeki-6-haron	dengeki-6-haron	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
5年ぶりに繋がる元カレ医師から伝わる熱い熱	gonenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	gonenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	音読み→数字(先頭分割)	CHANGED	
魔法使いの嫁詩篇. 75稲妻ジャックと妖精事件	mahotsukai-no-yome-shihen-75-inazuma-jakku-to-yosei-jiken	mahotsukai-no-yome-shihen-75-inazuma-jakku-to-yosei-jiken	mahotsukai-no-yome-shihen-75-inazuma-jakku-to-yosei-jiken	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
しあわせしんきろう3	shiawase-shinkiro-san	shiawase-shinkiro-san	shiawase-shinkiro-3	音読み→数字	CHANGED	
となりの801ちゃん+	tonari-no-yaoi-chan-purasu	tonari-no-yaoi-chan-purasu	tonari-no-yaoi-chan-purasu	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
鉄人28号	tetsujin-nijuhachi-go	tetsujin-nijuhachi-go	tetsujin-28-go	音読み→数字	CHANGED	
コミックアンジェリークspecial 2カーニバル	komikku-anjieriiku-special-2-kaanibaru	komikku-anjieriiku-special-2-kaanibaru	komikku-anjieriiku-special-2-kaanibaru	latin-mixed		latin混じり(別処理)
夢中でつながる午前4時	muchu-de-tsunagaru-gozen-yoji	muchu-de-tsunagaru-gozen-yoji	muchu-de-tsunagaru-gozen-yoji	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
四姉妹+1物語	yonshimai-purasuwan-monogatari	yonshimai-purasuwan-monogatari	yonshimai-purasuwan-monogatari	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
電撃・えふえふいれぶん・4コマ・マンガ	dengeki-efuefu-irebun-4koma-manga	dengeki-efuefu-irebun-4koma-manga	dengeki-efuefu-irebun-4koma-manga	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
異世界紀元前202年	isekai-kigenzen-nihyakuninen	isekai-kigenzen-nihyakuninen	isekai-kigenzen-202-nen	音読み→数字(先頭分割)	CHANGED	
99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?	kyujukyu-kai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desu-tte	kyujukyu-kai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desu-tte	99-kai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desu-tte	音読み→数字	CHANGED	
-50kgのシンデレラ	mainasu-gojikkiroguramu-no-shinderera	mainasu-gojikkiroguramu-no-shinderera	mainasu-gojikkiroguramu-no-shinderera	latin-mixed		latin混じり(別処理)
10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた	junen-goshi-no-hiki-niito-wo-yamete-gaishutsu-shitara-jitaku-goto-isekai-ni-teni-shiteta	junen-goshi-no-hiki-niito-wo-yamete-gaishutsu-shitara-jitaku-goto-isekai-ni-teni-shiteta	10-nen-goshi-no-hiki-niito-wo-yamete-gaishutsu-shitara-jitaku-goto-isekai-ni-teni-shiteta	音読み→数字(先頭分割)	CHANGED	
