slug	title	title_kana	romaji(kana)	slug一致度	flag
0-1988	0人間・八百八だぬき	ゼロニンゲンハッピャクヤダヌキ	zeroningenhapyakuyadanuki	0.0	
0-love	0-LOVE	ラブツーラブ	rabutsurabu	0.0	
01-2001	01	ゼロワン	zerowan	0.0	
0482	0482	ゼロヨンハチニ	zeroyonhachini	0.0	
1-yamamoto-1993	1	イチ	ichi	0.0	
10-2000	10	テン	ten	0.0	
10-2016	10	テン	ten	0.0	
100	100	ヒャク	hyaku	0.0	
165185	165185	イチロクゴイチハチゴ	ichirokugoichihachigo	0.0	
17-21	17-21	ジュウナナニジュウイチ	juunananijuuichi	0.0	
1999	1999	センキュウヒャクキュウジュウキュウ	senkyuuhyakukyuujuukyuu	0.0	
22-26	22-26	ニジュウニニジュウロク	nijuuninijuuroku	0.0	
22xx	22XX	ニセンニヒャクエックスエックス	nisennihyakuekusuekusu	0.0	
300	スリーハンドレッド	スリーハンドレッド	surihandoredo	0.0	
3355	3355	サンサンゴゴ	sansangogo	0.0	
5080	5080	ゴーマルハチマル	gomaruhachimaru	0.0	
777	777	スリーセブン	surisebun	0.0	
7th	セブンス	セブンス	sebunsu	0.0	
8-2001	8	エイト	eito	0.0	
8-2011	8	ハチ	hachi	0.0	
8-2012	8♀1♂	ハチイチ	hachiichi	0.0	
8-2023	8!～エイト～	エイト	eito	0.0	
888	888	スリーエイト	surieito	0.0	
9-2015	9	キュウ	kyuu	0.0	
900	900。	ナインハンドレッド	nainhandoredo	0.0	
99-2014	99.99%	フォーナイン	fuonain	0.0	
aaa	AAA	トリプルエー	toripurue	0.0	
cgh	CGH!	コイケダ,マヤ	koikedamaya	0.0	
cool	COOL	クール	kuru	0.0	
curve	カーヴ	カーヴ	ka	0.0	
ddt	DDT	マルオ,スエヒロ,1956-	maruosuehiro1956	0.0	
easy-1993	Easy	イージィ	ijii	0.0	
easy	Easy!	イージー	iji	0.0	
eve-2001	EVE	イブ	ibu	0.0	
eve	Eve	イヴ	i	0.0	
g-2003	G	コイケ,ケイイチ	koikekeiichi	0.0	
g-2012	G	ジー	ji	0.0	
l-l-l	L△L△L	エル△エル△エル	eruerueru	0.0	
love-love-love	ラブ!ラブ!ラブ!	ラブラブラブ	raburaburabu	0.0	
love-love	LOVE LOVE	ラブラブ	raburabu	0.0	
love	LOVE	ラブ	rabu	0.0	
lovely-2007	らぶり～	ラブリー	raburi	0.0	
lovely	ラブリー!	ラブリー	raburi	0.0	
luv	LUV	ラヴ	ra	0.0	
monkey	サル	サル	saru	0.0	
r-0054222	クビライ	文明ノ道	no	0.0	漢字残
r-1064454	亜里沙	亜里砂		0.0	漢字残
r-1086685	丹下左膳 ピストルをあたまにのせた人びと	手塚治虫漫画全集		0.0	漢字残
r-1782014	竹宮恵子作品集	竹宮恵子作品集		0.0	漢字残
r-1782038	竹宮恵子作品集	竹宮恵子作品集		0.0	漢字残
r-2027084	殺意の底	竹宮恵子SF短篇集	sf	0.0	漢字残
r-3611193	蒼の男	譚詩		0.0	漢字残
r-3966128	Mindy land	魔法帝国		0.0	漢字残
r-4443774	前線と銃後	前線ト銃後	to	0.0	漢字残
r-4952699	絶倫教授の実験体	絶倫教授ノ実験体	no	0.0	漢字残
r-5910498	怪奇大作戦+学園名主	怪奇大作戦+学園名主		0.0	漢字残
r-6027884	幼年期安倍晴明異聞未明の獣	幼年期安倍晴明異聞未明ノ獣	no	0.0	漢字残
r-6172615	フランス窓便り	田淵由美子作品集		0.0	漢字残
r-6172622	こさあじゅ	田淵由美子作品集		0.0	漢字残
r-6300877	三国志曹操伝	三國志曹操伝		0.0	漢字残
r-6728036	真・隷嬢物語	新・隷嬢物語		0.0	漢字残
r-8165936	獣道	獣道		0.0	漢字残
r-8301074	口の興奮	日ノ興奮	no	0.0	漢字残
tenren	天恋	アマコイ	amakoi	0.0	
u-18	U-18	アンダーエイティーン	andaeitein	0.0	
u19	U19	アンダーナインティーン	andanaintein	0.0	
w-1988	W	ウォン	uon	0.0	
who	Who!?	フー	fu	0.0	
yatsu-yatsu-yatsu-yatsu	奴奴奴奴!	ドドドド!	dodododo	0.0	
pride-1989	プライド	チカコノタタカイ	chikakonotatakai	0.12	
chocola-2008	Chocola 2008	コゲドンボ	kogedonbo	0.14	
baby-wars	ベイビー・ウォーズ	ベイビーウォーズ	beibiuozu	0.17	
lady-cool	LADY COOL	レディクール	redeikuru	0.17	
lost-angel	Lost angel	ヒグリ,ユウ	higuriyuu	0.17	
love-lies	LOVE LIES	ラブライズ	raburaizu	0.17	
ol-ways	OLウェイズ	オールウェイズ	oruueizu	0.17	
real-love	Real love	カヤマ,ユミ,-2005	kayamayumi2005	0.17	
sixty-nine	69	ロクジュウキュウ	rokujuukyuu	0.17	
the-live	ザ・ライブ	ザライブ	zaraibu	0.17	
3d-kanojo	3D彼女	リアルガール	riarugaru	0.2	
age-87	エイジ'87	エイジエイティセヴンス	eijieiteisensu	0.2	
cipher-1996	サイファー	サイファー	saifua	0.2	
cipher	CIPHER	サイファ	saifua	0.2	
colors-1992	COLORS カラーズ	カラーズ	karazu	0.2	
colors-2001	Colors	カラーズ	karazu	0.2	
colors	COLORS!	カラーズ	karazu	0.2	
coppers	Coppers	カッパーズ	kapazu	0.2	
crazy-crazy	CRAZY CRAZY	クレイジークレイジー	kureijikureiji	0.2	
hanagata	HANAGATA	ビッグコミックス	bigukomikusu	0.2	
i-2014	μ＆i	ミュウアンドアイ	myuuandoai	0.2	
loop-the-loop	LOOP THE LOOP	ループザループ	rupuzarupu	0.2	
love-2005	蓮愛	レンアイ	renai	0.2	
love-live	ラブライブ!	ラブライブ	raburaibu	0.2	
lovey-dovey	LOVEY DOVEY	ラビーダビー	rabidabi	0.2	
m-c-law	M.C.☆LAW	エムシーロウ	emushirou	0.2	
mercy	マーシー	マーシー	mashi	0.2	
n-g-2001	N.G!	エヌジー	enuji	0.2	
one-love	One Love	ワンラブ	wanrabu	0.2	
one-only	ONE ＆ ONLY	ビッグコミックス	bigukomikusu	0.2	
please	PLEASE	プリーズ	purizu	0.2	
rail-wars	RAIL WARS!	レールウォーズ	reruuozu	0.2	
record	RECORD	フジワラ,カムイ,1959-	fujiwarakamui1959	0.2	
scissors	SCISSORS	ジザーズ	jizazu	0.2	
ss-1987	SS	サイボーグサラリーマン	saibogusarariman	0.2	
the-pool	THE POOL	ザプール	zapuru	0.2	
u12-2018	U12(アンダートゥエルブ)	アンダートゥエルブ	andatouerubu	0.2	
wings	WINGS	カマタ,ヨウジ	kamatayouji	0.2	
with-love	with LOVE	ウィズラヴ	uizura	0.2	
works	WORKS	エグチ,ヒサシ,1958-	eguchihisashi1958	0.2	
baby-jelly-candy	Baby jelly candy	トガワ,ハナマル	togawahanamaru	0.22	
108p	108P!	ヒャクハチピー	hyakuhachipi	0.25	
10th	10th	テンス	tensu	0.25	
11-eyes	11 eyes	イレブンアイズ	irebunaizu	0.25	
138-e	138°E	ワンスリーエイトイー	wansurieitoi	0.25	
18-ikooru-80	18=80	エイティーンエイティ	eiteineitei	0.25	
2-i-4-6	2・4・6	ニイヨンロク	niiyonroku	0.25	
3-3eyes	3×3EYES	サザンアイズ	sazanaizu	0.25	
7-call	7コール	7コール	7koru	0.25	
a-c-d-c-2	A.C.D.C.2	エーシーディーシーツー	eshideishitsu	0.25	
aids	AIDS	エイズ	eizu	0.25	
alpha-1993	ALPHA	アルファ	arufua	0.25	
alpha	α	アルファ	arufua	0.25	
b-eyes	B-EYES	ブラックアイズ	burakuaizu	0.25	
birth-2002	BIRTH	バース	basu	0.25	
birth	バース	バース	basu	0.25	
c-2011	C-	Cマイナー	cmaina	0.25	
cool-fool	COOL FOOL	クールフール	kurufuru	0.25	
