title	vol	version	special_isbn	normal_isbn	status
魔王イブロギアに身を捧げよ	5	[小冊子付特装版]	9784434325342		none
まおゆう4コマ「向いてませんよ、魔王様」	1	初回限定版	9784047278677		none
まりあ✝ほりっく	5	ドラマCD付き限定版	9784840125949		none
Mashima HERO'S	1	特装版	9784065192580		none
名探偵コナン	86	限定版	9784099418571		none
名探偵コナン	92	DVD付き限定版	9784099418892		none
めくりめくる	6	初回版	9784847039324		none
ミルキィスケッチ	1	限定版	9784331901441		none
ミツキくんちょっと待って!	2	限定版	9784758027458		none
水玉ハニーボーイ	5	特装版	9784592218258		none
機動戦士ガンダムMSV-R	26	特装版	9784041142165		none
機動戦士ガンダムサンダーボルト	7	限定版	9784099418656		none
機動戦士ガンダムサンダーボルト	9	限定版	9784099418854		none
機動戦士ガンダムヴァルプルギスEVE	1	特装版	9784041141649		none
機動戦士ΖガンダムDefineシャア・アズナブルグリプス戦役	20	特装版	9784041148433		none
百と卍	6	特装版	9784396785840		none
森のくまさん、冬眠中。	4	[小冊子付特装版]	9784434312021		none
森のくまさん、冬眠中。	5	[小冊子付特装版]	9784434325328		none
元ヤンパパとヒツジ先生よつば	4	小冊子付き特装版	9784046812766		none
ミュータントタートルズラスト・ローニンLOST YEARS.	1	[限定版]	9784910416731		none
中川翔子物語	1	特装版	9784063621679		none
ナカノヒトゲノム〈実況中〉	10	アニメDVD付き特装版	9784040642482		none
Nein	3	限定版	9784041054635		none
にじいろ☆プリズムガール	7	DVD付特装版	9784091591821		none
Nikke goddess of victoryすいーとえんかうんと	1	豪華イラスト集付き特装版	9784099431594		none
信長協奏曲	11	ドラマＣＤ付き特別版	9784099418403		none
お金ありきの関係ですが	2	限定版	9784758023351		none
鬼上司・獄寺さんは暴かれたい。	2	初回限定小冊子付特装版	9784864424325		none
鬼上司・獄寺さんは暴かれたい。	3	初回限定小冊子付特装版	9784864424578		none
鬼上司・獄寺さんは暴かれたい。	4	初回限定小冊子付特装版	9784864424851		none
狼への嫁入り	2	[特装版]	9784396785673		none
狼の花嫁	5	小冊子付き限定版	9784866576145		none
大奥	19	小冊子付き特装版	9784592162803		none
教えてください、藤縞さん!	5	小冊子付き特装版	9784861239649		none
パパだって、したい	6	[小冊子付特装版]	9784434333088		none
プリフェクトの熾火	1	小冊子付き特装版	9784867870068		none
ぷちゴナビス	1	初回限定版	9784048994736		none
プリズマ☆イリヤ3rei!!	10	特装版	9784041072820		none
プリズマ☆イリヤ3rei!!	13	特装版	9784041125137		none
レムナント	7	初回限定版	9784866575889		none
漣蒼士に処女を捧ぐ	3	[小冊子付特装版]	9784434313844		none
理想的恋愛の条件	1	特装版	9784758021692		none
理想的恋愛の条件	2	特装版	9784758023214		none
理想的恋愛の条件	3	特装版	9784758025942		none
さきたま	2	特装版	9784022142771		none
さきたま	3	特装版	9784022143112		none
さきたま	4	特装版	9784022143549		none
佐々木と宮野	9	アニメDVD付き特装版	9784046811400		none
佐々木と宮野	10	公式同人誌付き特装版	9784046827579		none
さよなら絶望先生	18	限定版	9784063583021		none
性癖ヤバめなオトコに狙われました。	5	[小冊子付特装版]	9784434303685		none
聖剣少女伝説	1	NFTデジタル特典付限定版	9784801978768		none
世界一初恋	12	イラスト集付き限定版	9784041057858		none
世界一初恋	15	小冊子付き特装版	9784041094778		none
世界一初恋	19	小冊子付き特装版	9784041148372		none
先生、我慢できません	1	限定版	9784758022729		none
先生、我慢できません	2	限定版	9784758024884		none
史上最強の弟子ケンイチ	53	OVA付き特別版	9784099418182		none
紳士同盟+	10	特装版	9784087821734		none
紳士同盟+	11	特装版	9784087821925		none
私立すとぷり小学校	1	アクリルスタンドつき特装版	9784099431631		none
執事様のお気に入り	21	ドラマCD付き初回限定版	9784592105626		none
紫雲寺家の子供たち	2	特装版	9784592168034		none
少女終末旅行	6	限定版	9784107720191		none
少年セバスチャンの執事修行	1	初回特典版小冊子付	9784403619823		none
そんな顔して、誘ってる?	1	CD付き限定版	9784861238604		none
宙(そら)に参る	4	特装版	9784845866229		none
好きにさせてみせるから!	3	ドラマCD付き特装版	9784046830494		none
switch ドラゴンフルーツ編	1	限定版	9784758058520		none
立花館to lie (とらい) あんぐる	2	特装版	9784758075183		none
多聞くん今どっち!?	5	神ファンサ小冊子付き特装版	9784592228875		none
多聞くん今どっち!?	8	まるごとF/ACE小冊子付き特装版	9784592230229		none
黄昏アウトフォーカスlong take	1	小冊子付き特別仕立て	9784065326183		none
黄昏アウトフォーカスlong take	2	小冊子付き特別仕立て	9784065346754		none
天使1/2方程式	12	おまけまんが小冊子付き特装版	9784592230281		none
アイドルマスターミリオンライブ!Blooming Clover	2	オリジナルCD付き限定版	9784048932660		none
アイドルマスターミリオンライブ!Blooming Clover	4	オリジナルCD付き限定版	9784049121049		none
アイドルマスターミリオンライブ!Blooming Clover	5	オリジナルCD付き限定版	9784049124668		none
アイドルマスターミリオンライブ!Blooming Clover	9	オリジナルCD付き限定版	9784049137767		none
