slug	title	tv	need_synopsis	need_catch	genres	caption
umamusume-pisupisu-supisupi-gorushi-chan	ウマ娘ピスピス☆スピスピ ゴルシちゃん	7	1	1	comedy	"大人気のアクスタ特装版第3弾！ 

 超人気クロスメディアコンテンツ「ウマ娘」のコロコロコミカライズ作品、早くも3巻が登場！

ぞくぞくと人気ウマ娘が集結するゴルシワールド、まさかのウマ娘達が襲来！！
「シンデレラグレイ」「映画『新時代の扉』」との禁断コラボでオグリキャップやジャングルポケットが大暴れ！お楽しみに！

特装版には1、2巻に引き続きゴルシちゃんたちウマ娘のアクリルスタンド付録がついてくる！オグリやジャンポケに加え、特別なメジロマックイーンやナカヤマフェスタもアクスタ化！ゴルシちゃんは水着に！？
ここだけの超貴重オリジナルグッズを手に入れよう！！ 

 【編集担当からのおすすめ情報】 
 大人気コンテンツ「ウマ娘」とコロコロコミックがコラボした、破天荒ギャグマンガ第3巻！！

特装版だけのアクリルスタンド付録、3巻も全て描き下ろしの特別イラスト！
ぜひGETして1、2巻のアクスタと並べてください！"
bakuchigui	バクチグイ	7	1	1	drama	"突如始まったビル脱出ゲーム。
3名が死亡するという修羅場へと突入した！！
このゲームを現状支配している男、殺人鬼・吉川に追われるブルに
更なる策はあるのか！？それとも……。

そして、ブルと共闘するメガネの男が密かに殺人を犯し…。
誰が敵で誰が味方か！！信じられる者は己のみ！！
この混沌の中で生き残る者は……！？

そんな中、福友を始めとする“沼”側の動きも見え隠れし始め…。
兄・隆一へと辿り着くため、ブルは命を削り続ける。
前代未聞のギャンブル物語、熾烈！！"
mobu-joshikousei-no-ore-demo-boukensha-ni-nareba-riajuu-ni-naremasu-ka	モブ高生の俺でも冒険者になればリア充になれますか?	7	1	1	action,adventure,comedy,fantasy,romance	"学生限定モンコロ大会ーーベスト4に進出すればDランクカード、優勝ならCランクカードの賞品を手に入れられる。
売り言葉に買い言葉で大会に参加することになってしまったマロだったが、
トラブルに見舞われつつも、なんだかんだ頼もしい仲間とともにベスト4に進出。
優勝もすぐかと思いきや、さすがにこれからの対戦相手は手ごわいようで……！

カードのロストも当然のモンコロ大会で、マロは仲間を失わずにいられるのか？
そして窮地に陥ったマロは覚醒するーー！"
megami-no-hyouteki	女神の標的	7	1	1	drama,mystery,suspense	"金塊の手がかりを狙い敵の魔の手が・・・！ 

 旧華族で元陸軍少将、現在は大手商社の顧問をしているという財前から、
春子が所属する一座に対し、孤児院の子供達に演劇を観せてほしいとの依頼が舞い込んだ。
財前が金塊を狙う人間である可能性を感じつつ、危険を承知で春子達は公演を引き受けることにした。
公演当日、演劇は大盛況に終わり、手配されたタクシーに乗り帰路へ。何事も起きなかったことに春子が内心安堵しかけた瞬間・・・同乗した一座の仲間と春子は突然注射を打たれ、意識を失った春子は拉致されてしまった。
やはり全ては財前により仕組まれていた罠だった。
春子は空き家に運ばれ、そこで財前が雇った薬に精通する男・伴により自白剤を投与されてしまう。
春子は伴と財前に聞かれるがまま、父との思い出を話してしまう。
それによりある仮説を導き出した財前は、金塊の捜索に乗り出す。それは春子に関係する人々を巻き込む事件へと発展していくことに・・・！！
金塊を巡る謎と春子自身人生がさらに大きく転換する、大人気ヒストリカルサスペンス最新刊！ 

 【編集担当からのおすすめ情報】 
 元陸軍少将で戦後は商社の顧問という表の顔を持つ男、財前。
金塊を狙うこの男が、手がかりを得るため、さらなる非道な手段で春子を襲う。拉致され、薬を打たれた春子は父に関する話を財前に話してしまい、それが新たな事件へとつながることに・・・
さらに、春子は関西公演に向かった先で関西で強い力を持つ組織の長・山岡と出会う。
敵、金塊の謎、そして新たな味方と、春子の周囲が大きく動く必読の最新刊です！是非ご覧ください！"
shizukanaru-don-mouhitotsu-no-saishuushou	静かなるドン-もうひとつの最終章-	7	1	1	comedy,slice-of-life	"新鮮組＆鬼州組連合VS麻薬カルテルの大抗争へ!?

鬼州組八代目を殺したメキシコマフィア。
組織のボスであるエルモッソに報復するため、納戸率いる鬼州組・獅子王SSはメキシコに入っていたが、敵地で苦戦を強いられていた。

時を同じくして、静也の最愛の人・秋野は、人身売買で売られた女の子を探すため、
危険をかえりみずメキシコの治安の悪い場所にいた。

秋野を救い出そうとメキシコに来た静也だったが、
到着してすぐにDEA（アメリカ麻薬取締局）に拘束されてしまう。
しかし、連行された先には、なんとメキシコ大統領・マルガリータが待っていた。
DEAはメキシコマフィアを倒すために、静也たち日本のヤクザを利用しようと考え、
それをマルガリータ大統領に承認させようとしていたのだ。
静也は秋野を保護してもらうことを条件に、大統領と協力して最凶最悪な麻薬カルテルと戦うことに。

一方、エルモッソの側も大統領暗殺を企てていて…!?
「俺が牙を剥いたら、どれだけ恐ろしいかわからせてやる」
ヤクザとメキシコ政府連合とメキシコマフィアとの
全面戦争がいよいよ始まろうとしていた！"
majo-no-eden	魔女のエデン	7	1	1	adventure,fantasy	"植物を憎み、ザクムと手を組んだ魔女フルーディティラ。
その裏にある深い傷を知ったピリーは、敵でありながら彼女を救おうとする。

魔獣×少女の絆が紡ぐ物語。
フランス発のファンタジー巨編、闇さえ包む優しさが光る7巻。


L&apos;Eden des sorcieres (c) Yumeji / Ki-oon"
ennead	Ennead	6	1	1	drama,fantasy	"「信じていた神に裏切られるほど、惨めなことはない」
玉座を争う第二の対決で、半神ホルスに敗北した戦争の神セト。
ホルスの勝利には、エネアドの神達だけではなくセトの息子アヌビスも協力していた。
さらに、家族に裏切られたセトを嘲笑うかのように厄災の神セクメトが現れる。
オシリスに復讐するチャンスだ、オシリスの息子ホルスに恥辱を与えればいい、と囁くセクメト。
そそのかされたセトはホルスの寝床へ忍び込むが、思わぬ返り討ちに…？

そして、明かされるオシリスとセトの恐ろしい過去とはーー。"
so-young	So young	6	1	1	action,drama	"[大人気漫画『撲殺ピンク〜性犯罪者処刑人〜』の原点、ここに完結!!!!10P特別描きおろし漫画も収録!!!!]

時は20XX年。
日本は法律が変わり、
殺人を犯した成人は、確実に死刑にーー。

その一方、
殺人を犯した18歳未満の未成年は、
「DIE場都市」というユートピアへ入るという…。

“死の業（カルマ）”が見えるという、
青年ーー通名、「エンジェル」。

未成年たちの未来を守るため、
エンジェルの狂った正義が激しく爆ぜる。

舞台は因縁の地ーー「DIE場都市（ダイバーシティ）」へ。

愛する者たちを守るため、
エンジェル、
最後の闘いへーー…。

大ヒット漫画『撲殺ピンク〜性犯罪者処刑人〜』の山本晃司が描く、
もう一つの “救いの物語”が、
新装再編版として登場!!!!!! 

魂揺さぶる、感動の最終巻!!!!!! 
「すべての始まり」を描いた幻の読切版も収録!! 
そして、新装再編版発売を記念して、
物語の「別のエンディング」を描いた大増10P描きおろし漫画も収録!!!! 

※カバーデザインをリニューアルしました。
※物語の内容に変更はございませんが、
1巻ごとの区切りを再編しました。読み味たっぷりの1冊になっております。"
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!	6	1	1	action,comedy,fantasy	"モンスターを美味しい料理に変えて、今日もパクパク&ニコニコのシャーロット。
そんな彼女の実家に、イケメン王子・アウゼスが結婚を申し込みに訪れる。
しかし、シャーロットの父・ネイビー侯爵が追放したことを知ると、アウゼスは怒りで鬼と化すのであった……！？"
iron-familia	アイアンファミリア	6	1	1	action,fantasy,horror	ホムンクルス生成のレシピを奪還するため、犯罪組織・ヤカイのアジトを急襲する蜂須館一行。だが、そこに不在と思われていたヤカイのリーダー・“冠羽”のウカクが飛来する。これまでの敵を凌駕するウカクの圧倒的な戦闘力を前にテツヲは…!? 成長と陰謀が交錯する第2巻！
