slug	title	tv	need_synopsis	need_catch	genres	caption
kurourenke-no-jinanbou-comic	クロゥレン家の次男坊@COMIC	3	1	1	fantasy,isekai	"「俺は平穏に職人をやりたいだけなのに…」
のんびり生きたい転生少年の無自覚最強暗躍ファンタジー、待望のコミカライズ第1巻！
原作小説第3巻、同月刊行！
描き下ろし特別漫画＆原作者書き下ろしSSをW収録！"
kemotchi-hiyori	ケモっちびより!	3	1	1	comedy,fantasy	"小さな妖精たちとのほっこり生活スタート♪ 

 12歳の誕生日、留守番中のエマがおばあちゃんから教えてもらったおまじないをすると・・・小さな妖精“ケモっち”がみえるようになっちゃった！

7人のケモっちは、みんな一筋縄ではいかないくせ者ぞろい。
だけど、少しさみしい時、ちょっと助けが欲しい時、
ケモっちたちが、ぽかぽか笑顔にしてくれる☆

個性あふれるケモっちたちとのかわいくて楽しい毎日のはじまり、はじまり♪ 

 【編集担当からのおすすめ情報】 
 “かわいい”を生み出し続けるレジェンド篠塚ひろむ先生最新作！
18年振りにちゃおに掲載されて話題となった「ミルモでポン！」の完全新作を特別収録！ 魔法学校でのミルモ過去が明らかに！ ミルモファンも要チェックの1冊です！"
gokigenyou-gohan-sama	ゴキゲンよう!ごはん様	3	1	1	gourmet	"愛静慈真澄（おしずし・ますみ）は財閥の令嬢。
誰もが羨む優雅な生活の代償は束縛。
その真澄が突然「男子」になってしまい、家を出て途方に暮れていたが強面の青年・キヨタカと出会い、ずっと憧れだった庶民のグルメを食べまくる!?
様々な仲間も出来て充実した生活の中、許嫁の桝川が現われて!?
TS令嬢のグルメ初体験ストーリー完結！"
saten-de-3x3	サテンdeサザン	3	1	1	music,slice-of-life	"街の再開発によって立ち退きの危機が…！！ 

 叔父から喫茶店を引き継いだ夏海リョータ。
お洒落なカフェにしようと意気揚々だったが、
来店するのは、愛煙家のオジサンばかり！！
その常連達が愛する店のBGMは…サザン!!
思い描いた理想のカフェとは違うけれど、
この店を続けていこうと思った矢先、
街の再開発計画により、喫茶店に立ち退きの危機が迫る!!
 

 【編集担当からのおすすめ情報】 
 『奥田民生になりたいボーイ』『デザイナー渋井直人の休日』の渋谷直角氏、最新作!! 作者のサザン愛が溢れる作品。サザンの音楽を聴きながら読むのもおすすめです。"
champagne-tower-no-mukougawa	シャンパンタワーの向こう側	3	1	1	bl,drama,romance	"ホストクラブ「ヘブン」の新店オープンのため、大阪から歌舞伎町へやってきたナンバーワンホストの煌夜。「日本一のホストになる」と嘯く煌夜だが、人々が行き交うこの街でひときわ”きらめき”を放つホストを見かけ、息ができないほどの衝撃を覚える。仲間から、そのホストが歌舞伎町の名店「リューズ」のナンバーワン・優雅だと教えられ、客としてリューズに通い始めた煌夜。逢瀬を重ねる度に着実に距離を縮めてゆく二人だが、穏やかな時間も束の間、優雅は突然「俺のことは止めといたほうがいい」と煌夜を突き放す。どうやら優雅には、煌夜を手放しで愛することのできない事情があるようで……？
「俺の方が、絶対優雅のこと大事にできるーー。」ホスト×ホストのきらめきと激情に満ちたドラマチック・ラブストーリー、第1巻。"
shinkalion-dive-the-world	シンカリオンダイブザワールド	3	1	1	action,comedy,mecha,sci-fi	イッキの親友・アトスがアンノウン側の敵だと判明。重たい現実に戸惑うイッキだったが、かけがえのない繋がりを守るため、再び戦うことを決意する──!! そんな中、仮想世界ではアンノウンの侵攻が開始。シンカリオンの力を模倣したアトスと交戦するが、そこで、親友が抱える悲しき過去を知ることに…!? 世界の命運をかけた、二人の最終決戦が始まる──!! 「カッコイイ男」を目指すイッキの物語、ここに完結!!
jagaimo-nouka-no-muramusume-kenshin-to-utawareru-made	ジャガイモ農家の村娘、剣神と謳われるまで。	3	1	1	action,adventure,fantasy	"ついに迎えた学年末トーナメント4年生の部。_x000D_
必殺・トレミナボールを編み出し、勝ち進んでいくトレミナ。_x000D_
決勝の相手は相当の実力者・チェルシャだった。_x000D_
トーナメントの優勝を掴むのは果たして…。_x000D_
その後、帰省したトレミナ達のもとに神獣・【黒天星狼】が現れ…！？_x000D_
決死の戦い、彼女達の運命やいかにーー。"
sunakku-jou-to-gochisou-gohan	スナック嬢とごちそうごはん	3	1	1	gourmet	"29歳東雲さくらは結婚を控え寿退社をしたが、恋人の意見は聞かず他人の言うことに振り回されてばかり
のせいで婚約解消され路頭に迷うことに…そんな中元カレのコートの中にスナックの名刺を見つけ、浮気
かと確認しに行くがそこには料理上手なママの真夜がいて!?愛情と手間暇かけたスナックグルメコミック！"
second-marriage-ring	セカンドマリッジリング	3	1	1	drama,romance	ある日花那のもとにかかってきた不穏な電話。嫌がらせだと気にしないようにしていたが、次に送られてきたのは颯真の不倫写真で…
dungeon-de-bocchi-meshi-shitetara-saikyou-no-esu-esu-esu-rank-boukensha-ni-natteta	ダンジョンでぼっち飯してたら最強のSSSランク冒険者になってた。	3	1	1	adventure,fantasy,gourmet	"待ちに待った収穫祭。参加費無料の大食い大会を楽しみにするシュータ。
手始めに弁当支給の収穫祭準備のクレイジーパンプキン収穫に参加！　
ところが、収穫は一筋縄ではいかなくて……!?

収穫祭ではシュータがシルクにプレゼント。影暮らしならではの
悩みを解決する贈り物の返礼にシルクは何を贈るのは!?

収穫祭のクジ引きで手に入れたシューズを履いて、魚を食べるために
ザルティス湖を向かうシュータ。途中にサンダードラゴンに連れ去られた
シュータはドラゴンの住む雷鳴渓谷に運ばれ、竜人族のフロランタと
出会うのだった。

竜人族、そしてドラゴンと日々を過ごすシュータだが、やがて別れの刻を
迎え、そして懐かしい仲間たちとの再会を果たし……。完結第3巻!!"
dreamland	ドリームランド	3	1	1	adventure,fantasy	"なんでもありの広大無辺な世界…ドリームランド‼
それは誰もが眠りとともに訪れ、目覚めと同時に忘れてしまう世界。
幼い頃、火事で母親を亡くした17歳の少年テレンスは、毎晩火の悪夢にさいなまれていた。だが、ある夜、彼は悪夢を克服し、火の力を手に入れ、夢人から旅人となる。
昼はさえない高校生のテレンスだが、夜は夢の国で大冒険を繰り広げる。


あらすじ文：
なんでもありの広大無辺な世界…ドリームランド‼
それは誰もが眠りとともに訪れ、目覚めと同時に忘れてしまう世界。
幼い頃、火事で母親を亡くした17歳の少年テレンスは、毎晩火の悪夢にさいなまれていた。
だが、ある夜、彼は悪夢を克服し、火の力を手に入れ、夢人から旅人となる。
昼はさえない高校生のテレンスだが、夜は夢の国で大冒険を繰り広げる。"
doronjo-sama-wa-tensei-shitemo-akuyaku-reijou-no-mama-datta	ドロンジョさまは転生しても悪役令嬢のままだった	3	1	1	fantasy,isekai,romance	ドロンジョ、あなたはガン王子を夫として迎え、愛することを誓いますか？　『タイムボカンシリーズ ヤッターマン』の「ドロンジョ」は異世界で幸せを掴む！……のか!?ガン王子からプロポーズされ、ついに結婚式当日を迎えたドロンジョ。自らデザインしたウェディングドレスに身を包み、満足気な顔のドロンジョは待ちに待った、永遠の愛を誓う。…予定が、このまま式が順調に進む訳もなく…!?ドロンジョが選ぶのは「悪」か「愛」か。話題のドロンジョ×異世界転生悪役令嬢、堂々完結ーー！
hazure-zokusei-on-zokusei-de-tsuihousareta-saretakedo-jitsuwa-yuiitsu-mu-eishou-de-hatsudou-dekiru	ハズレ属性〈音属性〉で追放されたけど、実は唯一無詠唱で発動できる最強魔法でした	3	1	1	adventure,fantasy	"英雄祭、開幕！
王女の護衛で大忙し!?

建国の英雄を称える祭典、英雄祭の季節を迎え、活気に満ちあふれるアストレア王国。
祭りの期間中、アルバスはエレノアとともに王女ルルアリアの護衛役を任されることとなる。
ルルアリアと屋台を巡り、英雄祭を満喫するアルバスだったが、最大の催しである公開決闘の場で突如、第一王子ザイールから対戦相手に指名されてしまいーー!?
“ハズレ”の烙印を押された少年が、やがて最強に至る冒険譚、白熱の第3幕！"
biblia-koshodou-no-jiken-techou-tobiko-to-utsuro-na-yume	ビブリア古書堂の事件手帖扉子と虚ろな夢	3	0	1	mystery	"夢野久作の代表作であり、日本三大奇書にも数えられる小説『ドグラ・マグラ』。
恭一郎と扉子達はその物語の内容から、康明の失踪と『ドグラ・マグラ』に繋がりのようなものを感じる。
そこに祖父・杉尾が現れ、康明の蔵書のひとつである復刻版の中身が何者かの手によって初版本に入れ替わっていることが分かりーー。
事件の真相へと迫るビブリオミステリ、最終巻。"
fenrir-ni-tensei-shita-hazu-ga-dou-mitemo-shibainu	フェンリルに転生したはずがどう見ても柴犬	3	1	1	isekai,fantasy	"異世界で見た目は柴犬、中身はフェンリルに転生して無双！！
「小説家になろう」で人気の異世界ファンタジーを愉快痛快にコミカライズ！

フェンリル（見た目は柴犬）に転生した男と、
彼を待って三百年引きこもっていた女…。
おかしなパーティーの冒険が始まる！！
ヤンマガWebで連載開始するやいなや大反響を獲得した異色の異世界第1巻！

サラリーマンのタロウは、トラックに轢かれかけた
狼らしき生き物を助けて命を落とす。
異世界に来た彼は気まぐれな女神リリーにより
中身は最強の聖なる狼フェンリル、外見は柴犬に転生する。
タロウはフェンリルを救国の使いと信じて三百年祈り続けてきた
王女ソフィアと出会い、冒険の旅に出るが…！？

※「小説家になろう」は株式会社ヒナプロジェクトの登録商標です。
第 1 話 フェンリル転生...!?
第 2 話 柴犬と王女
第 3 話 はじめてのスキル発動
第 4 話 いざ町へ!
特別書きおろし小説 閑話 柴犬フェンリルのつぶやき"
blue-flight	ブルーフライト	3	1	1	drama,romance	"恋も仕事も全力！グラハン女子の成長物語 

 飛行機の離着陸の安全をサポートするお仕事・
グランドハンドリングとして働き始めて2年目のここね。

無愛想だけど誠実なパイロット・松永への恋心を自覚したここねは松永を休日に誘い出して…！？
さらに、いつも明るくここねを支えてくれる先輩・友利の隠された過去を知ってしまい…？
松永と友利。二人との関係性に変化がーー！？

ANA全面協力で描かれる、
グラハン女子の全力お仕事ラブ第2巻!! 

 【編集担当からのおすすめ情報】 
 “この人”たちがいなければ、飛行機は飛ばないーー

飛行機の安全な離着陸をサポートする、なくてはならない仕事“グラハン”。
クールで仕事一筋のパイロット・松永と、優しく頼れる兄貴分グラハン・友利。二人に見守られながら、この人たちに誇れる自分でいたいと精一杯頑張る主人公・ここねの成長をぜひご覧ください。

そして今巻では、松永との休日デート編も収録！観覧車での二人っきりの空間で、ここねは「私のこと どう思いますか？」と問いかけて…？ここねの問いに対する松永の答えとは！？キュンとすること間違いなし！

ANAの取材レポまんがも要チェックです！"
monster-onna-kanbu-wa-osanaki-yuusha-o-dekiai-suru	モンスター女幹部は幼き勇者を溺愛する	3	1	1	action,adventure,ecchi,fantasy	"勇者一行に立ちはだかる四天王【死神】マーフ！
幼勇者に正体がばれちゃった⁉

ストーリアダッシュで連載されている異世界ファンタジー。妖魔アラクネと幼勇者の逆転成り上がりストーリー第3弾!!

幼勇者ネロに惚れて冒険の旅をする魔王軍四天王で蜘蛛の妖魔・エミリア。途中四天王・サリトリを仲間に加わって旅は賑やかになる。立ち寄った国のレジスタンス絡みのの騒動に巻き込まれた一行は四天王の新たな刺客・死神マーフと対峙することに！　妖魔と幼勇者の逆転成り上がりストーリー第3巻!!"
retro-game	レトロゲ	3	1	1	comedy	"真面目で素直な英川叡子と、寡黙で謎の多い美原美子…。
最初こそ対抗意識を燃やしていた2人だけれど、レトロゲームの話をするたびに少しずつ心の距離は近づいてーー！？
レトロゲに導かれ、その魅力にハマった2人の高校生が、ゲーム画面の中にある”無限の世界”に飛び込んでゆく…！！
懐かしくて新しい、青春レトロゲームコミック第2巻!!"
waruhame	ワルハメ	3	1	1	action,comedy,ecchi	"真面目過ぎるが故に左遷されてしまったエリート警察官・青山アガサが流れ着いたのは、なんと秘密裏に潜入捜査を行う非合法な部署だった…!!
成果をあげて出世コースに返り咲くため、アガサはカラダを張って潜入捜査を遂行するが…!?"
vamdead	ヴァンデッド	3	1	1	action,supernatural	"19世紀ロンドン。退役軍人のワトソンは、日々の生活に希望を見いだせず、貧しく暮らしていた。シャーロック・ホームズと名乗る男に出会うまではーー。名探偵とその助手が“吸血鬼狩り（ヴァンパイアハンター）”として街を駆ける。吸血鬼をもって、吸血鬼を制す。この数奇な人生の先に待ち受ける未来とは！？ 稀代の天才探偵が織りなす未体験のダークアクション!!

金も住む家もない退役軍人・ワトソン。偶然見つけたルームシェアの相手は“探偵”のシャーロック・ホームズ。ワトソンはホームズが家賃の7割を負担することを条件に、二つ返事で探偵助手となる。その晩、二人で事件現場に向かうが、ホームズが
“化け物”に襲われ致命傷を負ってしまい…!?"
venus-mission	ヴィーナスミッション	3	1	1	action,fantasy,isekai	"元殺し屋で傭兵の鈴木隆、
新たな肉体と魔法の素養を得て、レイとして異世界に転生。
相棒のエルフ・リディーナとともに、
暴走する勇者達を暗殺する旅を続けていた。
旅の途中、ジルトロ共和国の首都マネーベルにて、
不死者(アンデッド)のスタンピードに遭遇する。
そこには、学生服に身を包んだ勇者達も現れ……"
wunderkammer	ヴンダーカンマー	3	1	1	mystery	"誰からも愛される少女が蒐めたのは
悪辣で陰惨な、人間の闇。


舞台は閉鎖的な地方都市の高校「椿ヶ丘学園」。
その旧校舎本館で一年生の女子生徒「渋谷唯香」が惨殺された。

その現場は、16年前に同じ町で起きた猟奇殺人事件と酷似していた。
殺害現場に居合わせたのは被害者と同じサークルの生徒4人と教師1人。

この殺人は、何を伝えているのかーー。"
shichinin-no-anitachi-wa-suekko-imouto-o-aishiteyamanai	七人の兄たちは末っ子妹を愛してやまない	3	1	1	fantasy,isekai,romance	幼馴染との結婚が決まり、椿は人生の幸せ真っ只中。だけど、結婚式に突然怪しい何者かが現れてーー…目が覚めると、異世界の公爵家末っ子・ミリィに転生していた！しかも転生先の家族は、個性豊かな美形のお兄様が六人も!?兄たちからの溺愛を一身に受け、平和な愛されライフかと思いきや、予想外のハードな運命が待ち受けていてーー？ほのぼの&時々サスペンス（！？）な異世界ファンタジー開幕！
fuyumidouke-no-na-ni-kakete	不遊美堂家の名にかけて!	3	1	1	comedy	"「いずれこの世界の頂点に立つ者ですわ!!」
転校初日からご挨拶をぶちかます、
名門・不遊美堂家のご令嬢、星羅様はポジティブモンスターお嬢様!?
家名にかけて、庶民の高校生活に馴染んでみせますわよ〜!!"
otome-assistant-wa-mangaka-ga-chuki	乙女アシスタントは漫画家がちゅき♡	3	1	1	comedy,ecchi,romance	"健全なエロコメです。


新人漫画家・南アリアは、幼馴染のエロ漫画家・西連寺忍のことがだ〜いすき！
そんなアリアはひょんなことから忍のアシスタントを務めることに♪

アリアは忍のためにご奉仕するが、身も心もむき出しの恋心は暴走気味で…。
さらにはブラコンの妹・西連寺愛莉や、妄想女子の担当編集・東雲雪乃も加わり、エッチな日々が止まらない。。。
恋する乙女たちの、ハッピーなお仕事ラブコメディ♪"
ore-dake-tsukaeru-kodai-mahou	俺だけ使える古代魔法	3	1	1	adventure,fantasy	"基礎魔法すら使えないという理由から、勇者パーティーを追放された魔術師のオリオン。
しかし彼は、現代の魔法体系とは異なる魔法を自在に扱える特別な力を持っていた。
ある日、魔物に襲われそうになっていた少女アリスを助けたオリオンだったが、その力を目の当たりにしたアリスに弟子入りを懇願されてしまう。
押しかけ同然に弟子入りしてきたアリスに戸惑いつつも、彼女とともに自身の『力』を探究する新たな生活をスタートさせるのだが──"
ore-no-gakkou-dewa-maishuu-desu-game-ga-okonawarete-iru	俺の学校では毎週デスゲームが行なわれている	3	1	1	action,drama	"残酷無慈悲なアイドル（死神）、降臨!!
クラスメイトの女子から「DEAD-FALL」というゲームを勧められた真田奏多！　さっそくアプリをインストールするがゲームは始まらない…。そんなある晩、自宅で寝入った彼は、気づいたら校舎の廊下に立っていた！
息つく間もなく奏多は、同じ学校の女子生徒から弓矢で襲われ、強制的に命がけのサバイバルゲームに参加することにーーー。
殺らねば殺られる!!　凄絶・学園サバイバル、ゲームスタート!!!
「さあ殺り合いましょ♪」"
moto-kanotachi-to-yari-naoshi	元カノたちとヤReなおし!?	3	1	1	ecchi,romance	"萩乃内湊斗は老舗菓子メーカー「萩乃内」の御曹司。
入社3年目に後継者教育を受けるために本社に異動することになり、会社のパーティーにて父親から次期社長として紹介され、社長夫人に立候補したい女性はどんどんアタックしていいと許可されてしまう。
ただですら元カノが多い社内で元カノからの猛アタックを受けることに。
幼なじみの小春やモデルの結愛も加わり!?
モテモテハーレムコミック！"
koujo-denka-no-sanbou-sama	公女殿下の参謀様	3	1	1	drama,fantasy	"ロイカンネン将軍を仲間に加え、カジノの闇を暴いたアルカンとリューディア。_x000D_
それにより国民の支持を一気に獲得した彼らの元に、従属派の内務大臣ヘンリク・ラウディオより面会を求める手紙が届いた。_x000D_
現在エルヴィの味方をしているものの、彼自身は非常に高い政治手腕を誇る上、国内屈指の名家の当主であるため、味方につけられれば今後の争いで非常に有利に働くこととなる。_x000D_
そこで周囲の心配をよそにアルカンは一人でラウディオ家の屋敷へと向かったが、対面したヘンリクはなぜか「策」の内容を知っていたーー。_x000D_
国に捨てられた少年と、一人ぼっちの少女の復讐劇、怒涛の展開の第2巻!!_x000D_"
shusseki-bangou-0-ban	出席番号0番	3	1	1	action,mystery,supernatural	"セカイ揺るがす青春オカルトバトル開幕！ 

 オカルト好きの中学二年生・佐渡イオは
""教室には居るが絶対に気づかれない""怪奇現象・出席番号0番と出会う。

0番との束の間の楽しい学園生活と
異界への漂流というオカルト体験をしたイオ。

そんな経験を通して彼女は0番に対して「ある感情」を抱きーー…？

教室で出会った二人が、セカイを揺るがすーー青春オカルトバトル開幕！！
 

 【編集担当からのおすすめ情報】 
 1話掲載直後から各所で話題沸騰！
サンデーうぇぶりにて1週間で5万拍手獲得！
福岡出身の新鋭作家が贈る意欲作、ぜひお楽しみください。"
yuusha-ni-uragirareta-tensei-chiyushi-ga-maou-no-chouki-ni-naru-made	勇者に裏切られた転生治癒士が魔王の寵姫になるまで	3	1	1	fantasy,isekai,romance	"お前は私に捧げられた花嫁だ

転生し孤児として異世界で育ったアリシアは、幼馴染のクリスと婚約をしていた。
しかし勇者になったクリスが聖女イレーネ姫に一目ぼれ。姫の誘惑に負け、アリシアを刺してしまう。
失意のアリシアを助けたのは敵だったはずの魔王でー…。"
yuusha-aruku-wa-hitodenashi	勇者アルクはひとでなし	3	1	1	comedy,fantasy,isekai,romance	"クズ勇者、そして父になる……！？ 

 人間と魔族が永きにわたり敵対しあう世界。
魔族の国にスパイとして潜り込んだ勇者・アルクは、任務をサボって飲み歩いていた。
翌朝目が覚めると、そこは見知らぬアパートの一室。
そして隣には親しげな見知らぬ女が…。
聞けば敵国で出会った行きずりの恋の相手は魔王の娘だと！？
しかも「できちゃった」とか言ってる…！？
突きつけられた受胎告知、男としての責任、勇者の使命、俺の未来……。
あーもうぜーんぶ見て見ぬフリしてただただ逃げたい、超無責任英雄譚！
 

 【編集担当からのおすすめ情報】 
 漫画アプリ「マンガワン」で実施された賞レース・投稿トーナメントの優勝作！
ある日人生が一変する一人の青年の成長譚は、ギャグなのにグッとくる、クズなのに応援したくなる、本作がデビューとなる作者の奇才ぶりが十二分に詰まった異色作です！
本作がデビューとなる作者・きんはでの奇才ぶり、刮目して見よ！"
sennenkimatsu-ni-hoeru-koi	千年紀末に吠える恋	3	1	1	bl,romance	"宮中×幼馴染×再会時代を駆ける中華風BL、開幕。
時は戦乱の世。兄弟のように、はたまた番の鳥のように仲が良い天陽と雨流は、とある国の精鋭部隊に属していた。二人は共に暮らし、共に戦い、絆と愛を深めたが…別れは唐突に訪れる。雨流は敵地にて、最期に約束と口づけを残して絶命してしまった。そして二年後、天陽は雨流との約束を支えに生き続け、敵将・欠月に奇襲を仕掛ける。しかし、振り返った欠月の顔は懐かしく愛おしい雨流そのものだった。たとえ記憶が薄れたとしても、身体は忘れない。「この男からどうしようもなく雨流の匂いがする」--失くした愛の行方を追う中華風ヒストリカルBL、開幕。"
minami-san-wa-azatoi-iko	南さんはあざといい子	3	1	1	comedy	"突然休職し、姿を消した南朝子・自称ミナ。
南さんを探しに大阪を訪れた清川さんたちは、南さんの幼馴染・北野さんと出会う。

「あいつは友達もいない根暗」
「《あざといい子》を演じているだけ」
私たちが知っている南さんは、全部嘘だったの!?
予想外の過去と本心が明かされるーー。

「女の敵は女じゃない！」犬山紙子氏推薦。
女たちで手をとりあうハートフルオフィスコメディ、最終巻！
【単行本限定 描き下ろし漫画収録】"
chikyuu-wa-kozumi-no-mono-nanode	地球はコズミのものなので!	3	1	1	comedy,slice-of-life	侵略オススメランキング第1位の惑星『地球』。ついに侵略が解禁されたこの惑星へ、新米宇宙プリンセスのコズミが1番乗り！さっそく隕石を落として環境を“リセット”しようとするも、現地民・ヨウタに説得されて平和的侵略を目指すことに。続々とやってくる宇宙人たちとの戦いや、彼らに負けない個性を持つ地球人たちとの交流を描く、コズミック日常コメディー！
kabeyaku-nado-fuyou-to-tsuihousareta-sareta-s-kyuu-boukensha-dorei-kaihou-skill-o-kushi-shite	壁役など不要と追放されたS級冒険者、《奴隷解放》スキルを駆使して史上最強の国造り	3	1	1	action,adventure,fantasy,romance	"『あなたが私の御主人様ですか…？』
召喚した美少女奴隷と開拓ハーレムライフ!!

突然冒険者パーティーから追放された聖騎士・アレックス。
少しのんびりしたいと辺境の開拓依頼を受けるが、
突如襲撃してきた魔族を返り討ちにして得たスキル、
≪奴隷解放≫によって美少女エルフが呼び出されて…!?
召喚した美少女奴隷たちと荒野が広がる危険地帯・魔族領を開拓!?

異世界奴隷ハーレムスローライフ第1巻!!"
urareta-joou-nanoni-shinkon-seikatsu-ga-shiawase-desu	売られた王女なのに新婚生活が幸せです	3	1	1	fantasy,romance	兄である王太子の命令でノシュタット子爵家に嫁いだ王女マデレーネ。子爵家で働く人々、北部領で暮らす貴族たちはその優しさに触れ、次第に彼女を受け入れていく。それでも夫婦であるアランとマデレーネの距離はなかなか縮まらないでいた。そんなある日、マデレーネはとある夢で目を覚ますーーそれは幼いマデレーネとアランが一緒に遊ぶ夢だった。あまりにも現実味のあるその夢に、彼女はある疑問を胸に宿す。「もしかして、私たちは以前会ったことがあるのでは……？」虐げられた王女が、温かな愛に包まれるシンデレラストーリー！
hazure-skill-mezamashi-de-tondemo-ryouchi-keiei	外れスキル〈目覚まし〉でとんでも領地経営	3	1	1	fantasy	"【外れスキルが覚醒し、スローライフを満喫しながら最強領地に!?】
領主として将来を期待されながらも、【目覚まし】という眠気を覚ますだけの外れスキルを授かり、辺境の領地に追放されてしまったカイト。
着任した翌朝、気持ちを切り替えようと試しに【目覚まし】を発動してみると、実は眠っていた神を起こすことができる規格外のスキルだと判明して!?
「マジかよ！　カイト様！　あんた、大天使シエラ様を復活させたのか!?」
封印から目覚めた大天使シエラや個性あふれる愉快な領民たちが仲間となって一緒に枯れた大地を改革していくーー！
「小説家になろう」発！ 仲間と一緒にスローライフを謳歌する領地経営ファンタジー！ 巻末に原作者書き下ろし短編小説を2本収録。
※「小説家になろう」は株式会社ヒナプロジェクトの登録商標です。"
yoru-no-lemon-ni-request	夜の檸檬にリクエスト	3	1	1	drama,romance	"母親のせいで引きこもりになってしまった女子大生の太田桃音だったが、
地元のコミュニティFMラジオ局の局長を務める叔父のおかげで（〜経緯割愛〜）パーソナリティとしてデビュー！

箱入り娘すぎてインターネットの海で泳いでばかりいたら
ネットやアニメの話に詳しくなってしまった謎のパーソナリティ
薔薇園檸檬（ばらぞの・れもん）が送る深夜の1時間番組「夜の檸檬にリクエスト」。

……と、表向きは最強だけど、実は対人恐怖症で引きこもりの女子大生・太田桃音がしどろもどろ、あたふたあたふたと送るど素人番組。
苦言系リスナーいわく「雑談配信のようなもの」…とほほ。

そんな桃音も、先輩パーソナリティのリョータやカナカナの圧に鍛えられ、
苦言系リスナーの道化師Pの毒牙に半分貫かれ、
熱烈初恋男子高校生リスナーのねこ最強さんに支えられ、
パリピだらけの海フェスの中継担当を任され、
パーソナリティとして目覚ましく成長し大きくなっていく。

いつしか、多くの人とも話せるようになっていてーー。

そんな絶好調なある日、
桃音を引きこもらせた張本人の大罪人ーーその名も毒母親がふたたび現れて！？

コミュニティFMラジオ業界のツライところも楽しいところも、光も影も、出会いも別れも描いた「夜の檸檬にリクエスト」、ここに完結！"
yumegahara-san-wa-yumemigachi	夢ヶ原さんは夢見がち!	3	1	1	comedy,romance	「えっちはひとつの真理なんです…！！」風紀委員の朝切くんはある日、学校の図書室でエロ漫画を描く同級生・夢ヶ原さんを発見。男性が苦手な夢ヶ原さんは男性に慣れるため自分を主人公にしたエロ漫画でトレーニングしているという。破廉恥すぎる彼女を更生させるため、自ら練習台を買って出た朝切くんだけれど、夢ヶ原さんの妄想はノンストップ。「責任、とってくださいね？」と逆に迫られてしまい…！？妄想大好きふしだら女子高生と清く正しい風紀委員男子のハイテンション学園ラブコメディ！
ookiku-nattara-onnanoko	大きくなったら女の子	3	1	1	drama,romance	"「あなたたちは誰でも女の子になる可能性があります。」

この世界で、人類は最初はみな男として生まれる。そのうち身体が大きく育った人だけが次第に女性化！
たくさんのかわいい男の子と恋愛したり、「女らしい頼りがい」を発揮することを、当然のように期待されることになる。
これは、そんな世界で、思い通りにならない「身体」とか「モテ」とか「友情」とかに振り回されながら、なんとか自分らしくサバイブする女の子たちの物語。"
otto-no-yuigon-ga-doujinshi-kake-datta-mono-de	夫の遺言が「同人誌描け」だったもので	3	1	1	comedy,slice-of-life	"創作を愛するすべての人に送る、
オタクコメディ！

一家の愛されお母さん弥子は、
夫の遺言「同人誌描け」をきっかけに、
同人活動を再開！

オリジナル作品も描き始め、
みんなの応援を受けて、
続編も描くことを決めた。

そして弥子の作品を読んだ香は、
「埼ライ」の同人誌を描くことを決意し奮闘！
弥子さんちの次男坊・源も、
不登校エッセイマンガで同人イベントに臨む。

「誰にどう思われても
　私は描くよ」

弥子の同人活動をきっかけに
ひろがる漫画の輪！

家族みんなで頑張る、ドタバタコメディ、完結！"
dorei-o-choukyou-shite-harem-tsukuru	奴隷を調教してハーレム作る	3	1	1	comedy,fantasy	"ククク……&quot;奴隷&quot;どもを&quot;かわいがって&quot;やる……たっぷりとな
少女奴隷を3人買った。主人である俺好みの女に仕立て上げるべく、まずは風呂に入れ、それから旨い飯をたらふく食わせ、そして清潔な寝床を用意した。繰り返すが、飽くまで俺好みの女に仕立て上げるためにーーだ。"
youbyou-tsuzumi-sama-no-yorozumeguri	妖猫つづみさまのよろずめぐり	3	1	1	comedy	人間のマコと最強でポンコツな猫妖怪のつづみ、ちょっと感動！？なドタバタ日常コメディ完結巻！
ane-ni-konyakusha-o-netorareta-node-wakeari-reisoku-to-kekkon-shite-henkyou-eto-mukaimasu	姉に婚約者を寝取られたので訳あり令息と結婚して辺境へと向かいます	3	1	1	romance	"真面目系健気令嬢、「元婚約者」と「元婚約者を寝取った実姉」と対峙……！？
子爵家の次女・ウェンディは、婚約者・フレデリックとの幸せな未来を夢見ていた。しかし、ある日突然、実姉のジャネットとフレデリックの浮気現場を目撃してしまい……！？泣き寝入りするような形で嫁いだ辺境の地で待っていたのは、もっさり髪の気弱な陰キャ次期辺境伯・ゼルナ。突然田舎で始まったセカンドライフは前途多難だけれど、段々と2人心を通わせるうちに、ウェンディは本当の愛を知る。王都で開かれる「建国記念パーティー」に参加するため、辺境の地を出たウェンディたちは、「元婚約者」と「元婚約者を寝取った実姉」と遭遇し……！？
傷ついた2人の結婚から始まる、むずキュン溺愛ストーリー！"
