title	a_romaji	a_id	key
ホームレス転生	Homeless Tensei: Isekai de Jiyuu Sugiru Jikyuu	105040	name:ox|name:ホームレス転生|sub:異世界で自由すぎる自給自足生活
最強パーティーの雑用係	Saikyou Party no Zatsuyougakari: After Heroic 	121800	name:peco|name:最強パーティーの雑用係|sub:After Heroic Tale
ストライクウィッチーズ劇場版	Strike Witches Gekijouban: 501 Butai Hasshin s	95102	name:Projekt Kagonish|name:ストライクウィッチーズ劇場版
クリムゾン・エンパイア	Crimson Empire: Circumstances to Serve a Noble	46179	name:Quin Rose|name:クリムゾン・エンパイア
ハートの国のアリス	Heart no Kuni no Alice: Wonderful Wonder World	41516	name:Quin Rose|name:ハートの国のアリス
ジョーカーの国のアリス	Joker no Kuni no Alice: Circus to Usotsuki Gam	55101	name:QuinRose|name:ジョーカーの国のアリス
王子の本命は悪役令嬢	Tensei Shoya Kara Musabori Ecchi: Ouji no Honm	136669	name:Re:mimu|name:王子の本命は悪役令嬢
ワルキューレロマンツェ	Walkure Romanze: Shoujo Kishi Monogatari	75379	name:Ricotta|name:ワルキューレロマンツェ
四天王最弱だった俺。	Shitennou Saijaku datta Ore. Tensei Shita node	128165	name:riritto|name:四天王最弱だった俺。|sub:転生したので平穏な生活を望む
僕の彼女はデッカワイイ	Boku no Kanojo wa Dekkawaii	175712	name:sanorin|name:僕の彼女はデッカワイイ
悪役令嬢は異世界転生しても乙女ゲームをつくりたい!	Akuyaku Reijou wa Isekai Tensei Shitemo Otome 	181948	name:Shabon|name:悪役令嬢は異世界転生しても乙女ゲームをつくりたい!|sub:オトメ趣味を隠していた俺が
転生令嬢はご隠居生活を送りたい!	Tensei Reijou wa Goinkyo Seikatsu! Outaishiden	156657	name:Shabon|name:転生令嬢はご隠居生活を送りたい!|sub:王太子殿下との婚約はご遠慮させていただきたく
学園ヘヴン	Gakuen Heaven	30666	name:Spray|name:学園ヘヴン
ループ8周目は幸せな人生を	Loop 8-shume wa Shiawase na Jinsei wo: 7-Shuub	147760	name:teffish|name:ループ8周目は幸せな人生を|sub:7周分の経験値と第三王女の『鑑定』で覚醒した俺は
遊び人は賢者に転職できるって知ってました?	Asobinin wa Kenja ni Tenshoku Dekiru tte Shitt	110374	name:TRY|name:遊び人は賢者に転職できるって知ってました?|sub:勇者パーティを追放されたLv99道化師、
可愛い僕のミア	Kawaii Boku no Mia: Tennen Kizoku-sama no Aisa	139909	name:Tsugumi|name:可愛い僕のミア|sub:天然貴族様の愛されメイド
Dジェネシス	D Genesis: Dungeon ga Dekite 3-nen	123591	name:ttl|name:Dジェネシス
影の英雄の日常譚	Kage no Eiyuu no Nichijou Tan: Yuusha no Ura d	122320	name:TYONE|name:影の英雄の日常譚|sub:勇者の裏で暗躍していた最強のエージェント。組織が解体されたので
ファーストコール	First Call: Doutei Gekai, Toshishita Yazuka no	175779	name:U-min|name:ファーストコール|sub:童貞外科医、年下ヤクザの嫁にされそうです!
デリバリー	Delivery	168213	name:Usi|name:デリバリー
黒狼王と白銀の贄姫	Kokurou Ou to Shirogane no Niehime: Henkyou no	200574	name:vient|name:黒狼王と白銀の贄姫|sub:辺境の地で最愛を得る
蒼穹のファフナー	Soukyuu no Fafner: Dead Aggressor	94094	name:XEBEC|name:蒼穹のファフナー
妻か死か	Tsuma ka Shi ka: Haisen Koku no Onnatachi	180679	name:Xぴえろ|name:妻か死か
転生コロシアム	Tensei Colosseum: Saijaku Skill de Saikyou no 	152284	name:zunta|name:転生コロシアム
無自覚聖女は今日も無意識に力を垂れ流す	Mujikaku Seijo wa Kyou mo Muishiki ni Chikara 	180321	name:あーもんど|name:無自覚聖女は今日も無意識に力を垂れ流す
無自覚聖女は今日も無意識に力を垂れ流す	Mujikaku Seijo wa Kyou mo Muishiki ni Chikara 	180321	name:あーもんど|name:無自覚聖女は今日も無意識に力を垂れ流す|sub:公爵家の落ちこぼれ令嬢、嫁ぎ先で幸せを掴
薄桜鬼SSL～sweet school life～	Hakuouki Shinsengumi Kitan: Sweet School Life	54656	name:アイディアファクトリー|name:薄桜鬼SSL～sweet school life～
デュラララ!! re: ダラーズ編	Durarara!!: RE;Dollars-hen	93748	name:あおぎり|name:デュラララ!! re: ダラーズ編
少年少女日本の歴史	Shougakukan-ban Gakushuu Manga: Shounen Shoujo	160216	name:あおむら純まんが|name:少年少女日本の歴史
婚約破棄の手続きはお済みですか?	Konyaku Haki no Tetsuzuki wa Osumi desu ka? Da	195217	name:あかこ|name:婚約破棄の手続きはお済みですか?
ティアーズ・トゥ・ティアラ	Tears to Tiara: Kakan no Daichi	46524	name:アクアプラス|name:ティアーズ・トゥ・ティアラ
僕の番は猫紳士	Boku no Tsugai wa Neko Shinshi	151132	name:アサナエアラタ|name:僕の番は猫紳士
