slug	title	detail
neojiokomikku	ネオジオコミック	コミック編集部 編
rewritesideb	Rewrite:SIDE-B	Key 原作
ribonmanga	りぼん新人まんが傑作集	一条ゆかり 編
rkuronikuru	Rくろにくる	あづまゆき 漫画
sandoman	サンドマン	ニール・ゲイマン 原作
sayonara	さよなら!!岸壁先生	小池一夫 作
tecchannotsubasa	てっちゃんのつばさ	なかえよしを さく
za-doraemonzusupesharu	ザ・ドラえもんズスペシャル	藤子・F.不二雄 原作
